#tail	head
KRTAP17-1	ZNF101
HMGCS2	PIK3CA
HMGCS2	CPT2
HMGCS2	PYCR1
HTR3A	SLC12A4
HTR3A	ATP1A3
HTR3A	GNGT2
HTR3A	CHRNA4
HTR3A	PYGB
HTR3A	KCNK17
HTR3A	TNNT2
IREB2	CDK1
IREB2	CDK2
IREB2	MCCC1
SEH1L	IDH1
SEH1L	COPG1
SEH1L	RPA1
SEH1L	GNA11
SEH1L	DYNC1I2
SEH1L	SLC2A1
SEH1L	MPP5
PIK3CA	SQSTM1
PIK3CA	EGF
PIK3CA	BAIAP2
PIK3CA	STAG2
PIK3CA	MTOR
PIK3CA	AKT1
PIK3CA	SMAD2
PIK3CA	TRIM24
PIK3CA	ARRB2
PIK3CA	CPT2
SRRM2	DBT
SRRM2	EEF1A1
SRRM2	POLR2K
SRRM2	SQSTM1
SRRM2	TGFB1
SRRM2	MATR3
SRRM2	SEPHS1
SRRM2	ARRB2
SRRM2	STAG2
NR3C1	E2F4
NR3C1	DYNC1I2
NR3C1	SEM1
NR3C1	TRIM28
CCT7	OGA
CCT7	CDK2
CCT7	PSMA2
CCT7	ATP1A3
MEF2A	ATP2B4
MEF2A	LIF
MEF2A	DYRK2
MEF2A	ANGPTL7
PGR	USP54
PGR	ABCC2
PGR	CDK1
PGR	CSNK2A1
PGR	GABRA6
FDPS	RNF19B
FDPS	SEPHS1
OTX1	OGA
SMTN	EEF1A1
SMTN	TRIM28
SMTN	ACTG1
SMTN	CSNK2A1
SLC1A4	DBT
ACSM2B	DBT
GNA14	ARRB2
GNA14	TRPC3
GNA14	DGKA
GNA14	HCRTR2
CYP2C9	SMAD2
CYP2C9	VKORC1
COPG1	SEPHS1
COPG1	DCTN1
PTPRF	SUGT1
PTPRF	HIST1H4I
CXCL12	TGFB1
CXCL12	STAT5A
CXCL12	ABCC2
CXCL12	GNGT2
CXCL12	SLC2A1
PLAT	NAMPT
SLC12A4	ATP1A3
CDK2	HIST1H4I
CDK2	TFCP2
CDK2	STAT5A
CDK2	SLC2A1
CDK2	NAMPT
CDK2	TGFB1
CDK2	SEM1
CDK2	EGF
CDK2	MATR3
CDK2	ANKRD17
AHCTF1	RCC2
HIST1H2AH	EEF1A1
HIST1H2AH	HMG20B
MYL2	PPP6C
MYL2	CACNG5
MYL2	CHRNA4
MYL2	TNNC2
GNA11	TACR2
GNA11	DGKA
GNA11	DGKQ
GNA11	SMN2
GNA11	SQSTM1
RPS18	ELK1
RPS18	CSNK2A1
RPS18	HIST1H2BI
WRN	RPA1
TGFB1	DIRAS3
TGFB1	INS
TGFB1	RARA
TGFB1	IGF1R
TGFB1	SMAD2
TGFB1	ACTG1
TGFB1	TRIM25
TGFB1	A1CF
HIST1H2BI	HIST1H4I
HIST1H2BI	FOXM1
HIST1H2BI	RCC2
HIST1H2BI	HOXD3
HIST1H2BI	STAG2
HIST1H2BI	HIST1H2AA
PNLIPRP3	ACSM6
LIPH	NUDCD1
CNTRL	CDK1
CNTRL	BAIAP2
CNTRL	TRIM26
CNTRL	DYNC1I2
CNTRL	CSNK1E
HIST1H3G	POLR2I
HIST1H3G	MCM4
HIST1H3G	CDK1
HIST1H3G	EEF1A1
HIST1H3G	UBN1
HIST1H3G	HOXD3
METTL14	HNRNPR
A1CF	TNPO2
A1CF	FOXF2
GNGT2	TACR2
GNGT2	EGF
GNGT2	BAIAP2
GNGT2	DGKQ
GNGT2	INPP5B
PRKAA1	MCM2
PRKAA1	AVP
NDRG1	FOXF2
NDRG1	NAMPT
PSMC6	SIRT6
PSMC6	SEM1
PSMC6	AXIN1
PSMC6	PPP6C
PSMC6	USP14
HCCS	OGA
HCCS	SENP2
BAIAP2	ACTG1
BAIAP2	TRIM24
BAIAP2	PCM1
DLD	DHTKD1
DLD	SMN2
DLD	OGA
DLD	PPP6C
DLD	MCM4
DLD	ACP6
TNNT2	CACNG5
TNNT2	SLC2A1
IFT43	STAT5A
E2F5	EGF
E2F5	E2F4
POLR3B	POLR2K
TRAF1	SQSTM1
TRAF1	MAD1L1
TRAF1	INS
CSNK1E	CACNG5
CSNK1E	DCTN1
CSNK1E	AXIN1
HIST1H4I	MCM4
HIST1H4I	HIST2H2BF
SLC2A1	RARA
SLC2A1	SQSTM1
SLC2A1	PYGB
SLC2A1	CDK1
SLC2A1	SMN2
SLC2A1	ATP2B4
SLC2A1	TRIM25
SLC2A1	AKT1
NAMPT	AVP
NAMPT	GSR
NAMPT	ABCC2
ANKRD17	MTOR
ANKRD17	NOD2
CACNG2	ETS2
ACOT6	PYCR3
ACOT6	CPT2
ACOT6	IDH1
NME3	ESD
NME3	SEPHS1
ATP2B4	EGF
ATP2B4	TMOD4
ATP2B4	CACNG5
USP14	SEM1
CSNK2A1	L1CAM
CSNK2A1	RARA
CSNK2A1	SQSTM1
CSNK2A1	SUGT1
CSNK2A1	CDK1
IDH1	SMN2
IDH1	PKLR
IDH1	CPT2
IDH1	PYCR3
PYCR1	SEPHS1
SIRT6	TRIM28
SIRT6	TRIM25
SIRT6	HIST2H2AB
HIST1H2AA	HIST1H2BJ
HOXD3	POLR2I
HOXD3	POU3F1
RARA	STAT5A
RARA	RPA1
RARA	EEF1A1
RARA	FOXF2
RARA	ETS2
RARA	AKT1
RARA	DYRK2
RARA	TRIM28
DCDC2	DCTN1
MAFB	ATF4
GTF2H1	MCM2
GTF2H1	GTF2H3
GTF2H1	RPA1
INS	AVP
INS	CPT2
INS	ADCY9
INS	STAT5A
INS	TRIM26
INS	EGF
INS	DYNC1I2
INS	MCM2
INS	TRIM24
INS	HNRNPR
INS	SH2D4A
INS	TTC14
RCC2	DYNC1I2
RCC2	CDK1
GOLGA6A	KLHL38
HIST2H2BF	MCM2
SMAD2	AKT1
SMAD2	CHRNA4
SMAD2	FOSL1
SMAD2	ERC1
SMAD2	DGKA
TNNC2	CACNG5
DLAT	TRIM25
DLAT	STAT5A
LIG4	EEF1A1
BBS7	TRIM37
FOSL2	LIF
CPT2	MCCC1
POLR1C	GTF2H3
POLR1C	HIST1H2BJ
ARRB2	ETS2
TRIM24	AKT1
TRIM24	ZIM2
TRIM24	EGF
TRIM25	ETS2
TRIM25	TRIM28
TRIM25	MATR3
TRIM25	RPA1
TRIM25	MCM4
TRIM25	OGA
TRIM25	DCTN1
TRPC3	EGF
DGKA	CLEC1B
DGKA	ETS2
EI24	BNIP2
BMP10	GDF11
MAD1L1	NUP160
AXIN1	SENP2
AXIN1	PSMA2
TRIM28	HNRNPR
PSMA2	CDK1
PSMA2	SEM1
MASTL	CDK1
PSME2	SEM1
SQSTM1	SUGT1
SQSTM1	SEPHS1
EEF1A1	HNRNPR
EEF1A1	MCM2
EEF1A1	ACTG1
EEF1A1	SEM1
EEF1A1	EGF
SOS2	ROBO1
SOS2	STAT5A
SOS2	AKT1
SOS2	SHC3
DCTN1	CDK1
DCTN1	AKT1
DCTN1	ATF4
KLC3	SPERT
ZADH2	DBT
ZADH2	FOXD3
ERC1	SPERT
ERC1	PCM1
CDK1	PHF8
CDK1	AKT1
CDK1	UHRF2
CDK1	E2F4
CHRNA4	ABCC2
CHRNA4	TMOD4
SCRG1	CATSPER1
STAG2	HIST1H2BJ
STAG2	NUP160
PYGB	ATP1A3
PYGB	MCCC1
PYGB	INPP5B
PCDHB16	ACTG1
CATSPER1	KRTAP9-3
ETS2	IGF1R
ETS2	SHC3
ETS2	LIF
ARNTL2	MCM2
HNRNPR	E2F4
HNRNPR	MCM4
HNRNPR	POLR2I
E2F4	MCM4
KLHL38	SUGT1
STAT5A	DYRK2
STAT5A	AKT1
NUDCD1	OGA
SCP2	DBT
SCP2	ACSM6
POLR2I	GTF2H4
LSM11	SMN2
ESD	ACP6
DYRK2	RPA1
PPP6C	DBT
FOSL1	EGF
EGF	MCM2
EGF	IGF1R
MPZL2	IGF1R
SEPHS1	SMN2
MCCC1	DBT
HIST1H2BJ	PHF8
HIST1H2BJ	POLR2K
HIST1H2BJ	HIST2H2AB
CPSF7	MCM2
CPSF7	POLR2K
GTF2H3	POLR2K
OGA	ACTG1
OGA	PCM1
FOXF2	UHRF2
FOXF2	IGF1R
SMN2	SUGT1
ACP6	GSR
ACP6	DBT
MCM2	KRTAP9-3
MCM2	GSR
MCM2	ACTG1
DBT	ACSM6
GTF2H4	RPA1
LIF	POU3F1
