#tail	head
EFNB2	PICK1
DHRS9	ADH1B
MECOM	CYP26B1
MECOM	H3F3A
MECOM	CHRDL1
MECOM	PTF1A
MECOM	STOML2
RPL13	YBX1
RPL13	RPS13
RPL13	PELP1
HSPB1	CASP3
HSPB1	E2F6
HSPB1	SMN2
HSPB1	SQSTM1
HSPB1	PLA2G15
HSPB1	CSNK2A2
HSPB1	NR1I2
FGFR1	HIST1H4C
FGFR1	FGF2
FGFR1	PIP5K1B
FGFR1	PIP5K1C
FGFR1	PDGFB
FGFR1	ITGB3
USP19	NTRK1
TUBA8	CFTR
TUBA8	DBT
TUBA8	ADH1B
INTS2	RNF4
INTS2	POLR2G
INTS2	DPEP1
MAF	PEPD
BIRC7	CASP3
ZNF197	SPTAN1
MYO18A	SRRT
MYO18A	PLEC
MYO18A	IGKV3-11
MYO18A	PDGFB
MYO18A	ANXA2
SPI1	PIK3R3
SPI1	NINJ2
SPI1	DCAF1
ACVR1B	NTRK1
YBX1	POLR2G
YBX1	SPTAN1
YBX1	RPS13
YBX1	RPS16
YBX1	TCOF1
YBX1	STOML2
CFTR	SLC46A1
CFTR	PLEC
CFTR	UBR5
CFTR	PSMA5
CFTR	PIK3R2
CFTR	DNAJC6
CFTR	EGFR
CFTR	SLC6A1
CFTR	RPS13
CFTR	STOML2
NLRP1	POLR3G
SOD2	EGFR
SOD2	RNF4
ARFGAP2	SPTAN1
IGLV3-21	PDGFB
IGLV3-21	GNG2
IGLV3-21	FGFR1OP
TCERG1	HNRNPH1
MAD2L1	UBE2D1
MAD2L1	RNF4
PAFAH1B2	PSMA5
CSNK2A2	VSX2
CSNK2A2	CDH19
CSNK2A2	TCOF1
SLC38A1	SLC6A1
SLC38A1	DPEP1
SLC38A1	SLC10A1
DMP1	ITGB3
MLH1	RPA1
MLH1	AP2B1
MLH1	NTRK1
MLH1	PCNA
MOCOS	SPTAN1
PSMA5	PSMA8
PSMA5	NTRK1
PSMA5	HUWE1
PIK3R2	APP
PIK3R2	PIK3R3
PIK3R2	PDGFB
PIK3R2	PIP4K2C
PIK3R2	IGKV3-11
PIK3R2	IGKV1-12
ALB	KAT2B
ZNRF4	AREL1
SULT1E1	PDGFB
NR1I2	SLCO2A1
NR1I2	SQSTM1
RBBP4	PCNA
WASF1	PIK3CG
WASF1	EGFR
WASF1	NTRK1
WASF1	FGFR1OP
GNG2	IGKV1-12
GNG2	GRB2
GNG2	FGFR1OP
PTF1A	ROBO1
PTF1A	NTRK1
LAMC1	HECW2
LAMC1	ITGB3
LAMC1	APP
RPS13	TCF3
RPS13	HNRNPH1
RPS13	EIF4H
RPS13	ANXA2
RPS13	HUWE1
RPS13	TCOF1
SPTAN1	CYP26B1
SPTAN1	CASP3
SPTAN1	ANXA2
SPTAN1	HIF1A
SPTAN1	BCL2L1
SPTAN1	EIF3M
SPTAN1	TCF3
ASXL1	TCF3
RNF4	BCL2L1
RNF4	PELP1
RNF4	HIF1A
RNF4	M6PR
RNF4	HIST1H2BA
COMMD7	LRR1
SNAPC1	POLR2G
CASP9	HIF1A
CLTCL1	PIK3CG
CLTCL1	GRB2
CLTCL1	AP2B1
CLTCL1	PIP4K2C
CLTCL1	SPDL1
CLTCL1	LDLR
SLC46A1	CASP3
STOML2	AP2B1
STOML2	ANXA2
E2F6	PELP1
FAM120A	HECW2
IGKV1-12	EGFR
NTRK1	EGFR
NTRK1	PCNA
NTRK1	PELP1
HECW2	EGFR
SQSTM1	PSMC2
SQSTM1	ANXA2
EIF3C	SPDL1
GGNBP2	KAT2B
GGNBP2	NHLH1
DNAJC6	M6PR
DNAJC6	EGFR
DNAJC6	GRB2
CHRDL2	APP
PELP1	PIP5K1C
PELP1	HIST1H2BA
PELP1	RPA3
CDC20	HSF2
DCAF1	H3F3A
BCL2L1	CASP3
BCL2L1	BNIP3L
NHLH1	PDGFB
FGFR1OP	GRB2
FGFR1OP	NRG2
FGFR1OP	PIP4K2C
FGFR1OP	PIP5K1C
FGFR1OP	PIK3CG
PIP4K2C	PIP5K1B
HIF1A	EGFR
HIF1A	HIST1H4C
HIF1A	CASP3
HIF1A	UBE2D1
KAT2B	FGF2
KAT2B	PLXND1
KAT2B	UBE2D1
KAT2B	HIST1H4C
IGKV3-11	PIK3R3
EGFR	HIST1H4C
EGFR	PIP5K1B
EGFR	PIP5K1C
EGFR	TCOF1
EGFR	LDLR
POLR2G	H3F3A
PIP5K1C	NRG2
HIST1H2BA	JAZF1
HIST1H2BA	MCM4
HIST1H2BA	RPA1
HIST1H2BA	HIST1H4C
LDLR	M6PR
LDLR	APP
LDLR	PIK3R3
DCUN1D2	APP
HSF2	EEFSEC
ELMO2	GRB2
ACOT2	RBM23
ACOT2	AWAT2
EPHB6	GRB2
PPP4R2	RPA1
M6PR	PIK3CG
PSMC2	UBE2C
UBE2D1	UBE2C
UBE2D1	PSMA8
H3F3A	DYRK2
PLEC	TCF3
PIK3CG	APP
RPS16	EIF4H
RPS16	TCOF1
TCF3	GRB2
TCF3	DCUN1D4
TCF3	CDK7
HIST1H4C	CYP26B1
HIST1H4C	RPA3
FGF2	GRB2
AP2B1	RPA1
SLC22A1	CASP3
SLC22A1	APP
PIK3R3	GRB2
ADH1B	APP
ADH1B	KMO
NRG2	PIP5K1B
CYP26B1	PCNA
HUWE1	UBE2S
HUWE1	SSB
PCNA	CDK7
CAMKV	APP
RPA3	HNRNPH1
ANXA2	EIF3M
ANXA2	CDK7
ANXA2	GRB2
ANXA2	SRRT
SMN2	TCOF1
APP	PDGFB
APP	TCOF1
EIF3M	SRRT
HNRNPH1	RPA1
SRRT	TCOF1
