#tail	head
EEF2KMT	ZNF35
CCT7	TAF1
CCT7	BRCA1
CCT7	PPP2R2A
PFKFB3	PYGM
PFKFB3	CYLD
VDAC3	HNRNPA2B1
VDAC3	ACTB
ABCB1	RNF146
ABCB1	CHRNB4
ABCB1	ACTB
ABCB1	CBR1
ABCB1	CALML5
ABCB1	DCXR
ABCB1	IGF2
ABCB1	PYGM
ABCB1	ATG12
ABCB1	NAMPT
GCG	FOXA1
GCG	DRD1
GCG	KCNH2
ISLR	AHCTF1
SSBP3	RFC1
ACTL6A	HIST1H3B
ACTL6A	KAT2A
ACTL6A	MYC
ACTL6A	ACTA1
HOXC4	MAX
HOXC4	POLR2L
HOXC4	HTT
PTGES3L-AARSD1	GNA15
DRD1	WNT5A
DRD1	MAX
DRD1	IGF2
DRD1	INHBB
DRD1	GNAI1
PPME1	MAX
PPME1	SMN1
PPME1	SEC13
PPME1	SEMA7A
PPME1	MYC
SS18L1	SMARCC1
CDC42	ACTC1
CDC42	SEC13
CDC42	WIPF3
APPL2	PRR35
ACTC1	SRRT
ACTC1	WTAP
ACTC1	RPSA
ACTC1	SEC13
RPSA	HNRNPK
RPSA	SRRT
RPSA	CYLD
RPSA	YWHAE
RPSA	SEC13
GTF2H2	POLD3
GTF2H2	MYC
GTF2H2	BRCA1
GTF2H2	TAF1
GTF2H2	POLR2B
AHCTF1	PLEC
RHOXF2	RNF4
CACNA1C	GNAI1
CACNA1C	PRKCD
PAXIP1	H2BFS
NDUFS2	STAT5B
CALM3	GLP1R
CALM3	GNA15
CALM3	MYC
CALM3	MAX
CALM3	POLR2B
CALM3	HTT
CALM3	BPTF
BABAM1	HIST1H2AC
BABAM1	HIST3H3
BABAM1	PSMC3
RORA	IGF1
RORA	STRADB
RB1	CREBBP
RB1	MYC
RB1	RFC1
RB1	TAF1
RB1	POLD3
RB1	RNF4
SNX18	WNT5A
RFC1	POLD3
POR	BECN1
POR	HTT
POR	CYBB
PPP2R2A	RPS3
IGF2	IGFBP5
IGF2	BECN1
IGF2	KMT2C
IGF2	CHRNB4
ONECUT1	HNRNPA2B1
ONECUT1	HERC4
ONECUT1	HTR2B
ONECUT1	CLCN3
ONECUT1	CREBBP
AKAP2	SRRT
PTPRO	CYLD
HNRNPA0	UPF3B
HNRNPA0	RPS3
HNRNPA0	POLR2L
HNRNPA0	MAGOH
HNRNPA0	ATG12
UBQLN2	PSMD14
SLC47A1	IGF1
SLC47A1	MYC
STAT5B	PIK3R5
STAT5B	AMPD1
STAT5B	RPS6KB2
HNRNPA2B1	TOP2A
HNRNPA2B1	SEMA7A
HNRNPA2B1	MAX
HNRNPA2B1	POLR2L
HNRNPA2B1	SEC13
HNRNPA2B1	ACTB
HNRNPA2B1	BRCA1
HNRNPA2B1	SMN1
HNRNPA2B1	PNO1
HNRNPA2B1	QARS
HNRNPA2B1	TAF1
H2BFS	KMT2C
H2BFS	TWISTNB
H2BFS	HDAC2
H2BFS	CTNNB1
SEC13	SHKBP1
SEC13	AASDHPPT
ZNF35	EXOC8
MYC	REPIN1
MYC	EHD3
MYC	FOXA1
MYC	WNT5A
MYC	ACTG1
MYC	POLD4
MYC	PNO1
MYC	EYA4
MYC	HTT
MYC	PSMC1
MYC	EBNA1BP2
MYC	PSMA3
MYC	NAMPT
MYC	RNF4
MYC	YWHAE
MYC	HNRNPK
MYC	HTR1B
MYC	MAP3K5
MYC	POLR2L
MYC	SMARCC1
MYC	HIST1H3C
MYC	RUNX1
ATP2C1	RNF4
DGAT2	AASDHPPT
VGLL1	FOXA1
PDIA6	RNF4
SMC2	TAF1
SMC2	HIST1H3C
NAMPT	IL2
NAMPT	CTNNB1
NAMPT	KAT2A
NAMPT	BPTF
NAMPT	HTT
SLC28A3	ACTN2
CKS1B	PSMD14
CKS1B	PSMA7
CKS1B	PSMC3
AKR1B1	SLC5A2
AKR1B1	TSTA3
AKR1B1	CBR1
AKR1B1	IL2
PSMD8	PSMD14
PROK2	GNG10
STX5	RNF4
WWP2	CTNNB1
WWP2	CFL1
FXYD3	KCNH2
FXYD3	RUNX1
FXYD3	REPIN1
MRPL22	GLP1R
NUDC	MAX
NUDC	SHKBP1
NUDC	RPS6KB2
CTNNB1	GDF9
CTNNB1	SRRT
CTNNB1	KAT2A
CTNNB1	ACTB
CTNNB1	CREBBP
CTNNB1	SMN1
CTNNB1	IGF1
CTNNB1	CFL1
CTNNB1	RUNX1
CTNNB1	RPS3
PFKFB4	PYGM
CYBA	PSMA3
CYBA	MAX
POLR2L	KMT2C
POLR2L	SRRT
POLR2L	UPF3B
POLR2L	HNRNPK
CREBBP	HDAC2
CREBBP	HIST1H2AC
CREBBP	HIST1H3C
CREBBP	BAX
EYA4	HIST3H3
REPIN1	SH3BP1
REPIN1	ARMC5
REPIN1	ACTA1
REPIN1	MAP3K5
REPIN1	HIST1H3C
REPIN1	PYGM
REPIN1	PLEC
REPIN1	IGF1
SHKBP1	NUMB
SHKBP1	ACTG1
SHKBP1	CD2AP
HIST3H3	GATAD1
HIST3H3	HDAC5
GNG11	NTRK3
GNG11	PIK3R5
GNG11	WNT5A
GDF9	HSF2
GDF9	INHBB
RUNX1	IL2
RUNX1	HIST1H3B
RUNX1	ANKRD1
RUNX1	SMARCC1
RUNX1	CLDN5
MRPL46	MRPS15
EHD3	INTU
TRAF2	PSMD14
TRAF2	RNF4
TRAF2	MAP3K5
TRAF2	AASDHPPT
TRAF2	RPS3
TRAF2	MAP4K5
TRAF2	QARS
PRKCD	GNAI1
PRKCD	RPS6KB2
PRKCD	IGF1
PRKCD	IGLC7
ETFA	MAX
ETFA	TAF1
ETFA	IKBKE
BPTF	IGF1
SMN1	CDC23
SMN1	HDAC2
SMN1	SRRT
SMN1	QARS
RPS3	YWHAE
RPS3	UPF3B
RPS3	IL2
RPS3	TAF1
RPS3	PNO1
RPS3	HDAC5
IKBKE	PSMA7
IKBKE	HDAC2
IKBKE	RAB5A
GNG10	GPR37L1
GNG10	IGLC7
GNG10	WNT5A
GNG10	NTRK3
BRCA1	QARS
BRCA1	EBNA1BP2
BRCA1	KAT2A
BRCA1	TOP2A
BRCA1	YWHAE
BRCA1	PSMC1
BRCA1	ACTG1
BRCA1	NR2F2
KAT2A	HIST1H2AC
KAT2A	MAX
KAT2A	BECN1
RNF4	HIST1H3B
RNF4	HIST1H3C
RNF4	MAX
RNF4	PLEC
RNF4	HNRNPK
EXOC8	MRPS15
QSER1	PLEC
HTT	BECN1
HTT	ACTG1
HTT	ACTA1
HTT	MED15
POLD3	HIST1H3B
POLD3	POLD4
HDAC8	IL1A
MASP2	FCN3
KIF18B	HIST1H3B
TSC1	ACTB
IL6ST	IL1A
PAH	BECN1
HNRNPK	TOP2A
HNRNPK	UPF3B
HNRNPK	SRRT
HNRNPK	MAGOH
CALML5	CYLD
HTR6	GNAI1
IL1A	IGF1
IL1A	NR2F2
PSMD14	TXN
PSMD14	CDC23
PSMD14	PSMC3
PSMD14	TAF1
YWHAE	ACTB
YWHAE	KCNH2
PSMC1	NUMB
PSMC1	CDC23
NUMB	PSMA7
NUMB	PSMC3
HTR2B	GNAI1
HIST1H3C	CDC23
HIST1H3C	FOXA1
MTSS1	ACTA1
PIK3R5	WNT5A
FCN3	GNAI1
INTU	TOP2A
HELZ2	MED16
MSRA	QARS
HDAC2	TOP2A
HDAC2	TAF1
HDAC2	PSMA3
MAP3K5	BECN1
HSF2	PLEC
HSF2	HERC4
ACTB	MAGOH
ACTB	LMOD1
ACTB	ACTA1
ACTB	HIST1H3B
ACTB	CFL1
IGFBP5	IGF1
IGFBP5	PNO1
WTAP	POLR2B
WTAP	MAGOH
WTAP	SRRT
CHRNB4	ACTN2
POLR2B	TAF1
POLR2B	UPF3B
POLR2B	MAGOH
POLR2B	KMT2C
POLD4	TOP2A
PSMA7	RNF146
PSMA7	PSMA3
UPF3B	ACTG1
UPF3B	MAGOH
AASDHPPT	SCP2
FRMD1	AMY1B
IL2	CYP3A5
IL2	NGB
CYLD	QARS
CYLD	CFL1
SUCLG2	MAX
QARS	PYGM
QARS	SRRT
TSG101	TAF1
DCXR	CBR1
DCXR	BAX
HIST1H2AC	TAF1
HIST1H2AC	TAF1B
PSMA3	CDC23
SEMA7A	SRRT
ACTN2	PYGM
ACTN2	LMOD1
ACTN2	SLC5A2
MAX	WNT5A
GLP1R	WNT5A
WIPF3	ACTG1
MAGOH	FOXA1
TOP2A	HIST1H3B
FOXA1	KMT2C
TAF1	CDC23
ACTG1	CFL1
CDC23	HIST1H3B
SRRT	CFL1
