#tail	head
SLC15A1	TAMM41
MAPKAPK3	SRC
MED20	RHOA
MED20	LMO2
MED20	TCL1B
PRMT1	HIST4H4
PRMT1	CDC37
PRMT1	JUN
PRMT1	KAT2B
FBXO9	RPS27A
FBXO9	CAND1
HIST4H4	OSBP
HIST4H4	HIST1H2AB
HIST4H4	ESR2
HIST4H4	H3F3A
HIST4H4	PCNA
HIST4H4	SRC
HIST4H4	TWISTNB
HIST4H4	CAND1
HIST4H4	CFLAR
CDK12	SNRPA
CDK12	SNRPB2
CDK12	POLR2B
CDK12	BRCA1
CDK12	CDK9
CDK12	PRPF4B
RPS18	INS
RPS18	EFTUD2
RPS18	CUL7
RPS18	CAND1
DPYSL4	CDK5
RPS27A	RPL21
RPS27A	PARP1
RPS27A	CFAP36
RPS27A	JAK2
RPS27A	EIF3F
RPS27A	PPIE
EIF3F	RPS27
EIF3F	EFTUD2
SPAG9	JUN
HIST1H2AB	CUL1
HIST1H2AB	ACO1
HIST1H2AB	CAND1
HIST1H2AB	POLR2B
TGFB1	NELFB
TGFB1	MYC
TGFB1	INS
TGFB1	NCOA3
TGFB1	GNB3
OSBPL9	OGA
OSBPL9	JUN
FZD4	GNAI2
FZD4	WNT8A
FZD4	LMO2
CD300A	TMEM199
CD300A	KRT38
TRPC5	GNAI2
HNRNPA0	JUN
HNRNPA0	SNU13
HNRNPA0	SRSF1
HNRNPA0	POLR2B
HNRNPA0	BPTF
HNRNPA0	EFTUD2
HNRNPA0	SRC
HNRNPA0	MYC
HNRNPA0	RPS27
SLC25A11	UBL4A
PLCG1	SRC
PLCG1	NRAS
PLCG1	RAB11A
PLCG1	KDR
PLCG1	RYR1
PLCG1	IGLV3-27
JAK2	GNB3
JAK2	JUN
INTS2	SUV39H1
INTS2	POLR2B
INTS2	NELFB
RHOT2	ARAP2
NDRG1	OGA
ALDH6A1	CPT2
ALDH6A1	HMGCS1
ALDH6A1	PAFAH2
DLD	ACTN4
DLD	ACO1
DLD	NMT2
MYC	INS
MYC	KAT2B
MYC	BPTF
MYC	CDK9
MYC	HPCA
MYC	PRNP
MYC	BRD4
MYC	PSMC4
MYC	OGA
MYC	POLR2B
SNTB2	MCM7
VDR	BRCA1
VDR	MED13
VDR	NCOA3
VDR	PAN2
VDR	HMGCS1
VDR	SRC
C7orf50	HMGCS1
C7orf50	RPL8
C7orf50	RAB11A
C7orf50	EFTUD2
MED10	MED13
NRF1	PCNA
NRF1	OAZ2
NRF1	FYTTD1
NRF1	RAB10
NRF1	ATP5F1B
CUL1	CUL7
CUL1	ATXN3
CUL1	RBM28
CUL1	RPS27
CUL1	CDC5L
SNRPA	POLR2B
SNRPA	MTUS2
SNRPA	CUL7
RAB11A	DCTN2
RAB11A	OSBP
ACO1	CCDC69
TMEM199	TMEM17
GNAI2	GNG7
GNAI2	SRC
GNAI2	TCP1
GNAI2	ESR2
GNAI2	VAC14
MCM7	PSMD2
SLC25A13	PPBP
NTSR2	GNG7
GNG7	WNT8A
GNG7	CDC37
GNG7	VAV3
HMGCS1	KAT2B
ORC6	INS
ATP5F1B	SLC19A2
ATP5F1B	AK3
ATP5F1B	JUN
ATP5F1B	CUL7
ATP5F1B	SLCO2A1
KIF2C	MTUS2
KIF2C	KDELR2
KIF2C	MOV10
KIF2C	BRCA1
MTUS2	CDC5L
MTUS2	C8orf34
MTUS2	LMO2
MTUS2	SRC
SNX9	MOV10
SNX9	AP2M1
INS	FMO1
INS	KDR
INS	OGA
INS	BTAF1
INS	ATP5PF
INS	KAT2B
INS	PSMD2
INS	SEC22B
INS	AK3
INS	PRPF4B
INS	NOL6
INS	VAC14
INS	KPNA5
TAMM41	LAMP3
CDC5L	TCP1
CDC5L	DCTN2
CDC5L	SNRPB2
CDC5L	SLCO2A1
CDC5L	SRSF1
CDC5L	NRAS
CDC5L	NRG1
CDC5L	DNASE1L2
CDC5L	PSMD2
LMO2	NUFIP2
LMO2	SFRP5
ARL15	RPL8
VAC14	WRAP53
GNB3	KDR
GNB3	TCP1
SYNE2	ESR2
SYNE2	EFTUD2
IMP4	NOL6
IMP4	RBM28
SUCLA2	ESR2
SUCLA2	ASNA1
NELFB	BRCA1
CUL7	RAB10
CUL7	SRSF1
CUL7	EFTUD2
CUL7	BPTF
DIMT1	EFTUD2
CPT2	ALAS1
CDC37	NRAS
CDC37	RHOA
BPTF	NR2F2
OSBP	OGA
OSBP	TMEM17
BRCA1	RPL8
BRCA1	PSMC4
BRCA1	ANXA1
BRCA1	NCOA3
BRCA1	NUFIP2
BRCA1	UVSSA
BRCA1	CAND1
LRWD1	GGH
MTF1	MNT
KDR	FRS2
KDR	RHOA
PSMC4	DCTN2
PSMC4	NCOA3
ESR2	IGLV3-27
ESR2	CALM2
ESR2	CAND1
ESR2	OPRL1
ESR2	ANXA1
ESR2	GPATCH1
ESR2	NEFH
ESR2	CDK9
ESR2	EFTUD2
PPIE	PCNA
PPIE	PRPF4B
PPIE	SNU13
PPIE	RPL8
RHOA	IGLV3-27
RHOA	NRAS
LAMP3	SLC22A18
ANXA1	SRC
SUV39H1	HIST1H4B
DCTN2	OGA
DCTN2	JUN
RUNX2	JUN
RUNX2	BRD4
TWISTNB	H3F3A
VAV3	NRG1
SRSF1	FYTTD1
SRSF1	CAND1
SRSF1	NRG1
SRSF1	PRPF4B
RPL21	EFTUD2
PAN2	RPS27
PAN2	EFTUD2
FMO1	PARP1
CDK9	UBL4A
CDK9	OGA
CDK9	POLR2B
KAT2B	SRC
KAT2B	PRNP
SRC	HIST1H4B
SRC	MOV10
PRPS2	LEFTY1
PRPS2	EFTUD2
MOV10	SNRPB2
MOV10	FYTTD1
MOV10	KPNA5
ALAS1	PAFAH2
ALAS1	RRM2B
TCP1	JUN
HIST1H4B	EFTUD2
HIST1H4B	CALM2
HIST1H4B	CAND1
RBM28	JUN
RPS27	KPNA5
RPS27	UBL4A
POLR2B	U2AF1L4
SNU13	PRPF4B
CAND1	OGA
CAND1	EFTUD2
H3F3A	PARP1
SNRPB2	JUN
PARP1	SFRP5
PARP1	PRNP
NRG1	IGLV3-27
MED13	EFTUD2
MED13	JUN
RYR1	CALM2
JUN	PCNA
PRPF4B	EFTUD2
OAZ2	PSMD2
EARS2	AK3
PCNA	OGA
FRS2	NRAS
NRAS	CALM2
OGA	PSMD2
SEC22B	NR2F2
