#tail	head
TLL2	HNF1A
HSPA5	UBB
HSPA5	TAB1
HSPA5	MAP3K7
HSPA5	DPYSL5
HSPA5	OBSL1
HSPA5	GPX7
HSPA5	PDIA6
HSPA5	STIP1
HSPA5	EFEMP1
HSPA5	CDK9
UBA52	PSMD2
UBA52	FGF8
UBA52	UBB
UBA52	CDC37
RPL31	RPL6
RPL31	RBMX
RPL31	SNW1
MAPK10	RPS6KA4
MAPK10	TAB1
MAPK10	CDK5
MKI67	SNW1
ECT2	UBB
PNLIPRP2	ESR1
SCN11A	ATP1B1
NMD3	POLR1C
AKT2	YES1
AKT2	FGFR1OP
AKT2	GNG7
ZSWIM8	ATN1
RGMB	TAB1
GNA11	SRC
DPYSL4	CDK5
FGA	STAT5A
FGA	TMEM115
FGA	NGB
FGA	CSNK2A1
FGA	OBSL1
ID3	GTF2A1L
ID3	STAT5A
CAMK2D	ALAD
CAMK2D	GRIN2B
IQGAP1	SEPHS1
IQGAP1	NPHS2
ESR1	NCOA3
ESR1	APOD
ESR1	STAG2
ESR1	GNG3
ESR1	SNW1
ESR1	TFAP2C
ESR1	CHRNA7
ESR1	FGFR1OP
S100A9	IGF1
FGF8	PPARA
VDR	SNW1
VDR	PPM1J
VDR	TFAP2C
VDR	CACNG2
VDR	IGF1
GNG12	YES1
GNG12	GPR32
GNG12	ATP1B1
ALAD	PUF60
ALAD	KHDRBS3
OBSL1	HNRNPA3
OBSL1	RBMX
OBSL1	TMEM115
OBSL1	RPL6
OBSL1	PUF60
GRIK4	CNGA1
CACNG2	NFATC3
CACNG2	UNC13B
SRSF11	RBMX
SRSF11	PUF60
SRSF11	CSTF1
LRRC7	PPP3CA
LRRC7	STX1A
LRRC7	GRIN2B
LRRC7	ATP1B1
CNGA1	NFATC3
CNGA1	CHRNA7
CNGA1	GRIA3
CNGA1	CLCA2
CNGA1	UNC13B
CNGA1	PPP3CA
ACVR1B	MAP3K7
EFEMP1	ATN1
HIST2H2AA3	BARD1
NDUFA5	NDUFA9
HSPA6	TAB1
CSNK2A1	BRF1
CSNK2A1	PLEKHO1
CSNK2A1	SNW1
CSNK2A1	SEPHS1
CSNK2A1	CDC37
WNT1	TAB1
GNG7	IGLC1
GNG7	CCL16
CHRNA7	PPP3CA
NUDC	CENPH
NUDC	GTF3C5
NFATC3	GRIN2B
BRF1	UBN1
CDK5	STX1A
YES1	FGFR1OP
PPP3CA	GRIK3
TRAF2	CDK9
ILF3	NDUFB9
CDC37	RPL6
CDC37	PPM1M
CDC37	MAP3K7
BARD1	UNC13B
DNM1	SRC
DNM1	SYT11
UNC13B	GRIN2B
UNC13B	STAT5A
NDUFB2	NDUFA9
FOXQ1	GTF3C5
FOXQ1	PUF60
TF	IGF1
ACSL4	HNRNPD
MYO1D	SNW1
NBEAL2	HNRNPA3
NBEAL2	HNRNPD
NBEAL2	GTF3C5
PPM1M	STIP1
NDUFS6	MAP3K7
SLC4A4	GRIA3
CSTF1	SNW1
SNX1	F2R
YWHAE	SEPHS1
YWHAE	FGFR1OP
YWHAE	RASAL3
SLC6A9	STX1A
RPL6	SNW1
RPL6	SEPHS1
FGFR1OP	SRC
ZWILCH	CENPH
F2R	GNG3
RPE65	CCT3
SRC	PPARA
SRC	CAPN2
SRC	SNW1
PUF60	SNW1
RBMX	STAT5A
GRIA3	GRIN2B
GRIA3	STAT5A
PPARA	TMEM115
PPARA	STIP1
NCOA3	CLCA2
ATP1B1	GNG3
ATP1B1	SCN4B
SNW1	CCT3
SNW1	SEPHS1
SNW1	TBC1D2
SNW1	UBB
CCT3	SEPHS1
UBB	HNRNPD
UBB	STIP1
GAA	HK2
SEPHS1	TBC1D2
GRIK3	GNG3
PSMD2	HNRNPD
