#tail	head
ATG10	MAP1B
TRAF3IP1	PGK1
TRIM33	HIST2H4B
TRIM33	NTRK1
TRIM33	ZBTB33
LRRTM1	PAX2
TKFC	ENO3
TLR9	IGLV3-1
TLR9	GNB1
LMNA	EMC2
LMNA	NUP37
LMNA	HIST1H2BK
LMNA	MOV10
LMNA	SET
LMNA	ZBTB33
LMNA	SMN2
DYNLL2	B9D2
HIST1H2BK	REST
HIST1H2BK	RBBP7
SCAMP5	REST
RDH11	DECR1
NTRK1	RPN1
NTRK1	SET
NTRK1	GAA
NTRK1	HGS
NTRK1	ABL1
NTRK1	MOV10
NTRK1	SLC3A2
NTRK1	CLASP1
NTRK1	XRCC5
UBE2V1	BIRC2
GNB1	RPN1
SLC3A2	SET
SLC3A2	VAMP3
RBBP7	H3F3B
ATP5IF1	GAA
HIST2H4B	SMN2
HIST2H4B	HMG20B
HIST2H4B	MME
SET	PRKACA
SET	SMN2
SET	MAPK14
SET	H3F3B
CPNE5	WDHD1
PLA2G4F	ITGB5
PLA2G4F	TTR
NANOG	XRCC5
TTR	ITGB5
EIF2AK2	MAPK14
VAMP3	PRKACA
H3F3B	XRCC5
CLIP1	NUP37
TSC22D2	MPDZ
NUP37	SMN2
RPN1	ACTG1
SLC39A12	SERPINA4
MYO5A	ACTG1
VTI1B	MAD2L2
ABL1	CLASP1
PRKACA	CLASP1
HGS	DECR1
MME	NDUFA9
ACTG1	MYO3B
