#tail	head
EEF2KMT	ZNF35
SNRPD2	ZCCHC8
SNRPD2	HIST1H3H
EDC4	NXF1
PCED1B	KRT6B
ATP7A	SERPINE1
TMEM127	GABPA
PNMA1	ZNF785
NCL	MAX
MAGOHB	UPF3B
E2F7	HIST1H3C
ZNF521	FOXF2
LSM3	ZCCHC8
HIST1H3H	USP22
HIST1H3H	JARID2
HIST1H3H	KAT2B
HIST1H3H	HIST1H2BG
EIF3C	HIST1H2BF
RPL7A	HIST1H3C
RPL7A	HIST1H2BM
HIST1H2BM	USP22
HIST1H2BM	JUN
HIST1H2BM	HIST1H3A
ELK1	TPM3
ELK1	NUP107
ELK1	FMR1
CALCOCO2	FMR1
IGKV2D-30	EGF
PRL	ADORA2B
PRL	HTR2C
MECR	GSR
HIST1H3C	JUN
KAT2B	SERPINE1
KAT2B	ABCC2
PLEKHA7	DCP1B
HIST1H2BG	NXF1
PTK2B	PTPRJ
ARNTL2	JUN
ARNTL2	SERPINE1
ARNTL2	NOP9
ABCC2	FASLG
SERPINE1	FMR1
SERPINE1	FLI1
DICER1	PRKAB2
UPF3B	HIST1H2BF
KCTD12	FOXF2
RBM8A	RAE1
RBM8A	ZCCHC8
PPP1CA	MAX
PPP1CA	JUN
RSBN1	HIST1H3A
DCXR	JUN
JUN	GSR
JUN	HIST1H2BF
FLI1	FOXF2
EGF	ADORA2B
AGL	TCF19
AGL	GABPA
SEPHS1	FMR1
SEPHS1	RAE1
HIST1H2BF	HIST1H3A
EIF2B2	GABPA
FASLG	ADORA2B
