#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P78536	P08138	1	BDNF	76	Proteolytic	ADAM17	NGFR
P62993	P98077	1	BDNF	76	physical	GRB2	SHC2
P62993	Q92529	1	BDNF	76	physical	GRB2	SHC3
P62993	Q6S5L8	1	BDNF	76	physical	GRB2	SHC4
P42261	Q12959	1	BDNF	76	physical	GRIA1	DLG1
P42262	Q9Y3R0	1	BDNF	76	physical	GRIA2	GRIP1
P42262	P46459	1	BDNF	76	physical	GRIA2	NSF
P42263	Q9Y3R0	1	BDNF	76	physical	GRIA3	GRIP1
Q9Y3R0	P42262	1	BDNF	76	physical	GRIP1	GRIA2
Q9Y3R0	P42263	1	BDNF	76	physical	GRIP1	GRIA3
P35568	P27986	1	BDNF	76	physical	IRS1	PIK3R1
P35568	O00459	1	BDNF	76	physical	IRS1	PIK3R2
Q9Y4H2	P27986	1	BDNF	76	physical	IRS2	PIK3R1
Q9Y4H2	O00459	1	BDNF	76	physical	IRS2	PIK3R2
P22001	Q92529	1	BDNF	76	physical	KCNA3	SHC3
Q8IVT5	P28482	1	BDNF	76	physical	KSR1	MAPK1
Q8IVT5	P27361	1	BDNF	76	physical	KSR1	MAPK3
Q96FE5	Q16620	1	BDNF	76	physical	LINGO1	NTRK2
P28482	Q8IVT5	1	BDNF	76	physical	MAPK1	KSR1
P28482	P27361	1	BDNF	76	physical	MAPK1	MAPK3
P27361	Q8IVT5	1	BDNF	76	physical	MAPK3	KSR1
P27361	P28482	1	BDNF	76	physical	MAPK3	MAPK1
P27361	P17600	1	BDNF	76	Phosphorylation	MAPK3	SYN1
P42345	Q13541	1	BDNF	76	Phosphorylation	MTOR	EIF4EBP1
P42345	P23443	1	BDNF	76	Phosphorylation	MTOR	RPS6KB1
P13591	Q16620	1	BDNF	76	physical	NCAM1	NTRK2
P16333	Q16620	1	BDNF	76	physical	NCK1	NTRK2
O43639	Q16620	1	BDNF	76	physical	NCK2	NTRK2
P01138	P23560	1	BDNF	76	physical	NGF	BDNF
P08138	P23560	1	BDNF	76	physical	NGFR	BDNF
P08138	Q9Y4K3	1	BDNF	76	physical	NGFR	TRAF6
P46459	P42262	1	BDNF	76	physical	NSF	GRIA2
P20783	P23560	1	BDNF	76	physical	NTF3	BDNF
P04629	P35222	1	BDNF	76	physical	NTRK1	CTNNB1
Q16620	P23560	1	BDNF	76	physical	NTRK2	BDNF
Q16620	P19022	1	BDNF	76	physical	NTRK2	CDH2
Q16620	Q00535	1	BDNF	76	Phosphorylation	NTRK2	CDK5
Q16620	Q00535	1	BDNF	76	physical	NTRK2	CDK5
Q16620	CDKR1	1	BDNF	76	physical	NTRK2	CDKR1
Q16620	P35222	1	BDNF	76	Phosphorylation	NTRK2	CTNNB1
Q16620	P35222	1	BDNF	76	physical	NTRK2	CTNNB1
Q16620	Q9P104	1	BDNF	76	physical	NTRK2	DOK5
Q16620	Q9P104	1	BDNF	76	Phosphorylation	NTRK2	DOK5
Q16620	P06241	1	BDNF	76	physical	NTRK2	FYN
Q16620	P22001	1	BDNF	76	Phosphorylation	NTRK2	KCNA3
Q16620	Q96FE5	1	BDNF	76	physical	NTRK2	LINGO1
Q16620	P13591	1	BDNF	76	physical	NTRK2	NCAM1
Q16620	P13591	1	BDNF	76	Phosphorylation	NTRK2	NCAM1
Q16620	P16333	1	BDNF	76	physical	NTRK2	NCK1
Q16620	O43639	1	BDNF	76	physical	NTRK2	NCK2
Q16620	P19174	1	BDNF	76	physical	NTRK2	PLCG1
Q16620	Q06124	1	BDNF	76	physical	NTRK2	PTPN11
Q16620	P10586	1	BDNF	76	physical	NTRK2	PTPRF
Q16620	Q96S59	1	BDNF	76	physical	NTRK2	RANBP9
Q16620	O14492	1	BDNF	76	Phosphorylation	NTRK2	SH2B2
Q16620	P29353	1	BDNF	76	physical	NTRK2	SHC1
Q16620	P98077	1	BDNF	76	physical	NTRK2	SHC2
Q16620	Q92529	1	BDNF	76	physical	NTRK2	SHC3
Q16620	Q6S5L8	1	BDNF	76	Phosphorylation	NTRK2	SHC4
Q16620	Q6S5L8	1	BDNF	76	physical	NTRK2	SHC4
Q16620	Q13501	1	BDNF	76	physical	NTRK2	SQSTM1
Q16620	Q13009	1	BDNF	76	physical	NTRK2	TIAM1
Q16620	Q13009	1	BDNF	76	Phosphorylation	NTRK2	TIAM1
Q16620	Q9Y4K3	1	BDNF	76	physical	NTRK2	TRAF6
Q16620	P52735	1	BDNF	76	Phosphorylation	NTRK2	VAV2
Q16620	P52735	1	BDNF	76	physical	NTRK2	VAV2
Q16620	Q9UKW4	1	BDNF	76	physical	NTRK2	VAV3
Q16288	P35222	1	BDNF	76	physical	NTRK3	CTNNB1
O15530	Q15418	1	BDNF	76	Phosphorylation	PDPK1	RPS6KA1
O15530	P51812	1	BDNF	76	Phosphorylation	PDPK1	RPS6KA3
P27986	P35568	1	BDNF	76	physical	PIK3R1	IRS1
P27986	Q9Y4H2	1	BDNF	76	physical	PIK3R1	IRS2
P27986	O00459	1	BDNF	76	physical	PIK3R1	PIK3R2
O00459	P35568	1	BDNF	76	physical	PIK3R2	IRS1
O00459	Q9Y4H2	1	BDNF	76	physical	PIK3R2	IRS2
O00459	P27986	1	BDNF	76	physical	PIK3R2	PIK3R1
P19174	Q16620	1	BDNF	76	physical	PLCG1	NTRK2
P67775	P28472	1	BDNF	76	Dephosphorylation	PPP2CA	GABRB3
P67775	P28472	1	BDNF	76	physical	PPP2CA	GABRB3
Q06124	Q8WU20	1	BDNF	76	physical	PTPN11	FRS2
Q06124	O43559	1	BDNF	76	physical	PTPN11	FRS3
Q06124	P62993	1	BDNF	76	physical	PTPN11	GRB2
Q06124	Q16620	1	BDNF	76	physical	PTPN11	NTRK2
Q06124	P78324	1	BDNF	76	physical	PTPN11	SIRPA
P10586	Q16620	1	BDNF	76	physical	PTPRF	NTRK2
P63000	O76039	1	BDNF	76	physical	RAC1	CDKL5
P63000	Q13009	1	BDNF	76	physical	RAC1	TIAM1
Q96S59	Q16620	1	BDNF	76	physical	RANBP9	NTRK2
P51812	Q92934	1	BDNF	76	Phosphorylation	RPS6KA3	BAD
O75582	P16220	1	BDNF	76	Phosphorylation	RPS6KA5	CREB1
P23443	P62753	1	BDNF	76	Phosphorylation	RPS6KB1	RPS6
O14492	P62993	1	BDNF	76	physical	SH2B2	GRB2
P29353	Q16620	1	BDNF	76	physical	SHC1	NTRK2
P98077	P62993	1	BDNF	76	physical	SHC2	GRB2
P98077	Q16620	1	BDNF	76	physical	SHC2	NTRK2
Q92529	P62993	1	BDNF	76	physical	SHC3	GRB2
Q92529	P22001	1	BDNF	76	physical	SHC3	KCNA3
Q92529	Q16620	1	BDNF	76	physical	SHC3	NTRK2
Q6S5L8	P62993	1	BDNF	76	physical	SHC4	GRB2
Q6S5L8	Q16620	1	BDNF	76	physical	SHC4	NTRK2
P78324	Q06124	1	BDNF	76	physical	SIRPA	PTPN11
Q99523	P23560	1	BDNF	76	physical	SORT1	BDNF
Q13501	Q16620	1	BDNF	76	physical	SQSTM1	NTRK2
Q13501	Q9Y4K3	1	BDNF	76	physical	SQSTM1	TRAF6
Q13009	Q16620	1	BDNF	76	physical	TIAM1	NTRK2
Q13009	P63000	1	BDNF	76	physical	TIAM1	RAC1
Q9Y4K3	P08138	1	BDNF	76	physical	TRAF6	NGFR
Q9Y4K3	Q16620	1	BDNF	76	Ubiquitination	TRAF6	NTRK2
Q9Y4K3	Q16620	1	BDNF	76	physical	TRAF6	NTRK2
Q9Y4K3	Q13501	1	BDNF	76	physical	TRAF6	SQSTM1
P52735	Q16620	1	BDNF	76	physical	VAV2	NTRK2
Q9UKW4	Q16620	1	BDNF	76	physical	VAV3	NTRK2
