#tail	head
LEMD2	CHRNB3
KPNA1	SDC4
KPNA1	SHKBP1
KPNA1	SORBS1
KPNA1	RRBP1
CXCR6	GNG7
VAMP2	CHAT
VAMP2	ARPC4
VAMP2	SNAP23
VAMP2	CHRNA4
VAMP2	LNPEP
VAMP2	CTPS2
VAMP2	PIK3R3
VAMP2	UBB
PUF60	ALDH2
PUF60	HNRNPA2B1
PUF60	PSMA3
PUF60	P4HB
PUF60	HSPD1
PUF60	PHF5A
PUF60	CUL7
PUF60	RBM22
GNG7	PIP4K2A
GNG7	IGLC6
GNG7	BAG4
GNG7	RAMP3
UGT2B28	NOG
SORBS1	SDC4
SORBS1	INSR
SORBS1	NOG
SORBS1	SRC
SORBS1	REPS1
SORBS1	HIST1H1C
SORBS1	UBB
SORBS1	AP1M1
SORBS1	INPPL1
SORBS1	HSPD1
SORBS1	PPP2R1A
SORBS1	VIL1
SORBS1	ELF2
SORBS1	RRBP1
PIAS2	YWHAH
PIAS2	UBASH3B
PIAS2	NOG
AP1M1	GABPB1
AP1M1	RRBP1
AP1M1	ESR2
AP1M1	SMTN
AP1M1	PPBP
PSMA3	ATP5F1B
PSMA3	UBB
PSMA3	HNRNPA2B1
PSMA3	HSPD1
PSMA3	CKS1B
RDX	P4HB
RDX	RRBP1
RTP1	OR10J4
RHOG	IGHV3-11
RHOG	IGLC6
RHOG	PIK3R3
RHOG	PIP4K2A
RHOG	BRK1
INSR	BLVRA
INSR	STYX
IGHV3-11	BRK1
IGHV3-11	IGLC6
IGHV3-11	PIK3R3
IGHV3-11	ESR2
UBE2Z	UBB
UBE2Z	CUL7
PPM1H	NOG
PPM1H	LNPEP
PPM1H	YWHAH
GALNT4	UGT2B10
REPS1	SYT1
REPS1	INPPL1
REPS1	SRC
REPS1	ABL1
REPS1	PIP4K2A
REPS1	SHKBP1
PIAS1	MKI67
PIAS1	NOG
PIAS1	NR1H2
MAP4K5	HIST1H1C
AK8	ACSL3
B3GNT6	MGAT4C
B3GNT6	ESR2
RFC3	ESR2
RFC3	NBN
RFC3	GTF2H5
HSPD1	EEF1AKMT3
HSPD1	HSPA1A
HSPD1	PPP2R1A
HSPD1	P4HB
HSPD1	ATP5F1B
HSPD1	UBB
HSPD1	ESR2
HSPD1	SHKBP1
HSPD1	PHF5A
GEMIN4	RPN1
GEMIN4	SHKBP1
GEMIN4	RRBP1
GEMIN4	ESR2
GEMIN4	SRC
H2AFJ	BCL2
H2AFJ	NOG
H2AFJ	HIST1H4L
EEF1AKMT3	UBB
EEF1AKMT3	LDHB
NR1H2	GABPB1
VRK2	ESR2
VRK2	BCL2
VRK2	SPINT2
VRK2	MKI67
COX5B	SOD2
RCN1	RPN1
RCN1	CETN3
RCN1	SMTN
RCN1	SDC4
RCN1	P4HB
ESR2	HSPA1A
ESR2	EEF1D
ESR2	SRC
ESR2	NACA
ESR2	YWHAH
ESR2	PLCG1
ESR2	ELF2
ESR2	BRK1
ESR2	NOG
ESR2	SNAP23
ESR2	CDC27
ESR2	P4HB
ESR2	SDC4
ESR2	MIF
ESR2	GNG4
ESR2	SLC1A5
ESR2	SYNPO2
ESR2	PSMD12
ESR2	HNRNPA2B1
ESR2	PPP2R1A
ESR2	FKBP4
ESR2	IGLC6
ESR2	MKI67
HNRNPA2B1	MKI67
HNRNPA2B1	SRC
HNRNPA2B1	SDC4
HNRNPA2B1	UBB
HNRNPA2B1	ATG16L1
HNRNPA2B1	ATP5F1B
HNRNPA2B1	NONO
STX19	TP53RK
SHKBP1	SMTN
SHKBP1	LDHB
SHKBP1	CNN3
SHKBP1	SDC4
SHKBP1	VIL1
SHKBP1	SRC
SOD2	ALDH2
SOD2	BCL2
SOD2	SLC9A7
SOD2	HSPA1A
SOD2	P4HB
ATP5F1B	CETN3
ATP5F1B	CDC73
PIP4K2A	UBB
PIP4K2A	ARPC4
PIP4K2A	SDC4
PIP4K2A	BAG4
CHRNA4	SLC9A7
CHRNA4	YWHAH
CHRNA4	NOG
UGT2B10	MGAT4C
CDC73	RPN1
CDC73	UBB
CDC73	ABL1
CDC73	HIST1H1C
CDC73	CNN3
CDC73	MIF
CDC73	FKBP4
CDC73	GTF2H5
LNPEP	PSMD12
INPPL1	PLCG1
INPPL1	UBB
INPPL1	ARPC4
INPPL1	UBASH3B
INPPL1	ABL1
PITX2	ELF2
PITX2	MGAT4C
PITX2	KCNH6
TBL1XR1	HIST1H2AK
TBL1XR1	HIST1H4L
TBL1XR1	SMTN
TBL1XR1	RPN1
ULK1	UBB
STK16	RSPO4
INCA1	GTF2H5
INCA1	UBASH3B
GNG4	BAG4
GNG4	PPBP
GNG4	SRC
GNG4	BRK1
GNG4	PIK3R3
SNAP23	CHRNB3
SDC4	NOG
SDC4	LDHB
SDC4	EEF1D
SDC4	RPN1
NOG	BLVRA
NOG	PDGFRA
NOG	RRBP1
NOG	LSAMP
NOG	HIST1H2AK
NOG	DBT
NOG	NBN
NOG	CTPS2
NOG	PIK3R3
DBT	CHAT
DBT	ACSL3
HIST1H1C	UBASH3B
HIST1H1C	RPN1
HIST1H1C	NONO
HIST1H1C	SMTN
IGLC6	SRC
HIST1H4L	SHPRH
HIST1H4L	BCL2
HIST1H4L	NONO
PARD6A	SRC
PARD6A	YWHAH
PARD6A	PIK3R3
PARD6A	UBB
PPP2R1A	RRBP1
PPP2R1A	MKI67
PPP2R1A	NACA
PPP2R1A	SRC
PPP2R1A	YWHAH
PPP2R1A	UBB
RAB9A	HSPA1A
RAB9A	RRBP1
RAB9A	NUP93
FKBP4	CUL7
GABPB1	BCL2
UBB	MIF
UBB	SMTN
UBB	SRC
UBB	CUL7
UBB	NBN
UBB	GTF2H5
UBB	PIK3R3
UBB	YWHAH
TFG	SMTN
TFG	SRC
TFG	CUL7
TFG	RPN1
PDGFRA	BRK1
PDGFRA	PLCG1
MKI67	SRC
MKI67	NONO
PPBP	SLC1A5
EEF1D	RRBP1
ABL1	BRK1
GTF2H5	TAF4
BAG4	PLCG1
BAG4	PIK3R3
NUP93	CUL7
NUP93	SP100
SLC1A5	CUL7
SYT1	PIK3R3
CHAT	ACSL3
SRC	RPN1
SRC	P4HB
SRC	CDC27
SRC	LDHB
SMTN	HSPA1A
SMTN	RPN1
SMTN	NACA
MGAT4C	PIGC
PSMD12	RPN1
SP100	RTP5
HSPA1A	P4HB
LDHB	CKS1B
RPN1	RRBP1
RPN1	P4HB
OR2M2	RTP5
CUL7	MIF
CUL7	ACSL3
TAF4	CDC27
ELF2	SPINT2
P4HB	RRBP1
