#tail	head
FAM171A2	IDO2
TSC22D1	DCD
OR51T1	GNGT1
OR51T1	REEP4
OR51T1	RTP4
NTN4	PAX4
NTN4	TLN1
CBLN4	ADAM11
CBLN4	LEF1
RBM14	INS
RBM14	MEX3C
RBM14	CUL7
RBM14	ESR1
ESR1	NFKB2
ESR1	RNF4
ESR1	ZBTB33
ESR1	HRH2
ESR1	LCK
ESR1	SPTAN1
ESR1	APOA1
ESR1	GNAI2
ESR1	SHC1
ESR1	SMARCA1
ESR1	SH3KBP1
ESR1	GNB5
ESR1	IGHG3
ESR1	TGFA
ESR1	TCOF1
ESR1	LLGL2
ESR1	GNAL
ESR1	IGHV3-11
ESR1	CDK2
ESR1	TLN1
ESR1	GNGT1
ESR1	TRAP1
ESR1	P2RX4
ESR1	DAP3
ESR1	SLCO1B1
ESR1	IDH3A
ESR1	HNRNPM
ESR1	IL11
ESR1	LARP1
EGFL6	NOG
CDK2	NCL
CDK2	TCOF1
CDK2	LYN
CDK2	RNF4
CDK2	TMOD3
CDK2	COMT
CDK2	MAPK3
CDK2	AKR1C4
CDK2	DCD
CDK2	SMC1A
CDK2	AURKA
TMEM30B	NOG
IL11	FZD4
IL11	NOG
FOXJ1	SMAD1
FOXJ1	REEP4
FOXJ1	SDK2
FOXJ1	XYLT2
FOXJ1	CYP26B1
FOXJ1	PLAG1
SLC8A3	MYL2
SLC8A3	APP
SLC8A3	CHRNA9
SLC8A3	GNAI2
SLC8A3	NOG
SLC8A3	TMOD3
SLC8A3	P2RX4
SLC8A3	CACNA2D2
RTP3	OR2W5
RTP3	OR11H7
RTP3	OR2C3
RTP3	OR51B4
RTP3	GNGT1
CDCA5	SMC1A
CDCA5	INS
CDCA5	LARP1
SUPT5H	CUL7
SUPT5H	NCL
SUPT5H	OBSL1
SUPT5H	TAF8
SUPT5H	INTS14
SUPT5H	TAF5
C1QBP	OBSL1
C1QBP	UBL4A
C1QBP	SPTAN1
C1QBP	SH3KBP1
C1QBP	SHKBP1
C1QBP	SLC30A1
C1QBP	CUL7
C1QBP	TRAP1
C1QBP	SNW1
C1QBP	DAP3
C1QBP	PYHIN1
MYL2	SPTAN1
MYL2	SNW1
MYL2	PAX4
MYL2	APP
MYL2	ITPR2
MYL2	SHC3
MYL2	TMOD3
MYL2	GRIN2A
MYL2	HNF1A
MYL2	SH3KBP1
MYL2	HNRNPM
OR2W5	GNGT1
OR2W5	RTP5
IGHG3	VAV1
IGHG3	EPOR
IGHG3	IGKV1-12
IGHG3	TGFA
IGHG3	NTF4
IGHG3	GNB5
IGHG3	IGHV3-33
IGHG3	IGKV2D-30
AKR1C4	BAG3
AKR1C4	NOG
AKR1C4	HNF1A
AKR1C4	CHRNA4
RTP4	OR51B4
RTP4	REEP4
RTP4	GNGT1
RTP4	OR10H1
RTP4	OR11H7
RTP4	GNAL
RTP4	OR5F1
CNMD	APOA1
CNMD	LEF1
CNMD	NOG
CNMD	APP
LEF1	CACNA2D2
LEF1	EPHB3
LEF1	FGF14
LEF1	MEX3C
LEF1	PTPRO
LEF1	RNF4
LEF1	PALM
LEF1	RRM1
LEF1	ZDHHC5
LEF1	REEP6
LEF1	SMAD1
LEF1	CHRNA9
LEF1	SPTAN1
LEF1	SMARCA1
LEF1	TCOF1
LEF1	CRKL
LEF1	HAND1
LEF1	HNRNPM
ZDHHC5	RNF4
ZDHHC5	ZEB1
IGKV2D-30	SH3KBP1
IGKV2D-30	LCK
IGKV2D-30	VEGFA
IGKV2D-30	TGFA
IGKV2D-30	NTF4
IGKV2D-30	LYN
IGKV2D-30	IGHV3-33
MRPL44	SHC1
MRPL44	DAP3
MRPL44	TSR1
RRM1	ALG14
RRM1	SLCO1B1
PLN	APP
PLN	P2RX4
TSR1	PYHIN1
ZBTB14	VEGFA
ZBTB14	XYLT2
ZBTB14	SUMO2
HNRNPM	SH3KBP1
HNRNPM	PPIL6
HNRNPM	NCL
HNRNPM	TCOF1
HNRNPM	PRCC
TLN1	LCK
TLN1	ITGB1
TLN1	CUL7
TLN1	APP
TLN1	SNW1
TLN1	ITPR2
TLN1	CHRNA9
TLN1	CHRNA4
TLN1	CACNA2D2
TLN1	MAPK3
TLN1	RAP1B
TLN1	OBSL1
FAM8A1	ZDHHC9
ZNF212	SF3A3
IGHV3-11	IGKV1-12
IGHV3-11	TGFA
IGHV3-11	NTF4
IGHV3-11	FGF5
IGHV3-11	EPOR
IGHV3-11	DGKH
IGHV3-11	VAV1
IGHV3-11	GNB5
IGHV3-11	VEGFA
FZD4	VEGFA
FZD4	GNAI2
FZD4	GNB5
FZD4	TGFA
FZD4	NTF4
FZD4	GNGT1
FZD4	INS
FZD4	PAX4
OR4N5	GNGT1
OR4N5	APP
OR4N5	REEP6
OR4N5	REEP4
OR4N5	RTP5
OR52I1	REEP6
OR52I1	REEP4
OR52I1	APP
OR52I1	RTP2
OR52I1	GNAL
CDK5RAP2	AURKA
MAPK3	FGF5
MAPK3	ITPR2
MAPK3	EPOR
MAPK3	VEGFA
MAPK3	CHRNA4
MAPK3	HAND1
RNF31	LARP1
RNF31	NCL
RNF31	CCT8
RNF31	DCD
RNF31	INS
EML4	SH3KBP1
EML4	SMTN
EML4	HNF1A
EML4	SPTAN1
KIF7	SLC39A10
KIF7	TAF8
KIF7	INS
KIF7	APP
MAGEA12	HELT
MAGEA12	RNF4
MAGEA12	TBC1D19
SPTAN1	PAX4
SPTAN1	APP
SPTAN1	CCT8
SPTAN1	SHC1
SPTAN1	GNAI2
SPTAN1	SMAD1
SPTAN1	GRIN2A
SPTAN1	INS
SPTAN1	CRKL
SPTAN1	PLS3
SPTAN1	TMOD3
SPTAN1	LARP1
SPTAN1	SMTN
SPTAN1	TCOF1
SHKBP1	GNAI2
SHKBP1	PALM
SHKBP1	PLS3
SHKBP1	TCOF1
SMAD1	APP
SMAD1	INS
SMAD1	SHC1
SMAD1	SH3KBP1
SMAD1	MEX3C
PLS3	HNF1A
PLS3	PAX4
PLS3	SH3KBP1
PLS3	APP
PLS3	TRAP1
PLS3	NOG
LARP1	AURKA
LARP1	NOG
LARP1	INS
LARP1	PYHIN1
LARP1	SH3KBP1
LARP1	SMTN
CHRNA4	TRAP1
CHRNA4	NOG
TERF2IP	AKR7A3
GNGT1	REEP6
GNGT1	REEP4
GNGT1	FGF5
GNGT1	DGKH
GNGT1	ITPR2
GNGT1	OR51B4
GNGT1	APP
GNGT1	LYN
GNGT1	OR11H7
GNGT1	CACNA2D2
GNGT1	RTP2
GNGT1	OR52E5
GNGT1	VAV1
GNGT1	SH3KBP1
CHRNA9	ZDHHC9
CHRNA9	HNF1A
CHRNA9	TMOD3
CHRNA9	GNAI2
CHRNA9	CACNA2D2
PLAG1	DCD
PLAG1	KCNMA1
PLAG1	HNF1A
PLAG1	PAX4
PLAG1	NOG
HAND1	NOG
HAND1	BEST2
CYP26B1	VEGFA
CYP26B1	TGFA
CYP26B1	APP
P2RX4	MYL5
P2RX4	TMOD3
P2RX4	GNAI2
PPIL2	SNW1
PPIL2	APP
PPIL2	NOG
LYN	IGHV3-33
LYN	ITGB1
LYN	PTPRO
LYN	NOG
LYN	FGF5
LYN	ITPR2
LYN	LCK
LYN	GNAI2
LYN	IGKV1-12
LYN	CRKL
OR51I2	REEP6
OR51I2	RTP5
OR51I2	RTP2
PALM	SH3KBP1
PALM	SMTN
IGHA1	APOA1
IGHA1	IGHV3-33
SDK2	ZEB1
PPIL6	SF3A3
TGFA	SHC1
TGFA	SH3KBP1
TGFA	FGF5
TGFA	CACNA2D2
TGFA	GNB5
TMOD3	ITPR2
TMOD3	CACNA2D2
TMOD3	NOG
IGKV1-12	VEGFA
IGKV1-12	VAV1
IGKV1-12	FGF5
IGKV1-12	DGKH
IGKV1-12	DOCK1
IGKV1-12	ITPR2
IGKV1-12	GNB5
CRKL	SNW1
CRKL	EPOR
CRKL	DOCK1
CRKL	VAV1
CRKL	SHC1
CRKL	NTF4
CRKL	ITGB1
CRKL	TRAP1
ADAM11	PAX4
ADAM11	ZEB1
OR2C3	REEP6
OR2C3	REEP4
PYHIN1	XYLT2
PYHIN1	DAP3
PYHIN1	SF3A3
FGF14	GRIN2A
FGF14	MTF1
KCNMA1	APOA1
KCNMA1	DCD
KCNMA1	OBSL1
KCNMA1	INS
NOG	LLGL2
NOG	GNAL
NOG	ZDHHC9
NOG	ARMCX3
NOG	SLC31A2
NOG	SLC30A1
NOG	CACNA2D2
NOG	IDH3A
NOG	BAG3
NOG	SHC3
NOG	ADAM22
NOG	SLC39A10
NOG	MYL5
NOG	SH3KBP1
NOG	NTF4
NOG	ITPR2
NOG	SMC1A
NOG	GNAI2
NOG	SLCO1B1
NOG	BEST2
NOG	AURKA
GRIN2A	GNAI2
GRIN2A	MYL5
PCBD1	HNF1A
PCBD1	NCL
PCBD1	APP
TRAP1	COMT
TRAP1	OBSL1
GNAI2	MTF1
GNAI2	APP
GNAI2	NCL
GNAI2	DCD
GNAI2	SNW1
GNAI2	INS
GNAI2	PAX4
C6orf136	MTF1
SHC1	ITGB1
SHC1	PAX4
SHC1	SH3KBP1
SHC1	FGF5
SHC1	EPOR
FAM83C	APOA1
FAM83C	AKR7A3
SF3A3	CUL7
HRH2	GNB5
HRH2	GNAL
HRH2	SLCO1B1
HRH2	RAP1B
SMARCA1	PAX4
SMARCA1	ZEB1
SMARCA1	INS
RNF4	NCL
RNF4	SLC30A1
RNF4	DCD
RNF4	ZBTB33
RNF4	TCOF1
RNF4	ZEB1
IGHV3-33	VEGFA
IGHV3-33	VAV1
IGHV3-33	SH3KBP1
IGHV3-33	FGF5
PTPRO	LCK
ITPR2	EPOR
ITPR2	CACNA2D2
ITPR2	VAV1
DOCK1	LCK
DOCK1	SNW1
SNW1	PWP1
SNW1	UBL4A
SNW1	SH3KBP1
SNW1	CUL7
SNW1	NCL
SNW1	AURKA
SNW1	SMTN
DAP3	MEX3C
DAP3	NFKB2
DAP3	NCL
ITGB1	VEGFA
SH3KBP1	SMTN
SH3KBP1	INS
SH3KBP1	NTF4
SH3KBP1	ZEB1
SH3KBP1	DGKH
FGF5	LCK
FGF5	EPOR
FGF5	ZEB1
INS	SLCO1B1
INS	APP
INS	CACNA2D2
INS	SHC3
INS	SLC39A10
INS	DGKH
VIPR2	GNB5
RAP1B	APP
GNAL	OR52E5
GNAL	REEP6
GNAL	OR10H1
GNAL	OR5F1
TCOF1	NCL
TCOF1	OBSL1
TCOF1	APP
TCOF1	PWP1
VAV1	EPOR
VAV1	VEGFA
VAV1	LCK
PDCL3	CCT8
COMT	VEGFA
SMTN	NCL
SMTN	ZEB1
OR10H1	REEP6
AURKA	NCL
AURKA	APP
AURKA	PAX4
REEP4	OR52E5
REEP4	RTP2
REEP4	OR11H7
REEP4	PAX4
MYL5	APP
MYL5	CACNA2D2
OR5F1	RTP5
OR5F1	REEP6
ITGAE	LCK
NCL	NFKB2
NCL	OBSL1
NCL	CUL7
NCL	MTF1
NCL	SMC1A
NCL	BAG3
NFKB2	APP
NFKB2	SAA1
REEP6	OR52E5
HNF1A	PAX4
HNF1A	ZEB1
HNF1A	CACNA2D2
SLC30A1	MTF1
SLC30A1	APP
SLC30A1	APOA1
SLC30A1	DCD
CCT8	OBSL1
APOA1	OBSL1
APOA1	ZBTB33
APOA1	PAPPA
APOA1	APP
IDO2	APP
SAA1	GNB5
VEGFA	MTF1
VEGFA	CACNA2D2
VEGFA	SLC31A2
SHC3	ZEB1
TAF5	PAX4
PAX4	NTF4
PAX4	PAPPA
PAX4	ZEB1
PAX4	MTF1
BAG3	HELT
BAG3	DCD
MTF1	SMC1A
MTF1	ARMCX3
ZEB1	APP
ZEB1	NTF4
GNB5	DGKH
GNB5	APP
GNB5	LCK
GNB5	EPOR
CUL7	SMC1A
CUL7	IDH3A
CUL7	OBSL1
DCD	CACNA2D2
UBL4A	APP
OR11H7	RTP2
LCK	EPOR
RTP2	OR52E5
SMC1A	OBSL1
ARMCX3	APP
SLC31A2	APP
RTP5	OR52E5
