#tail	head
ARFGEF2	GYPB
SEPT2	HSPA1B
ATOX1	FAM118A
MMS19	CUL3
MMS19	NPM1
MMS19	DNA2
MMS19	AP2B1
IGHV2-5	IGHG2
IGHV2-5	GNB5
PAPOLA	SRRM2
PAPOLA	ELAVL2
PAPOLA	NPM1
ITGA2	ITGB3
ITGA2	ITGA2B
ITGA2	TIAM1
FANCL	KAT5
FANCL	UBC
GRM2	AREG
PSMF1	CDC26
DDX6	ZBTB43
DDX6	SRRM2
DDX6	REL
DDX6	CTTN
SAFB	WDR77
SAFB	FLOT1
SAFB	TMPO
SAFB	AP2B1
SAFB	ACAA1
SAFB	SRPK2
SAFB	CUL3
REL	KPNA2
REL	EHD1
EHD1	CTTN
MEIS1	HIST2H3A
MEIS1	KAT5
MEIS1	COL11A1
MEIS1	POU1F1
MEIS1	HIST2H2AA3
COPRS	RPL15
COPRS	WDR77
PIP4K2A	SKP1
PIP4K2A	PIP5K1C
PIP4K2A	RPS27A
PIP4K2A	FGF9
PIP4K2A	SRRM2
PIP4K2A	UBC
PIP4K2A	AP2B1
SEC13	SRRM2
SEC13	ACTN4
SEC13	CUL3
SEC13	SLC2A1
SEC13	RMND5A
SEC13	GOLGA2
HMGB1	TP53
HMGB1	ITGB3
HMGB1	RIF1
HMGB1	JUN
HIST1H3C	HIST2H2AA3
HIST1H3C	GLYR1
HIST1H3C	NPM1
HIST1H3C	SERBP1
HIST1H3C	HIST3H2A
HIST1H3C	ITGA2B
HIST1H3C	CDH1
HIST1H3C	CBX3
KRT8	FLOT1
KRT8	CDH1
KRT8	AP2B1
CDC7	NPM1
CDC7	CBX3
ATP7A	PTK2
PFDN2	HSP90AB1
PFDN2	EWSR1
ZBTB43	JUN
VARS	CCT4
ARAF	CTNNA1
ARAF	TP53
SLC6A2	SLC5A11
SLC6A2	NPPB
SLC6A2	GRIN2C
AP2B1	CTTN
AP2B1	PIP5K1C
AP2B1	RPS27A
AP2B1	AREG
AP2B1	TMPO
UBC	CDC26
UBC	CUL3
UBC	RAD21
UBC	YBX1
UBC	FLOT1
PTGS2	JUN
FLOT1	ACTN4
FLOT1	HSPA1B
FLOT1	RPS27A
RAD50	JUN
EWSR1	JUN
EWSR1	BTK
EWSR1	EIF5AL1
EWSR1	NPM1
SRPK2	CHD1L
SRPK2	SRRM2
PSMC4	CUL3
TMEM192	ERGIC3
MORF4L2	HIST2H2AA3
HNRNPH1	PPP1R15A
HNRNPH1	HNRNPL
HNRNPH1	RALY
HNRNPH1	IPO11
CCT7	SKP1
CCT7	PTAR1
CCT7	GNB5
CCT7	CUL3
CCT7	RAD21
GATA2	SMAD4
GATA2	POU1F1
CUL3	WDR77
CUL3	HSPA1B
CUL3	NPM1
CUL3	CTTN
CUL3	TUBA1C
HSP90AB1	AHR
HSP90AB1	HSPA1B
HSP90AB1	BTK
HSP90AB1	CTTN
HSP90AB1	TRIM74
HSP90AB1	JUN
HSP90AB1	HCK
HIST2H2AA3	JUN
HIST2H2AA3	RUNX1
HIST2H2AA3	RUVBL2
HIST2H2AA3	NPM1
HIST2H2AA3	BABAM1
PIP5K1C	ITGB3
PIP5K1C	GNB5
PIP5K1C	HCK
BDNF	CTNNA1
BDNF	IGHV1-46
BDNF	PTK2
PTAR1	EXOSC1
SLC9A7	JUN
H3F3B	RUNX1
H3F3B	PHF19
H3F3B	RNF8
IPO11	JUN
AFDN	HCK
AFDN	CDH1
IGHV1-46	IGLV1-47
IGHV1-46	FGF9
IGHV1-46	HCK
SHBG	TP53
RUVBL2	RNF8
RUVBL2	NPM1
RPS27A	DNA2
RPS27A	TOP3A
RPS27A	WDR77
TOP3A	KAT5
NSD2	RNF8
RIF1	RNF8
CCT4	JUN
ITGA2B	ITGB3
ITGA2B	HIST2H3A
GLYR1	ZNF2
GLYR1	HNRNPL
CIAO2B	EIF5AL1
PPP1R15A	HSPA1B
PHIP	HIST2H3A
API5	SRRM2
API5	RAD21
ITGA1	P2RX2
ITGA1	PTPN6
ITGA1	COL11A1
ITGA1	ITGB3
ORM2	TP53
ORM2	PTK2
RAD21	SMC1B
ITGB3	TP53
ITGB3	COL11A1
TSSK1B	FOXN1
HNRNPL	FOSL2
HNRNPL	AHR
HNRNPL	NPM1
HNRNPL	YBX1
HNRNPL	CTTN
NPM1	GOLGA2
NPM1	SERBP1
NPM1	YBX1
SERBP1	WDR77
SERBP1	CDH1
RNF8	FAM9B
SMAD4	CHD1L
SMAD4	JUN
PTPN6	AHR
PTPN6	IGLV1-47
PTPN6	ACTN4
ENSA	PLPBP
NFATC1	TP53
TRPV6	APOA1
TRPV6	SLC2A1
AHR	SLC2A1
AHR	CDH1
HCK	IGLV1-47
TP53	SLC2A1
TP53	TRIM5
TP53	DNA2
GOLGA2	CDH1
ACTN4	COL9A2
RUNX1	HIST2H3A
RUNX1	ELAVL2
RUNX1	COL9A2
HOMER1	NLGN4Y
IGLV1-47	EPOR
IGLV1-47	IGHG2
GJA1	HTR3C
DNA2	POLE3
GNB5	AREG
GNB5	EPOR
YBX1	CCDC180
YBX1	CTTN
PTK2	SLC2A1
PTK2	HSPA1B
PTK2	CTTN
CTTN	RALY
CTTN	CTNNA1
CTTN	SLC2A1
AREG	IGHG2
AREG	JUN
BTK	JUN
TIAM1	MAST3
CBX3	FGF9
CBX3	OXCT1
POLE3	KAT5
HSPA1B	JUN
FGF9	KAT5
ELAVL2	RALY
ELAVL2	POU1F1
JUN	PLPBP
