#tail	head
ATAD3B	AIFM1
PRAM1	TRIM27
PRAM1	RARA
NUDC	JUN
NUDC	SOD1
CEP19	NOG
GNG13	DLG1
GNG13	IGLV1-44
GNG13	CRH
GNG13	IGHV4-59
POLDIP2	RSPRY1
RNF220	AMPD2
RNF220	PITX2
RNF220	GOPC
NDUFAB1	LYRM2
RSL1D1	RARA
RSL1D1	TRIM25
AK2	KLHL41
AK2	NOG
AK2	AK3
AK2	MIB2
AK2	PDE7A
MBD1	SMAD7
SOD1	APRT
SOD1	IFNG
SOD1	PRKN
RNF2	DDX5
RNF2	PHB2
RNF2	USP11
AR	SCAP
VDAC2	GNAI2
F13B	IL1A
CTSC	PPARG
EIF2S1	SRC
EIF2S1	RSPRY1
GNAZ	GNG8
GNAZ	PDE7A
YWHAQ	UBC
YWHAQ	HIST1H2BC
YWHAQ	RBL2
YWHAQ	RPL19
RPA2	HNF4A
RPA2	HIST1H2BC
RPA2	ELAVL1
RPA2	PRKACA
ENOX1	MYOD1
PAX6	RARA
SOX2	RUVBL1
SOX2	ZEB1
RASL11A	ELAVL1
ATP6V0D1	RSPRY1
CD86	GNG8
TROAP	APP
CRH	PRKACA
CRH	NR1I3
RSPRY1	SRC
RSPRY1	DDX5
RSPRY1	CNP
ZNHIT1	KAT5
USP11	JUN
IGKV1-5	FGF9
RUVBL1	PRKN
RUVBL1	ILK
RUVBL1	HIST1H2BC
RUVBL1	UBC
RPL17	RPL23
RPL17	HSP90AB1
INSR	UBC
INSR	FANCA
DDX5	POLR2C
DDX5	ARF6
DDX5	HIST1H2BC
RARA	MAPK3
RARA	TUBB3
RARA	FANCA
RARA	DIMT1
RARA	POLR2C
RARA	MYOD1
NR1I3	SCARB1
NR1I3	SNX13
FCGR1A	FGF9
DNAH7	DCTN1
TCP1	CYLD
HIST1H2BC	HSP90AB1
TBPL1	CREBBP
TBPL1	POLR1D
CTNNB1	XRCC6
CTNNB1	H2AFV
CTNNB1	STAT6
CTNNB1	ELAVL1
CTNNB1	JUN
CTNNB1	PHB2
CTNNB1	PRKACA
MAPK3	IFNG
MAPK3	PKM
MAPK3	FGF8
ELAVL1	C2CD5
ELAVL1	MIGA1
EEF1A1	JUN
EEF1A1	NOG
EEF1A1	POLR2C
HBEGF	HNF4A
IGLV1-44	FGFR1OP
XRCC6	HIF1A
ARPIN	HNF4A
FGF8	APP
FGF8	PWP2
FGF8	GRAP2
FGF8	HIST1H1D
FGF8	IGLC7
CDC34	PRKN
CDC34	KLHL41
CDC34	HIF1A
TARS	NOG
TRIM27	ILK
TRIM27	PTEN
TRIM27	AEN
GOT2	ARF6
GOT2	GYG1
CMPK2	APP
CELA3A	APP
PITX2	MYOG
UBC	CREBBP
UBC	ANAPC2
ENO3	DCTN1
DCTN1	HSP90AB1
DCTN1	DNAI2
DCTN1	WWC1
PRKCB	PDGFB
PRKCB	PTPN6
HLTF	HSPA8
ALDH5A1	NOG
PKM	PTEN
PKM	PIN1
PKM	NOG
DDX52	AP4M1
PRKN	APP
PRKN	ARF6
NOS2	PPP6C
NOS2	JUN
NOS2	CAD
NOS2	HIF1A
HSP90AB1	ILK
HSP90AB1	TUBB3
HSP90AB1	TRIM25
HSP90AB1	PPP6C
NOG	PELO
NOG	PTGER3
NOG	MAN1C1
NOG	TMEM205
NOG	FGF9
NOG	PAX5
NOG	PTEN
NOG	KITLG
CAD	PPP6C
TAF6L	CREBBP
TAF6L	TAF5
MYL12B	ILK
CX3CL1	GNG8
GNAI2	DLG1
GNAI2	NANS
DHX37	EXOSC7
SF3A3	JUN
PPARG	CREBBP
PPARG	PHB2
GRAP2	TRAF6
GRAP2	FGFR1OP
RBL2	MYOD1
RBL2	RBBP9
CENPT	H2AFV
CENPT	NUP133
TXNIP	HIF1A
TRIM25	RNGTT
TRIM25	RCL1
TRIM25	IQSEC1
MYOD1	PRKACA
MYOD1	KAT5
PRKACA	HNF4A
PRKACA	APP
PRKACA	HSD3B1
TUBB3	ACO2
CYLD	RPS20
CYLD	HNF4A
CYLD	HSPA8
CYLD	BLMH
CYLD	RBMX
CYLD	RPL23
CYLD	RPL14
H2AFV	POLR1D
CD36	TEAD1
ERBB4	IGHV3-9
ERBB4	FGF9
PDGFB	CYTH2
PSMD6	AMER1
BABAM2	JUN
HSD3B1	APP
SERBP1	YBX1
SRC	DLG1
SRC	HSPA8
DHCR7	ILK
DHCR7	DECR1
PTPN6	STAT6
ILK	FGF9
PPP6C	HNF4A
HNF4A	SLC2A8
HNF4A	HIF1A
RPS20	DIMT1
RPS20	RPL14
EDN1	TEAD1
RBMX	YBX1
ARF6	CYTH2
RPL23	PTEN
ACSS3	SLC2A8
STAT3	LRRC32
STAT3	KAT5
FGFR1OP	NME7
FGFR1OP	GNG8
PHB2	FGF9
DIMT1	APP
TNIP1	PIN1
KLHL41	APP
JUN	CYTH2
