#tail	head
CHCHD6	MMGT1
DYNC1LI1	XPO1
DYNC1LI1	PPP2R5A
DYNC1LI1	KIF18A
DYNC1LI1	CCNB1
DYNC1LI1	COPE
DYNC1LI1	CDK1
EIF2S1	TNF
EIF2S1	SEPT2
EIF2S1	PPP1R15A
EIF2S1	JUN
EIF2S1	HNF4A
EIF2S1	PPP1CC
EIF2S1	SNX9
EIF2S1	EIF3D
EIF2S1	XPO1
ZNF326	RRP1B
ZNF326	JUN
ZNF326	PPP1CC
ZNF326	SEPT2
SLC22A6	SELENOP
SLC22A6	PYCARD
SLC22A6	TNF
SLC22A6	HSPA1A
SLC22A6	IDH1
EIF3D	JUN
EIF3D	KRAS
EIF3D	XPO1
EIF3D	LZTS2
EIF3D	HLA-B
EIF3D	ENO1
EIF3D	SNX9
EIF3D	SEPT2
HLA-B	SNX5
HLA-B	TNF
HLA-B	CD247
HLA-B	SEPT2
HLA-B	HNF4A
CDKN2B	NF2
CDKN2B	SPG21
CD247	TNF
CD247	GNGT1
CD247	PIK3CA
CD247	JUN
CD247	HLA-DQB1
CD247	HNF4A
CD247	PPP1CC
SNX5	HNF4A
SNX5	BOP1
SNX5	AP1S3
MNDA	BOP1
MNDA	NOP58
MNDA	CDK1
MNDA	PPP1CC
MNDA	HEMGN
MNDA	RRP1B
RRP1B	NOP58
RRP1B	CDK1
RRP1B	JUN
RRP1B	HSPA1A
RRP1B	XPO1
RRP1B	PPP1CC
RRP1B	SEPT2
RRP1B	PSMA5
RRP1B	BOP1
RTP1	GNAL
RTP1	OR52N2
RTP1	GNGT1
RILPL1	CBFA2T3
RILPL1	CBFA2T2
RILPL1	PIK3CA
PPP2R5A	PPP1CC
PPP2R5A	CCNB1
PPP2R5A	PSMA5
PPP2R5A	CDK1
PPP2R5A	KIF18A
PPP2R5A	XPO1
PPP2R5A	KRAS
CBFA2T2	CBFA2T3
CBFA2T2	ACVR2A
CBFA2T2	BMPR2
CBFA2T2	TCF12
CBFA2T2	JUN
SEPT2	CDK1
SEPT2	JUN
SEPT2	ATP1B3
SEPT2	HSPA1A
SEPT2	SNX9
SEPT2	IDH1
SEPT2	COPE
SEPT2	XPO1
SEPT2	GIPC1
SEPT2	BIN1
KIF18A	PPP1CC
KIF18A	COPE
KIF18A	XPO1
KIF18A	CDK1
KIF18A	CCNB1
KIF18A	HLA-DQB1
BIN1	SNX9
BIN1	PIK3CA
BIN1	TNF
BIN1	ENO1
PPP1CC	XPO1
PPP1CC	CCNB1
PPP1CC	CCDC85B
PPP1CC	CDK1
PPP1CC	JUN
PPP1CC	BMPR2
PPP1CC	PPP1R15A
CDK1	ANAPC15
CDK1	NUP62
CDK1	SSBP1
CDK1	CCNB1
CDK1	JUN
CDK1	MZT2B
CDK1	NF2
CDK1	TNF
CDK1	PSMA5
CDK1	XPO1
PLP2	JUN
PLP2	SPG21
PLP2	SGPL1
KRAS	PIK3CA
KRAS	ENO1
KRAS	HEMGN
LZTS2	ZNF20
LZTS2	GIPC1
LZTS2	XPO1
LZTS2	CCDC85B
GNGT1	QRFP
GNGT1	PIK3CA
GNGT1	ATP1B3
GNGT1	OPRM1
GNGT1	OR52N2
GNGT1	GNAL
ENO1	TNF
ENO1	JUN
ENO1	HEMGN
ENO1	HSPA1A
NUP62	HSPA1A
NUP62	HNF4A
NUP62	XPO1
NUP62	CCNB1
NUP62	IDH1
BMPR2	ACVR2A
BMPR2	PPP1R15A
BMPR2	PYCARD
BMPR2	CBFA2T3
BMPR2	PSMA5
PYCARD	PIK3CA
SELENOP	PIK3CA
SELENOP	HNF4A
SELENOP	TNF
SELENOP	HSPA1A
SSBP1	JUN
SSBP1	LDB1
SSBP1	HNF4A
SSBP1	TNF
CCNB1	JUN
CCNB1	HSPA1A
CCNB1	ANAPC15
CCNB1	XPO1
SLC11A1	JUN
COPE	XPO1
SPG21	TCF12
CBFA2T3	TCF12
CBFA2T3	ACVR2A
CBFA2T3	LDB1
ZNF20	HEMGN
XPO1	TCF12
XPO1	HNF4A
XPO1	NOP58
XPO1	NF2
XPO1	JUN
XPO1	HSPA1A
HEMGN	HSPA1A
BOP1	NOP58
BOP1	PIK3CA
ANAPC15	HNF4A
ANAPC15	PSMA5
MMGT1	OCIAD2
PPP1R15A	JUN
PPP1R15A	HSPA1A
PPP1R15A	SGPL1
GNAL	OPRM1
GNAL	OR52N2
ACVR2A	PSMA5
OPRM1	MZT2B
OPRM1	TNF
TCF12	JUN
TCF12	LDB1
TCF12	HNF4A
CCDC85B	HNF4A
CCDC85B	PIK3CA
HNF4A	LDB1
HNF4A	PSMA5
HNF4A	TNF
HNF4A	RTN2
HNF4A	JUN
PLP1	RTN2
GIPC1	SNX9
GIPC1	JUN
GIPC1	TNF
AP1S3	HLA-DQB1
AP1S3	SNX9
IDH1	SNX9
IDH1	TNF
ATP1B3	SNX9
ATP1B3	RTN2
HSPA1A	PIK3CA
HSPA1A	JUN
HSPA1A	SNX9
HSPA1A	TNF
TNF	PSMA5
TNF	PIK3CA
TNF	JUN
PSMA5	JUN
NOP58	JUN
SGPL1	JUN
SNX9	PIK3CA
