#tail	head
EYA2	EPHB3
HSPH1	HNF4A
CXCR2	KCNN4
CXCR2	CHRM1
SLC1A5	CAND1
SLC1A5	SLC4A10
SLC1A5	OBSL1
VHL	SMARCC2
VHL	HIST1H2BE
VHL	SEM1
VHL	COL4A6
SNCA	EP300
SNCA	TP53
COL4A6	ACTN4
MRPS31	MRPL13
MRPS31	ZFC3H1
RPS28	RNPS1
CLEC4E	APP
KAT2A	THPO
HNF4A	C1D
COL2A1	COL10A1
TP53	IFNG
TP53	EP300
TP53	CHRM1
THPO	PTK2
THPO	EP300
ACTN4	KRT1
ACTN4	COL10A1
ACTN4	OBSL1
HIST1H2BE	SPRTN
HIST1H2BE	EP300
KRT1	CAND1
KRT1	OBSL1
EP300	POLD3
EP300	ARNT
DPP6	KCND2
KCND2	TFDP1
CST3	OBSL1
ATP1A4	SLC4A10
ATP1A4	CAND1
POLD3	APP
IFNG	APP
SLC16A1	PTK2
PHGDH	PON2
SLC4A7	PDZK1
SLC4A10	GSTM5
PTK2	PLCG1
CAND1	TFDP1
CHRM1	ARNT
