#tail	head
TREML2	RAB6A
AP2M1	CDH1
MAX	PTMA
MAX	USP36
MAX	CREB1
MAX	MRPS12
MAX	HDAC3
MAX	SIRT1
MAX	STOML2
MAX	PPP2R1A
MAX	DBI
MAX	SNRPD3
SMG7	PPP2R1A
SMG7	RPLP2
SMG7	MAGOHB
RBM17	MAGOHB
CD44	STK11
CLTC	RIOK1
CLTC	LRP2
CLTC	RPN1
CLTC	UBB
CLTC	FLNA
CLTC	CHRM2
CLTC	AGFG1
CLTC	MYO6
CLTC	ARF6
WTAP	TNIP1
SYT6	STX2
SYT6	TRIM27
MAGOHB	YBX1
MAGOHB	RPL10A
VCP	MYO6
VCP	UBB
VCP	TRAF6
VCP	TARDBP
VCP	PSMA7
VCP	CREBBP
VCP	STOML2
VCP	L3MBTL1
VCP	NFKB1
VCP	DLD
VCP	ARF6
SMARCB1	RPN1
SMARCB1	GATA1
SMARCB1	CREBBP
UBTF	CHD4
UBTF	ESR2
UBTF	CREBBP
NOS1	STUB1
NOS1	PTK2
NOS1	UBB
NOS1	ME3
MRPS12	MTIF2
SQLE	ME3
CASP9	INS
CASP9	EGFR
CASP9	SIRT1
CASP9	ITGAV
ANXA2	SLC24A5
ANXA2	DLG1
ANXA2	PPP2R1A
ANXA2	TGFB1
ANXA2	RPN1
WIPI1	ESR2
ITGAV	ESR2
ITGAV	YBX1
ITGAV	CASP3
ITGAV	PIP5K1C
ITGAV	ARF6
ITGAV	STK11
ESR2	IGHG2
ESR2	DLG1
ESR2	RALGAPB
ESR2	MRPS22
ESR2	TGFA
ESR2	PIP5K1C
ESR2	RAC1
ESR2	STOML2
ESR2	NUP210
ESR2	HDAC4
ESR2	AGO2
ESR2	PTEN
ESR2	RPL10A
STUB1	PTK2
STUB1	RMND5A
STUB1	SMTN
STUB1	PTEN
STUB1	STK11
STUB1	SQSTM1
STUB1	TRAF6
STUB1	EGFR
STUB1	HSD17B12
MRPS22	YBX1
CDKL1	SIRT1
KRT8	EGFR
KRT8	INS
KRT8	TRAF6
RMND5A	TGFB1
HOXC8	ADAMTSL4
ZMYM2	PIP5K1C
ZMYM2	TRAF6
ZMYM2	RAC1
ZMYM2	EGFR
ZMYM2	TGFA
ZMYM2	NRG2
ZMYM2	ZNF217
ZMYM2	IGHG2
ZMYM2	KL
NCOA6	AGO2
NCOA6	NFKB1
LDHAL6B	NME1
LDHAL6B	MTIF2
TGFB1	INS
TGFB1	SIGMAR1
TGFB1	HSD17B12
TGFB1	ARF6
TGFB1	CEBPA
TGFB1	STOML2
LYN	RAC1
LYN	EPM2A
NRG2	PIP5K1C
NRG2	IGHV3-23
USP36	HNRNPU
MARS	RIOK1
MARS	HIST1H4J
PTMA	DLD
HDAC4	HDAC3
HDAC4	CAMK2A
HDAC4	HIST1H4J
TGFA	GOLGA2
ACSL5	CEBPA
ACSL5	MBOAT7
ACSL5	NME1
SNRPD3	CHD4
SNRPD3	SFI1
SNRPD3	HNRNPU
KSR1	CAMK2A
HIST1H2AB	NFKB1
HIST1H2AB	HDAC3
HIST1H2AB	HOXB4
HIST1H2AB	DNM1L
HIST1H2AB	DLD
RBM10	EGFR
ALDH5A1	GAPDHS
ALDH5A1	LDHA
SLC6A5	BACH2
SLC6A5	SLC4A10
SLC6A5	SLC24A5
PHLPP1	PTEN
ZNF785	STX2
AKAP9	NINL
AKAP9	CAMK2A
LIN28B	YBX1
FCHO2	ARF6
FCHO2	INS
EPB41	CDH1
SLC38A1	CDH1
SLC38A1	SLC24A5
SLC38A1	INS
PIP5K1C	CDC37
PIP5K1C	RAC1
PIP5K1C	TRAF6
PIP5K1C	ARF6
SFI1	INS
SFI1	PPP2R1A
DLD	ACSS1
CDC37	KL
CDC37	RAF1
CDC37	DNM1L
CDC37	CAMK2A
CDC37	EGFR
MED4	RPN1
MED4	TCEA1
MED4	STOML2
MED4	RIOK1
TFF2	HSD17B12
STOML2	SMTN
STOML2	LDHA
STOML2	DLG1
STOML2	TCEA1
PPP2R1A	FAU
PPP2R1A	EGFR
PPP2R1A	PSMA7
PPP2R1A	RPN1
PPP2R1A	RIOK1
SQSTM1	EGFR
SQSTM1	INS
DNM1L	NME1
DNM1L	LDHA
DNM1L	INS
UBB	POLR2E
UBB	PRKACG
UBB	YAF2
UBB	KL
UBB	SMTN
UBB	CREBBP
UBB	HNRNPU
UBB	NFKB1
RAB6A	GOLGA2
RAB6A	CREB1
PRKACG	PLIN1
PRKACG	CREBBP
CEBPA	SMTN
CEBPA	INS
CEBPA	EDF1
CAMK2A	DLG1
CAMK2A	RAF1
CAMK2A	FLNA
KL	RAC1
KL	IGHV2-70
RPA3	DDB1
RPA3	FLNA
RPA3	EGFR
RPA3	TARDBP
RPA3	LDHA
RPA3	TRAF6
CASP3	RAF1
CASP3	HSD17B12
CASP3	STAR
CASP3	GATA1
CASP3	COMT
CASP3	SIGMAR1
NFKB1	HIST1H4J
NFKB1	HNRNPU
NFKB1	HDAC3
ITGB3	FLNA
INS	ADAMTSL4
INS	SMS
INS	RPLP2
INS	PTEN
INS	NINL
INS	PEBP1
INS	HSD17B12
INS	SIGMAR1
INS	DLG1
BACH2	SMS
BACH2	KCNA2
BACH2	HDAC3
RPLP2	CEP57
RPLP2	CHD4
POLR2E	DDB1
POLR2E	CDH1
POLR2E	CREBBP
POLR2E	HNRNPU
POLR2E	HOXB3
GATA1	ARF6
STAR	ACE
COMT	HSD17B12
COMT	PTK2
COMT	ARF6
RAC1	NME1
RAC1	YAF2
RAC1	PTK2
SMTN	PTEN
SMTN	LDHA
SMTN	MYO6
SMTN	FLNA
CDK7	TCEA1
CDK7	PTEN
CDK7	HNRNPU
TCEA1	LDHA
TCEA1	DDB1
LDHA	CREB1
LDHA	CREBBP
LDHA	ARF6
HSPA7	STK4
HSPA7	STK11
HSPA7	NINL
HSPA7	NUP210
PSMA7	IQCB1
CREBBP	USP14
RET	IQCB1
RET	MYO6
RET	CDH1
RET	CREB1
ZNF609	YAF2
MYO6	FLNA
SIGMAR1	PTK2
HNRNPU	RIOK1
HNRNPU	RPL10A
HNRNPU	FLNA
GOLGA2	CDH1
GOLGA2	HDAC3
HSD17B12	PTK2
HSD17B12	RPN1
FAU	LYAR
CREB1	PTEN
CREB1	SIRT1
ARF6	EGFR
ARF6	ACO2
ARF6	PTEN
ARF6	KALRN
NUP210	KPNA2
IQCB1	SDCCAG8
IQCB1	CEP57
RPN1	AGO2
RPN1	TARDBP
RPN1	RPL10A
DDB1	HOXB4
DDB1	TRAF6
DDB1	CEP57
HIST1H4J	CDH1
KIAA1522	CDH1
RIOK1	RPL10A
YBX1	SIRT1
YBX1	RPL10A
SLC4A10	DLG1
AGO2	RPL10A
AGO2	EGFR
SDCCAG8	CEP57
SDCCAG8	NINL
SDCCAG8	TRAF6
PTK2	ACE
PTK2	PTEN
EGFR	AGFG1
LRCH3	CEP57
NINL	CEP57
