#tail	head
PCGF1	ELK1
CDC25A	EGFR
RPL27A	PABPC1
FAM241B	TCF3
MAZ	TCF3
EIF5B	RPL10A
BTK	EGFR
PTPRD	EGFR
LRP10	SPINT2
EGFR	DUSP4
SPINT2	TCF3
ESRRB	ERBB2
WDR34	DUSP4
