#tail	head
PPP2R2D	ZBTB21
HIST1H2BG	DDX56
HIST1H2BG	H2AFX
HIST1H2BG	AURKB
HIST1H2BG	EME1
HIST1H2BG	KAT5
HIST1H2BG	HIST1H3J
CGAS	ELAVL1
ATP5F1A	AR
ATP5F1A	HNRNPD
ATP5F1A	UBB
FSD2	LNX1
POLR1A	HIST1H2BK
IL4	CXCR2
IL4	FZD8
IL4	IL2
IL4	JUN
IL4	CEBPB
PHKB	AURKB
PHKB	GART
PHKB	ATP2B2
PHKB	ACLY
PHKB	HNRNPL
MLF2	MAZ
MLF2	XPO1
FZD8	EDN1
KIAA1107	HNRNPL
GLUD1	GMPS
GLUD1	EFTUD2
GLUD1	AMPD3
GLUD1	NKX2-1
PRPF3	U2AF1
PRPF3	AURKB
PRPF3	TARDBP
PRPF3	HNRNPD
PRPF3	HIST1H3J
U2AF1	LARP7
U2AF1	POLR2I
U2AF1	ELAVL1
U2AF1	HNRNPL
U2AF1	SF3B2
HIST1H2BK	HIST1H3J
HIST1H2BK	XRCC5
HIST1H2BK	EGR2
HIST1H2BK	TAF10
HIST1H2BK	CLK1
HIST1H2BK	AURKB
HIST1H2BK	SUMO2
HIST1H2BK	H2AFB1
CCDC36	LNX1
TRPC1	ITGA1
TRPC1	CXCR2
TRPC1	ELAVL1
ACLY	SLC25A16
ACLY	SHKBP1
ACLY	ACSM3
ACLY	SIRT2
ACLY	CPT2
ACLY	SDC4
AR	VCPIP1
AR	ACSM3
AR	BCL2L11
AR	PTEN
AR	HNRNPD
AR	KAT5
AR	USP7
AR	CSF3
AR	PCF11
AR	H2AFX
AR	PPARG
AR	CDC37
AR	STAR
AR	LEF1
EFR3A	BMP15
SERPINA5	TRPV6
SLC8A1	SLC38A1
SLC8A1	HBA2
LEF1	TCF3
LEF1	EP300
LEF1	IL2
LEF1	KAT5
LEF1	NKX2-1
LEF1	BCL2L11
GPRASP2	FOXD4L1
GPRASP2	PPARA
GPRASP2	CUL3
GOLGA5	XRCC5
CSNK1A1L	JUN
PIPOX	XRCC5
PIPOX	PRDX6
UQCRQ	CPT2
UQCRQ	UQCRC2
UQCRQ	ATP1A1
MPLKIP	THY1
ZBTB14	SLC12A5
GLUD2	P4HA3
CREB3L1	C11orf24
CREB3L1	EP300
CREB3L1	RUNX1T1
ATG101	CDC37
KRT78	KRT34
KRT78	SLC47A2
KRT78	CUL3
KRTAP5-9	LNX1
KRTAP5-9	LCE2B
ACSM3	ADCY4
PDE3A	AK1
PDE3A	MSH2
SAP130	HIST1H4L
SAP130	HIST1H4C
SAP130	HIST1H3J
SAP130	TAF10
SAP130	CDC37
AURKB	BCL2L11
AURKB	SUPT16H
NEDD1	TFAM
SLC47A2	AGT
QSER1	FHL3
QSER1	PAX5
QSER1	HNRNPL
QSER1	ETS2
QSER1	FAM170A
SLC39A9	HBA2
SLC39A9	AGT
G3BP1	SHKBP1
G3BP1	CDC37
G3BP1	HNRNPU
G3BP1	JUN
G3BP1	IFI16
G3BP1	SDC4
ATP5MG	ATP1A1
ATP5MG	ATP5MF
ATP5MG	CPT2
KRT34	AGXT
KRT34	HCK
TAB3	ETS2
TAB3	UBB
CSF3	MSH2
CSF3	BCL2L11
CSF3	NDOR1
CSF3	ADSL
CSF3	HDAC1
CSF3	SUMO2
ELAVL1	SUMO2
ELAVL1	SF3B2
ELAVL1	JUN
ELAVL1	SUPT16H
ELAVL1	HNRNPD
ELAVL1	CPSF1
ELAVL1	POLR2I
ELAVL1	CUL3
ELAVL1	H2AFX
ELAVL1	GART
ELAVL1	CMPK1
HBA2	CA1
HBA2	PTEN
AGT	IL2
AGT	EDN1
AGT	SLC12A5
AGT	BECN1
ATP2B2	TRABD
ATP2B2	GPR161
VWC2	ZNF417
SHKBP1	SDC4
SHKBP1	ATP1A1
SHKBP1	HNRNPL
SHKBP1	SLC2A1
SHKBP1	EPS8L2
CPT2	PPARA
CPT2	ACOX3
ADCY9	SLC25A19
ADCY9	AK1
SLC25A19	JUN
HOMER2	JUN
ADSL	JUN
ADSL	AMPD3
RUNX1T1	TCF3
RUNX1T1	CEP83
UHRF1BP1	HNRNPD
PF4	CAMK2A
PRDX6	SLC6A5
PRDX6	AGXT
PRDX6	IL2
PRDX6	ACOX3
HDAC1	IL2
HDAC1	ATM
HDAC1	TCF3
HDAC1	RARB
HDAC1	SLC2A1
HDAC1	SUMO2
HDAC1	CA1
HDAC1	MAGEA1
HDAC1	KAT5
TFAM	NKX2-1
HIST1H3J	RBM34
HIST1H3J	RPL14
HIST1H3J	SUPT16H
HIST1H3J	STAG2
HIST1H3J	POLR2I
HIST1H3J	HIST1H4C
HIST1H3J	SF3B2
HIST1H3J	EGR2
HIST1H3J	SIRT2
HIST1H3J	PPP1CB
HIST1H3J	BCLAF1
RARB	HIST1H4C
RARB	CEBPB
RARB	H2AFB1
ACOX3	TCF3
DDX56	RPL14
DDX56	MAGEB10
DDX56	XPO1
GUCY1A2	EGR2
GUCY1A2	SCRIB
PPP1CB	SCRIB
PPP1CB	HNRNPL
PPP1CB	FOXO1
PPP1CB	CPSF1
PPP1CB	CUL3
PPP1CB	JUN
PPP1CB	EFTUD2
ZNF263	MAZ
TUBA4A	CUL3
TUBA4A	PPARA
TUBA4A	KATNA1
TUBA4A	JUN
TUBA4A	EFTUD2
SLC6A5	JUN
SLC6A5	SLC38A1
BCLAF1	TARDBP
HIST1H4C	NKX2-1
HIST1H4C	HNRNPU
HIST1H4C	SIRT2
HIST1H4C	EGR2
HIST1H4C	PPARA
HIST1H4C	PPARG
FOXO1	PPARG
FOXO1	ATM
FOXO1	BMP15
FOXO1	CEBPB
IFI16	HNRNPU
IFI16	H2AFX
IFI16	FAM208A
IFI16	NKX2-1
IFI16	DDX27
SDC4	XRCC5
SDC4	HNRNPD
SDC4	TARDBP
SDC4	PTEN
SDC4	TCF3
HAUS4	PPARA
HAUS4	CEP83
SUPT16H	MAZ
SUPT16H	ATM
SUPT16H	ABCE1
SUPT16H	PPARA
SUPT16H	XRCC5
SUPT16H	JUN
SUPT16H	SUMO2
SUPT16H	H2AFX
SUPT16H	CUL3
CUL3	GMPS
CUL3	ATP1A1
CUL3	XRCC5
CUL3	KATNA1
CUL3	TARDBP
CUL3	SF3B2
CUL3	HNRNPU
CUL3	AMPD3
CUL3	DYNC1I1
CUL3	USP7
CUL3	KPNA5
CUL3	SUMO2
AK1	ADCY4
AK1	CMPK1
NABP1	ASTE1
NELFB	MGST1
NELFB	JUN
NELFB	HNRNPU
SLC38A1	PTDSS1
SLC38A1	GMPS
SLC38A1	UBB
SLC38A1	ATP1A1
RAD51D	ATM
RAD51D	UBB
GART	SLC2A1
GART	EFTUD2
HIST1H4L	JUN
HIST1H4L	EP300
HIST1H4L	SIRT2
HIST1H4L	KPNA5
HIST1H4L	LARP7
HIST1H4L	IL2
FAM20A	BMP15
MID2	LMO4
MID2	HCK
SUMO2	ATM
SUMO2	EGR2
SUMO2	ZBTB21
SUMO2	KAT5
SUMO2	UBB
XPO1	PPARG
CPSF1	HNRNPU
PPARG	KAT5
PPARG	MAZ
PPARG	LMO4
UBB	KAT5
UBB	ATM
UBB	XRCC5
UBB	TARDBP
UBB	EP300
UBB	AMPD3
FHL3	LMO4
RBM34	JUN
RBM34	HNRNPU
PTDSS1	PTEN
PTDSS1	HNRNPL
POLR2I	PCF11
POLR2I	ATM
POLR2I	HNRNPD
POLR2I	EP300
FOXO3	EGR2
FOXO3	LARP7
FOXO3	NKX2-1
FOXO3	ATM
KPNA5	ATP1A1
KPNA5	HNRNPL
KPNA5	HNRNPU
KYAT1	TCF3
KYAT1	AGXT
KYAT1	AFMID
CAMK2A	ETS2
CAMK2A	TRPV6
ZBTB21	TCF3
VCAN	CEBPB
VCAN	TCF3
AMPD3	LNX1
AMPD3	GMPS
AMPD3	CA1
PTPN14	PTEN
USP7	KAT5
USP7	CEP83
ETS2	CCL28
ETS2	PTEN
ETS2	NKX2-1
ABCE1	XRCC5
HNRNPL	EP300
HNRNPL	PTEN
HNRNPL	PCF11
HNRNPL	MAN1C1
HNRNPL	AFMID
HNRNPL	XRCC5
PPARA	CEBPB
PPARA	KAT5
PPARA	THNSL1
PPARA	MECR
PPARA	JUN
PPARA	LMO4
PPARA	ATP1A1
SLC12A5	ANO8
KRTAP12-3	ZNF417
LARP7	JUN
LMO4	CEBPB
LMO4	HCK
LMO4	MAZ
STAR	CEBPB
PDE11A	AK7
EDN1	EP300
EDN1	JUN
EDN1	TRPV6
EDN1	ADCY4
EDN1	IL2
EDN1	CEBPB
TRPV6	JUN
TRPV6	HCK
TRPV6	MAZ
BMP15	JUN
KRTAP10-7	ZNF417
KRTAP10-7	HCK
ATM	PTEN
ATM	KAT5
ATM	EP300
STAG2	EFTUD2
EFTUD2	GMPS
EFTUD2	MSH2
EFTUD2	VCPIP1
HNRNPU	EP300
HNRNPU	XRCC5
AGXT	GMPS
ACTN4	XRCC5
ACTN4	JUN
CMPK1	AK7
GMPS	SLC2A1
EP300	SIRT2
EP300	CEBPB
ELF4	TCF3
UQCRC2	TCF3
UQCRC2	JUN
UQCRC2	TARDBP
MAZ	TCF3
SEMG1	JUN
TARDBP	HNRNPD
TARDBP	RPL14
H2AFX	HNRNPD
MSH2	XRCC5
XRCC5	JUN
HNRNPD	JUN
EGR2	JUN
RPL14	PTEN
NKX2-1	TCF3
PTEN	JUN
PTEN	SLC2A1
