#tail	head
CCNJL	TROAP
KAT8	TP53
KAT8	HIST4H4
KAT8	HIST1H3H
BCAT1	MYC
BCAT1	IARS
BCAT1	TP53
ATP6V0D1	SGTA
ATP6V0D1	SORBS1
ATP6V0D1	RRM2
ATP6V0D1	LETM1
ATP6V0D1	PRKAA1
ATP6V0D1	AQP9
ATP6V0D1	NAPG
ATP6V0D1	ATP5F1C
ATP6V0D1	HSPD1
ATP6V0D1	NOG
SGTA	IARS
SGTA	UBB
SGTA	TMEM43
SGTA	CLTB
SGTA	BAG2
SGTA	HSP90AA1
SGTA	LDHA
SGTA	NDE1
SGTA	SRC
SGTA	MATR3
SGTA	NXF1
SGTA	AHNAK
SGTA	SORBS1
EPAS1	NOG
EPAS1	UBB
EPAS1	NPM1
EPAS1	POLR2I
TROAP	TRO
TROAP	MAX
TROAP	TP53
SORBS1	STOML2
SORBS1	QPRT
SORBS1	IARS
SORBS1	MATR3
SORBS1	MYL12B
SORBS1	NOG
SORBS1	HSP90AA1
SORBS1	NAPG
SORBS1	HNRNPM
SORBS1	UBB
SORBS1	CALM1
SORBS1	TRPC4AP
SORBS1	TCF12
EEA1	MYC
EEA1	PTPRQ
EEA1	HNRNPM
EEA1	TP53
LOXL4	INS
NUDCD1	AHNAK
NUDCD1	NOG
NUDCD1	YWHAG
NUDCD1	TP53
NUDCD1	CLTB
NUDCD1	NPM1
DCAF7	NOG
DCAF7	COMMD10
DCAF7	SMAD2
DCAF7	SRC
HNRNPM	HNRNPH1
HNRNPM	NPM1
HNRNPM	CUL1
HNRNPM	RPL28
HNRNPM	MATR3
HNRNPM	NAPG
HNRNPM	NXF1
CLCA3P	GRIK1
OR5I1	NOG
OR5I1	KDM2A
OR5I1	GRIK1
IARS	BAG2
IARS	PRKAA1
IARS	NAPG
IARS	STOML2
IARS	GSTT1
IARS	MAGED1
IARS	GFPT1
MAX	PAX4
MAX	RBL1
MAX	MYC
MAX	KAT2A
MAX	PEX1
MAX	LDHA
MAX	TMEM43
MAX	SMAD2
MAX	FPGS
MAX	TCF12
MAX	SDHB
MAX	GTF2A1
MAX	STOML2
MAX	GIGYF2
MAX	SRF
MAX	NOG
MAX	CALM1
AHNAK	PAX4
AHNAK	OBSL1
AHNAK	MYC
AHNAK	STOML2
AHNAK	TP53
AHNAK	NOG
AQP9	POLD1
AQP9	TXNL1
AQP9	LDHA
AQP9	HDAC1
AQP9	NAPG
AQP9	AHCYL2
AQP9	STOML2
ELOA3B	RAD51D
ELOA3B	POLR2A
ELOA3B	POLR2I
RB1	SPI1
RB1	NPM1
RB1	RRM2
RB1	NTRK1
RB1	HIST1H4I
RB1	MYC
RB1	HIST1H4A
RB1	CDKN1B
RB1	KDM2A
RB1	RFC1
RB1	TP53
MYBPC3	CUL1
MYBPC3	CACNB4
MYBPC3	TRPC4AP
GRIK1	RASGRP4
GRIK1	AHCYL2
GRIK1	CALM1
SDHA	LDHA
SDHA	NXF1
SDHA	NTRK1
SDHA	KDM2A
SDHA	SDHB
FPGS	RRM2
FPGS	MYC
FPGS	INS
GFPT1	NTRK1
GFPT1	GCLC
GFPT1	PRKAA1
GFPT1	NICN1
GFPT1	HIST1H4I
GFPT1	MYC
GFPT1	INS
GFPT1	NOG
MRPS27	MRPS16
MRPS27	CUL1
MRPS27	NXF1
MRPS27	HIST1H3H
MRPS27	TP53
MRPS27	MRPS31
MRPS27	NTRK1
MRPS27	MRPS33
IGHV2-5	EPOR
IGHV2-5	DGKH
IGHV2-5	KL
IGHV2-5	CALM1
IGHV2-5	SRC
IGHV2-5	IGLV7-43
IGHV2-5	BDNF
IGHV2-5	MYD88
CACNG2	AP1B1
CACNG2	RASGRP4
CACNG2	HDAC1
CACNG2	SMAD1
CACNG2	MSTO1
CACNG2	MYL12B
CACNG2	CACNB4
MATR3	NTRK1
MATR3	HNRNPH1
MATR3	SRF
MATR3	NAPG
MATR3	SRC
MATR3	B9D2
MATR3	STOML2
MATR3	NOG
SMAD2	HDAC3
SMAD2	PTMS
SMAD2	TP53
SMAD2	AP1B1
SMAD2	RBL1
SMAD2	FOXH1
SMAD2	MYC
SMAD2	KAT2A
SMAD2	CDKN1B
SMAD2	CALM1
SMAD2	TCF12
SMAD2	HDAC8
HSPD1	NAPG
HSPD1	HNRNPH1
HSPD1	MYC
HSPD1	SDHB
HSPD1	STOML2
HSPD1	MRPS33
HSPD1	CUL1
HSPD1	TP53
HSPD1	HDAC1
HSPD1	HIST1H3H
HSPD1	NPM1
HSPD1	YWHAG
HSPD1	DCAF4
HSPD1	PTMS
HSPD1	MYD88
PEX1	PEX6
PEX1	UBB
HSP90AA1	CHUK
HSP90AA1	SRC
HSP90AA1	GIGYF2
HSP90AA1	MYC
HSP90AA1	CDKN1B
HSP90AA1	YWHAG
HSP90AA1	GNG12
HSP90AA1	HNRNPH1
HSP90AA1	NPM1
HSP90AA1	BAG2
HSP90AA1	PRKAA1
HSP90AA1	CUL1
HSP90AA1	NXF1
HSP90AA1	GUCY1B1
HSP90AA1	HDAC1
CHUK	TRIM21
CHUK	SRC
CHUK	MYC
CHUK	MAGED1
CHUK	MYD88
CHUK	RBL1
CHUK	NFKB1
RRM2	NTRK1
SRF	LDHA
SRF	NPM1
SRF	GTF2A1
SRF	HIST1H4I
SRF	CDKN1B
SRF	SRC
SMAD1	NOG
SMAD1	KAT2A
SMAD1	HDAC8
RASGRP4	CALM1
RASGRP4	INS
RASGRP4	TRPC4AP
KDM2A	HIST1H3H
KDM2A	SPI1
KDM2A	TCF12
KDM2A	SDHB
CLTB	NAPG
CLTB	NOG
CLTB	CALM1
MRPS16	MRPS31
HDAC1	HIST1H4A
HDAC1	RFC1
HDAC1	NAMPT
HDAC1	SLC39A13
HDAC1	BDNF
HDAC1	NPM1
HDAC1	HDAC3
SPI1	HDAC3
SPI1	NPM1
SPI1	HIST1H3H
SPI1	PTMS
SPI1	HIST1H4I
SPI1	HIST1H4A
SPI1	ETV1
SPI1	TCF12
SPI1	SRC
KLHL42	COMMD10
KLHL42	UBB
LDHAL6B	SDHB
LDHAL6B	LDHA
MYC	TP53
MYC	PEX6
MYC	RBL1
MYC	KAT2A
MYC	UBB
MYC	NPM1
MYC	TRIM21
MYC	RAD50
MYC	GIGYF2
MYC	DNAJB6
MYC	NAMPT
MYC	HIST4H4
MYC	TYR
MYC	MED28
MYC	TMEM43
MYC	GTF2A1
MYC	SDHB
MYC	ETV1
MYC	LONP1
MYC	CSF1
MYC	CALM1
NXF1	UBB
NXF1	FER
NXF1	NPM1
NXF1	NDE1
NXF1	ZC3H3
NXF1	NDC80
RAD50	HIST4H4
RAD50	NTRK1
RAD50	POLR2I
RAD50	KAT2A
RAD50	OBSL1
RAD50	INS
RAD50	TP53
RAD50	NPM1
RAD50	HIST1H4I
RBL1	NTRK1
RBL1	CDKN1B
RBL1	POLR2A
RBL1	PAX4
RBL1	HIST1H4I
RBL1	NFKB1
RBL1	HIST4H4
USP8	SRC
USP8	DNAJB6
USP8	NTRK1
TYR	LDHA
TYR	PRKAA1
TYR	GSTA1
TYR	NFKB1
TYR	INS
HIST1H4I	POLR2I
HIST1H4I	HDAC3
HIST1H4I	SRC
HIST1H4I	NTRK1
HIST1H4I	RFC1
HIST1H4I	HDAC8
HIST1H4I	HNRNPH1
NTRK1	TMEM43
NTRK1	ATP5F1C
NTRK1	HNRNPH1
NTRK1	SRC
NTRK1	LDHA
NTRK1	PTPRQ
NTRK1	CUL1
NTRK1	MAGED1
NTRK1	TXNL1
NTRK1	NAMPT
NTRK1	HIST4H4
HNRNPH1	HIST1H4A
HNRNPH1	TP53
HNRNPH1	UBB
HNRNPH1	NPM1
HNRNPH1	HIST4H4
HNRNPH1	NAMPT
HNRNPH1	POLR2I
TRPC4AP	MYL12B
TRPC4AP	CALM1
HAUS4	NDE1
HAUS4	B9D2
HAUS4	NOG
NOG	BAG2
NOG	CDKN1B
NOG	PTMS
NOG	OBSL1
NOG	FER
NOG	CHCHD10
NOG	PCYT1B
NOG	LDHA
NOG	S100B
NOG	NDE1
NOG	BDNF
NOG	PRODH
NOG	LAMP2
NOG	GUCY1B1
NOG	CSF1
NOG	HIST1H3H
NOG	SRC
HIST4H4	OBSL1
HIST4H4	RFC1
HIST4H4	KAT2A
HIST4H4	POLR2A
HIST4H4	NFKB1
HIST4H4	NPM1
RAD51D	POLR2I
RAD51D	RFC1
RAD51D	UBB
BDNF	GUCY1B1
BDNF	IGLV7-43
BDNF	GNG12
PTPRQ	FER
PTPRQ	SRC
ZC3H3	AHCYL2
ZC3H3	TP53
MYL12B	CALM1
MYL12B	NAPG
MYL12B	CUL1
MYL12B	GUCY1B1
STOML2	UBB
STOML2	SRC
STOML2	PAX4
STOML2	LDHA
STOML2	OBSL1
LAMP2	MSTO1
ATP5F1C	NFKB1
CACNB4	TRO
GNG12	SRC
GNG12	IGLV7-43
GNG12	DGKH
AP1B1	TP53
AP1B1	NAPG
UBB	TP53
UBB	PEX6
UBB	BAG2
UBB	CDKN1B
UBB	POLR2A
UBB	KL
UBB	NPM1
UBB	LDLRAP1
UBB	CUL1
FER	SRC
POLR2I	RFC1
POLR2I	GTF2A1
POLR2I	INS
POLR2I	SRC
GSTA1	IL10
GSTA1	GSTT1
GSTA1	INS
GSTA1	GCLC
GIGYF1	TANC2
SDHB	PRODH
KL	SRC
KL	INS
CUL1	CDKN1B
CUL1	PPP2CB
CUL1	POLD1
CUL1	NFKB1
CUL1	TRIM21
CUL1	RCBTB1
CUL1	HIST1H4A
YWHAG	B9D2
YWHAG	HIST1H3H
YWHAG	SRC
YWHAG	CDKN1B
YWHAG	CALM1
YWHAG	PAX4
YWHAG	NDE1
CLEC14A	TCF12
FCN3	C4B
ETV1	TP53
NAMPT	QPRT
NAMPT	INS
NAMPT	TP53
NAMPT	NFKB1
DNAJB2	NAPG
DNAJB2	SRC
DNAJB2	TRO
DNAJB2	PAX4
NFKB1	EPOR
NFKB1	HIST1H4A
NFKB1	MYD88
NFKB1	S100B
NFKB1	GCLC
NFKB1	TP53
NFKB1	SRC
NFKB1	NPM1
NFKB1	HDAC3
GUCY1B1	PRKAA1
GUCY1B1	INS
PRKAA1	S100B
PRKAA1	TP53
PRKAA1	CDKN1B
INS	COMMD10
INS	CDKN1B
INS	CSF1
INS	CALM1
INS	IL10
INS	HDAC8
INS	POLD1
INS	MYD88
INS	SLC39A13
INS	S100B
INS	PRODH
INS	GTF2A1
INS	NICN1
POLR2A	HIST1H3H
POLR2A	RFC1
POLR2A	OBSL1
POLR2A	POLD1
RFC1	HIST1H3H
NPM1	RPL28
NPM1	HIST1H4A
NPM1	BAG2
NPM1	TRIM21
NPM1	OBSL1
KNTC1	NDC80
KNTC1	PAX4
NDC80	B9D2
NDC80	PPP2CB
ARL5A	GSTT1
SRC	IGLV7-43
SRC	NAPG
SRC	LDHA
SRC	NDE1
SRC	TP53
SRC	HDAC3
SRC	TMEM43
SRC	CDKN1B
SRC	QPRT
IGLV7-43	DGKH
B9D2	PPP2CB
B9D2	NDE1
PTMS	PAX4
NAPG	NDE1
NAPG	QPRT
NAPG	LDHA
HIST1H4A	HIST1H3H
HIST1H4A	CALM1
KAT2A	TP53
KAT2A	HIST1H3H
KAT2A	PRODH
LDHA	TP53
PCYT1B	TMEM43
PCYT1B	QPRT
CALM1	HDAC3
CALM1	S100B
CALM1	AHCYL2
DNAJB6	TP53
PRODH	TP53
IL10	TP53
IL10	GTF2A1
IL10	SLC39A13
TP53	SLC39A13
TP53	OBSL1
TP53	BAG2
TP53	CDKN1B
TP53	HDAC8
TP53	HDAC3
TP53	RPL28
TP53	GTF2A1
CDKN1B	PAX4
HDAC8	SLC39A13
FADD	TRIM21
SLC39A13	GCLC
SLC39A13	C3
HDAC3	QPRT
HIST1H3H	TRIM21
GCLC	GSTT1
LONP1	DCAF4
BAG2	OBSL1
GSTT1	C3
