#tail	head
NEK1	TTC25
TRIB3	SMAD3
IGHG4	IGHV2-70
IGHG4	GNG7
IGHG4	GNGT2
IGHG4	CD247
IGHG4	GNG3
IGHG4	EGFR
IGHG4	C4B_2
IGHG4	SYK
IGHG4	KDR
THRB	HSPA4
THRB	XRCC6
THRB	ACTB
THRB	CYP2A6
THRB	NOG
THRB	IL1B
THRB	JUN
THRB	POU2F1
THRB	SIN3A
AP3M1	NOG
AP3M1	NTRK1
AP3M1	EGFR
AP3M1	SCLT1
AP3M1	JUN
RPL11	TRIM25
RPL11	PRKAB2
RPL11	GNAI2
RPL11	RPS25
RPL11	TAF1
RPL11	EEF2
RPL11	CNBP
RPL11	RPL7
RPL11	CEP250
RPL11	PPP2CA
RPL11	COPS5
RPL11	TNF
RPL11	RPL5
RPL11	ACTB
RPL11	SMG7
POLDIP2	PLEKHA7
POLDIP2	SPTBN1
POLDIP2	EGFR
POLDIP2	SMN2
POLDIP2	LYRM2
TPI1	SLC30A8
TPI1	HSPA1A
TPI1	NTRK1
TPI1	DNM1L
TPI1	TNF
TPI1	EGFR
TPI1	SLC30A10
TPI1	HSPA1B
TPI1	TRIM25
TPI1	IL1B
SDR16C5	RB1
SDR16C5	PPARG
SDR16C5	VDR
SDR16C5	PPP2CA
RPL7	HSPA1B
RPL7	RPL9P7
RPL7	CNBP
RPL7	PPP2CA
RPL7	TNF
RPL7	COPS5
RPL7	GNAI2
RPL7	ACTB
RPL7	SMG7
RPL7	YBX1
RPL7	NTRK1
SIN3A	AKR1C3
SIN3A	HSPA4
SIN3A	HIST2H4B
SIN3A	SRF
SIN3A	TRIM25
SIN3A	TFCP2
SIN3A	NAMPT
SIN3A	PDLIM5
SIN3A	NOG
SIN3A	TAF1
SIN3A	PPARA
SIN3A	SNW1
SIN3A	PPARG
SIN3A	HTT
SIN3A	VDR
SIN3A	TNF
SIN3A	HSPA1B
SIN3A	MECP2
SIN3A	MORF4L1
SIN3A	HSPA1A
SLC9A2	RHBG
SLC9A2	SLC38A4
SLC9A2	SLC6A11
ACP6	SRD5A3
ACP6	IMPDH2
ACP6	NOX4
ACP6	AKR1D1
ACP6	FAM9B
ACP6	ACSL3
ACP6	ALDH7A1
ACP6	AKR1C3
ACP6	CYBB
PLOD1	COPS5
PLOD1	HSF1
PLOD1	NTRK1
PLOD1	USP4
PDLIM5	G3BP1
PDLIM5	ACTB
PDLIM5	NTRK1
PDLIM5	NOG
MECP2	JUN
MECP2	HTT
MECP2	HIST2H4B
MECP2	CREB1
MECP2	YBX1
MECP2	BACH1
MECP2	PPARG
MECP2	RPL5
MECP2	SMC3
SRD5A3	AKR1C3
SRD5A3	CYBB
SRD5A3	AKR1D1
SRD5A3	POMC
SRD5A3	NOX4
RGS21	GNAI3
RGS21	GNAI2
RGS21	GNAI1
DHH	TFCP2
DHH	FZD4
DHH	VDR
DHH	PPARA
DHH	GRM3
CD247	TNF
CD247	PRKCA
CD247	GNG7
CD247	IGHV2-70
CD247	RFC4
CD247	SH3BP2
CD247	PAK2
CD247	GNAI2
CD247	HIST2H4B
CD247	JUN
CD247	GNG3
CD247	KDR
CD247	IL1B
CD247	SLC30A10
LGALS7	USP4
LGALS7	TRIM25
LGALS7	JUN
LGALS7	NAMPT
SMN2	HSPA1A
SMN2	SNW1
SMN2	HIST2H4B
SMN2	PLEKHA7
SMN2	SLBP
SMN2	FAM9B
SMN2	SEPT2
SMN2	GNAI2
SMN2	DNAJB2
SMN2	ACTB
SMN2	SQSTM1
SMN2	NUFIP1
SMN2	STUB1
SMN2	EEF2
SMN2	PPP2R1A
SMN2	SYNCRIP
SMN2	RPL5
SMN2	XRCC6
SMN2	RFC4
SMN2	YBX1
SMN2	ATP6V0A1
SMN2	SPINT1
SMN2	IARS
SMN2	AIMP2
SMN2	SPTBN1
SMN2	HSPA1B
SMN2	USP4
TSPAN7	NOG
TSPAN7	ATP6V0A1
TSPAN7	CREB1
TSPAN7	JUN
TSPAN7	CEBPA
SLC6A11	NOG
SLC6A11	POU2F1
SLC6A11	PAX4
SLC6A11	FXYD1
SLC6A11	SLC38A4
SLC6A11	SNAP25
BACH1	CREB1
BACH1	PPP2CA
BACH1	MPO
BACH1	KRT8
BACH1	BAG2
BACH1	TFCP2
MRPL18	MRPL27
MRPL18	HSPA1B
MRPL18	MRPL3
MRPL18	JUN
MRPL18	HSF1
MRPL18	RPL5
MRPL18	MRPL17
TROAP	TRAF2
TROAP	MRGBP
TROAP	KRT8
TROAP	MORF4L1
TROAP	TAF1
PTPN21	PAX4
PTPN21	DUSP7
PTPN21	EGFR
PTPN21	KDR
PTPN21	EPHB2
PTPN21	PARD6B
GNG7	EDNRB
GNG7	GRM3
GNG7	FZD4
GNG7	GNAI1
GNG7	EGFR
GNG7	POMC
GNG7	NUFIP1
GNG7	SYK
GNG7	FXYD1
GNG7	KCNJ16
GNG7	KDR
GNG7	TAS2R13
GNG7	IGHV2-70
GNG7	GNAI3
GNG7	EDN2
NUFIP1	DNM1L
NUFIP1	ATP6V0A1
NUFIP1	SNAP25
NUFIP1	CREB1
TRAPPC9	KCTD3
PPP2CA	TAF1
PPP2CA	PPP2R1A
PPP2CA	CEBPA
PPP2CA	HSPA1A
PPP2CA	EEF2
PPP2CA	PSMB9
PPP2CA	RIOK1
PPP2CA	ZW10
PPP2CA	RPL9P7
PPP2CA	EGFR
PPP2CA	RPL5
PPP2CA	NOG
PPP2CA	SMG7
PPP2CA	ZFP36
PPP2CA	STAT5B
PPP2CA	HSPA1B
PPP2CA	VDR
PPP2CA	CREB1
PPP2CA	TNF
PPP2CA	SMC3
PPP2CA	JUN
PPP2CA	WAPL
PPP2CA	MAFG
PPP2CA	SMAD3
PPP2CA	POU2F1
PPP2CA	HTT
PPP2CA	RPS25
DUSP7	NTRK1
DUSP7	EGFR
DUSP7	EPHB2
DUSP7	SYK
DUSP7	KDR
SPINT1	HSPA1A
SPINT1	PPP2R1A
SPINT1	SPTBN1
SPINT1	RFC4
SPINT1	SLBP
SPINT1	SNW1
SPINT1	G3BP1
SPINT1	DNAJB2
SPINT1	SQSTM1
SPINT1	IARS
SPINT1	CEBPA
SPINT1	NOG
SPINT1	IGF2BP3
SPINT1	EEF2
SPINT1	RPL5
SPINT1	PPARA
SPINT1	ATP6V0A1
SPINT1	STUB1
SPINT1	SYNCRIP
SPINT1	XRCC6
SPINT1	AIMP2
SPINT1	YBX1
SPINT1	HSPA1B
SPINT1	GNAI3
SPINT1	AP1M2
IARS	SLBP
IARS	BAG2
IARS	SYNCRIP
IARS	SLC27A5
IARS	MSRA
IARS	VDR
IARS	AIMP2
IARS	TRIM25
IARS	SEPT2
IARS	PLEKHA7
IARS	SPTBN1
IARS	PRKAB1
IARS	RIOK1
IARS	SART3
IARS	COPS5
IARS	SNW1
IARS	HNRNPUL2
IARS	IGF2BP3
IARS	BET1
IARS	NTRK1
SMG7	RPL9P7
SMG7	TRIM25
GZMA	HSPA4
GZMA	HSPA1B
GZMA	XRCC6
FZD4	TNF
FZD4	POU2F1
FZD4	GNAI2
FZD4	POMC
FZD4	GNG3
FZD4	GNGT2
FZD4	EDN2
FZD4	PAX4
ACTB	TFPT
ACTB	TNF
ACTB	SMC3
ACTB	EGFR
ACTB	SPTBN1
ACTB	RNF31
ACTB	CYBB
ACTB	WIPF1
ACTB	CEP250
ACTB	COPS5
ACTB	SRF
ACTB	MRGBP
ACTB	G3BP1
ACTB	HSPA1A
ACTB	HSPA4
ACTB	HTT
ACTB	JUN
ACTB	PRKAB2
ACTB	HSPA1B
ACTB	RIOK1
ACTB	MYH3
ACTB	MORF4L1
ACTB	SDC1
ACTB	MPO
ACTB	KRT8
ACTB	YBX1
ACTB	NT5E
RB1	TNF
RB1	HIST2H4B
RB1	SMC3
RB1	CEBPA
RB1	NTRK1
RB1	PPP2R1A
RB1	SNW1
RB1	PPARG
RB1	TAF1
RB1	MDM4
RB1	PTGS2
RB1	SYNCRIP
RB1	JUN
RB1	MORF4L1
RB1	VDR
C7	NTRK1
C7	STAT5B
G3BP1	SLBP
G3BP1	SPTBN1
G3BP1	PPP2R1A
G3BP1	SNW1
G3BP1	PLEKHA7
G3BP1	HSPA4
G3BP1	IGF2BP3
G3BP1	JUN
G3BP1	RIOK1
G3BP1	COPS5
G3BP1	SYNCRIP
G3BP1	NOG
G3BP1	YBX1
G3BP1	EGFR
G3BP1	RFC4
G3BP1	NTRK1
TBC1D15	NTRK1
TBC1D15	DNM1L
TBC1D15	NOG
ARNTL2	PPARA
ARNTL2	MSRA
ARNTL2	CIPC
ARNTL2	JUN
GNAI3	SEPT2
GNAI3	EGFR
GNAI3	PLEKHA7
GNAI3	TAS2R13
GNAI3	SPTBN1
GNAI3	GNGT2
GNAI3	SQSTM1
GNAI3	NTRK1
GNAI3	SLBP
GNAI3	GRM3
GNAI3	EDNRB
GNAI3	GNAI2
SEPT2	SPTBN1
SEPT2	JUN
SEPT2	AP1M2
SEPT2	HSPA1A
SEPT2	KCTD3
SEPT2	SQSTM1
SEPT2	PLEKHA7
SEPT2	RFC4
SEPT2	SNW1
SEPT2	GNAI2
SEPT2	DNAJB2
SEPT2	NTRK1
SEPT2	IGF2BP3
SEPT2	EEF2
SEPT2	RPL5
SEPT2	STUB1
SEPT2	XRCC6
SEPT2	RNF31
SEPT2	YBX1
SEPT2	CEP250
SEPT2	SCLT1
SLC38A4	NOG
SLC38A4	SLC27A5
SLC38A4	POU2F1
STEAP3	BET1
POU2F1	CREB1
POU2F1	POLR2L
POU2F1	JUN
POU2F1	PAX4
POU2F1	XRCC6
POU2F1	HIST2H4B
POU2F1	TAS2R13
POU2F1	TNF
POU2F1	PPARG
POU2F1	NOG
POU2F1	STAT5B
POU2F1	HOXC5
POU2F1	VDR
POU2F1	SRF
POU2F1	TRIM25
POU2F1	UNC13B
POU2F1	TAF1
POU2F1	FCHSD1
COLEC10	GNAI1
COLEC10	HSPA1A
COLEC10	C4B_2
COLEC10	CEBPA
COLEC10	GNAI2
TFCP2	CREB1
TFCP2	JUN
TFCP2	DOCK9
TFCP2	SHB
TFCP2	HSPA1A
TFCP2	HOXC5
TFCP2	PAK2
TFCP2	TRPV2
SNAP25	GNAI1
SNAP25	PPARG
SNAP25	HTT
SNAP25	TRPV2
SNAP25	PRKCA
SNAP25	POMC
SNAP25	CHRNA4
SNAP25	CHRNA1
SNAP25	NOG
SNAP25	UNC13B
EDN2	GNG3
EDN2	HSF1
EDN2	GNGT2
EDN2	GRM3
EDN2	CEBPA
COPS5	PPARG
COPS5	SPTBN1
COPS5	PTGS2
COPS5	RPL5
COPS5	CIPC
COPS5	HSPA7
COPS5	SART3
COPS5	DNAJB6
COPS5	EEF2
COPS5	UNC80
COPS5	CEBPA
COPS5	HNRNPUL2
COPS5	HSPA4
COPS5	RPS25
COPS5	JUN
COPS5	AMBRA1
COPS5	HSPA1B
COPS5	DNM1L
COPS5	RPL9P7
COPS5	SYNCRIP
COPS5	XRCC6
COPS5	YBX1
COPS5	NTRK1
COPS5	TRAF2
COPS5	TFPT
COPS5	SMC3
PSMB9	NOG
PSMB9	TAF1
PSMB9	TRAF2
PSMB9	PPP2R1A
PSMB9	TNF
RNF31	SQSTM1
RNF31	TRAF2
RNF31	KRT8
RNF31	XRCC6
RNF31	PRKCA
RNF31	HSPA1A
RNF31	IGF2BP3
RNF31	TNF
RNF31	HSPA7
RNF31	YBX1
RNF31	USP4
RNF31	TRIM25
RNF31	HSPA1B
RNF31	SMAD3
RNF31	BAG2
RNF31	CNBP
TAS2R13	GNGT2
TAS2R13	GNAI2
TAS2R13	GNAI1
TAS2R13	GNG3
RFC4	NTRK1
RFC4	IGF2BP3
RFC4	PPP2R1A
RFC4	PLEKHA7
RFC4	EGFR
RFC4	SQSTM1
RFC4	JUN
RFC4	TRIM25
RFC4	SNW1
RFC4	SLBP
RFC4	POLR2L
SRF	PAX4
SRF	FOSB
SRF	PRKCA
SRF	HOXC5
SRF	PRKAB2
SRF	STAT5B
SRF	PPARG
SRF	VDR
SRF	CREB1
C17orf82	TRAF2
ZFP36	TRAF2
ZFP36	CYP2A6
ZFP36	NOG
ZFP36	PTGS2
ZFP36	HSPA1B
ZFP36	IL1B
ZFP36	HSPA4
ZFP36	TNF
XRCC6	YBX1
XRCC6	PPARG
XRCC6	SMAD3
XRCC6	HSPA1B
XRCC6	PPARA
XRCC6	FCHSD1
XRCC6	CREB1
XRCC6	JUN
XRCC6	BAG2
XRCC6	HSF1
XRCC6	HSPA1A
XRCC6	HTT
XRCC6	WAPL
XRCC6	PLEKHA7
XRCC6	TRIM25
XRCC6	SLBP
XRCC6	CEBPA
XRCC6	NTRK1
XRCC6	DNM1L
XRCC6	EEF2
ZNF655	HTT
ZNF655	NAA10
ZNF655	TRAF2
ZNF655	NOG
IL1B	CFH
IL1B	POMC
IL1B	HSPA1B
IL1B	SMAD3
IL1B	CREB1
IL1B	HSF1
IL1B	JUN
IL1B	HTT
IL1B	NOX4
IL1B	HIST2H4B
IL1B	SQSTM1
IL1B	PRKCA
IL1B	NAMPT
IL1B	NOG
IL1B	HSPA1A
IL1B	AKR1C3
IL1B	EDNRB
IL1B	TNF
IL1B	PPARA
IL1B	SLC30A8
IL1B	PTGS2
IL1B	MDM4
IL1B	EGFR
IL1B	C4B_2
SH3BP2	NOG
SH3BP2	SYK
C4B_2	HSPA1B
C4B_2	IGHV2-70
C4B_2	SLC30A10
C4B_2	TNF
C4B_2	HSPA1A
STUB1	SLBP
STUB1	SNW1
STUB1	NAMPT
STUB1	TRAF2
STUB1	SPTBN1
STUB1	PPARG
STUB1	TRIM25
STUB1	HSPA7
STUB1	HSPA1B
STUB1	AMBRA1
STUB1	BAG2
STUB1	HSF1
STUB1	HSPA4
STUB1	DNAJB6
STUB1	SQSTM1
STUB1	AIMP2
STUB1	EGFR
STUB1	TNF
STUB1	PPP2R1A
STUB1	PLEKHA7
PPP3CA	TRPV2
PPP3CA	CHRNA1
PPP3CA	CHRNA4
PPP3CA	NOG
PPP3CA	JUN
PPP3CA	TAF1
CHRNA4	PRKCA
CHRNA4	VDR
CHRNA4	GNAI2
CHRNA4	POMC
CHRNA4	UNC13B
CHRNA4	NOG
CHRNA4	FXYD1
CHRNA4	TNF
NAA10	EGFR
NAA10	MDM4
NAA10	NTRK1
NAA10	KRT8
NAA10	TRIM25
FCHSD1	HSPA1A
FCHSD1	PAX4
FCHSD1	JUN
FCHSD1	HSPA1B
FCHSD1	HSPA7
SMC3	FOSB
SMC3	ZW10
SMC3	NTRK1
SMC3	NOG
SMC3	SDC1
SMC3	RIOK1
SMC3	BET1
SMC3	JUN
SMC3	SNW1
SMC3	HIST2H4B
KRT8	DNAJB6
KRT8	USP32
KRT8	EGFR
KRT8	NOG
KRT8	HSPA1B
KRT8	YBX1
KRT8	CLK1
KRT8	HSPA1A
KRT8	TNF
CLK1	DOCK9
CLK1	IMPDH2
CFH	HSPA1A
CFH	SLC30A8
CFH	GRAP2
CFH	VDR
CFH	TNF
CFH	SMAD3
CYBB	HTT
CYBB	PRKCA
CYBB	NAMPT
CYBB	TNF
CYBB	AKR1C3
PRKCA	VDR
PRKCA	TRAF2
PRKCA	GNGT2
PRKCA	TNF
PRKCA	NAMPT
PRKCA	GNAI1
PRKCA	PPARG
PRKCA	IGHV2-70
PRKCA	PPARA
PRKCA	SYK
PRKCA	TRPV2
PRKCA	FXYD1
PRKCA	GRAP2
PRKCA	GNAI2
PRKCA	CHRNA1
PRKCA	EGFR
PRKCA	PTGS2
PRKCA	HSPA1A
PRKCA	NTRK1
PRKCA	AKR1C3
PRKCA	EDNRB
EPHB2	PAK2
PTGS2	ACSL3
PTGS2	EGFR
PTGS2	DNM1L
PTGS2	SLC27A5
PTGS2	TNF
PTGS2	PPARG
PTGS2	NOG
PTGS2	JUN
PTGS2	MPO
PTGS2	POMC
PTGS2	AKR1C3
PTGS2	HIST2H4B
GNGT2	GNAI1
GNGT2	IGHV2-70
GNGT2	POMC
GNGT2	FXYD1
GNGT2	GRAP2
GNGT2	SYK
GNGT2	KDR
GNGT2	GNG3
GNGT2	CEBPA
GNGT2	PAX4
GNGT2	JUN
GNGT2	EDNRB
GNGT2	KCNJ16
GNGT2	PTAFR
CHRNA1	GNAI2
CHRNA1	UNC13B
CHRNA1	MYH3
NUDT22	PPARA
MORF4L1	VDR
MORF4L1	HSPA1B
MORF4L1	HSPA1A
MORF4L1	MRGBP
MORF4L1	SNW1
MORF4L1	HSPA4
MORF4L1	PAX4
MORF4L1	FAM9B
MORF4L1	DNAJB2
MORF4L1	EEF2
FOSB	SMAD3
FOSB	MAFG
FOSB	JUN
FOSB	CEBPA
IMPDH2	DNM1L
IMPDH2	TRIM25
IMPDH2	JUN
IMPDH2	NOG
IMPDH2	NT5E
IMPDH2	NTRK1
FXYD1	GNG3
FXYD1	UNC80
FXYD1	KCNJ16
FXYD1	STAT5B
FXYD1	TNF
HSF1	JUN
HSF1	HSPA1A
HSF1	SLC30A10
HSF1	VDR
HSF1	DNAJB6
HSF1	HSPA7
PARD6B	NOG
NTRK1	EGFR
NTRK1	CEBPA
NTRK1	VDR
NTRK1	NOG
NTRK1	EEF2
NTRK1	WAPL
NTRK1	SPTBN1
NTRK1	RPL5
NTRK1	MRPL3
NTRK1	USP4
NTRK1	SART3
NTRK1	HIST2H4B
NTRK1	PPP2R1A
NTRK1	AIMP2
NTRK1	SNW1
NTRK1	RPS25
NTRK1	HSPA1A
NTRK1	RIOK1
NTRK1	IGF2BP3
NTRK1	DNM1L
NTRK1	HSPA4
NTRK1	SQSTM1
NTRK1	ZW10
NTRK1	RPL9P7
NTRK1	SYNCRIP
NTRK1	NAMPT
NTRK1	ACSL3
NTRK1	HNRNPUL2
NTRK1	HSPA7
NOX4	AKR1C3
NOX4	AKR1D1
NOX4	NAMPT
SLC30A8	TNF
SLC30A8	HSPA1B
SLC30A8	HSPA1A
SMAD3	HSPA1B
SMAD3	HSPA1A
SMAD3	AKR1C3
SMAD3	HSPA4
SMAD3	PPP2R1A
SMAD3	AKR1D1
SMAD3	CEBPA
SMAD3	MDM4
SMAD3	VDR
SMAD3	TRIM25
SMAD3	SPTBN1
SMAD3	PPARG
SMAD3	HTT
SMAD3	SQSTM1
SMAD3	SNW1
SMAD3	DOCK9
SPERT	AIMP2
POMC	TNF
POMC	AKR1C3
POMC	AKR1D1
POMC	GNAI2
POMC	GNG3
POMC	GRM3
POMC	GNAI1
HOXC5	STAT5B
HOXC5	VDR
HOXC5	PAX4
LYRM2	FAM9B
LYRM2	NOG
NOG	SHB
NOG	MAFG
NOG	BAG2
NOG	SYNCRIP
NOG	WIPF1
NOG	PIR
NOG	NT5E
NOG	PCBP4
NOG	SLC30A10
NOG	STAT5B
NOG	KCNJ16
NOG	DOCK9
NOG	HSPA1B
NOG	VDR
NOG	JUN
NOG	AP1M2
NOG	HSPA1A
NOG	PPARA
NOG	PPARG
NOG	AKR1C3
NOG	KDR
NOG	HSPA4
NOG	EDNRB
NOG	DNAJB6
NOG	SART3
NOG	AKR1D1
NOG	SYK
NOG	SQSTM1
NOG	EGFR
NOG	GRM3
NOG	IGF2BP3
ALDH7A1	EGFR
ALDH7A1	PPARA
ALDH7A1	SLC27A5
ALDH7A1	ACSL3
KDR	SYK
KDR	GRAP2
KDR	PAK2
KDR	IGHV2-70
KDR	AIMP2
KDR	GNG3
KDR	TNF
KDR	PPARG
GNAI1	GNAI2
GNAI1	EGFR
GNAI1	GNG3
GNAI1	TRPV2
GNAI1	JUN
UNC13B	TRPV2
GNAI2	SLBP
GNAI2	RPL5
GNAI2	YBX1
GNAI2	EDNRB
GNAI2	GNG3
GNAI2	TRPV2
GNAI2	CYP2A6
GNAI2	PLEKHA7
GNAI2	EGFR
GNAI2	SPTBN1
GNAI2	EEF2
GNAI2	SQSTM1
GNAI2	SNW1
GNAI2	HSPA1A
GNAI2	PAX4
GNAI2	HSPA1B
HTT	SQSTM1
HTT	PAK2
HTT	DOCK9
HTT	CREB1
HTT	AKR1C3
HTT	TNF
HTT	DNAJB2
HTT	PPARG
HTT	EGFR
USP32	SYNCRIP
USP32	VDR
USP32	USP4
USP32	CEBPA
STAT5B	PRKAB2
STAT5B	PAK2
STAT5B	SDC1
STAT5B	WIPF1
STAT5B	JUN
STAT5B	TRIM25
STAT5B	EGFR
STAT5B	SYK
MSRA	AIMP2
MRPL32	MRPL3
MRPL32	JUN
MRPL32	MAFG
MRPL32	MRPL17
PPP2R1A	JUN
PPP2R1A	HSPA1A
PPP2R1A	CEP250
PPP2R1A	SCLT1
PPP2R1A	RPS25
PPP2R1A	TAF1
PPP2R1A	SQSTM1
PPP2R1A	EEF2
PPP2R1A	TRIM25
PPP2R1A	HSPA7
PPP2R1A	SLBP
PPP2R1A	AIMP2
PPP2R1A	HSPA1B
PPP2R1A	AMBRA1
BET1	CNBP
BET1	SPTBN1
NT5E	NAMPT
NT5E	TNF
SQSTM1	MAFG
SQSTM1	SPTBN1
SQSTM1	PPARG
SQSTM1	AIMP2
SQSTM1	JUN
SQSTM1	PAX4
SQSTM1	KCTD3
SQSTM1	SNW1
SQSTM1	SYNCRIP
SQSTM1	DNAJB2
SQSTM1	YBX1
SQSTM1	EGFR
SQSTM1	CEBPA
SQSTM1	EEF2
SQSTM1	TNF
SQSTM1	RPL5
SQSTM1	PPARA
SQSTM1	ATP6V0A1
SYK	WIPF1
SYK	GRAP2
SYK	TAF1
SYK	GNG3
SYK	EGFR
SYK	IGHV2-70
SYK	JUN
PPARG	EGFR
PPARG	CEBPA
PPARG	EDNRB
PPARG	VDR
PPARG	PPARA
PPARG	JUN
PPARG	MPO
PPARG	MAFG
PPARG	AKR1C3
PPARG	HIST2H4B
GRAP2	PAK2
GRAP2	GNG3
GRAP2	IGHV2-70
DNM1L	EEF2
DNM1L	SNW1
DNM1L	HSPA4
SYNCRIP	SNW1
SYNCRIP	SPTBN1
SYNCRIP	RIOK1
