#tail	head
DOK3	PLEKHA3
FGR	IGHV3-48
FGR	PRKCQ
PRKAR2B	INS
TAF1C	SIRT1
PRKCQ	HCK
PRKCQ	PIK3CD
NFKB1	INS
NFKB1	PRKACB
NFKB1	COMT
NFKB1	IGF1
NFKB1	CYP19A1
NFKB1	NPM1
FGF6	IGHV3-48
FGF6	GNG3
FGF6	PIK3CD
FGF6	BAIAP2
FGF6	ERBB2
INS	SET
INS	IGF1
INS	AGO2
INS	RHOU
INS	RPL38
CD2AP	HCK
NPM1	RPS20
NPM1	SET
NPM1	EFTUD2
NPM1	SETD1A
BAIAP2	ERBB2
BAIAP2	IGHV3-48
BAIAP2	PIK3CD
IGF1	KMT2B
IGF1	CYP19A1
IGF1	COMT
IGF1	ERBB2
RNPS1	RPS20
RNPS1	RPS27L
RNPS1	NUP210
RNPS1	PRCC
CYSLTR1	GNG3
COMT	HNF4A
COMT	CYP19A1
COMT	SIRT1
LDHA	SET
LDHA	SETD1A
HNF4A	ERBB2
HNF4A	SRPRA
HNF4A	EFTUD2
HNF4A	PRKACB
HNF4A	FCF1
HNF4A	NEK4
HNF4A	WASL
HNF4A	PRPF4
HNF4A	CCT8
RRP36	RPS27L
RRP36	FCF1
CSTF2T	EFTUD2
CSTF2T	HNRNPD
RPS20	RPS27L
RPS20	AGO2
RPS20	EFTUD2
KMT2B	KMT2C
KMT2B	CYP19A1
HCK	KRTAP10-8
EFTUD2	ILF2
EFTUD2	NEK4
EFTUD2	PRCC
EFTUD2	HNRNPD
EFTUD2	PRPF4
EFTUD2	CCT8
CTTNBP2NL	NEK4
GNG3	IGHV3-48
NUP210	AGO2
SETD1A	AGO2
SETD1A	NSF
SETD1A	HNRNPD
PIK3CD	IGHV3-48
PIK3CD	ERBB2
CCT8	PRPF4
FOXI1	LINC00311
CFAP20	PRPF4
WASL	RHOU
WASL	ERBB2
SYT7	NSF
PRPF4	PRCC
LNX1	KRTAP10-8
AGO2	RPL38
AGO2	RPS27L
AGO2	ILF2
SIRT1	GATA4
SIRT1	CYP19A1
SET	ILF2
SET	HNRNPD
MUC1	ERBB2
HNRNPD	PRCC
DOK4	RHOU
DOK4	LIX1
KMT2C	CYP19A1
