#tail	head
CDK9	CCDC87
SLC1A7	GCLC
SLC1A7	SLC9A6
SLC1A7	SLC4A9
SLC1A7	CAD
BAG5	SPTBN1
C7orf50	ESR2
FXYD2	SLC9A6
FXYD2	ATP1B3
FXYD2	HMGA1
PPP1R3A	PFDN2
GRK5	MTNR1A
GRK5	GNRHR
GRK5	GRM3
CAPZA1	SEPT7
CAPZA1	SPTBN1
CAPZA1	CUL7
CAPZA1	SMTN
CAPZA1	RILP
CAPZA1	CAPZA2
GOLGA4	MEIS1
GOLGA4	PPM1H
GOLGA4	ESR2
TOX4	LMNA
SLC17A8	SREBF1
NT5C1A	FHIT
SEPT7	AURKAIP1
SEPT7	HNRNPAB
SEPT7	GNA13
SEPT7	SSB
SEPT7	HIST1H1C
TRAPPC3	CAD
NRAS	HGF
NRAS	PPP2CB
NRAS	PPP2R1A
NRAS	ERBB4
DOT1L	PARP16
APOC1	ZBTB33
APOC1	SERTAD3
RPSA	SEPT2
RPSA	SPTBN1
RPSA	PXN
RPSA	ATP1B3
RPSA	EPS15L1
RPSA	HNRNPAB
SEPT2	EPS15L1
SEPT2	PSMD6
SEPT2	ESR2
SEPT2	CAPZA2
SPRY2	EIF4E2
SMAD2	ACVR1B
SMAD2	CAD
SMAD2	CAMK2A
SMAD2	CAMK2G
SMAD2	ESR2
SMAD2	PEX19
NEDD4L	HMGA1
GNA13	SPTBN1
GNA13	MTNR1A
GNA13	SEC13
GNA13	TRIM25
MAGT1	ESR2
MAGT1	RGSL1
FHIT	DNMT3A
ITGA2	PRG4
ITGA2	GPC4
NCOA1	CYP26A1
NCOA1	SLC4A7
NCOA1	CARM1
GPC4	CGB8
GPC4	NAMPT
GPC4	B4GALT7
GPC4	B3GALT6
SSB	NTRK1
SSB	TARDBP
SSB	ESR2
SSB	SMTN
ESR2	CLDN4
ESR2	CARM1
ESR2	SREBF1
ESR2	PXN
ESR2	PTGES3
ESR2	NAMPT
ESR2	LMNB2
ESR2	SMTN
ESR2	PSMC5
ESR2	CAD
ESR2	PPP1R10
ESR2	FOS
ESR2	TRIM25
ESR2	MMP2
CD81	HIST1H1C
CD81	LMNA
CD81	SPTBN1
PPP1R10	MEIS1
PARP16	MEIS1
MEIS1	STRN3
SEC13	PPP2CB
SEC13	PSMC5
SEC13	HIST1H1C
SEC13	EPS15L1
GRK7	MTNR1A
CLDN4	MMP2
CHRNA4	NAMPT
CHRNA4	SLC9A6
POMGNT2	TRIM25
PEX19	CA14
PEX19	MFSD5
PEX19	TMTC4
MMP2	IGF2
MMP2	MTNR1A
LMNA	HNRNPH1
LMNA	MFSD5
LMNA	FOS
LMNA	PSMD6
LMNA	NTRK1
LMNA	H2AFV
RARB	PSMC5
RARB	SREBF1
PTPRS	NTRK1
PSMC5	NTRK1
PSMC5	CAMK2A
PSMC5	CGB8
PSMC5	SMTN
NME5	GCLC
HMGA1	LMO4
PPP4R3A	NTRK1
NTRK1	ACVR1B
NTRK1	SPTBN1
NTRK1	PPP2R1A
NTRK1	EIF6
NTRK1	LMNB2
NTRK1	EPS15L1
SSBP1	PXN
SSBP1	LGALS7B
SSBP1	TRIM25
GLUL	TRIM25
B4GALT7	PIGC
HIST1H1C	SPTBN1
CAD	NME1-NME2
CAD	GCLC
CAD	SLC4A9
CAD	IGF2
DPH7	ZBTB33
MYL10	CACNG3
MYL10	PXN
PLA2G4A	CACNG3
PLA2G4A	CAPZA2
PLA2G4A	FADS2
TRAPPC5	TRAPPC1
CAPZA2	SPTBN1
CAPZA2	LRCH3
TRIM25	EIF6
TRIM25	TARDBP
TRIM25	PPP2CB
TRIM25	LGALS7B
TRIM25	INTS11
H2AFV	NSUN5P2
CACNG3	CAMK2G
NAMPT	LMNB2
PSMD6	SMTN
TRAPPC10	TRAPPC1
SPTBN1	ATP1B3
LMNB2	IGF2
LMNB2	CGB8
LMNB2	CUL7
PPP2CB	MTNR1A
ZC3H14	CUL7
ATP1B3	BTN2A2
ATP1B3	FADS2
LHFPL5	BTN2A2
SLC4A9	CAMK2G
SLC4A9	SLC7A6
SLC9A6	SLC7A6
LAMC3	PXN
CGB8	CARM1
CNGA3	TMX2
TMX2	MTNR1A
CAMK2G	SLC4A7
NUBP2	TARDBP
GCLC	SLC7A6
GCLC	CARM1
IGF2	CARM1
SLC4A7	SLC7A6
ACOX2	FADS2
