#tail	head
ARHGAP30	RHOT2
SLC47A1	S100A7
RPL10	HNRNPA1
RPL10	NF2
RPL10	RPS23
RPL10	MEPCE
RPL10	RPL3
RPL10	YBX1
RPL10	RPS9
RPL10	RPL19
RPL10	ILF2
RPL10	NOB1
ITGB2	YWHAZ
ITGB2	BGN
ITGB2	COPS5
ITGB2	SDC2
ACVRL1	TGFB2
ACVRL1	HSP90AA1
ACVRL1	PSMB7
ACVRL1	BMP2
ACVRL1	PSMA7
UPF2	RPL19
UPF2	HSF2BP
NOB1	RARA
FGF7	GRM1
FGF7	RHOA
FGF7	FGF1
FGF7	NRAS
FGF7	NRG1
CYP7A1	PPARG
CYP7A1	CXCL8
IGHV3-7	FGF9
IGHV3-7	VEGFA
IGHV3-7	RHOA
IGHV3-7	HSP90AA1
IGHV3-7	GRAP2
TAF15	RNF168
TAF15	ILF2
TAF15	COPS5
SLC9A2	SLC5A1
SLC9A2	GLUL
UPP1	EPM2A
UPP1	NOG
CEP41	TUBB
CEP41	MKI67
CEP41	IQCB1
CEP41	RAB8A
CEP41	YWHAE
CEP41	HSP90AA1
CD69	TSPO2
HNRNPA1	MKI67
HNRNPA1	RPS23
HNRNPA1	KRT16
HNRNPA1	YWHAZ
HNRNPA1	YBX1
HNRNPA1	RPL19
HNRNPA1	HSP90AA1
HNRNPA1	CALML3
HNRNPA1	DSP
HNRNPA1	RPS9
HNRNPA1	KRT34
HNRNPA1	MEPCE
HNRNPA1	COPS5
GRM1	IL9
GRM1	FGF9
GRM1	CXCL8
GRM1	NRG1
GRM1	TGFB2
GRM1	TUBB
GRM1	FGF1
GRM1	BMP2
GRM1	GH1
GH1	FGF9
GH1	SLC5A1
GH1	CXCL8
GH1	TRPV6
GH1	HIST1H4E
GH1	FASN
GH1	DIO2
GH1	NOG
GH1	SLC39A9
GH1	PPARG
CASP10	NOG
CASP10	RHOA
CASP10	SLC5A1
CASP10	SLCO2A1
CASP10	DSP
NRAS	RHOA
NRAS	JAK3
NRAS	FGF9
NRAS	IL5RA
S100A7	TYR
S100A7	IL1A
S100A7	PDHA1
S100A7	SLC39A2
S100A7	HMOX1
S100A7	MKI67
S100A7	COPS5
SRGAP1	YWHAZ
NUP85	IFI16
SLC39A9	IL1A
SLC39A9	DSP
SLC39A9	CPLX4
SLC39A9	HMOX1
SLC39A9	RTP2
SLC39A9	KRT16
SLC39A9	VEGFA
SLC39A9	CTNNB1
SLC39A9	KLK3
RARA	FASN
RARA	HSP90AA1
RARA	YBX1
RARA	COPS5
RARA	RPS9
RARA	YWHAE
RARA	MEPCE
RARA	HMOX1
RARA	RPL38
RARA	RPL3
RARA	PPARG
OR8D4	REEP2
OR8D4	REEP1
OR8D4	GNGT1
OR8D4	RTP2
KRT34	MNS1
CALML3	MKI67
CDK5RAP2	IQCB1
CDK5RAP2	PCBD1
CDK5RAP2	YWHAE
SMARCB1	TUBB
SMARCB1	HIST1H4E
SMARCB1	COPS5
HPRT1	IL1A
HPRT1	CXCL8
HPRT1	PPARG
RPL3	NF2
RPL3	RPS9
RPL3	CUL4B
RPL3	COPS5
RPL3	ILF2
RPL3	RPS23
RPL3	CTNNB1
CTNNB1	FGF9
CTNNB1	RHOA
CTNNB1	NOG
CTNNB1	YWHAE
CTNNB1	TUBB
CTNNB1	CUL4B
CTNNB1	JAK3
CTNNB1	SLC5A1
CTNNB1	SLCO2A1
CTNNB1	TYR
CTNNB1	MKI67
CTNNB1	BMP2
SLC5A1	BMP2
SLC5A1	HSP90AA1
SLC5A1	TRPV6
SLC5A1	PPARG
HSP90AA1	CUL4B
HSP90AA1	IQCB1
HSP90AA1	HSPA6
HSP90AA1	RHOA
HSP90AA1	YWHAZ
HSP90AA1	YBX1
HSP90AA1	FGF1
HSP90AA1	RPS9
HSP90AA1	YWHAE
HSP90AA1	VEGFA
HSP90AA1	GRAP2
HSP90AA1	COPS5
HSP90AA1	SLCO2A1
PSMB9	NOG
PSMB9	PSMB7
PSMB9	PSMA7
COPS5	DSP
COPS5	RPS23
COPS5	HSPA6
COPS5	PCBD1
COPS5	ILF2
COPS5	KRT16
COPS5	YWHAZ
COPS5	YBX1
COPS5	RPS9
COPS5	RPL19
ADORA2B	NRG1
ADORA2B	NOG
ADORA2B	GNGT1
ADORA2B	VEGFA
ADORA2B	IL1A
TUBB	CUL4B
TUBB	RPS9
TUBB	PPARG
TUBB	YWHAZ
KRT16	TRPV6
KRT16	CHKB
KRT16	IQCB1
JAK3	IL5RA
JAK3	IL1A
JAK3	RHOA
JAK3	IL9
JAK3	NOG
CHKB	GRAP2
TGFB2	PPARG
TGFB2	BGN
YWHAE	REEP1
YWHAE	KIAA0930
YWHAE	GP1BA
YWHAE	RAB8A
YWHAE	NOG
YWHAE	YWHAZ
YWHAE	HIST1H4E
GNGT1	RHOA
GNGT1	REEP4
GNGT1	CXCL8
GNGT1	REEP2
GNGT1	NOG
GNGT1	OR51A4
GNGT1	FGF1
GNGT1	OR2W1
GNGT1	GNAL
SLC39A2	CXCL8
FGF1	SDC2
FGF1	NRG1
FGF1	NOG
FGF1	VEGFA
OR4C45	REEP1
OR4C45	REEP2
OR4C45	GNAL
OR4C45	RTP2
MEPCE	RPL38
MEPCE	HSPA6
MEPCE	NOG
MEPCE	YBX1
COL4A5	BGN
COL4A5	TSPO2
IL9	IL5RA
OR6K2	GNAL
OR5B17	RTP2
RAB8A	IQCB1
TYR	HMOX1
TYR	CXCL8
TYR	VEGFA
SMC4	FGF9
SMC4	BMP2
RPL19	ILF2
RPL19	RPS23
RPL19	YWHAZ
RPL19	YBX1
RPL19	RPS9
RPL19	RPL38
SDC2	ITGA5
SDC2	NOG
SDC2	HS3ST4
RPS9	ILF2
RPS9	RPS23
IFI16	MKI67
IFI16	NOG
IFI16	HIST1H4E
GLUL	ZFAND2B
GLUL	NOG
NOG	DIO2
NOG	GNAL
NOG	REEP1
NOG	FASN
NOG	FGF9
NOG	HS3ST4
NOG	VEGFA
NOG	BGN
NOG	PSMB7
NOG	CUL4B
NOG	ANKRD11
NOG	HSPA6
NOG	KIAA0930
NOG	MNS1
PCBD1	PDHA1
PCBD1	CUL4B
FASN	PDHA1
YWHAZ	REEP1
YWHAZ	KIAA0930
YWHAZ	GP1BA
YWHAZ	DSP
YWHAZ	HIST1H4E
PPARG	CXCL8
PPARG	GPS2
PPARG	IL1A
PPARG	JUND
PPARG	BMP2
PPARG	HIST1H4E
PPARG	MKI67
OR2W1	REEP2
OR2W1	RTP2
OR2W1	REEP1
OR2W1	REEP4
MKI67	RHOA
PSMB7	IQCB1
IL5RA	IL1A
RPS23	ILF2
CUL4B	YBX1
CUL4B	HIST1H4E
CUL4B	ILF2
RHOA	NRG1
RHOA	PDHA1
RHOA	FGF9
IL1A	TRPV6
IL1A	DSP
IL1A	HMOX1
IL1A	VEGFA
GP1BA	HIST1H4E
GP1BA	TPST1
BMP2	KLK3
BMP2	GPS2
BMP2	JUND
GNAL	REEP2
GNAL	RTP2
GNAL	REEP1
GNAL	REEP4
COL4A6	BGN
COL4A6	ITGA5
SLCO2A1	CXCL8
SLCO2A1	JUND
REEP1	REEP4
REEP1	OR51A4
REEP1	REEP2
MYBPC2	TRPV6
JUND	CXCL8
REEP4	OR51A4
TRPV6	CXCL8
TRPV6	KLK3
TRPV6	DSP
ITGA5	BGN
GPS2	HIST1H4E
GPS2	ANKRD11
HIST1H4E	RNF168
HIST1H4E	KLK3
HIST1H4E	HMOX1
IQCB1	YBX1
IQCB1	DSP
VEGFA	HMOX1
VEGFA	YBX1
VEGFA	FGF9
DSP	PDHA1
RTP2	OR51A4
HMOX1	CPLX4
HMOX1	NRG1
FGF9	KLK3
