#tail	head
MRPS6	MKRN3
DGKD	IGLV1-51
DGKD	CD79B
CATSPER1	VIM
CATSPER1	C9orf24
PCBP1	PIK3CB
PCBP1	WRAP73
PCBP1	ELAVL1
PCBP1	H3F3B
PCBP1	YAP1
ELAVL1	ZC3HAV1
ELAVL1	FAAP20
ELAVL1	PTK2
ELAVL1	CDR2L
ELAVL1	TARDBP
ELAVL1	MECOM
ELAVL1	SIRT1
DDX21	C1orf131
DDX21	TARDBP
DDX21	FTSJ3
DDX21	DEK
DDX21	HIST1H4E
DDX21	HIST1H3F
KYNU	MECOM
KYNU	SIRT1
KYNU	LDHA
KYNU	NOG
NAA10	SNX33
PTPRC	YES1
PTPRC	PTPN6
PTPRC	WAS
PTPRC	TEK
RBPMS	NOG
NOXA1	C9orf24
VIM	NOG
VIM	DEK
VIM	SCNM1
VIM	TRPM7
VIM	GRIK4
RAN	UBB
INCA1	SCNM1
MKRN3	SCNM1
MKRN3	FAM124B
CRKL	WAS
CRKL	SH3GL1
NOG	ZC3HAV1
NOG	PIK3CB
NOG	PCBD1
NOG	STAT4
NOG	RMI2
NOG	WASF2
NOG	H3F3B
NOG	IL6R
NOG	HIST1H3F
NOG	TMEM107
PCBD1	NFKBIA
TEK	PIK3CB
TEK	PTK2
H3F3B	MECOM
H3F3B	SIRT1
H3F3B	HIST1H4E
IFNA21	PTPN6
IFNA21	IL6R
AKR1B1	NOX1
UBB	EIF3B
UBB	SIRT1
UBB	SH3GL1
A1CF	HNRNPAB
TOP3A	POLR2J
YES1	YAP1
YES1	SH3GL1
YES1	PIK3CB
YES1	NFKBIA
HNRNPAB	CHD4
HNRNPAB	HIST1H3F
DAZAP1	ASS1
WASF2	PIK3CB
CCDC153	FAM124B
FTSJ3	DEK
PRPF40A	POLR2J
PTPN6	PSMD2
PTPN6	CD79B
PTPN6	IGLV1-51
CDR2L	SCNM1
MECOM	HIST1H3F
MECOM	STAT4
DEK	HIBCH
DEK	PTK2
DEK	HIST1H3F
ZC3HAV1	TARDBP
EIF3L	CHD4
CLSPN	MRE11
HIST1H3F	CHD4
POLR2J	HIST1H4E
POLR2J	MRE11
CHD4	MRE11
YAP1	HIST1H4E
ZGPAT	SCNM1
FAAP20	MRE11
HIST1H4E	MRE11
PTK2	PIK3CB
PTK2	ATP2B4
SH3GL1	PIK3CB
