#tail	head
JCHAIN	IGLC2
SUDS3	HIST1H4A
SUDS3	HIST1H3E
SUDS3	HIST1H2BM
ACTA1	RHOG
ACTA1	NEK4
HIST1H3E	BRIX1
HIST1H3E	DHX38
HIST1H3E	HTT
HIST1H3E	H2AFZ
HIST1H3E	TBL1XR1
HIST1H3E	S100A6
HIST1H3E	RPS7
HIST1H3E	RPL14
HIST1H3E	SF3A1
HIST1H3E	RPL8
HIST1H3E	MRPS28
HIST1H3E	HSPD1
KIF3B	TMED2
KIF3B	SURF4
KIF3B	HNF4A
IGKV2D-30	SOS1
IGKV2D-30	PTPN6
IGKV2D-30	RHOG
UNKL	TFAP2A
NABP2	EDRF1
SF3A1	DHX38
SF3A1	HIST1H3C
SF3A1	GAPVD1
SF3A1	ENO1
SF3A1	UBE2N
SF3A1	CUL3
PGAM4	PRKACA
RPS7	EIF3E
RPS7	HIST1H3C
RPS7	SSR4
RPS7	RPSA
RPS7	ENO1
RPS7	HIST1H3F
RPS7	RPL14
RPS7	RPL8
RPS7	CUL3
RPS7	BRIX1
RPS7	TRIM25
RPS7	TUFM
RPS7	HIST1H2BM
RPS7	VDAC1
RPS7	HSPD1
PLK1	NUP98
PLK1	HIST1H3F
PLK1	H2AFZ
PLK1	NINL
PLK1	OFD1
PLK1	HIST1H4A
CNKSR1	CYTH2
H2AFZ	HIST1H3F
H2AFZ	HIST1H3C
H2AFZ	NEK4
H2AFZ	MORF4L1
OR5I1	FXR2
OR5I1	UBE2N
TUFM	HSPD1
TUFM	BRIX1
TUFM	SQSTM1
TUFM	TGFB1
TUFM	RPS20
TUFM	RPL8
AP2M1	HLA-DRB4
AP2M1	CUL3
AP2M1	MEIS1
AP2M1	HNF4A
AP2M1	SQSTM1
AP2M1	RPSA
AP2M1	SYNJ1
RHOG	SOS1
RHOG	TRIM25
RHOG	HNF4A
RHOG	HTT
RHOG	FGFR4
EDRF1	TCF12
RPSA	EIF3C
RPSA	EPS15
RPSA	RPS20
RPSA	RPL14
RPSA	VDAC1
RPSA	SYNJ1
RPSA	TFAP2A
RPSA	HSPD1
RPSA	SQSTM1
RPSA	EIF3E
RPSA	NEK4
RPSA	TBL1XR1
RPSA	ENO1
S100A8	SLC39A5
S100A8	TCF12
S100A8	TGFB1
HLA-DRB4	PTPN6
DIAPH3	OFD1
DIAPH3	NINL
IGHV2-5	KDR
IGHV2-5	FGFR4
IGHV2-5	SOS1
MAP2K2	TRIM25
MAP2K2	TFAP2A
WEE1	PTPN6
HSPD1	PRKACA
HSPD1	SQSTM1
HSPD1	KDR
HSPD1	EIF3E
HSPD1	HIST1H3C
HSPD1	ENO1
HSPD1	HIST1H3F
HSPD1	EIF3C
HSPD1	HNF4A
HIST1H2BH	TBL1XR1
HIST1H2BH	RPL14
HIST1H2BH	BRCC3
HIST1H2BH	HIST1H3F
HIST1H2BH	MEIS1
HIST1H2BH	NUP98
NCOA1	CYTH2
NCOA1	PRKACA
HMGN3	TERF2
HMGN3	SRPK2
F2R	TMED2
F2R	TGFB1
FAM208B	CUL3
SYNJ1	HTT
SYNJ1	SQSTM1
MEIS1	MDK
MEIS1	HIST1H3C
MEIS1	RNASE4
MEIS1	HIST1H4A
MEIS1	TFAP2A
PABPC4	CUL3
PABPC4	BRIX1
PABPC4	RPL8
PABPC4	SRPK2
PABPC4	NEK4
TMED2	SURF4
HIST1H3C	BRIX1
HIST1H3C	TBL1XR1
HIST1H3C	RPS20
HIST1H3C	DHX38
HIST1H3C	KDM4D
HIST1H3C	TCF12
HIST1H3C	HTT
HIST1H3C	S100A6
HIST1H3C	HIST1H2BM
HIST1H3C	RPL14
HIST1H3C	RAD50
ENO1	CUL3
ENO1	EIF3C
ENO1	NEK4
ENO1	HTT
ENO1	LRPPRC
TGFB1	PRKACA
TGFB1	HNF4A
TGFB1	NUP98
TGFB1	VDAC1
TGFB1	SQSTM1
TGFB1	FXR2
TBL1XR1	PRKACA
TBL1XR1	TRIM25
TBL1XR1	HIST1H2BM
KDM4D	HIST1H3F
RAD50	HIST1H3F
RAD50	UBE2N
RAD50	OFD1
RAD50	BRCC3
RAD50	HIST1H2BM
SRPK2	CUL3
SRPK2	FXR2
SRPK2	TRIM25
MORF4L1	HIST1H4A
MORF4L1	FXR2
UBE2N	HNF4A
UBE2N	TRIM25
UBE2N	TRAF2
UBE2N	SQSTM1
IGLC2	SOS1
IGLC2	PTPN6
IGLC2	KDR
IGLC2	FGFR4
CUL3	FXR2
CUL3	EIF3C
CUL3	NT5C1B
CUL3	RPS20
CUL3	HIST1H4A
CUL3	SQSTM1
CUL3	UMPS
CUL3	DHX38
LRPPRC	TRIM25
KDR	PTPN6
KDR	PRKACA
HTT	HIST1H3F
RPL8	HIST1H2BM
RPL8	RPS20
RPL8	EIF3E
RPL8	RPL14
RPL8	TRIM25
RPL8	EIF3C
DENND5A	TRIM25
SQSTM1	TRAF2
TRIM25	BRIX1
TRIM25	S100A6
TRIM25	HIST1H4A
TRIM25	NT5C1B
TRIM25	RPL14
FXR2	TERF2
FXR2	TRAF2
EIF3C	VDAC1
SSR4	VDAC1
VDAC1	PCSK6
VDAC1	TRAF2
VIPR2	FAM241A
TERF2	HIST1H4A
PTPN6	SOS1
MRPS28	HIST1H3F
MRPS28	HNF4A
DHX38	HIST1H3F
HIST1H4A	HIST1H2BM
HIST1H4A	HIST1H3F
HIST1H4A	EPS15
HNF4A	BRIX1
HNF4A	SOS1
HNF4A	SLC39A5
HNF4A	NEK4
RPS20	EIF3E
RPS20	HIST1H3F
SLC39A5	FGFR4
HIST1H3F	HIST1H2BM
FGFR4	SOS1
TFAP2A	SOS1
TFAP2A	KLF12
TFAP2A	EPS15
PCSK6	KLF12
GAPVD1	EPS15
