#tail	head
GTSE1	PSMB9
SRF	KCTD15
HNRNPL	SPTAN1
HNRNPL	PCDHGB1
HNRNPL	PCBP2
GATA1	MYH6
GATA1	SKAP1
SNAI1	POU5F1
DUSP9	TIE1
GRIN1	CAMK2D
VTN	MT2A
TMPRSS11B	CANX
NOM1	RPS8
ESRRA	RARA
ATP6V1A	TPP1
GPX1	NFKBIA
MRPS30	RARA
MGAT2	PIGQ
CCT3	VBP1
CCT3	SKIV2L
TIE1	ANGPT4
ZNF202	ZSCAN20
RPL23A	RPL26L1
NME3	ITPA
NME3	GALNT12
KRT40	CCDC93
KRT40	MARK4
IRX4	VDR
RPLP0	UPF2
YES1	SEH1L
STOML2	DNAJA2
STOML2	PDLIM2
FARSB	SLC3A2
CHIC2	CEP44
ASPSCR1	VCP
CSK	EREG
CSK	PTPRS
VPS37C	RFX6
ZMYND19	RFX6
INSR	DUSP6
RETN	SOD1
SNU13	DDX46
DDIT4L	NAV1
HIST1H2AM	MTRR
EIF3M	CIAO2B
CDKN1A	GPR33
CDKN1A	CABIN1
PHB2	AKAP1
PHB2	IKBKE
CHD4	TAF1D
SSTR4	GPSM1
TBP	HNF4A
APOA1	SDC2
APOA1	NPHS1
PARK7	OTUB1
NCBP1	JUN
CKS1B	HNF4A
MRPL13	MRPL9
SREBF1	CTNS
SREBF1	PATL1
KRT8	ESR2
CANX	RETREG1
CANX	EMD
CANX	AAAS
AGTR2	EGF
C1R	MT2A
MOAP1	RPS27A
H2AFX	PCGF1
H2AFX	ANXA6
H2AFX	IL4
H2AFX	MAFB
NFKBIA	CAPN1
SNIP1	SF3B1
MYOD1	HIST1H3F
UBC	PNMA8A
HSPB1	FXR1
POMC	PRLR
EBF2	VDR
MT2A	HPR
OAZ1	RNF20
RPL28	RPS3
VDR	SLC25A10
RALBP1	RHOU
OR2M7	REEP2
OR2M7	RTP1
HNF4A	ZNF133
HNF4A	HIKESHI
CLCA2	CEP44
SND1	YAP1
ABI3	JUN
SORT1	IL6
SAP130	HIST1H2BJ
UBAP1	INS
VAV1	AKAP2
CYB5B	TMEM216
PPIE	DHX16
SLC3A2	SLC3A1
HSPA5	TRPV1
SEH1L	NAGK
LUC7L2	RPL7
RPS3	TRIP4
ESR2	KIF15
ESR2	KIF21A
ESR2	MPPED2
DHRS3	REPIN1
SULT1A4	BPNT1
ELK1	TIGD1
SCAND1	ZNF213
PRKCD	PIK3C3
KPTN	CREB1
INS	FERMT1
INS	FZD3
INS	COPZ1
INS	DCN
SGTA	HNRNPA0
CSTF1	RACGAP1
PRKACA	CA2
MAPK8	F2
GSS	SLC38A1
GMCL1	FLG
TP73	C9orf3
SLC5A1	JUN
RNF20	SMURF2
BAG1	HSPA13
TINAG	JUN
ITGA5	ARF6
APCS	HIST3H2BB
CYP2C9	F2
JUN	SLC41A1
SLC24A3	ATP1B1
CACNA2D3	EGF
BBC3	ATP7B
ARF6	PRL
YWHAG	KRT31
PRIMA1	FOXD3
