#tail	head
USP9Y	COPS7A
FN1	PCMT1
FN1	NOG
FN1	TIMD4
FN1	PRMT1
FN1	ITGB5
FN1	SMAD3
FN1	PHGDH
FN1	MATR3
FN1	RPS27A
FN1	RUNX1
FN1	IL2
FN1	COPG1
FN1	TP53
FN1	UBC
FN1	SET
FN1	RARA
ADSSL1	GMPR
PRKCZ	IL2
PRKCZ	RPS27A
PRKCZ	UBC
PRKCZ	TCF3
PRKCZ	RARA
PRKCZ	SLC24A5
PRKCZ	SMPD2
PRKCZ	LRRC7
SMN2	PHGDH
SMN2	UNC119
SMN2	OAT
SMN2	HADHB
SMN2	MATR3
SMN2	DYNC1I1
SMN2	SET
SMN2	EGLN3
SMN2	PRMT1
SMN2	TP53
SMN2	GNA13
SMN2	RARA
SMN2	HIST1H4K
SMN2	ELAVL1
SMN2	SEC13
SMOC2	NOG
SMOC2	ATP12A
PLK1	HSPA1B
PLK1	SFI1
PLK1	EGLN3
PLK1	SEC13
PLK1	RPS27A
PLK1	HIST1H4K
PLK1	UBC
OR52N1	REEP2
OR52N1	RTP2
HIST1H4K	NCOR2
HIST1H4K	IL2
HIST1H4K	CENPW
HIST1H4K	MARS
HIST1H4K	CUL4A
HIST1H4K	SET
HIST1H4K	RARA
HIST1H4K	PRMT1
HIST1H4K	TBL1XR1
HIST1H4K	HDAC3
HIST1H4K	RPS27A
HIST1H4K	TERF2
HIST1H4K	RUNX1
RARA	NCOR2
RARA	TP53
RARA	UBC
RARA	MAZ
RARA	NOS2
RARA	HDAC3
RARA	TBL1XR1
RARA	COPG1
RARA	NCOA2
RARA	PRMT1
RARA	CENPW
RARA	IFNG
RARA	CUL4A
RARA	RUNX1
CREM	RUNX1
CREM	IL2
CREM	NOG
CREM	NFATC1
HLA-DRB4	SEC13
HLA-DRB4	KIF15
NCOR2	IFNG
NCOR2	NOG
NCOR2	MARS
NCOR2	NOS2
NCOR2	EGLN3
NCOR2	HDAC3
NCOR2	NR5A2
NCOR2	SMAD3
MATR3	SEC13
MATR3	PHGDH
MATR3	MAZ
MATR3	UBC
MATR3	NOG
MATR3	TNFRSF21
RAB3A	NOG
RAB3A	MAZ
RAB3A	CTPS1
RAB3A	LRRC7
RAB3A	SLC24A5
TBPL1	RUNX1
TBPL1	ELAVL1
TBPL1	TERF2
CLDND1	SET
CLDND1	SEC13
CLDND1	PHGDH
HERC1	ZNF610
HERC1	AMPD1
HERC1	UBC
HERC1	NOS2
GNA13	CACYBP
GNA13	ARHGEF12
GNA13	SET
GNA13	SEC13
GNA13	ELAVL1
ZDHHC8	PAX4
NCOA1	TP53
NCOA1	SLC24A5
NCOA1	LRRC7
NCOA1	TBL1XR1
NCOA1	NCOA2
NCOA1	ZNF610
NCOA1	PRMT1
NCOA1	NR5A2
NCOA1	SMAD3
REST	TERF2
REST	NOG
REST	RPS27A
REST	MAZ
REST	UBC
ELAVL1	RUNX1
ELAVL1	HMG20A
ELAVL1	TCF3
ELAVL1	PAX4
ELAVL1	HSPA1B
ELAVL1	TERF2
ELAVL1	ZNF623
ELAVL1	TP53
ELAVL1	NOG
ELAVL1	TNFRSF21
ELAVL1	CAPZA2
ELAVL1	UBE2G1
RNF34	UNC119
RNF34	UBC
RNF34	RPS27A
RNF34	TP53
RNF34	UBE2G1
SEC13	COPG1
SEC13	DYNC1I1
SEC13	CAPZA2
SEC13	PRMT1
SEC13	SET
SEC13	OAT
SEC13	PHGDH
SEC13	TBL1XR1
ADSL	PRKAB1
ADSL	AMPD1
ADSL	UBC
NCOA2	TNFRSF21
NCOA2	NR5A2
NCOA2	MAZ
NCOA2	LRRC7
NCOA2	EGLN3
LRRC7	RUNX1
LRRC7	SLC24A5
LRRC7	ITGB5
LRRC7	NFATC1
LRRC7	SLC7A6
INSIG2	HSPA1B
OR7A10	REEP2
OR7A10	REEP6
NLN	TCF3
NLN	PAX4
NLN	RUFY1
NLN	NOG
TBL1XR1	EGLN3
TBL1XR1	PHGDH
UBC	TP53
UBC	AMPD1
UBC	FBXL19
UBC	NOS2
UBC	FBXW5
UBC	HADHB
UBC	PRKAB1
UBC	RPS27A
UBC	CAPZA2
UBC	KBTBD6
UBC	EGLN3
UBC	UFC1
UBC	MARC1
UBC	CUL4A
PRMT1	TP53
PRMT1	SET
PRMT1	NOG
PRMT1	RUNX1
PRMT1	PHGDH
PRMT1	CTPS1
PRMT1	SHMT2
PRMT1	TERF2
MARS	CTPS1
MARS	PRKAB1
MARS	TP53
MARS	ASNS
EGLN3	PHGDH
EGLN3	TFB2M
EGLN3	CAPZA2
EGLN3	TP53
EGLN3	TCF3
EGLN3	CTPS1
EGLN3	HADHB
COPS7A	FBXW5
COPS7A	MAZ
COPS7A	KBTBD6
COPS7A	CUL4A
NOS2	IFNG
NOS2	RPS27A
NOS2	NOG
NOS2	TP53
NOS2	SLC7A6
NOS2	GMPR
NOS2	MARC1
SMAD3	HSPA1B
SMAD3	TCF3
SMAD3	ITGB5
SMAD3	S100B
SMAD3	LEMD3
SMAD3	HDAC3
SMAD3	RPS27A
SMAD3	SLC4A2
LHX8	NOG
LHX8	FOXN1
RFX1	PAX4
RFX1	SLC4A2
NOG	KIF15
NOG	CD40
NOG	TNFRSF21
NOG	HSPA1B
NOG	SLC7A6
NOG	ITGB5
NOG	S100B
NOG	REEP6
NOG	ZNF610
NOG	KCNA2
NOG	MARC1
NOG	UNC119
NOG	NFATC1
NOG	SHMT2
NOG	ASNS
NOG	TCF3
GMPR	ASNS
GMPR	AMPD1
GMPR	CTPS1
TFB2M	MARC1
TFB2M	MAZ
COPG1	SET
COPG1	RUFY1
COPG1	KIF15
MEAF6	KBTBD6
MEAF6	TP53
UBE2G1	RPS27A
UBE2G1	KBTBD6
UBE2G1	FBXL19
HMG20A	SHMT2
HMG20A	HSPA1B
HMG20A	CCDC93
CAPZA2	PHGDH
CAPZA2	DYNC1I1
ZNF623	SHMT2
PCMT1	TP53
RPS27A	FBXW5
RPS27A	PRKAB1
RPS27A	UFC1
RPS27A	UNC119
RPS27A	TCF3
RPS27A	CUL4A
FBXL19	MAZ
FBXL19	PAX4
FBXL19	UBE2S
FBXL19	AMPD1
TIMD4	ITGB5
RGS6	TCF3
TERF2	TCF3
OR4C15	REEP2
CD40	IFNG
AMPD1	CTPS1
AMPD1	FBXW5
AMPD1	KBTBD6
ARHGEF12	PAX4
ARHGEF12	MAZ
FOXN1	TCF3
FBXW5	CUL4A
NFATC1	IL2
ITGB5	SLC24A5
CADM4	SHMT2
PRKAB1	CTPS1
PRKAB1	OAT
PRKAB1	HSPA1B
PRKAB1	CACYBP
TMEM86B	RTP2
REEP6	OR56B1
REEP2	OR56B1
TP53	IFNG
TP53	CUL4A
TP53	KIF15
TP53	UBE2S
TP53	PAX4
TP53	SHMT2
TP53	S100B
TP53	HADHB
CTPS1	ASNS
RUNX1	HDAC3
RUNX1	IFNG
RUNX1	TCF3
RUNX1	SLC24A5
IL2	IFNG
IL2	S100B
IL2	PAX4
HDAC3	OLFM4
HDAC3	TCF3
HADHB	PHGDH
HADHB	SET
TNFRSF21	HSPA1B
TNFRSF21	TCF3
PAX4	CCDC93
IFNG	HSPA1B
IFNG	S100B
PHGDH	MAZ
PHGDH	SET
PHGDH	HSPA1B
PHGDH	ASNS
SLC24A5	KCNA2
ASNS	OAT
ASNS	SLC7A6
MAZ	TCF3
MAZ	SET
MAZ	SLC4A2
MAZ	UNC119
OAT	SET
OR56B1	RTP2
SET	HSPA1B
CACYBP	S100B
KBTBD6	UBE2S
