#tail	head
GOT1L1	ALDH18A1
HIST1H3D	SRC
HIST1H3D	CDH1
HIST1H3D	EGR2
HIST1H3D	GNL2
HIST1H3D	PHKG2
SIRT5	ABCC1
GNL2	FOS
GNL2	GABPB1
GNL2	MEIS1
GNL2	G3BP2
SF3B1	MYBBP1A
SF3B1	HIST1H2BH
SF3B1	RNPS1
SF3B1	POLR2E
SF3B1	SF1
SF3B1	FOXN1
SF3B1	CSNK2A1
CD59	SRC
CYFIP1	HECW2
CYFIP1	LEF1
CYFIP1	IGHV4-39
CYFIP1	IGHV1-46
CYFIP1	NOG
CYFIP1	MYBBP1A
CSNK2A1	RBBP5
CSNK2A1	JADE2
CSNK2A1	LEF1
CSNK2A1	FOS
CSNK2A1	PAX4
CSNK2A1	CSNK2A2
CSNK2A1	WAS
CSNK2A1	CDH1
CSNK2A1	AHCY
CSNK2A1	ABCC1
SLC8A1	NOG
SLC8A1	SLC17A2
SLC8A1	PTK2
SMURF1	CLTC
SMURF1	FGR
SMURF1	PSME3
SMURF1	PPP2CA
LEF1	WNT8B
LEF1	HIST2H2AA3
LEF1	STX1A
LEF1	NDUFS2
LEF1	PCF11
LEF1	MYEF2
LEF1	FOS
LEF1	GTF2A2
LEF1	FOXF2
LEF1	HIST1H2BH
LEF1	MEIS1
LEF1	SLC17A2
LEF1	SF1
LEF1	PLCG1
LEF1	MYL6B
LEF1	LHX6
SLC17A2	LRRC8D
TSPAN13	POU2F1
TSPAN13	PAX4
ERH	SPECC1
PLK1	HIST2H2AA3
PLK1	PTK2
PLK1	HIST1H2BH
PLK1	OPTN
PPP2CA	CLASP2
PPP2CA	DYNC1I1
PPP2CA	SRC
PPP2CA	RRAS
PPP2CA	WNT8B
PPP2CA	ABCC1
PPP2CA	POU2F1
ITGA6	PTK2
ITGA6	CDH1
ITGA6	SDC3
FOXF2	MEIS1
FOXF2	POU2F1
FOXF2	JADE2
FOXF2	DYNC1I1
FOXF2	CPEB3
FOXF2	PCF11
ATP2B3	PHKG2
ATP2B3	ITGA1
ATP2B3	MEIS1
CLTC	CAPZB
CLTC	RPS27A
CLTC	SRC
CLTC	EGR2
CLTC	MEIS1
POU2F1	HIST2H3A
POU2F1	FOXN1
POU2F1	GTF2A2
POU2F1	WNT8B
POU2F1	RRAS
POU2F1	POLR2E
POU2F1	ZEB1
POU2F1	DMD
POU2F1	AHCY
POU2F1	EGR2
POU2F1	HIST2H2AA3
NPY	GRM6
NPY	PTK2
NPY	FZD2
BAZ1B	ING3
BAZ1B	PTPMT1
BAZ1B	POLR2E
NCOA1	PTK2
NCOA1	GTF2A2
NCOA1	FOS
CATSPERG	MYL6B
CATSPERG	STX1A
HECW2	EIF3I
HECW2	AHCY
HECW2	KDM4D
HECW2	NOG
KLF3	LHX6
HIST1H2BH	HIST2H2AA3
HIST1H2BH	RBBP5
HIST1H2BH	CAPZB
HIST1H2BH	CTCF
RCN1	DUSP21
RCN1	AHCY
RCN1	SF1
RCN1	CTTN
DUSP21	SRC
DUSP21	TPST1
DUSP21	FGR
MYBBP1A	RNPS1
MYBBP1A	NSD2
MYBBP1A	HIST2H2AA3
SLC18A1	HACD2
SLC18A1	PTPMT1
MEIS1	HIST2H3A
MEIS1	UNC5C
MEIS1	FOS
MEIS1	LHX6
MEIS1	RBBP5
MEIS1	DMD
MEIS1	NOG
SF1	CDH1
SF1	ZNF703
SF1	RBBP5
SF1	G3BP2
SF1	CTTN
SF1	COMT
SF1	RNPS1
SF1	CSNK2A2
SF1	POLR2E
CAPZB	DYNC1I1
CAPZB	CDH1
GRIK4	DMD
GRIK4	RAB5A
GRIK4	STX1A
KDM4D	HIST2H3A
MYEF2	TADA2A
FOS	CDH1
FOS	AHCY
FOS	COMT
FOS	ABCC1
FOS	CSNK2A2
FOS	NOG
FOS	POLR2E
FOS	HIST2H2AA3
FZD2	PTK2
FZD2	WNT8B
POU6F2	DMD
NOG	RRAS
NOG	ZEB1
NOG	GUCA1A
NOG	GHRH
NOG	CDH1
NOG	NSD2
NOG	CTTN
NOG	LPCAT4
NOG	SPECC1
NOG	PLD1
NOG	ZNF703
NOG	PTK2
RBBP5	HIST2H2AA3
RBBP5	SRC
RBBP5	CSNK2A2
RBBP5	POLR2E
RBBP5	HIST2H3A
RBBP5	CTTN
RBBP5	CTCF
GTF2A2	GABPB1
GTF2A2	PSME3
GTF2A2	UNC5C
GTF2A2	POLR2E
HIST2H2AA3	EGR2
HIST2H2AA3	HIST2H3A
MEAF6	JADE2
MEAF6	ING3
GUCA1A	MYL6B
CTCF	EGR2
CTCF	CDK19
CTCF	POLR2E
GABPB1	TPD52L2
GABPB1	RNPS1
GABPB1	RRAS
IGHV1-46	PLCG1
LHX6	ZEB1
PTPMT1	SRC
PTPMT1	TPST1
RPS27A	PSME3
NSD2	AHCY
ING3	JADE2
ING3	ZEB1
ING3	PLD1
RAB5A	SRC
RAB5A	CTTN
RAB5A	SPECC1
FGR	SRC
LAMTOR1	AXIN1
LAMTOR1	FOXN1
AMMECR1	ZNF703
ITGA1	MYL6B
ITGA1	SDC3
ITGA1	SRC
MYL6B	CHRNA7
CHRNA7	STX1A
CHRNA7	SRC
POLR2E	EGR2
POLR2E	RNPS1
POLR2E	PCF11
POLR2E	HIST2H3A
POLR2E	CDH1
EIF3I	TADA2A
SRC	G3BP2
SRC	CTTN
SRC	IGHV4-39
SRC	PLD1
SRC	ZNF703
SRC	SPECC1
RNPS1	PCF11
PLD1	LPCAT4
STX1A	ZEB1
COMT	PTK2
COMT	PSME3
TADA2A	HIST2H3A
NDUFS2	AHCY
NDUFS2	EGR2
NDUFS2	CTTN
NDUFS2	ZEB1
PSME3	AXIN1
PSME3	PAX4
AXIN1	CDH1
DMD	PAX4
PCF11	ZEB1
RRAS	PLCG1
RRAS	PTK2
SPECC1	CDH1
SPECC1	CTTN
HIST2H3A	EGR2
PAX4	JADE2
PAX4	WNT8B
ZEB1	EGR2
ZEB1	JADE2
CSNK2A2	WAS
PTK2	SDC3
PTK2	WAS
PTK2	CTTN
CTTN	WAS
CTTN	G3BP2
PLCG1	WAS
SDC3	WNT8B
WNT8B	DKK2
