#tail	head
EPRS	SEPT7
NOG	WNT10B
NOG	SLC1A3
NOG	CTSD
SHKBP1	ATP6V1A
ACTA1	PCDHB6
HOXB2	HIST1H3J
TSC22D1	RPN2
GNG12	IGHV3-23
GNG12	IGKV2D-40
TBP	DKK4
TBP	HIST1H4E
TBP	HDAC1
CHEK1	TP73
CHEK1	COPS5
DLD	PDHA2
TSPAN12	PMP22
MGMT	LEP
UBA1	EFTUD2
UBA1	CUL1
UBA1	RPSA
POLR2I	H2AFJ
COBL	SRRM2
HIP1R	SH3GL2
GNA11	LPAR2
GNA11	FZD6
GNA11	CCL3
CSMD2	CRK
DGKI	GNG7
PCDH7	ETS2
MAZ	FOXL2
MAZ	FAF2
MAZ	MALL
MAZ	HSPA8
MAZ	ERBB3
MAZ	RORB
MAZ	KEL
PRRC2B	CRK
WDR34	CLUAP1
TRIM11	AMPD3
PABPC1	RPSA
PABPC1	EFTUD2
PABPC1	PRPF19
PABPC1	HNRNPK
PABPC1	SORBS2
PABPC1	RPL5
GATAD2A	MEAF6
MAPK3	NUP50
PIP5K1A	NRG1
RBM10	YWHAE
RBM10	CUL7
PDLIM2	STOML2
SRP68	EFTUD2
SRP68	RPL29
SLC1A3	TTLL5
SLC1A3	QARS
NR0B2	CGA
HLA-DPA1	DYNLL1
UPF2	EEF2
UPF2	EIF3B
UPF2	ZNF408
CTNNB1	PGK1
CTNNB1	XRCC6
CTNNB1	HIST2H4A
CTNNB1	DEFA1B
RPL9	SRSF3
RPL9	ATF1
NDUFAF6	NDUFS7
ATRX	NAF1
SLC25A16	PDHA2
VPS4B	HIST1H1B
LANCL1	CUL3
TMEM128	GRB2
DENND3	HIST2H4A
LEPR	IL10
CKMT1A	CALM3
ATP6V1A	ATP6V1G2
DYNLL1	TRAF3IP3
DYNLL1	SLC25A10
DYNLL1	RAB11A
SFPQ	HSPA8
SFPQ	GSN
NPLOC4	RFC5
CHD1	DHX9
CD70	ELOVL4
MED15	TADA2A
TKT	ACSS1
FYN	SOS1
PMP22	MSX1
PMP22	EBP
HNRNPH1	ATF1
HNRNPH1	SPG21
HNRNPH1	NTRK1
HNRNPH1	RPS24
LMNB1	JUN
LMNB1	MAP1LC3A
LMNB1	HIST1H2BG
PPA1	SH3KBP1
COL6A1	LAMA2
DNMT3A	HIST1H3D
CISH	GATA1
DHX9	SF3B2
DHX9	CUL7
DHX9	ABCF1
DHX9	CTNNBL1
PPFIA1	MCOLN1
RABGAP1	MAP1LC3A
NR1D2	RORC
ELF2	ESR2
TP53I3	TP73
UBE2D2	ASB5
PIGQ	B4GAT1
SRRM1	CUL3
RNPS1	NUP50
PRPF8	SNRNP70
PRPF8	NTRK1
NTRK1	WWP2
NTRK1	TBCD
NTRK1	NOMO1
NTRK1	WDR35
COPB2	IKBKG
AEBP2	IL10
B3GNT9	MUC12
SUZ12	EBNA1BP2
SUZ12	SRSF3
SUZ12	HIST1H3A
UNC119	COX17
UNC119	OGT
PDLIM1	SORBS1
HSD17B3	DECR1
LAMA2	HIST1H1B
LAMA2	COL9A3
LAMA2	YWHAB
MAPKAP1	PLD2
ILF2	RPS24
ILF2	SH3KBP1
ILF2	ICAM1
ILF2	HDAC5
SH3KBP1	FLNA
SH3KBP1	PDHA1
SH3KBP1	SLC4A7
NCR2	PCNA
RNASEH2B	ABCA2
SLC4A7	SLC9A4
SLC4A7	RAB30
FARP1	CXCL8
CNDP2	ALDH3B2
CNDP2	SLC7A5
CEP131	CEP72
RAB11A	ZIC2
RAB11A	PAX4
RAB11A	PIK3R3
GSN	GRB2
GSN	TTPAL
GSN	ESR2
MYH9	CALD1
MYH9	RPL5
MYH9	CALM2
MYH9	UNC45A
MYO7A	CALM3
CLU	KRT1
CARD10	DUSP26
HIST1H3A	ATF7IP
HIST1H3A	HDAC5
HIST1H3A	ICAM1
HIST1H3A	YWHAB
AGPAT2	PYCR2
TNNI1	CCDC57
SNRNP70	FLNA
SNRNP70	XRCC6
EEF2	MAX
EEF2	HNRNPL
EEF2	WWP2
SPTAN1	DNAH6
SPTAN1	AAGAB
SPTAN1	GEMIN2
SPTAN1	CAPZA1
F11R	SLC35A1
AMPD1	COPS5
LZTS2	NCBP2
MMP14	HSPG2
CUL3	TUBA1A
CUL3	ESR2
CUL3	PPP1R15A
CUL3	EFTUD2
UBN1	HIST1H3H
ACTR5	MKI67
FBXL8	AMPD3
ECH1	ECI2
SRPK1	JUN
TUBA1A	CHRM4
TUBA1A	FLNA
GATA1	EPOR
GATA1	HIST1H3J
GATA1	WWP2
GATA1	HSPG2
UBE2L6	WWP2
RPL9P9	EED
MUC17	GALNT2
EDN1	PPARA
HIST1H1B	MLLT10
HIST1H1B	EFTUD2
HIST1H1B	EIF2AK1
WIPI2	BNIP3L
PTP4A3	SSR1
QARS	SRC
QARS	STAU1
RPRD1B	PGK1
RPRD1B	TUBA1B
UGT1A9	B4GALT4
TFCP2	NPEPL1
NDUFV3	NDUFA8
DUSP26	LTK
CAPZA1	LRRK2
ATF1	MTAP
ATF1	KIF22
ATF1	TP73
ATF1	PTBP1
PPP2CA	CTDP1
ABCG4	PAX4
RORC	GLB1
BTC	FGF22
FLNA	CAMK2G
CACNB3	SORBS1
CACNB3	ITGA1
NCL	RC3H1
NCL	SRSF3
SGPP2	SPHK1
GARS	STAU1
SRRM2	HIST1H3J
SRRM2	XRCC1
SRRM2	SF3B2
SRRM2	PRKACA
HNRNPL	CROCC
HNRNPL	HNRNPK
HNRNPL	PARVB
HNRNPL	SNRPD2
HNRNPL	ATXN2
HNRNPL	USP15
NDUFB3	NDUFC1
AGTRAP	HSFX2
TXNDC15	MARCH6
NDST1	IDS
CSNK1G2	SMAD3
TMEM45A	GJA8
LARP7	OGDH
RPLP1	RPL5
RPLP1	MYL12A
RPLP1	SSR1
PAX4	STOML2
PAX4	STAG3
PAX4	CREB3
PAX4	FAM110A
PAX4	GK
HIST1H3D	HMGA2
HIST1H3D	KIF22
TRAT1	TRIM24
PIK3R3	GNB2
FRK	PCDHB6
CALM3	SSRP1
CALM3	RGS4
SPATA31A7	PALB2
PRKACA	SERPINB9
PRKACA	APC
PRKACA	LEP
NEK2	ESR2
CDCP1	PALB2
PALB2	GFAP
TRPM2	SORBS1
RPS9	MAP1LC3A
EBNA1BP2	HSPA8
MLLT10	ETS2
HDHD5	PPARA
CUL1	RPS6
CUL1	UBE2B
CUL1	ACTR1A
CSNK1A1	WNT8A
HUWE1	HSPA8
CAD	HSPA8
CAD	CPSF1
CAD	GAPDHS
UBE2B	WWP2
RAD23B	INO80B
EEA1	RAB5A
TNIP1	NBR1
IKBKG	ATM
KLHL2	COPS5
PCNA	E2F1
PCNA	MAP2K1
EIF3I	HIST1H2BG
ZIC2	UNC45A
ZIC2	C9orf24
ZIC2	KCND2
FAF2	DERL1
CKB	MAP1LC3A
MAP1LC3A	BECN1
CUL7	PSMD2
CUL7	PRPF19
NCAPG	HTR6
TXNL4A	SNRNP27
EGLN3	R3HCC1L
EGLN3	KCTD9
EGLN3	INO80B
USF1	MAX
IGLV2-11	ESR2
LTF	CASP9
UBL5	MAX
E2F1	HDAC1
E2F1	USP4
RECQL	TAF1
MUC3A	GALNT4
C8orf33	PTPN6
COX14	BCL2L13
TIMM17A	DNAJC19
DIMT1	XRCC6
PGK1	SNW1
ZNF691	HIST1H3G
TRIM40	BECN1
AHR	EED
AHR	LHB
PTPN6	IGLV3-25
PTPN6	CD22
ILF3	ALDH18A1
PRPF4B	DDX23
SORBS2	HSPA8
MYL4	AMPD3
RPS13	ICAM1
EFTUD2	ECI2
UBE2E1	ASB5
GFAP	GRB2
HMGA2	HIST1H3G
HIST1H3H	PKNOX1
MAP1LC3C	CHMP7
HTR3D	VDAC3
IL10	SMAD3
PRKDC	PRPF19
PRKDC	LRRK2
SRC	VDAC3
SRC	PLSCR1
STOM	STOML2
ITGAL	LAMB1
B4GAT1	UGT2A3
B4GAT1	ALG14
GPX4	COQ7
SSR1	TOM1
SSR1	ERBB3
SSR1	RPSA
XRCC1	XPOT
XRCC6	PDX1
GUSB	LRRK2
ERBB3	TUBB
SPP1	TUBB
HNRNPK	MKI67
MAX	NDUFS6
MAX	IGF2R
FHL3	SMAD3
DYNC1I2	EIF3B
SOD3	PTGS2
KPNA6	MEAF6
EIF3B	RPS24
GGT5	KYAT1
TRIM24	ERBB2
TRIM24	SOS1
UBE3A	UBE2E3
DDOST	EED
MTF1	RPS6
TAF1	CREG1
TAF1	HBS1L
TAF1	PPP2R1B
TAF1	STOML2
TAF1	ICAM1
CXCL8	ANKEF1
INO80B	INO80C
INO80B	RPL21
ETS2	CALM2
ETS2	C1QTNF5
HIST1H4K	SETD7
PLA2G2E	CPT1C
HSPG2	HS3ST6
ITGBL1	ITGA1
UBE2E3	HTT
ALDH3B2	QDPR
NCBP2	RBM8A
TGS1	DNAJB4
DEC1	PPP2R1B
GORASP2	CDC23
FMNL3	MKI67
GNGT1	CCKAR
PFKFB4	ACSS1
CLDN7	JUN
RPL23A	SNW1
RPL23A	JUN
SIPA1L2	ESR2
NDUFS7	NDUFA3
APOBEC3D	SRSF10
SF3B2	HIST1H3G
F2RL2	GRB2
F2RL2	GNG2
HIST2H4A	PPARA
RBM8A	SNU13
RBM8A	RPL13
HGSNAT	CPT1C
AKR1C1	CYP1B1
H2AFJ	HDAC1
PPP2R5D	PPARA
ITGA1	TLN2
PLSCR1	GDPD5
PLSCR1	ACTR1A
ALDH18A1	GAPDHS
ALDH18A1	SRD5A2
RORA	USP8
RORA	ZXDC
LAD1	RPSA
HIST1H4E	HIST1H3J
NQO1	JUN
ICAM1	PDHA1
CCND1	HIST1H3G
MGAT5B	B4GALT4
POLR2G	SNW1
PRSS3	DERL1
IRAK1	MKI67
SNW1	SEC24C
SNW1	TRIM23
TAT	AOC3
YWHAB	CTTN
MKI67	AARS2
SLC4A1AP	QSOX1
CASP9	CALM2
TERF2	CARM1
CPT1C	ACSS1
SULT1E1	ACP2
HSPA8	SAFB
HSPA8	SH3GL2
HSPA8	SRSF3
MED21	TUBB
MEAF6	PLEKHF2
EED	TPR
MAP2K1	PARVA
MAP2K1	CAPN1
TUBB	PPARA
CYP4F2	DECR2
SLA2	ERBB2
BAK1	PTPRK
PHIP	HIST1H3J
CRK	ERBB2
ESR2	CALM2
ESR2	YWHAE
ESR2	TLN2
ESR2	RPL39
PDHA2	COPS5
G0S2	PNPLA2
RPSA	UNC45A
RNF139	COPS5
MYL12A	P2RX1
PLD2	TMEM97
KRT78	COPS5
IFT88	SLC25A5
ACOX2	ECI2
SPATA8	KRTAP6-2
ACSS1	PDHA1
PIP5K1C	LRRFIP1
