#db1	pw1	db2	pw2	name_jaccard	node_jaccard
netpath	Hedgehog.txt	signor_expanded	Sonic_Hedgehog.txt	hedgehog	0.305556
netpath	IL6.txt	signor_expanded	IL6_Signaling.txt	il6	0.226415
netpath	Wnt.txt	kegg_expanded	Wnt_signaling_pathway.txt	wnt	0.594340
netpath	Notch.txt	kegg_expanded	Notch_signaling_pathway.txt	notch	0.297297
netpath	Hedgehog.txt	kegg_expanded	Hedgehog_signaling_pathway.txt	hedgehog	0.472222
netpath	Prolactin.txt	kegg_expanded	Prolactin_signaling_pathway.txt	prolactin	0.279412
pid	IL2_signaling_events_mediated_by_PI3K.txt	netpath	IL2.txt	il2	0.175000
pid	Noncanonical_Wnt_signaling_pathway.txt	netpath	Wnt.txt	wnt	0.155172
pid	Notch_signaling_pathway.txt	netpath	Notch.txt	notch	0.553571
pid	Presenilin_action_in_Notch_and_Wnt_signaling.txt	netpath	Wnt.txt	wnt	0.360000
pid	TCR_signaling_in_naïve_CD4+_T_cells.txt	netpath	TCR.txt	tcr	0.275109
pid	TCR_signaling_in_naïve_CD8+_T_cells.txt	netpath	TCR.txt	tcr	0.256881
pid	Calcium_signaling_in_the_CD4+_TCR_pathway.txt	netpath	TCR.txt	tcr	0.196970
pid	BCR_signaling_pathway.txt	netpath	BCR.txt	bcr	0.278884
pid	Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	netpath	Hedgehog.txt	hedgehog	0.229508
pid	Signaling_events_mediated_by_the_Hedgehog_family.txt	netpath	Hedgehog.txt	hedgehog	0.466667
pid	JNK_signaling_in_the_CD4+_TCR_pathway.txt	netpath	TCR.txt	tcr	0.295455
pid	HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	netpath	TNFalpha.txt	tnfalpha	0.711111
pid	Canonical_Wnt_signaling_pathway.txt	netpath	Wnt.txt	wnt	0.134615
pid	Wnt_signaling_network.txt	netpath	Wnt.txt	wnt	0.827586
pid	Ras_signaling_in_the_CD4+_TCR_pathway.txt	netpath	TCR.txt	tcr	0.357143
pid	IL2_signaling_events_mediated_by_STAT5.txt	netpath	IL2.txt	il2	0.566667
pid	Alpha4_beta1_integrin_signaling_events.txt	panther	Integrin_signalling_pathway.txt	integrin	0.393939
pid	Alpha9_beta1_integrin_signaling_events.txt	panther	Integrin_signalling_pathway.txt	integrin	0.159091
pid	Signaling_events_mediated_by_Hepatocyte_Growth_Factor_Receptor_~c-Met~.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.090604
pid	Signaling_events_mediated_by_PTP1B.txt	panther	Axon_guidance_mediated_by_Slit-Robo.txt	mediated	0.037037
pid	p53_pathway.txt	panther	p53_pathway.txt	p53	0.144928
pid	IL2_signaling_events_mediated_by_PI3K.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.075000
pid	LPA_receptor_mediated_events.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.084291
pid	Noncanonical_Wnt_signaling_pathway.txt	panther	Wnt_signaling_pathway.txt	wnt	0.155172
pid	Signaling_events_mediated_by_focal_adhesion_kinase.txt	panther	Axon_guidance_mediated_by_netrin.txt	mediated	0.058824
pid	Urokinase-type_plasminogen_activator_~uPA~_and_uPAR-mediated_signaling.txt	panther	Plasminogen_activating_cascade.txt	plasminogen	0.051724
pid	Notch_signaling_pathway.txt	panther	Notch_signaling_pathway.txt	notch	0.285714
pid	Presenilin_action_in_Notch_and_Wnt_signaling.txt	panther	Wnt_signaling_pathway.txt	wnt	0.420000
pid	Integrins_in_angiogenesis.txt	panther	Angiogenesis.txt	angiogenesis	0.145833
pid	Trk_receptor_signaling_mediated_by_PI3K_and_PLC-gamma.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.092233
pid	FGF_signaling_pathway.txt	panther	FGF_signaling_pathway.txt	fgf	0.155738
pid	amb2_Integrin_signaling.txt	panther	Integrin_signalling_pathway.txt	integrin	0.150000
pid	Signaling_events_mediated_by_PRL.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.047244
pid	Signaling_events_mediated_by_VEGFR1_and_VEGFR2.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.074194
pid	Class_I_PI3K_signaling_events_mediated_by_Akt.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	mediated	0.070423
pid	Signaling_events_mediated_by_Stem_cell_factor_receptor_~c-Kit~.txt	panther	Axon_guidance_mediated_by_netrin.txt	mediated	0.059406
pid	Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	panther	Hedgehog_signaling_pathway.txt	hedgehog	0.213115
pid	Signaling_events_mediated_by_the_Hedgehog_family.txt	panther	Hedgehog_signaling_pathway.txt	hedgehog	0.133333
pid	Insulin-mediated_glucose_transport.txt	panther	p53_pathway_by_glucose_deprivation.txt	glucose	0.074074
pid	a6b1_and_a6b4_Integrin_signaling.txt	panther	Integrin_signalling_pathway.txt	integrin	0.210084
pid	Caspase_Cascade_in_Apoptosis.txt	panther	Apoptosis_signaling_pathway.txt	apoptosis	0.467742
pid	Signaling_events_mediated_by_HDAC_Class_II.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	mediated	0.049180
pid	Validated_nuclear_estrogen_receptor_alpha_network.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	alpha	0.015385
pid	HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	panther	FAS_signaling_pathway.txt	fas	0.311111
pid	Canonical_Wnt_signaling_pathway.txt	panther	Wnt_signaling_pathway.txt	wnt	0.163462
pid	FAS_~CD95~_signaling_pathway.txt	panther	FAS_signaling_pathway.txt	fas	0.076923
pid	Trk_receptor_signaling_mediated_by_the_MAPK_pathway.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	mediated	0.093750
pid	Regulation_of_Ras_family_activation.txt	panther	Ras_Pathway.txt	ras	0.094017
pid	Circadian_rhythm_pathway.txt	panther	Circadian_clock_system.txt	circadian	0.466667
pid	TGF-beta_receptor_signaling.txt	panther	TGF-beta_signaling_pathway.txt	tgfbeta	0.288462
pid	Signaling_mediated_by_p38-alpha_and_p38-beta.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	mediated	0.048780
pid	p38_MAPK_signaling_pathway.txt	panther	p38_MAPK_pathway.txt	mapk|p38	0.314286
pid	Wnt_signaling_network.txt	panther	Wnt_signaling_pathway.txt	wnt	0.620690
pid	IL12_signaling_mediated_by_STAT4.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	mediated	0.023256
pid	Direct_p53_effectors.txt	panther	p53_pathway.txt	p53	0.070922
pid	Signaling_events_mediated_by_HDAC_Class_III.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	mediated	0.050000
pid	Ras_signaling_in_the_CD4+_TCR_pathway.txt	panther	Ras_Pathway.txt	ras	0.535714
pid	Signaling_events_mediated_by_HDAC_Class_I.txt	panther	Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt	mediated	0.036585
pid	Signaling_mediated_by_p38-gamma_and_p38-delta.txt	panther	5HT4_type_receptor_mediated_signaling_pathway.txt	mediated	0.032258
pid	p38_signaling_mediated_by_MAPKAP_kinases.txt	panther	p38_MAPK_pathway.txt	p38	0.285714
pid	Signaling_events_mediated_by_TCPTP.txt	panther	Axon_guidance_mediated_by_netrin.txt	mediated	0.069767
pid	a4b7_Integrin_signaling.txt	panther	Integrin_signalling_pathway.txt	integrin	0.533333
pid	IL2_signaling_events_mediated_by_STAT5.txt	panther	Axon_guidance_mediated_by_netrin.txt	mediated	0.066667
pid	VEGF_and_VEGFR_signaling_network.txt	panther	VEGF_signaling_pathway.txt	vegf	0.200000
pid	Integrin_family_cell_surface_interactions.txt	panther	Integrin_signalling_pathway.txt	integrin	0.961538
pid	PDGF_receptor_signaling_network.txt	panther	PDGF_signaling_pathway.txt	pdgf	0.666667
pid	Alpha4_beta1_integrin_signaling_events.txt	inoh	Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	integrin	0.363636
pid	Alpha9_beta1_integrin_signaling_events.txt	inoh	Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	integrin	0.193182
pid	IL2_signaling_events_mediated_by_PI3K.txt	inoh	IL-2_signaling_pathway~JAK1_JAK3_STAT5~_~_IL-2_signaling~JAK1_JAK3_STAT5~_~.txt	il2	0.031250
pid	Noncanonical_Wnt_signaling_pathway.txt	inoh	Stabilization_and_accumulation_of_cytoplasmic_beta-catenin_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	wnt	0.040230
pid	Notch_signaling_pathway.txt	inoh	Canonical_Notch_signaling_pathway_~_Notch_signaling_pathway_Diagram_~.txt	notch	0.250000
pid	Presenilin_action_in_Notch_and_Wnt_signaling.txt	inoh	Canonical_Wnt_signaling_pathway_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	wnt	0.180000
pid	Regulation_of_nuclear_beta_catenin_signaling_and_target_gene_transcription.txt	inoh	Beta_catenin_degradation_signaling_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	beta|catenin	0.075000
pid	FGF_signaling_pathway.txt	inoh	FGF_signaling_pathway_~_FGF_signaling_pathway_~.txt	fgf	0.094262
pid	amb2_Integrin_signaling.txt	inoh	Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	integrin	0.150000
pid	TCR_signaling_in_naïve_CD4+_T_cells.txt	inoh	T_cell_receptor_signaling_pathway_~_CD4_T_cell_receptor_signaling_~.txt	cd4	0.078603
pid	Calcium_signaling_in_the_CD4+_TCR_pathway.txt	inoh	T_cell_receptor_signaling_pathway_~_CD4_T_cell_receptor_signaling_~.txt	cd4	0.181818
pid	IGF1_pathway.txt	inoh	IGF1_signaling_pathway_~_IGF1_signaling_pathway_~.txt	igf1	0.113043
pid	Insulin_Pathway.txt	inoh	Insulin_receptor_signaling_~_Insulin_receptor_signaling_~.txt	insulin	0.094937
pid	Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	inoh	Ci-Gli_processing_signaling_~_Hedgehog_signaling_pathway_~.txt	hedgehog	0.098361
pid	Signaling_events_mediated_by_the_Hedgehog_family.txt	inoh	Ci-Gli_processing_signaling_~_Hedgehog_signaling_pathway_~.txt	hedgehog	0.066667
pid	a6b1_and_a6b4_Integrin_signaling.txt	inoh	Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	integrin	0.159664
pid	EPO_signaling_pathway.txt	inoh	AKT~PKB~-Bad_signaling_~_EPO_signaling_pathway~JAK2_STAT1_STAT3_STAT5~_~.txt	epo	0.243697
pid	JNK_signaling_in_the_CD4+_TCR_pathway.txt	inoh	T_cell_receptor_signaling_pathway_~_CD4_T_cell_receptor_signaling_~.txt	cd4	0.102273
pid	Validated_nuclear_estrogen_receptor_alpha_network.txt	inoh	Heterotrimeric_GPCR_signaling_pathway_~through_G_alpha_i_and_pertussis_toxin~_~_GPCR_signaling_~pertussis_toxin~_~.txt	alpha	0.015385
pid	HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	inoh	Fas_signaling_pathway_~_Fas_signaling_pathway_~.txt	fas	0.244444
pid	Canonical_Wnt_signaling_pathway.txt	inoh	Stabilization_and_accumulation_of_cytoplasmic_beta-catenin_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	wnt|canonical	0.086538
pid	Degradation_of_beta_catenin.txt	inoh	Beta_catenin_degradation_signaling_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	beta|degradation|catenin	0.444444
pid	FAS_~CD95~_signaling_pathway.txt	inoh	Fas_signaling_pathway_~_Fas_signaling_pathway_~.txt	fas	0.071006
pid	Cellular_roles_of_Anthrax_toxin.txt	inoh	Heterotrimeric_GPCR_signaling_pathway_~through_G_alpha_i_and_pertussis_toxin~_~_GPCR_signaling_~pertussis_toxin~_~.txt	toxin	0.132743
pid	Regulation_of_Ras_family_activation.txt	inoh	T_cell_receptor_signaling_~PLC_gamma,_PKC,_Ras_and_ERK_cascade~_~_CD4_T_cell_receptor_signaling_~ERK_cascade~_~.txt	ras	0.059829
pid	Atypical_NF-kappaB_pathway.txt	inoh	NF-kB_signaling_~_IL-1_signaling_pathway_~through_NF-kappaB~_~.txt	nfkappab	0.357143
pid	TGF-beta_receptor_signaling.txt	inoh	TGF_beta_signaling_pathway~through_TAK1~_~_TGF-beta_signaling~through_TAK1~_~.txt	tgfbeta	0.134615
pid	Canonical_NF-kappaB_pathway.txt	inoh	NF-kB_signaling_~_IL-1_signaling_pathway_~through_NF-kappaB~_~.txt	nfkappab	0.205882
pid	p38_MAPK_signaling_pathway.txt	inoh	Toll-like_receptor_signaling_pathway_~through_ECSIT,_MEKK1,_MKKs,_p38_cascade~_~_Toll-like_receptor_signaling_pathway_~through_ECSIT,_MEKK1,_MKKs,_p38_cascade~_~.txt	p38	0.142857
pid	Wnt_signaling_network.txt	inoh	Signaling_with_Wnt_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	wnt	0.620690
pid	IL12_signaling_mediated_by_STAT4.txt	inoh	IL-23_signaling_pathway~JAK2_TYK2_STAT3_STAT4~_~_IL-23_signaling~JAK2_TYK2_STAT3_STAT4~_~.txt	stat4	0.046512
pid	Ras_signaling_in_the_CD4+_TCR_pathway.txt	inoh	ERK_cascade_~_CD4_T_cell_receptor_signaling_~ERK_cascade~_~.txt	cd4	0.214286
pid	Effects_of_Botulinum_toxin.txt	inoh	Heterotrimeric_GPCR_signaling_pathway_~through_G_alpha_i_and_pertussis_toxin~_~_GPCR_signaling_~pertussis_toxin~_~.txt	toxin	0.078947
pid	p38_signaling_mediated_by_MAPKAP_kinases.txt	inoh	p38_cascade_~_IL-1_signaling_pathway_~through_p38_cascade~_~.txt	p38	0.071429
pid	a4b7_Integrin_signaling.txt	inoh	Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	integrin	0.466667
pid	IL2_signaling_events_mediated_by_STAT5.txt	inoh	IL-2_signaling_pathway~JAK1_JAK3_STAT5~_~_IL-2_signaling~JAK1_JAK3_STAT5~_~.txt	stat5|il2	0.233333
pid	VEGF_and_VEGFR_signaling_network.txt	inoh	VEGF_signaling_pathway_~_VEGF_signaling_pathway_~.txt	vegf	0.700000
pid	Integrin_family_cell_surface_interactions.txt	inoh	Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	integrin	1.000000
pid	PDGF_receptor_signaling_network.txt	inoh	PDGF_signaling_pathway_~_PDGF_signaling_pathway_~.txt	pdgf	0.666667
pid	p53_pathway.txt	pathbank	P53_Signaling_Pathway.txt	p53	0.014493
pid	BCR_signaling_pathway.txt	pathbank	BCR_Signaling_Pathway.txt	bcr	0.119522
pid	Insulin_Pathway.txt	pathbank	Insulin_Signalling.txt	insulin	0.063291
pid	EPO_signaling_pathway.txt	pathbank	EPO_Signaling_Pathway.txt	epo	0.100840
pid	HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	pathbank	FAS_signaling_pathway_~_CD95_~.txt	fas	0.266667
pid	FAS_~CD95~_signaling_pathway.txt	pathbank	FAS_signaling_pathway_~_CD95_~.txt	fas|cd95	0.088757
pid	VEGFR3_signaling_in_lymphatic_endothelium.txt	pathbank	Ion_Channels_and_Their_Functional_Role_in_Vascular_Endothelium.txt	endothelium	0.004762
pid	Regulation_of_Ras_family_activation.txt	pathbank	Ras_Signaling_Pathway.txt	ras	0.008547
pid	Direct_p53_effectors.txt	pathbank	P53_Signaling_Pathway.txt	p53	0.049645
pid	Ras_signaling_in_the_CD4+_TCR_pathway.txt	pathbank	Ras_Signaling_Pathway.txt	ras	0.178571
pid	Alpha4_beta1_integrin_signaling_events.txt	signor_expanded	Integrin_Signaling.txt	integrin	0.151515
pid	Alpha9_beta1_integrin_signaling_events.txt	signor_expanded	Integrin_Signaling.txt	integrin	0.125000
pid	Noncanonical_Wnt_signaling_pathway.txt	signor_expanded	WNT_Signaling.txt	wnt	0.074713
pid	Notch_signaling_pathway.txt	signor_expanded	NOTCH_Signaling.txt	notch	0.285714
pid	Presenilin_action_in_Notch_and_Wnt_signaling.txt	signor_expanded	WNT_Signaling.txt	wnt	0.260000
pid	amb2_Integrin_signaling.txt	signor_expanded	Integrin_Signaling.txt	integrin	0.050000
pid	mTOR_signaling_pathway.txt	signor_expanded	MTOR_Signaling.txt	mtor	0.160256
pid	Insulin_Pathway.txt	signor_expanded	Insulin_Signaling.txt	insulin	0.113924
pid	Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	signor_expanded	Sonic_Hedgehog.txt	hedgehog	0.163934
pid	Signaling_events_mediated_by_the_Hedgehog_family.txt	signor_expanded	Sonic_Hedgehog.txt	hedgehog	0.266667
pid	a6b1_and_a6b4_Integrin_signaling.txt	signor_expanded	Integrin_Signaling.txt	integrin	0.201681
pid	Glucocorticoid_receptor_regulatory_network.txt	signor_expanded	Glucocorticoid_receptor_Signaling.txt	glucocorticoid	0.118280
pid	Caspase_Cascade_in_Apoptosis.txt	signor_expanded	Mitochondrial_Control_of_Apoptosis.txt	apoptosis	0.290323
pid	HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	signor_expanded	TNF-alpha_Signaling.txt	tnfalpha	0.422222
pid	Canonical_Wnt_signaling_pathway.txt	signor_expanded	WNT_Signaling.txt	wnt	0.076923
pid	TGF-beta_receptor_signaling.txt	signor_expanded	TGF-beta_Signaling.txt	tgfbeta	0.230769
pid	Canonical_NF-kappaB_pathway.txt	signor_expanded	NF-KB_Canonical.txt	canonical	0.323529
pid	p38_MAPK_signaling_pathway.txt	signor_expanded	P38_Signaling.txt	p38	0.400000
pid	Wnt_signaling_network.txt	signor_expanded	WNT_Signaling.txt	wnt	0.655172
pid	RXR_and_RAR_heterodimerization_with_other_nuclear_receptor.txt	signor_expanded	RXR_and_RAR_heterodimerization_with_other_nuclear_receptor.txt	rxr|rar|heterodimerization	1.000000
pid	p38_signaling_mediated_by_MAPKAP_kinases.txt	signor_expanded	P38_Signaling.txt	p38	0.142857
pid	a4b7_Integrin_signaling.txt	signor_expanded	Integrin_Signaling.txt	integrin	0.333333
pid	VEGF_and_VEGFR_signaling_network.txt	signor_expanded	VEGF_Signaling.txt	vegf	0.400000
pid	Integrin_family_cell_surface_interactions.txt	signor_expanded	Integrin_Signaling.txt	integrin	0.115385
pid	E-cadherin_signaling_in_the_nascent_adherens_junction.txt	kegg_expanded	Adherens_junction.txt	adherens|junction	0.123894
pid	Stabilization_and_expansion_of_the_E-cadherin_adherens_junction.txt	kegg_expanded	Adherens_junction.txt	adherens|junction	0.216667
pid	Posttranslational_regulation_of_adherens_junction_stability_and_dissassembly.txt	kegg_expanded	Adherens_junction.txt	adherens|junction	0.092105
pid	Signaling_events_mediated_by_Hepatocyte_Growth_Factor_Receptor_~c-Met~.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.137584
pid	Signaling_events_mediated_by_PTP1B.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.138889
pid	p53_pathway.txt	kegg_expanded	p53_signaling_pathway.txt	p53	0.101449
pid	IL2_signaling_events_mediated_by_PI3K.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.143750
pid	LPA_receptor_mediated_events.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.134100
pid	Noncanonical_Wnt_signaling_pathway.txt	kegg_expanded	Wnt_signaling_pathway.txt	wnt	0.149425
pid	Signaling_events_mediated_by_focal_adhesion_kinase.txt	kegg_expanded	Focal_adhesion.txt	focal|adhesion	0.345588
pid	Notch_signaling_pathway.txt	kegg_expanded	Notch_signaling_pathway.txt	notch	0.267857
pid	Presenilin_action_in_Notch_and_Wnt_signaling.txt	kegg_expanded	Wnt_signaling_pathway.txt	wnt	0.460000
pid	TNF_receptor_signaling_pathway.txt	kegg_expanded	TNF_signaling_pathway.txt	tnf	0.255102
pid	Nectin_adhesion_pathway.txt	kegg_expanded	Focal_adhesion.txt	adhesion	0.548387
pid	Trk_receptor_signaling_mediated_by_PI3K_and_PLC-gamma.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.165049
pid	Signaling_events_mediated_by_PRL.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.157480
pid	Signaling_events_mediated_by_VEGFR1_and_VEGFR2.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.138710
pid	Calcium_signaling_in_the_CD4+_TCR_pathway.txt	kegg_expanded	Calcium_signaling_pathway.txt	calcium	0.060606
pid	mTOR_signaling_pathway.txt	kegg_expanded	mTOR_signaling_pathway.txt	mtor	0.230769
pid	Class_I_PI3K_signaling_events_mediated_by_Akt.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.211268
pid	Signaling_events_mediated_by_Stem_cell_factor_receptor_~c-Kit~.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.227723
pid	Insulin_Pathway.txt	kegg_expanded	Insulin_signaling_pathway.txt	insulin	0.183544
pid	FoxO_family_signaling.txt	kegg_expanded	FoxO_signaling_pathway.txt	foxo	0.200000
pid	Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	kegg_expanded	Hedgehog_signaling_pathway.txt	hedgehog	0.344262
pid	Signaling_events_mediated_by_the_Hedgehog_family.txt	kegg_expanded	Hedgehog_signaling_pathway.txt	hedgehog	0.533333
pid	Plasma_membrane_estrogen_receptor_signaling.txt	kegg_expanded	Estrogen_signaling_pathway.txt	estrogen	0.159091
pid	Caspase_Cascade_in_Apoptosis.txt	kegg_expanded	Apoptosis.txt	apoptosis	0.596774
pid	Validated_nuclear_estrogen_receptor_alpha_network.txt	kegg_expanded	Estrogen_signaling_pathway.txt	estrogen	0.046154
pid	Canonical_Wnt_signaling_pathway.txt	kegg_expanded	Wnt_signaling_pathway.txt	wnt	0.134615
pid	ErbB_receptor_signaling_network.txt	kegg_expanded	ErbB_signaling_pathway.txt	erbb	0.666667
pid	Trk_receptor_signaling_mediated_by_the_MAPK_pathway.txt	kegg_expanded	MAPK_signaling_pathway.txt	mapk	0.306250
pid	Regulation_of_Ras_family_activation.txt	kegg_expanded	Ras_signaling_pathway.txt	ras	0.324786
pid	Circadian_rhythm_pathway.txt	kegg_expanded	Circadian_rhythm.txt	rhythm|circadian	0.400000
pid	TGF-beta_receptor_signaling.txt	kegg_expanded	TGF-beta_signaling_pathway.txt	tgfbeta	0.307692
pid	Signaling_mediated_by_p38-alpha_and_p38-beta.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.024390
pid	Fanconi_anemia_pathway.txt	kegg_expanded	Fanconi_anemia_pathway.txt	anemia|fanconi	0.608696
pid	p38_MAPK_signaling_pathway.txt	kegg_expanded	MAPK_signaling_pathway.txt	mapk	0.685714
pid	Wnt_signaling_network.txt	kegg_expanded	Wnt_signaling_pathway.txt	wnt	0.827586
pid	IL12_signaling_mediated_by_STAT4.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.139535
pid	Direct_p53_effectors.txt	kegg_expanded	p53_signaling_pathway.txt	p53	0.049645
pid	Ras_signaling_in_the_CD4+_TCR_pathway.txt	kegg_expanded	Ras_signaling_pathway.txt	ras	0.535714
pid	Signaling_events_mediated_by_HDAC_Class_I.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.012195
pid	Signaling_mediated_by_p38-gamma_and_p38-delta.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.064516
pid	p38_signaling_mediated_by_MAPKAP_kinases.txt	kegg_expanded	Natural_killer_cell_mediated_cytotoxicity.txt	mediated	0.071429
