#tail	head
BPY2C	MERTK
AP2M1	SMAD4
AP2M1	HIST1H2BE
AP2M1	HSPA9
AP2M1	SRC
TMEM123	SGTB
ARGLU1	HSPA9
MERTK	EYA1
NECTIN3	SRC
HIST1H2BL	ITGB3BP
HIST1H2BL	AJUBA
IL11	GRM1
IL11	VDR
TIMMDC1	NDUFB7
ALX1	CDC5L
ALX1	EYA1
CASC3	CPSF1
CASC3	RBM8A
CASC3	CAND1
KRT10	VDR
KRT10	TRIP6
KRT10	CAND1
KRT10	AMPD3
KRT10	SRC
EIF2AK4	AARSD1
EIF2AK4	CRYL1
EIF2AK4	SMAD4
RBM8A	MTREX
RBM8A	SRSF1
RBM8A	PDHA1
FGR	PTP4A3
FGR	EPHA3
FGR	VDR
FGR	EYA1
MOB4	VDR
ACTA1	TRIP6
ACTA1	SPRR1A
ACTA1	RPS6KB1
ACTA1	SRC
ACTA1	MYOD1
ACTA1	JUP
CDC23	PSMB3
CDC23	AMPD3
SGTB	COL1A2
SRP14	CAND1
SRP14	COPS5
JUP	CTNNA3
JUP	VDR
JUP	COPS5
JUP	AJUBA
SMAD4	MECOM
SMAD4	VDR
SMAD4	MYOD1
POU3F4	FOXN1
SRC	GRM1
SRC	EYA1
SRC	PTP4A3
SRC	PDHA1
SRC	COL1A2
SNAPC1	MAX
AJUBA	VDR
AJUBA	PSMB3
CCDC140	IRF8
CAND1	SKP1
CAND1	COPS5
CAND1	CDC5L
CAND1	SRSF1
CAND1	HSPA9
AMPD3	SKP1
COPS5	MTREX
COPS5	TRIP6
COPS5	MAX
COPS5	SRSF1
COPS5	IRF8
COPS5	CDC5L
NDST2	MECOM
MAX	HSPA9
MAX	MECOM
MAX	CPSF1
MAX	ITGB3BP
INCENP	CENPF
INCENP	ITGB3BP
INCENP	HIST1H2BE
CPSF1	CDC5L
INHBA	GRM1
HIST1H2BE	ITGB3BP
CTNNA3	NDUFB7
CTNNA3	MECOM
MECOM	EYA1
CDC5L	MTREX
CDC5L	SNRPB2
CDC5L	VDR
ITGB3BP	PDHA1
FOXN1	CRYL1
MYOD1	HSPA9
MYOD1	VDR
SNRPB2	MTREX
SNRPB2	SRSF1
EYA1	EPHA3
MTREX	SRSF1
EPHA3	PTP4A3
