#tail	head
COG4	MAN1C1
PF4V1	ITIH1
PF4V1	TMEM115
GNG13	DLG1
GNG13	PIK3R3
GNG13	ABI3
HTN1	MAZ
SCD5	DLD
SCD5	ACSS1
SCD5	ACOT7
MAN1C1	DLD
ACSL6	RXRA
ACSL6	ALDH3B1
ACSL6	APRT
ACSL6	DLD
ACSL6	ACOT7
ACSL6	ORMDL1
DLD	EIF3M
DLD	ACOT7
DLD	OLAH
DLD	NDUFB5
DLD	YWHAZ
DLD	ACSS1
DLD	APRT
DLD	GPT2
DLD	ABCC2
DLD	AIFM1
DLD	RXRA
DLD	YWHAH
DLD	SET
PIK3R3	YWHAZ
PIK3R3	GNB1
PIK3R3	ABCB6
CMPK1	RRM2B
GPT2	SLC16A7
GPT2	SLC1A1
GPT2	PSAT1
GPT2	APP
GPT2	APRT
APRT	APP
APRT	ALDH3B2
APRT	NT5C1A
APRT	MTAP
APRT	ALDH3B1
ATP5F1A	AIFM1
ATP5F1A	YWHAZ
ATP5F1A	APP
ATP5F1A	ACOT7
RRM2B	AICDA
RRM2B	SLC6A12
LAMTOR3	NDUFB5
CHST4	APP
ORMDL1	ACSBG1
ORMDL1	APP
ALDH3B2	OLAH
ALDH3B2	SLC16A7
ALDH3B2	ALDH3B1
RXRA	MAPK7
RXRA	ABCC2
RXRA	PAX6
ITIH1	TMEM115
ITIH1	PKD2
AICDA	CYP2C19
MYC	NDUFB5
MYC	SLC1A1
MYC	ALDH3B1
MYC	PSAT1
MYC	ABCC2
MYC	SET
MYC	PAX6
MYC	CYP2C19
MYC	RFC3
MYC	MTAP
MYC	ABI3
MYC	YWHAH
MYC	APP
MYC	MAZ
MYC	ABCB6
MYC	MAPK7
GNB1	APP
GNB1	SET
GNB1	IGHV3-23
NT5C1A	MAZ
NT5C1A	MTAP
PHRF1	APP
YWHAZ	H1F0
YWHAZ	MAPK7
YWHAZ	YWHAH
YWHAZ	RFC3
YWHAZ	PGAM1
YWHAZ	MAZ
YWHAZ	AIFM1
YWHAZ	SET
OLAH	APP
OLAH	ACSS1
H1F0	MAZ
H1F0	APP
RFC3	RMI2
EIF3M	PSAT1
EIF3M	SET
EIF3M	ABI3
EIF3M	TUBA1A
SLC16A7	ACSS1
SLC16A7	ALDH3B1
ABCC2	AIFM1
ABCC2	APP
MAPK7	APP
MAPK7	YWHAH
MAPK7	DLG1
RPL3	MAK16
RPL3	TUBA1A
YWHAH	AIFM1
AIFM1	TUBA1A
SLC6A12	SLC1A1
SLC6A12	MAZ
DLG1	TUBA1A
DLG1	SET
DLG1	PAX6
PSAT1	APP
PGAM1	APP
PGAM1	ACOT7
TRPC1	MAZ
TRPC1	PKD2
TRPC1	APP
ALDH3B1	APP
ALDH3B1	ACOT7
ACSS1	MTAP
ACSS1	ACOT7
ACOT7	ACSBG1
MAZ	SET
MAZ	PAX6
MAZ	ABI3
MAZ	SERPINI1
ABCB6	APP
ABCB6	MTAP
CYP2C19	APP
PAX6	SERPINI1
APP	SET
