#tail	head
AKR1C4	TNF
ESR2	CALM1
ESR2	SUGP1
ESR2	NSA2
ESR2	CYP1A1
ESR2	SMC2
ESR2	CD59
ESR2	NR3C1
STAM	SEC24B
STAM	TGFA
JMY	TP73
HIST1H3F	PIM1
HIST1H3F	RPL32
HIST1H3F	H2AFV
HIST1H3F	SMC2
HIST1H3F	NR3C1
HIST1H3F	RPS14
HIST1H3F	RPL10
HIST1H3F	RRP1B
HIST1H3F	HSPA8
HIST1H3F	TP53BP1
TUBB	TINF2
TUBB	PSMB2
TUBB	TRAF2
TUBB	APP
TUBB	EGFR
TUBB	GTF2A1
TUBB	UBB
TUBB	KAT2A
TUBB	RPL7
TUBB	PDCD6IP
TUBB	SHC1
CSRNP3	PPARA
CSRNP3	FOXO3
CSRNP3	PPARG
SEMA6A	SLC4A7
DDX20	ACTR1B
DDX20	SRP9
DDX20	CTTN
DDX20	ALDH3A2
ENO3	APP
CYBB	SERPINE1
CYBB	CYP4A11
CYBB	PRNP
ILK	HSPA8
ILK	RAF1
ILK	HSD17B7
ILK	TUBB4A
ETFA	CCDC8
ETFA	VDAC1
ETFA	SCO1
PIGH	NOG
CCP110	SMC2
CCP110	CENPJ
SNRPB2	CALM1
SNRPB2	XPO1
SNRPB2	SUGP1
SNRPB2	FUS
SH3PXD2A	ELAVL1
PPARA	CYP1A1
PPARA	SPP2
PPARA	ATP2B1
PPARA	SLC2A8
PPARA	CALM1
PPARA	ACOT8
PPARA	NOG
PPARA	PHYHD1
PPARA	CDX2
PPARA	KTN1
PPARA	TGFA
PPARA	CCDC51
IGLV2-14	NTRK3
IGLV2-14	JAK2
IGLV2-14	HSP90AA1
IGLV2-14	SH2D2A
HIST2H3A	NOP2
HIST2H3A	EP300
HIST2H3A	PIM1
HIST2H3A	BRD4
HIST2H3A	USP22
HIST2H3A	SETDB1
PTPN6	PYGM
PTPN6	CD4
PTPN6	IL4R
PTPN6	WEE2
LRRK1	EGFR
LRRK1	HSPA8
LRRK1	NAP1L1
FOXO3	ACACA
FOXO3	TP73
FOXO3	H2AFX
FOXO3	ELAVL1
FOXO3	CDKN1B
FOXO3	JADE2
FOXO3	BMI1
ALDH3A2	ECHS1
ALDH3A2	MTCH2
VEGFA	HRAS
VEGFA	IGKV1-12
VEGFA	APP
VEGFA	CD247
VEGFA	PSEN1
VEGFA	KAT2A
VEGFA	ELAVL1
H2AFV	CBX8
H2AFV	TINF2
H2AFV	FBXO7
TGFA	HRAS
TGFA	RAF1
TGFA	PPARG
TGFA	EGFR
TGFA	CTTN
TGFA	GNB3
TGFA	CALM1
HSP90AA1	RAF1
HSP90AA1	H2AFX
HSP90AA1	SHC1
HSP90AA1	CUX1
HSP90AA1	APP
HSP90AA1	HSPA8
HSP90AA1	CALM1
HSP90AA1	CD4
HSP90AA1	AR
HSP90AA1	BRCA1
HSP90AA1	EPHA4
HSP90AA1	IGLV3-1
XPO1	IARS2
XPO1	EGFR
XPO1	NAP1L1
XPO1	FASN
XPO1	CDC27
XPO1	RPL28
XPO1	FBXO7
XPO1	ELAVL1
XPO1	HPS6
XPO1	UTP6
XPO1	TFPT
XPO1	LEO1
XPO1	WDTC1
XPO1	PAX4
XPO1	TP73
XPO1	PDCL
HRAS	CYP4A11
HRAS	BMI1
HRAS	ARHGEF4
HRAS	GSR
HRAS	IL2
HRAS	CYBA
AGPAT2	FASN
BET1	ADGRE5
BET1	CAPZA1
BET1	HNF4A
BET1	APP
WASHC2C	WASHC3
ECHS1	GMPS
TIMM50	CCDC8
TIMM50	RAF1
TIMM50	CTTN
CMSS1	CBX8
DCP1B	CENPJ
DCP1B	SRC
DCP1B	PIM1
PRNP	BRCA1
PRNP	PPARG
PRNP	BIN1
PRNP	PARP1
DBNL	CDX2
FUS	EGFR
FUS	RPS14
FUS	HSPA8
FUS	NAP1L1
FUS	SDC4
MIS18BP1	HIST1H2BD
MIS18BP1	ELAVL1
WDR46	NOP2
WDR46	EMG1
WDR46	HNF4A
WDR46	RPL32
HSD17B7	NR3C1
HSD17B7	EP300
HSD17B7	GSR
HSD17B7	FOXO1
TRIM33	CBX3
GC	CYP1A1
GC	SCO1
FAU	RPS14
FAU	RPL12
PARP1	IL5
PARP1	RAF1
PARP1	TP53BP1
PARP1	HDAC2
PARP1	CALM1
PARP1	ITGA4
PARP1	RIOK2
PARP1	CDK1
RPL12	VDAC1
RPL12	SMG6
TINF2	BRCA1
TINF2	H2AFX
TINF2	HIST2H2AC
TINF2	HIST1H2BB
BMI1	AR
BMI1	ARFGEF3
BMI1	AKR1B1
CEP19	EDC3
CEP19	PRAP1
CEP19	NOG
CEP19	SRP9
NFE2L1	KTN1
NFE2L1	PAX4
NFE2L1	PPARG
CHRNA7	SRC
CHRNA7	PYGM
WDTC1	MYOD1
WDTC1	GTF2A1
WDTC1	COPS6
HTT	CALM1
HTT	SRP9
HTT	TP73
SMAD4	NOG
SMAD4	CD59
SMAD4	AR
SMAD4	EP300
HIST1H2BB	BRCA1
HIST1H2BB	HIST1H3A
HIST1H2BB	CBX8
HIST1H2BB	APP
HIST1H2BB	TP53BP1
ACTN1	RPL7
ACTN1	PSEN1
ZBTB48	RPS15
ZBTB48	EP300
ZBTB48	MRPS33
EP300	HSPA8
EP300	MYOD1
EP300	NAP1L1
EP300	ARID1A
EP300	COPS6
EP300	HIST1H3A
EP300	H2AFX
EP300	CYP4A11
MGST3	TP53BP1
MGST3	VDAC1
RAB9A	FOXRED2
IARS2	RPL7
IARS2	SCO1
SMC2	CCDC8
TP53BP1	HIST1H3A
TP53BP1	AR
TP53BP1	CBX3
TP53BP1	NXF1
TP53BP1	BRCA1
TP53BP1	KAT2A
TP53BP1	NR3C1
PDCD6IP	EGFR
PDCD6IP	LGALS3
PDCD6IP	ITGA4
RASGRP1	IGKV1-12
RASGRP1	APP
BIN1	TGOLN2
BIN1	HSPA8
BIN1	MTM1
BIN1	ELAVL1
BIN1	ADRB2
BIN1	SLC2A8
SRP9	RPL28
SRP9	APP
GTF2A1	APP
GTF2A1	E4F1
CBX3	PAX4
CBX3	NR3C1
RPL10	SRC
RPL10	PACSIN3
RPL10	UHRF1
RPL10	NAP1L1
RPL10	PSEN1
RPL10	RPL28
RPL10	EMG1
RPL10	HNF4A
MGAT5	XYLT2
MGAT5	EXTL1
MGAT5	NOG
CKAP5	ZNF598
CKAP5	NUP37
TP73	NEDD4
TP73	SERPINE1
E4F1	CDX2
E4F1	SEC24B
E4F1	CBX8
PYGM	PRUNE1
PYGM	CALM1
PYGM	DUSP21
PYGM	ATP2B1
PYGM	ATP1B2
EIF3E	EPN2
EIF3E	HNF4A
EIF3E	KPRP
EIF3E	ITGA4
CTTN	ADRB2
CTTN	HSPA8
CTTN	APOB
CTTN	CAPZA1
CTTN	NSA2
COMMD7	FBXO7
COX4I1	NDUFS3
RPL32	RPL24
RPL32	RBM4
RPL32	FOXA1
RPL32	RPL28
RPL32	RPS15
RPL32	HIST1H3A
RPL32	BRCA1
UBB	HIST1H2BD
UBB	H2AFX
UBB	CD4
UBB	NEDD4
UBB	NR3C1
UBB	ANAPC15
UBB	TGOLN2
UBB	PSMB2
UBB	BRCA1
UBB	CHMP5
UBB	RPL24
GH2	CSH1
PPP1R10	APP
PSEN1	VTN
PSEN1	SCO1
UTP6	RPS14
ADRB2	APOB
ADRB2	NOG
ADRB2	CYP4A11
ADRB2	NDUFS3
COP1	COPS6
COP1	UBE2D2
PPIL6	ELAVL1
PPIL6	NOG
EFNA2	EPHA4
SS18L2	NOG
RPL24	UBL4A
RPL24	RPL7
TFPT	PIM1
TFPT	APP
TFPT	HNF4A
TFPT	COPS6
UBL4A	TUBB4A
UBL4A	APP
UBL4A	RPS14
UBL4A	SEM1
UBL4A	NXF1
EIF2S3	ILF2
TYK2	IRS1
TYK2	DUSP21
PPARG	LGALS3
PPARG	SLC4A7
PPARG	SETDB1
PPARG	NR3C1
COMMD4	COPS6
CLTC	CD4
CLTC	EFNB1
KTN1	PAX4
KTN1	MYOD1
KTN1	AR
KTN1	FOXA1
KTN1	MECOM
KTN1	ZNF598
LGALS3	EGFR
LGALS3	FOXA1
NR3C1	SRC
NR3C1	AR
NR3C1	FOXO1
NR3C1	PPP2R2A
NR3C1	ARID1A
NR3C1	TUBB4A
NR3C1	HNF4A
NR3C1	NEDD4
NR3C1	NOG
NR3C1	CYP1A1
CDK1	CYP1A1
CDK1	ITGA4
CDK1	CCDC8
CDK1	SEM1
CDK1	FOXO1
CDK1	PSMB2
CDK1	FOXA1
IRS1	FOXA1
IRS1	GNB3
IRS1	NEDD4
IRS1	FGFR1OP2
IRS1	CD247
IRS1	NOG
IRS1	PAX4
HIST2H2AC	PAX4
HIST2H2AC	HIST1H2BD
SETDB1	CBX8
SETDB1	CDK4
SETDB1	HIST1H3A
GNB3	CALM1
GNB3	SHC1
GNB3	IGKV1-12
GNB3	APP
GNB3	CYFIP2
GNB3	CD247
HDAC2	TCF7L1
HDAC2	FOXO1
HDAC2	CCDC8
HDAC2	HSPA8
HDAC2	H2AFX
HDAC2	AR
IRX6	CDX2
HEATR1	NOG
HEATR1	CCDC8
WASH4P	WASHC3
OIP5	HIST1H2BD
OIP5	AGXT
RBBP4	RRP1B
RBBP4	ZNF598
RBBP4	NAP1L1
DUSP21	JAK2
DUSP21	FLT4
DUSP21	PEAK1
DUSP21	MTCH2
CYP4A11	APP
CYP4A11	IL5
CYP4A11	CD59
MAGEA9B	NSA2
PPP6R3	SEC24B
PACSIN3	RAF1
PACSIN3	EGFR
PACSIN3	FOXA1
XYLT2	EXTL1
LEO1	NELFE
RAF1	SRC
RAF1	CDK4
HPS6	HPS3
HPS6	MARK4
RPS15	EGFR
RPS15	NAP1L1
RPS15	H2AFX
RPS15	NOG
RPS15	RPS14
RPS15	SMG6
CD247	CUX1
CD247	NTRK3
CD247	CALM1
NFIX	PAX4
JADE2	FOXO1
JADE2	NOG
JADE2	PAX4
JADE2	CUX1
CALM1	RNF128
CALM1	IGKV1-12
APOB	HSPA8
APOB	SDC4
APOB	SLC2A8
APOB	EGFR
SPP2	CUX1
SRY	RBM4
ADGRE5	LPAR1
ADGRE5	MTCH2
SDC4	EDC3
SDC4	ITGA4
SDC4	SRC
SERPINE1	CYBA
IFT88	FBXO7
VDAC1	ELAVL1
VDAC1	SUGP1
VDAC1	NXF1
VDAC1	ZNF598
VDAC1	TRAF2
VDAC1	NDUFS3
VDAC1	HNF4A
NVL	RBM4
NVL	ILF2
NVL	FBXO7
TRAF2	EGFR
TRAF2	PSMB2
TRAF2	CDKN1B
TRAF2	CDCA3
BRCA1	ARID1A
BRCA1	GMPS
BRCA1	PPP1R3A
EPHA4	SRC
EPHA4	NOG
SNX25	NOG
SNX25	TSPAN5
MECOM	CBX8
MECOM	APP
MECOM	ACACA
TMEM17	SLC4A7
TMEM17	SLC6A8
TMEM17	NDUFS3
MTM1	NTRK3
MTM1	JAK2
MTM1	NOG
CAMK2D	ATP2B1
CAMK2D	JAK2
CAMK2D	HNF4A
CAMK2D	CUX1
AHNAK2	NOG
USP22	HIST1H2BD
AXIN2	TCF7L1
AXIN2	NOG
UBE2D2	SEC24B
SLC4A7	SLC6A8
SLC4A7	NOG
FASN	SHC1
HIST1H3A	RPS14
HIST1H3A	SRC
HIST1H3A	CBX8
HIST1H3A	TCF7L1
HIST1H3A	UHRF1
HIST1H3A	NOG
HIST1H3A	AR
CYFIP2	IL2
CYFIP2	NOG
CYFIP2	MARK4
CYFIP2	NTRK3
CD59	SRC
CD59	EGFR
CD59	SEC24B
ANAPC13	CDC27
NXF1	SRSF6
NXF1	SHC1
NXF1	NDC80
EFNB1	EGFR
EFNB1	SHC1
PPP2R2A	AR
PPP2R2A	EGFR
ATP2B1	EGFR
CDV3	NOG
ANAPC15	PSMB2
JAK2	IGLV3-1
JAK2	IL2
JAK2	CD4
JAK2	IGKV1-12
NOG	BARHL1
NOG	LRP8
NOG	HNF4A
NOG	SRSF6
NOG	LPAR1
NOG	TSPAN5
NOG	SLC6A8
NOG	SRC
CAPZA1	HSPA8
VTN	APP
UHRF1	ELAVL1
NDC80	WASHC3
CBX8	ILF2
KIF9	JAKMIP2
FGFR1OP2	SHC1
FGFR1OP2	EGFR
H2AFX	PAX4
H2AFX	NAP1L1
H2AFX	HIST1H2BD
H2AFX	KAT2A
LRP1	SHC1
LRP1	AR
EXTL1	B4GAT1
SEM1	HNF4A
ARID1A	NEDD4
ARID1A	GCM1
MRPS10	ELAVL1
SRC	APP
SRC	NAP1L1
RBM4	COPS6
RBM4	APP
RBM4	FOXA1
HSPA8	MTCH2
TGOLN2	PEAK1
TGOLN2	APP
COPS6	FBXO7
COPS6	ZNF24
CUX1	NTRK3
KAT2A	APP
EPHA5	NEDD4
SLC5A5	SLC6A8
ACACA	EGFR
SCO1	CDCA3
CCDC8	RRP1B
ACTR1B	APP
ITGA4	RPS14
ITGA4	NDUFS3
PEAK1	SHC1
MTCH2	NDUFS3
FOXO1	HNF4A
RPS14	RPL7
RNF128	IL2
IL2	IL5
NEUROG3	PAX4
AR	APP
SLC38A6	ELAVL1
EGFR	NDUFS3
EGFR	LRP8
NEDD4	PAX4
ELAVL1	PAX4
CYP1A1	GSR
CYP1A1	APP
PAX4	STAG3
PAX4	PRUNE1
FBXO7	PIM1
SHC1	IGLV3-1
RPL28	FOXA1
PGGHG	AKR1B1
GSR	AKR1B1
RRP1B	APP
RRP1B	SRSF6
SRSF6	APP
