#tail	head
MAGED1	TAB1
ERMAP	CWC22
SREBF1	MAPK3
SREBF1	MYB
SREBF1	CACNA1D
SREBF1	ZBTB18
SREBF1	ATE1
SREBF1	MBD6
IGKV2D-40	FGF18
IGKV2D-40	ITPKC
IGKV2D-40	B2M
IGKV2D-40	FGFR1OP2
IGKV2D-40	FGFR1OP
IGKV2D-40	GRB2
IGKV2D-40	BTK
MICU1	COX14
MICU1	ANGEL1
MICU1	MAX
E2F1	MOV10
E2F1	CHD4
E2F1	ITGB3BP
E2F1	RBBP7
E2F1	E2F4
E2F1	ZBTB18
E2F1	ESPL1
E2F1	ATE1
E2F1	UBE2D3
E2F1	HDAC6
E2F1	REPIN1
E2F1	HIST1H2BI
E2F1	MAX
DUSP12	PTK2
DUSP12	ITK
OSBPL9	TCF3
HSPD1	TRIM43
HSPD1	HSPA9
HSPD1	TNPO1
HSPD1	SRSF1
HSPD1	PTK2
HSPD1	ITGA4
HSPD1	PRPF8
HSPD1	MOV10
HSPD1	OAT
HSPD1	GUSB
HSPD1	CASP9
HSPD1	RASA1
HSPD1	HIST1H3B
HSPD1	MAZ
PTK2	PPARG
PTK2	AKT3
PTK2	MAPK3
PTK2	AS3MT
PTK2	SLC39A6
PTK2	SLC22A3
PTK2	COL6A3
PTK2	GCLC
PTK2	ITGA4
PTK2	ELAVL1
PTK2	ITGB5
PTK2	SSH3
TRIM14	SRI
TRIM14	SLF2
MAGEA8	MTUS2
SLC22A3	CASP9
SLC22A3	MAOA
SLC22A3	PPARG
SLC22A3	MAX
SLC22A3	INS
SLC22A3	TYR
SLC22A3	VEGFA
SLC22A3	GYPA
ITGB5	TRPC6
ITGB5	LIMS1
ITGB5	ACTN2
ITGB5	INS
ITGB5	CACNA1D
ITGB5	PPARG
KRT10	ITGA4
KRT10	AKT1
KRT10	SHC1
KRT10	GRB2
BARD1	EME1
BARD1	UBE2D3
BARD1	HIST1H2BA
BARD1	SMC1A
BARD1	RARA
BARD1	POLR2D
PDXK	ELAVL1
ABTB2	EEF1A1
INS	H3F3A
INS	SORT1
INS	WASF3
INS	PSEN1
INS	NOLC1
INS	CDK7
INS	ERP29
INS	CDK9
INS	TRPC6
INS	EEF1A1
INS	VEGFA
INS	SSH3
INS	CMTM3
INS	ATE1
INS	SYNE1
INS	CDKL3
INS	AKT1
INS	TNFRSF1A
NOTCH4	AKT1
ESPL1	MOV10
ESPL1	ITGB3BP
ESPL1	KIF18A
RARA	PRPF8
RARA	ITGA4
RARA	CDK11B
RARA	SUMO1
RARA	AKT1
RARA	PPARG
STUB1	ENDOG
STUB1	UBE2D3
STUB1	MOV10
STUB1	MAX
STUB1	HDAC6
STUB1	UBE2J1
LBP	GCLC
LBP	RPS21
SLC25A10	AGO4
SLC25A10	HDAC6
AK1	PDE10A
HDAC6	FOXL1
HDAC6	ELAVL1
HDAC6	EEF1A1
HDAC6	SMAD1
HDAC6	SUMO1
HDAC6	HIST1H3B
IGHV1-46	NCKAP1L
IGHV1-46	B2M
IGHV1-46	FGFR1OP
IGHV1-46	GRB2
IGHV1-46	PIK3R2
IGHV1-46	FGF17
IGHV1-46	PDPK1
IGHV1-46	AKT1
IGHV1-46	PLCG2
IGHV1-46	IGKV1-33
RNPS1	TNIP2
RNPS1	AP2A1
RNPS1	MAX
RNPS1	SMNDC1
RNPS1	SF3A1
RNPS1	GABPA
RNPS1	SF3B5
AVP	PIK3R2
AVP	PPARG
MAOA	AOX1
MAOA	GUSB
VKORC1	CLDN10
RRAS	EEF1A1
RRAS	RASA1
PLCG2	RASA1
PLCG2	B2M
PLCG2	VEGFA
PLCG2	EGFR
PLCG2	MAX
PLCG2	GRB2
PLCG2	IGHV1-69
PLCG2	IGKV1-33
PLCG2	IGLC6
UHMK1	ELAVL1
UHMK1	CDK9
TYR	XDH
TYR	TNFRSF1A
TYR	B2M
TYR	VEGFA
SYNE1	HIST1H2BI
NLRP3	RBBP7
FGF18	AKT3
FGF18	FGFR4
FGF18	GRB2
FGF18	NCKAP1L
FGF18	LYN
UBR4	GABPA
UBR4	UBE2D3
UBR4	UBE2D4
UBR4	HIST1H3B
ITGA4	ACTN2
ITGA4	HIST1H2BI
ITGA4	LYN
ITGA4	RPS21
ITGA4	RPS6
ITGA4	LIMS1
ITGA4	CHD4
ITGA4	SHC1
ITGA4	HIST1H4L
TMBIM1	GGT6
TMBIM1	MOV10
GUF1	LAMP2
PMS2	RASA1
BTK	SHC1
BTK	LYN
BTK	PIK3R2
BTK	FGF17
BTK	IGKV1-33
BTK	VEGFA
BTK	ITK
BTK	SSH3
BTK	EGFR
BTK	AKT3
BTK	GRB2
SLC11A2	SERPINA3
SLC11A2	MAZ
SLC11A2	B2M
SLC11A2	GCLC
FOXL1	ZBTB18
GCLC	CASP9
GCLC	MAX
GCLC	B2M
GCLC	GGT6
GCLC	OAT
GCLC	ELAVL1
AKT1	IGKV1-33
AKT1	ITK
AKT1	TNFRSF1A
AKT1	IGHV1-69
AKT1	CASP9
AKT1	FGFR1OP2
AKT1	CDK4
AKT1	ACTA1
FGFR4	CYFIP1
FGFR4	SLC10A1
FGFR4	SHC1
FGFR4	CD86
FGFR4	NCKAP1L
FGFR4	IGHV1-69
FGFR4	SSH3
FGFR4	CDK9
PIK3R2	IGHG3
PIK3R2	GRB2
PIK3R2	IGHV1-69
PIK3R2	PDPK1
PIK3R2	SHC1
PIK3R2	FGF17
PIK3R2	EGFR
SMAD1	CDK7
SMAD1	VEGFA
SMAD1	MAPK11
MAPK3	EGFR
MAPK3	IL13
MAPK3	VEGFA
MAPK3	GRB2
MAPK3	MAZ
MAPK3	LYN
UBE2J1	ELAVL1
GSTZ1	GRB2
GSTZ1	XDH
CMTM3	SPP1
SERPINA3	SLC39A14
HNF1A	BSCL2
HNF1A	ZBTB18
HHEX	MYB
SF3A1	ZRSR2
SF3A1	LUC7L2
SF3A1	GABPA
SF3A1	MOV10
SF3A1	MAX
MAPK11	AKT3
MAPK11	TCF3
MAPK11	LYN
MAPK11	HIST1H2BI
E2F4	HNRNPR
E2F4	NOLC1
E2F4	SRSF1
E2F4	CDK4
E2F4	ITGB3BP
E2F4	RBBP7
E2F4	SUMO1
H3F3A	HIST1H3B
H3F3A	HIST3H2BB
GRB2	FGFR1OP
GRB2	MYOD1
GRB2	LYN
GRB2	CYFIP1
GRB2	IGKV1-33
GRB2	AP2A1
GRB2	TNFRSF1A
GRB2	HNRNPR
TAF9	EEF1A1
TAF9	POLR2H
TAF9	CDK4
ACTA1	CDH10
ACTA1	CYFIP1
ACTA1	REPIN1
ACTA1	TCF3
RPL9P9	RPS21
RPL9P9	MTUS2
RPL9P9	RPS6
RPL9P9	EEF1A1
SF3B5	PRPF8
SF3B5	ZRSR2
SF3B5	SRSF1
SF3B5	HNRNPR
SF3B5	POLR2H
ZNF696	MTUS2
CDK9	MAZ
CDK9	EEF1A1
CDK9	MYB
CDK9	POLR2H
CDK9	RBBP7
MOV10	EEF1A1
MOV10	ZNF672
MOV10	SMNDC1
MOV10	B2M
MOV10	SHC1
TRIM43	UBE2D3
TRIM43	ENOX1
HOXD1	HIST3H2BB
HOXD1	POLR2D
HOXD1	POLR2H
HIST1H4L	HIST3H2BB
HIST1H4L	POLR2H
HIST1H4L	HIST1H2BI
HIST1H4L	CD86
HIST1H4L	TNFRSF1A
HIST1H4L	HNRNPR
B2M	IGKV1-33
B2M	SHC1
B2M	WASF3
B2M	AKT3
HIST1H3B	RPS21
HIST1H3B	SRSF1
ACTN2	ASIC4
ACTN2	GGT6
XDH	TNFRSF1A
XDH	VEGFA
PSEN1	ITGB3BP
PSEN1	MYOD1
PSEN1	VEGFA
PSEN1	ICAM5
EGFR	ITK
EGFR	IPO8
EGFR	PPARG
EGFR	PDPK1
EGFR	UBE2D3
EGFR	NCKAP1L
EGFR	IGHV1-69
EGFR	HSPA9
NOLC1	MAX
NOLC1	RPS6
NOLC1	LUC7L2
SMNDC1	POLR2H
SMNDC1	ELAVL1
HSPA9	TAB1
HSPA9	TOMM6
HSPA9	EEF1A1
HSPA9	MYOD1
HSPA9	MINDY4
USP11	OSBPL10
ITCH	ELAVL1
ITCH	TNIP2
ITK	FGFR1OP2
ITK	TRPC6
UGT1A7	AOX1
ZBTB18	TNIP2
TNIP2	PRPF8
TNIP2	POLR2D
TNIP2	ELAVL1
TNIP2	ANP32B
TNIP2	EEF1A1
ATP2B1	CACNA1D
ATP2B1	CPNE3
KLK4	KCNIP4
RBBP7	MYOD1
RBBP7	CHD4
RBBP7	HIST1H2BI
RBBP7	REPIN1
PDPK1	FGFR1OP2
PDPK1	IGKV1-33
PDPK1	VEGFA
HIST3H2BB	CDK4
HIST3H2BB	POLR2D
HIST3H2BB	SUMO1
HIST3H2BB	POLR2H
IGHG3	FGF17
IGHG3	FGFR1OP
IGHG3	AKT3
CASP9	AKT3
CASP9	LYN
ELAVL1	TCF3
ELAVL1	FAAP20
ELAVL1	LYN
ELAVL1	FGFR1OP2
ELAVL1	MBD6
ELAVL1	POLR2H
ELAVL1	VEGFA
ELAVL1	TNFRSF1A
MYB	TCF3
MYB	MYOD1
MYB	HIST1H2BI
MYB	BSCL2
FGF17	MAZ
FGF17	AKT3
FGF17	REPIN1
FGF17	NCKAP1L
FGF17	MYOD1
FGF17	LYN
FGF17	CD86
MBD6	MAZ
MBD6	MYOD1
CYFIP1	VEGFA
CYFIP1	NCKAP1L
CYFIP1	WASF3
SSH3	TCF3
WASF3	FGFR1OP
WASF3	IGLC6
WASF3	CD86
WASF3	FGFR1OP2
TNFRSF1A	SUMO1
TNFRSF1A	IPO8
TNFRSF1A	IL13
ZNF221	CDK11B
NCKAP1L	LYN
NCKAP1L	IGKV1-33
NCKAP1L	IGLC6
NCKAP1L	IGHV1-69
NCKAP1L	FGFR1OP2
FBXO4	CDK4
FBXO4	UBE2D3
LYN	FGFR1OP2
LYN	FGFR1OP
LYN	ITPKC
LYN	SHC1
LYN	CDK4
LYN	LAMP2
LYN	IGHV1-69
VEGFA	IGLC6
VEGFA	TCF3
VEGFA	TRPC6
VEGFA	SLC39A14
VEGFA	REPIN1
VEGFA	FGFR1OP
LAMP2	MAZ
CHD4	HIST1H2BI
CHD4	EEF1A1
PRPF8	MINDY4
PRPF8	EEF1A1
PRPF8	SMC1A
PPARG	AS3MT
PPARG	CCL15
PPARG	MAZ
PPARG	CDKN1B
TCF3	CACNA1D
TCF3	HNRNPR
TCF3	CDK4
CWC22	SRSF1
KCNIP4	MAZ
CDKN1B	REPIN1
POLR2H	MAX
POLR2H	POLR2D
PRKAA2	PPM1F
PRKAA2	MTUS2
PRKAA2	SMC1A
ITGB3BP	HIST1H2BA
ITGB3BP	SMC1A
UBE2D4	UBA7
SHC1	RASA1
SHC1	FGFR1OP
SHC1	ITPKC
CDK4	HIST1H2BI
IGHV1-69	FGFR1OP2
MAX	CDKL3
MAX	EME1
MAX	CRIPT
MAX	GABPA
IL13	MAZ
IL13	GABPA
IGKV1-33	CD86
ASIC4	BSCL2
OSBPL10	REPIN1
UBE2D3	TRIM55
UBE2D3	GABPA
UBE2D3	DTX3
HNRNPR	LUC7L2
HNRNPR	MAZ
HNRNPR	TAB1
CD86	FGFR1OP2
REPIN1	RPS6
POLR2D	HIST1H2BI
CPNE3	TRPC6
IGLC6	FGFR1OP2
IGLC6	TRPC6
ZNF224	MTUS2
SPP1	EEF1A1
EEF1A1	MAZ
EEF1A1	MYOD1
GPR89B	BSCL2
MTUS2	PDE4DIP
MAZ	CREBL2
MAZ	SMC1A
SUMO1	GABPA
SUMO1	HIST1H2BI
ERP29	ALDH16A1
HIST1H2BI	IPO9
