#tail	head
COG4	VPS53
UROD	APP
ACSM3	PPARA
ACSM3	ACOT2
ACSM3	DLD
ACSM3	NAT2
ACSM3	ACOT7
AP3S1	GATA1
AP3S1	SMC4
CUL2	ABCF1
CUL2	HNRNPM
CUL2	HIST1H4L
CUL2	PSMC2
CUL2	RPL38
CTBP1	AES
CTBP1	TERF2IP
CTBP1	CSF3
H2AFY	DLD
H2AFY	MDM2
H2AFY	HIST1H4L
H2AFY	APP
H2AFY	ACOT7
PSMC2	CAD
PSMC2	DDB1
SEMG2	LEP
SEMG2	TRPV6
ENTPD3	PDHB
ENTPD3	SLC5A1
ENTPD3	ACOT2
C1orf109	AES
C1orf109	TEKT4
TRPV6	MDM2
TRPV6	SLC5A1
TRPV6	PPARA
TEKT4	GATA1
TEKT4	MIF
MAFG	MDM2
OGA	PFDN4
OGA	RELA
OGA	NUP214
OGA	MDM2
OGA	SEC24C
OGA	GEMIN2
OGA	HNRNPM
OGA	PGAM1
SLC6A13	SLC5A1
INTS10	APP
RAD51	MRE11
RAD51	HIST1H4L
RAD51	NAT2
CPSF2	HNRNPM
CPSF2	CHERP
CSF3	APP
CSF3	GATA1
CSF3	PRPS2
CSF3	PSMD7
DLD	ACOT7
DLD	PAICS
DLD	CES5A
DLD	PDHA1
DLD	ACOT2
DLD	HIST1H2AB
DLD	RTCB
DLD	PLA2G3
PSMD7	SEC24C
PSMD7	SGF29
NUP214	GEMIN2
HIST1H4L	SMARCD1
HIST1H4L	RELA
HIST1H4L	PPARA
PTPRD	LCK
PTPRD	STMN4
PDHB	PLA2G3
PDHB	ACOT7
PDHB	ACOT2
MYZAP	PPARA
MIF	STMN4
CHERP	PRPF6
LCK	ZMYM2
LCK	NRAS
SUPT5H	SP1
PRPF6	U2AF1L4
PRPF6	MDM2
PRPF6	THOC2
TRAPPC2B	STMN4
PAICS	RPIA
ZMYND12	GATA1
ZMYND12	SMARCD1
LEP	PDHA1
LEP	SLC5A1
LEP	PPARA
LEP	APP
LEP	SP1
ZUP1	CAD
SP1	MBOAT7
SP1	RPIA
SP1	SEC24C
SP1	ZMYM2
SP1	HIST1H2AC
SP1	SMARCD1
SP1	TFAP2C
SP1	DSG2
SP1	NRAS
SP1	NAT2
SP1	STMN4
SP1	KIF1B
SP1	PRPS2
SGF29	ERLIN2
SGF29	DSG2
SGF29	GEMIN2
THOC2	KIF1B
TFAP2C	RPIA
TFAP2C	RPL38
TFAP2C	CMTR1
PPARA	ACSL1
PPARA	RELA
PPARA	SLC5A1
PPARA	H1F0
PPARA	CERK
TERF2IP	HIST1H2AB
ACOT2	PDHA1
ACOT2	NAT2
ACOT2	ACSL1
CERK	APP
HIST1H2AB	GATA1
HIST1H2AB	ATF2
HIST1H2AB	GREB1
HIST1H2AB	SEC24C
CAD	SLC3A1
MBOAT7	ACSL1
PDHA1	ACSL1
PDHA1	H1F0
RELA	APP
RELA	MDM2
RELA	HNRNPM
RELA	AES
U2AF1L4	ATF2
H1F0	GATA1
H1F0	APP
GATA1	RPIA
GATA1	KRT71
GATA1	ZMYM2
GATA1	GREB1
GATA1	CAVIN2
GATA1	SMARCD1
GATA1	NRAS
ATF2	MRE11
ATF2	PGAM1
HNRNPM	SEC24C
SEC24C	DSG2
SEC24C	APP
ACSL1	PRPS2
IFNA13	APP
ANXA6	APP
RBM39	APP
MAP3K1	NRAS
PGAM1	APP
PLA2G3	NAT2
PLA2G3	APP
SMARCD1	AES
ACOT7	CES5A
SLC3A1	SLC5A1
NAT2	CES5A
PRPS2	RPIA
MDM2	SLC5A1
SLC5A1	APP
SLC5A1	SLC13A5
