#tail	head
MYL1	TTN
DDX17	U2AF1
DDX17	DDX3X
DDX17	RRBP1
DDX17	HNF1A
DDX17	ELAVL1
CPSF1	U2AF1
CPSF1	HIF1A
CPSF1	ESR2
CPSF1	TSEN2
COX15	YWHAE
COX15	UQCRC2
COX15	TPM1
MBD3	HIST1H4H
MBD3	HIST1H3G
MBD3	HIST1H2AL
MBD3	DDX3X
MBD3	KDM1A
MBD3	HIST1H4A
MBD3	HDAC2
MBD3	HIST1H4B
HGS	IL4R
DGKK	IGHV3-53
DGKK	PLCE1
CCNA2	RPA2
CCNA2	PAX4
CCNA2	ALDH1A3
CCNA2	HIF1A
CCNA2	HIST1H4H
CCNA2	ELAVL1
CCNA2	HIST1H4A
CCNA2	HIST1H4E
C17orf82	KDM1A
MYCL	HNF1A
MYCL	MEAF6
KDM1A	KDM5B
KDM1A	HIST1H2AL
KDM1A	GCLM
KDM1A	HIST1H4A
KDM1A	RPA2
HNF4A	NOSTRIN
HNF4A	MAPK1
HNF4A	HNF1A
HNF4A	CBX7
HNF4A	SLC22A11
HNF4A	XPC
HNF4A	NCBP1
RPA2	HIST1H4A
RPA2	HIST1H4B
RPA2	ELAVL1
RPA2	HIST1H4E
RPA2	MARCKS
RPA2	RFC1
RPA2	HIST1H4H
RPA2	MYH10
RPA2	DDX3X
RPA2	PPP2R5D
RPA2	RPL19
CEBPA	MYH10
CEBPA	ALDH1A3
CEBPA	HNF1A
CEBPA	ELAVL1
CEBPA	TPM1
CEBPA	RFC1
CEBPA	YTHDF1
CEBPA	MAPK1
CEBPA	HIF1A
LCE2B	ADAMTSL4
GCLM	EBF3
HIST1H4B	HDAC2
HIST1H4B	ALDH1A3
HIST1H4B	MAPK1
HIST1H4B	CBX7
HIST1H4B	YWHAE
HIST1H4B	HIF1A
HIST1H4B	ESR2
HIST1H4B	HIST1H2AL
HIST1H4B	MEAF6
HIST1H4B	DDX3X
NCBP1	HTATSF1
NCBP1	RPL19
NCBP1	U2AF1
NCBP1	YWHAE
NCBP1	DDX3X
NCBP1	ESR2
EXOG	RANBP6
HIST1H4E	CBX7
HIST1H4E	MEAF6
HIST1H4E	MAPK1
HIST1H4E	HIST1H3G
HIST1H4E	YWHAE
HIST1H4E	ESR2
HIST1H4E	HIST1H2AL
HIST1H4E	XPC
HIST1H4E	ALDH1A3
HNF1A	PAX4
HNF1A	PPP2R5D
HNF1A	MARCKS
HNF1A	YWHAE
HNF1A	UBE3A
ST6GALNAC3	CMPK1
ST6GALNAC3	CMPK2
NOSTRIN	ACO2
RPL19	HIST1H3G
MARCKS	ELAVL1
MYH10	UBE3A
MYH10	HIST1H3G
ESR2	TPM1
ESR2	UBE3A
ESR2	MAPK1
ESR2	HDAC2
ESR2	YWHAE
ESR2	DDX3X
ESR2	SH3BP4
ESR2	HIST1H4A
ESR2	IGHV3-53
ESR2	KRT34
YWHAE	SNAPIN
YWHAE	HIST1H4A
YWHAE	RPGR
YWHAE	RET
YWHAE	HIST1H4H
YWHAE	HIST1H3G
CMPK2	NME2P1
CMPK2	UGP2
TSEN2	XPC
DENR	ELAVL1
PLCE1	DGKQ
CMPK1	NME2P1
CMPK1	ACO2
U2AF1	DDX3X
U2AF1	TUBB1
HIF1A	RPTOR
HIF1A	ELAVL1
HIF1A	HDAC2
HIF1A	ACO2
HIF1A	MAPK1
RET	MAPK1
RET	ELAVL1
RET	PTPN11
CBX7	HIST1H4H
CBX7	HIST1H3G
CBX7	HIST1H4A
GUK1	NME2P1
GUK1	ALDH1A3
KDM5B	ELAVL1
KDM5B	HDAC2
KDM5B	DGKQ
KDM5B	HIST1H3G
SENP6	HIST1H3G
PTPN11	IL4R
PTPN11	IGHV3-53
HIST1H4H	MEAF6
HIST1H4H	DDX3X
HIST1H4H	HIST1H2AL
HIST1H4H	HDAC2
MGAT2	UGT1A4
MAGEA1	UBE3A
NME2P1	UGT1A4
HTATSF1	DDX3X
ELAVL1	GABARAPL1
ELAVL1	PEX19
ELAVL1	TPM1
ELAVL1	MEAF6
ELAVL1	LARP1
ELAVL1	HDAC2
ELAVL1	DDX3X
TMEM50A	C7orf43
KRTAP9-3	ADAMTSL4
KRTAP9-3	KLHL38
ATP2B3	TPM1
TTN	PAX4
TTN	TPM1
HIST1H4A	MAPK1
HIST1H4A	HIST1H3G
HIST1H4A	XPC
HIST1H4A	GABARAPL1
HIST1H4A	HIST1H2AL
HIST1H4A	DDX3X
HIST1H4A	HDAC2
HIST1H4A	ALDH1A3
HIST1H4A	MEAF6
HIST1H4A	RFC1
LARP1	RRBP1
GAB2	IGHV3-53
PAX4	VOPP1
PAX4	ZADH2
PAX4	TPM1
PAX4	KRT34
GABARAPL1	ATG13
GABARAPL1	TUBB1
GABARAPL1	DDX3X
SNAPIN	VOPP1
RPTOR	ATG13
HIST1H2AL	XPC
HIST1H2AL	DDX3X
HIST1H2AL	MEAF6
HIST1H3G	XPC
HIST1H3G	MEAF6
HIST1H3G	RFC1
MEAF6	HDAC2
UBE3A	MAPK1
UBE3A	HDAC2
FOXC2	HDAC2
ADAMTSL4	KLHL38
ZADH2	C7orf43
ZADH2	ALDH1A3
