#tail	head
RPH3A	ADD2
DDB2	TIGD3
DDB2	UBA52
DDB2	HIST1H3C
DDB2	ACTB
DDB2	ARCN1
DDB2	XRCC6
ZIC1	SOX9
ZIC1	CYSRT1
KIFC3	NEDD4L
KIFC3	ZGPAT
KIFC3	KRT5
KIFC3	APP
KIFC3	AES
KIFC3	KLHL13
KIFC3	TRAF2
BPIFA1	AES
HTT	SREBF2
HTT	HMGB1
HTT	HSPD1
HTT	GRIN2B
HTT	HIST1H3D
HTT	HIST1H3C
AMOTL2	TEAD1
AMOTL2	SPOP
AMOTL2	NOG
SMAD4	EIF4A3
SMAD4	RUNDC3A
SMAD4	CALM1
SMAD4	FHL2
AP1S1	RAB5C
RNF220	IRF1
EGR3	PRKACA
EGR3	SH3GL3
EGR3	FSTL5
PRKACA	HSP90AB1
PRKACA	POU2F1
PRKACA	SOX9
PRKACA	GRIN2B
PRKACA	ETS1
PRKACA	SRF
PRKACA	SF1
PRKACA	NEDD4L
PRKACA	FHL2
IGHV1-46	FGF8
IGHV1-46	CALM1
IGHV1-46	DVL3
IGHV1-46	FGF18
IGHV1-46	FGF6
IGHV1-46	CD79A
FBXW11	MEF2A
FBXW11	MYCBP
FBXW11	TRAF2
FBXW11	APP
FBXW11	YY1
FGF18	NCK1
SPOP	PSMD14
CD3E	BID
CD3E	HLA-DRA
HMGCR	NOG
HMGCR	APP
INPP4A	MEF2A
INPP4A	UBA52
INPP4A	NTRK1
HIST1H4B	MTA1
HIST1H4B	PAXIP1
HIST1H4B	RPS16
HIST1H4B	POU2F1
HIST1H4B	EIF4A3
HIST1H4B	RNF2
HIST1H4B	DDC
TP63	KRT5
TP63	HSP90AB1
TP63	DAXX
TP63	HNRNPR
ANAPC5	CDK1
ANAPC5	PAXIP1
ANAPC5	HIST1H3C
GGT5	CALM1
EIF4A3	SRSF1
EIF4A3	SFPQ
EIF4A3	RPL14
EIF4A3	HIST1H4A
EIF4A3	KRT75
EIF4A3	RPS15
EIF4A3	RPS16
ARCN1	YY1
ARCN1	APP
ARCN1	TES
FAM161B	STX11
EFTUD2	KIF2A
EFTUD2	DNAJC17
EFTUD2	CUL5
EFTUD2	TCOF1
EFTUD2	CDK1
EFTUD2	SRP68
EFTUD2	RPL3
EFTUD2	NIP7
EFTUD2	AP2A1
EFTUD2	XRCC5
EFTUD2	YBX1
EFTUD2	RPL11
EFTUD2	NEDD4L
EFTUD2	HSPD1
POU2F1	SCN3A
POU2F1	NIN
POU2F1	ELL3
POU2F1	YY1
POU2F1	BCL2L2
POU2F1	SRF
POU2F1	FAM53B
POU2F1	CDK7
NAPA	SF1
NAPA	APP
NAPA	AP2A1
NAPA	XRCC5
NAPA	RNF2
CD3D	UBA52
CD3D	UBC
CD3D	APP
MMP13	IRF1
GOT1	SYT1
BCL2L2	ETS1
PC	MTAP
PC	TES
PC	MTHFD1
NTRK1	MEIS1
NTRK1	CDK5
NTRK1	HK1
NTRK1	UBA52
NTRK1	HNRNPR
NTRK1	TBL2
NTRK1	SRP68
NTRK1	KIF2A
NTRK1	ANXA5
NTRK1	RPL3
NTRK1	AP2A1
NTRK1	XRCC6
NTRK1	FKBP3
YY1	ACTB
YY1	PAXIP1
YY1	APP
YY1	SRF
YY1	RHOA
YY1	UBC
YY1	RNF2
YY1	XRCC5
YY1	GRIN2B
YY1	HIST1H3D
YY1	XRCC6
YY1	UBA52
YBX1	RPL11
YBX1	SFPQ
YBX1	PAXIP1
YBX1	UBE2I
YBX1	RPL23
YBX1	HSP90AB1
YBX1	MYL2
YBX1	CUL5
YBX1	HSPD1
MEF2A	HIST1H4A
MEF2A	GRIN2B
RPL23	UBC
RPL23	RPL4
RPL23	ATG3
RPL23	TRAF2
RPL23	RPS15
RPL23	APP
FHL2	CFTR
FHL2	PRL
FHL2	KIF5B
CXCL9	CALM1
CXCL9	CLDN2
CXCL9	ANXA5
ALOX12B	KRT5
TIPARP	AKR1B10
CAMTA1	FAM71E2
INAVA	DCTN2
UBL4A	UBA52
UBL4A	RPL3
UBL4A	PSMD14
UBL4A	UBC
UBL4A	HNRNPR
XRCC6	XRCC5
XRCC6	UBC
XRCC6	SF1
CXXC1	RNF2
CXXC1	ZNF408
CXXC1	SF1
POTEF	TUBA1A
SREBF2	CYP2E1
SREBF2	UBE2I
SREBF2	MEIS1
BTN3A2	CCDC68
MEIS1	POLR2D
MEIS1	PCF11
MEIS1	MOB3A
C6orf222	TCOF1
PXDN	ACOX3
LGALS3	HSP90AB1
LGALS3	NOG
SRSF1	HIST1H4A
SRSF1	SF1
SRSF1	TADA2A
SRSF1	SFPQ
SRSF1	HNRNPR
SRSF1	NXF1
SNX27	CFTR
SNX27	SCGB1D1
SNX27	APP
CHN2	NOG
CHN2	RHOA
TEAD1	SOX9
TEAD1	FAM53B
TEAD1	ITGB1
TEAD1	NUFIP2
RAG2	HIST1H3D
AMBP	NOG
RPS13	SRP68
RPS13	RPL3
RPS13	UBA52
RPS13	TCOF1
RPS13	RPS15
RPS13	HSP90AB1
RPS13	CFTR
CALCA	NOG
ZNF512	RNF2
ZNF512	HIST1H3D
ZNF512	HIST1H3C
ZNF512	CHD4
CDK1	UBC
CDK1	GSTP1
CDK1	TUBA1A
CDK1	CDC23
CDK1	NCAPD3
MOB3C	PTPN21
RPL14	RPL4
RPL14	CFTR
RPL14	RPL11
RPL14	HIST1H3D
RPL14	HIST1H3C
RPL11	PML
RPL11	TUBA1A
RPL11	CHD4
RPL11	HSP90AB1
RPL11	CUL5
RPL11	RPS27
MRPL11	RNF2
MRPL11	ERAL1
ATF6	SRF
TM7SF2	ACP6
NOC4L	RPS16
RUNDC3A	AP2A1
UBE2I	PML
UBE2I	NIN
UBE2I	HIST1H4A
UBE2I	CFTR
UBE2I	GSTP1
RPS15	CHD4
RPS15	SRP68
RPS15	SCYL2
RPS15	RPP25
RPS15	RPL3
RPS15	MPV17
MGA	HIST1H3D
MGA	RNF2
SCGB1D1	SCGB2A1
PTPRC	MTAP
PTPRC	WEE1
PTPRC	CD79A
PTPRC	APP
PTPRC	HLA-DRA
RNF2	MTA1
RNF2	RPL3
RNF2	RPL18A
RNF2	RFC4
RNF2	NOM1
CALM1	APP
CALM1	PLA2G4A
CALM1	DMD
CALM1	HIST1H4A
CALM1	CCR9
CALM1	ATP2B2
CALM1	NXF1
CALM1	MYL2
HSPD1	SF1
HSPD1	ITGB1
HSPD1	APP
HSPD1	SFPQ
HSPD1	SDC4
PML	CYP2E1
PML	PAXIP1
RNF34	KLHL15
MYCBP	AKAP8
MYCBP	HIST1H3D
HSP90AB1	CFTR
HSP90AB1	SFPQ
HSP90AB1	CUL5
HSP90AB1	TUBA1A
HSP90AB1	CBS
HSP90AB1	CDC34
HSP90AB1	UBA52
HSP90AB1	RPS16
SDC4	RPL4
SDC4	RFC4
SDC4	ERAL1
SDC4	MYO18A
SDC4	ITGB1
SDC4	SFPQ
SDC4	SF1
SDC4	PRPSAP2
KLHL15	CUL5
PTOV1	TFCP2
RAB5C	UBA52
RAB5C	NXF1
TRAF2	BID
TRAF2	TNFSF13B
ACTB	PAXIP1
ACTB	DCTN2
ACTB	CHD4
ACTB	ACTL6A
ACTB	RHOA
ACTB	RPS27
TADA2A	HIST1H3D
TADA2A	PAXIP1
TADA2A	HIST1H3C
NIP7	NOG
CD40	NOG
MTM1	WEE1
BID	CCR9
BID	HSD3B1
BID	GSTP1
RFC4	TES
RFC4	CDK7
RFC4	POLR2D
RFC4	SF1
DRD5	FGF8
ACP6	MTHFD1
ACP6	MTAP
PRPSAP2	CDC34
XRCC5	CHD4
XRCC5	UBC
RPS27	UBA52
RPS27	TUBA1A
RPS27	RPL18A
CCR9	CCL27
SOX9	TUBA1A
SOX9	KLHL13
NXF1	TES
NXF1	AKAP8
NXF1	DCTN2
NXF1	CUL5
MYO18A	SF1
MYO18A	RHOA
MYO18A	TES
HIST1H3D	NCAPD3
HIST1H3D	SMYD2
HIST1H3C	IRF1
HIST1H3C	TCOF1
HIST1H3C	POLR2D
GRIN2B	MYL2
TES	SF1
FGF6	UBA52
FGF6	UBC
KIF2A	MTHFD1
KIF2A	AP2A1
KIF2A	SFPQ
WEE1	NOG
NOG	NEDD4L
NOG	NRXN2
NOG	HLA-DRA
NOG	GSTP1
NOG	ANGPT1
NOG	ETS1
NOG	SMYD2
SIX3	MTA1
HIST1H4A	DAXX
HIST1H4A	TAF1A
HIST1H4A	CHD4
HIST1H4A	POLR2D
SF1	SFPQ
SF1	FGF8
SF1	HNRNPR
SF1	CDK12
CUL5	KRT5
CUL5	HNRNPR
CUL5	RPL4
CUL5	PSMD14
CUL5	UBA52
RPL3	NOP56
RPL3	EBNA1BP2
RPL3	SCYL2
SYT1	NRXN2
SYT1	APP
DCTN2	NIN
DCTN2	CFTR
NCK1	FGF8
AKR1B10	CYP2E1
AKR1B10	PLA2G5
PLA2G4A	APP
MTA1	CHD4
PLA2G5	CYP2C18
HNRNPR	MYL2
HNRNPR	SFPQ
PSMD14	TNFSF13B
KIF5B	HLA-DRA
GSTP1	DAXX
GSTP1	CYP2E1
TNFSF13B	APP
CDC23	CDC34
DAXX	ETS1
DAXX	UBC
CCT6B	NOP56
ERAL1	MTRF1L
UBC	RPL18A
UBC	NOP56
UBC	CFTR
UBC	CDC34
UBC	CBS
UBC	TCOF1
SCYL2	EBNA1BP2
SCYL2	NOP56
SCYL2	RPS16
CDC34	NEDD4L
CDC34	UBA52
CDC34	DZIP3
CDC34	UBE3C
CFTR	PCF11
CFTR	APP
RBM15B	CHD4
ETS1	TFCP2
EBNA1BP2	RPS16
EBNA1BP2	RPL4
EBNA1BP2	PAXIP1
EBNA1BP2	TUBA1A
SH3GL3	INPP5K
PAXIP1	APP
ZNF408	SRF
HSD3B1	APP
RPL4	UBA52
RPL4	SRP68
INPP5K	UBA52
DVL3	SRF
DVL3	AP2A1
CDK7	APP
CDK7	POLR2D
CDK7	CDK5
CDK7	UBA52
CLDN2	CYSRT1
NUFIP2	IRF1
NUFIP2	TFCP2
SFPQ	PCF11
SFPQ	UBA52
STX11	IRF1
ZC2HC1C	NCKIPSD
DMD	APP
LYPD1	TUBA1A
SLC37A1	HK1
RPS16	NOP56
RPS16	UBA52
RPS16	TCOF1
RPS16	FGF8
FGF8	SRF
FGF8	UBA52
CYSRT1	BAG6
TCOF1	APP
CHD4	SRP68
NCKIPSD	APP
AP2A1	MTHFD1
KLHL13	UBA52
MTHFD1	PPA1
MTHFD1	CYP2E1
UBA52	POLR2D
SRP68	NOP56
TUBA1A	RPL18A
TUBA1A	HK1
POLR2D	PCF11
