#tail	head
HEMK1	KRTAP19-1
CTSB	IFNG
CTSB	PARP1
TAF1	CHD3
TAF1	ALG5
TAF1	BAG4
TAF1	BTK
TAF1	HIST1H3J
TAF1	SLC39A6
TAF1	PAXBP1
TAF1	HIST1H4J
TAF1	FXYD7
TAF1	HIST1H2BE
TAF1	NCL
TAF1	TRIM25
TAF1	SUPT3H
TAF1	SLC31A1
TAF1	TAF6
TAF1	POLR2G
TAF1	FBL
TAF1	PPP2R5D
TAF1	CROT
TAF1	SUCLG1
TAF1	ACSL5
TAF1	SLC2A1
TAF1	HIST1H4B
TAF1	MSH2
GNG4	ERBB3
GNG4	ZMYM2
GNG4	GNG8
GNG4	TEC
GNG4	GPSM2
GNG4	FZD9
GNG4	KCNJ15
GNG4	GRB2
GNG4	INPP5B
GNG4	PTK2B
GNG4	BTK
GNG4	SH2D2A
GNG4	FLT3LG
GNG4	AGTR2
FBXO45	TP73
UTP23	KRT40
UTP23	RPL7
UTP23	HNF4A
RFT1	INS
RFT1	VAPB
MED19	POLR2G
MED19	IFNAR1
MED19	FBL
MED19	CEBPA
ALPG	SUCLG1
ALPG	RPN1
ALPG	ACSL5
ALPG	FASN
TSPAN12	HNF4A
PLS3	TNFRSF10D
PLS3	RPN1
PLS3	NTRK1
KRT10	CFH
KRT10	PRPF8
KRT10	SEC61B
KRT10	CHD3
KRT10	SLC39A6
KRT10	ALB
KRT10	APOC1
KRT10	NPHS1
KRT10	KLK3
KRT10	SLC31A1
KRT10	TTR
KRT10	GRB2
HSP90AB1	INS
HSP90AB1	PRPF8
HSP90AB1	CHD3
HSP90AB1	PTK2B
HSP90AB1	FASN
HSP90AB1	GRB2
HSP90AB1	ERBB3
HSP90AB1	BTK
HSP90AB1	HIST1H2BE
HSP90AB1	TRIM25
HSP90AB1	HYPK
HSP90AB1	NCL
POLR1D	HIST1H4J
POLR1D	NFIB
POLR1D	HIST1H2BE
POLR1D	TRIM25
POLR1D	TCF3
POLR1D	HIST1H4B
POLR1D	PSMC3IP
POLR1D	HIST2H2AA4
POLR1D	HIST1H3J
VDAC3	EIF4A2
VDAC3	NEFL
VDAC3	VAPB
VDAC3	HIST1H2BE
VDAC3	NCL
VDAC3	EIF3I
VAPB	NTRK1
VAPB	OSBP2
C11orf1	CATSPER1
C11orf1	ONECUT1
INS	PRPF8
INS	ALDH2
INS	RPL7
INS	SMO
INS	CYCS
INS	USP9X
INS	NOTCH2NLA
INS	RPN1
INS	PSMA1
INS	NTRK1
INS	HNF4A
INS	CD40
INS	CSTA
INS	TTR
INS	WWOX
INS	BAG4
INS	PPP2R5D
INS	AGO2
INS	SCAF8
INS	PARP1
INS	UQCRQ
INS	PHF5A
INS	RNF20
INS	SLC39A6
INS	G6PC
INS	RDH10
INS	FZD9
INS	PIK3C2B
INS	ALB
INS	FGF21
INS	KDM6B
INS	CKS1B
INS	GNG5
INS	ZMYM2
INS	HYPK
INS	NRAS
NMD3	DPH5
GCM1	ILDR2
GCM1	PCBP2
GCM1	USP9X
AGO2	HIST1H4B
AGO2	RPN1
AGO2	EIF4B
AGO2	HIST2H2AA4
AGO2	NBEAL2
AGO2	HIST1H3J
AGO2	POLR2G
AGO2	HIST1H3B
AGO2	YTHDF1
AGO2	HIST1H2BE
GNG8	PTK2B
GNG8	EDN2
GNG8	FXYD7
GNG8	JAK2
GNG8	INPP5B
GNG8	AGTR2
GNG8	FGFR2
GNG8	TEC
GNG8	FLT3LG
GNG8	GPSM2
GNG8	IGHV3-7
GNG8	ZMYM2
GNG8	BAG4
JMJD6	HIST1H4F
JMJD6	SCAF8
JMJD6	HIST1H4B
JMJD6	U2AF2
JMJD6	PAXBP1
JMJD6	TCF3
JMJD6	SUCLG1
AMPD2	NTRK1
AMPD2	PJA1
AMPD2	ACSL4
AMPD2	FASN
AMPD2	ADSL
AMPD2	AIMP2
AMPD2	EXOSC4
HYPK	TCF3
HYPK	TSGA10IP
HYPK	CEBPA
UBE2Q1	PJA1
UBE2Q1	TCF3
UBE2Q1	HECTD1
PSME1	SLC31A1
PSME1	CHD3
PSME1	CD40
PSME1	AIMP2
PSME1	PSMA4
PSME1	CDK1
PSME1	U2AF2
PSME1	GRB2
PSME1	DDX19B
PSME1	TCF3
MTMR6	ONECUT1
MTMR6	PPP2R5D
MTMR6	HKDC1
PLAUR	HIST1H4B
PLAUR	HIST1H4F
PLAUR	HIST1H4J
CPNE1	SLC2A1
CPNE1	TCF3
CPNE1	RPN1
CPNE1	ONECUT1
DDX19B	TGM1
DDX19B	TRIM25
DDX19B	ACSL4
DDX19B	STAT3
AIMP2	CHD3
AIMP2	HIST1H3J
AIMP2	KRT36
AIMP2	PARP1
APOA2	CFH
APOA2	NPHS1
APOA2	HNF4A
APOA2	APOC1
APOA2	ALB
APOA2	PLAG1
APOA2	KLK3
APOA2	IFNG
APOA2	SEC61B
APOA2	ALDH2
APOA2	RDH10
ZNF316	FBL
ALB	CROT
ALB	FGF21
ALB	CHD3
ALB	TRIM28
ALB	NPHS1
ALB	CEBPA
ALB	CDK1
ALB	SLC31A1
ALB	CYP2B6
ALB	PLAG1
ALB	SLC2A1
ALB	ALDH2
KLK3	CFH
KLK3	HIST1H3B
KLK3	HIST2H2AA4
KLK3	CROT
KLK3	LATS2
KLK3	HIST1H4B
KLK3	HIST1H4F
KLK3	SLC39A6
KLK3	CYP2B6
KLK3	HIST1H4J
KLK3	HIST1H2BE
KLK3	PLAG1
KLK3	SLC2A1
KLK3	PTK2B
KLK3	NPHS1
KLK3	TTR
ACSL5	SLC2A1
ACSL5	CYP4F2
ACSL5	CEBPA
ACSL5	ALDH3B1
ACSL5	GPD2
ACSL5	ACSL4
ACSL5	CROT
ACSL5	FASN
EIF4A2	EIF3I
EIF4A2	TRIM25
EIF4A2	NCL
EIF4A2	CEBPA
EIF4A2	EIF4B
EIF4A2	TCF3
CYP4F2	HNF4A
CYP4F2	GRB2
PDS5B	SMC1A
PDS5B	TRIM25
PDS5B	PPP2R5D
IGHV3-7	TEC
IGHV3-7	GNG5
IGHV3-7	JAK2
IGHV3-7	SH2D2A
IGHV3-7	ERBB3
IGHV3-7	BTK
IGHV3-7	ZMYM2
PLAC9	RAPGEF5
BMP8B	AGTR2
BMP8B	SMO
BTK	FLT3LG
BTK	NRAS
BTK	SH2D2A
BTK	FGFR2
BTK	JAK2
HECTD1	DIRAS3
HECTD1	TCF3
HECTD1	PPP2R5D
DHPS	HSD3B2
DHPS	PPP2R5D
DHPS	ALDH2
DHPS	TRPT1
DHPS	LDHAL6A
LCE6A	TGM1
HNF4A	PSMA1
HNF4A	CTAG1B
HNF4A	ERBB3
HNF4A	NRAS
HNF4A	PLAG1
HNF4A	BAG4
HNF4A	C1orf109
HNF4A	PPP2R5D
HNF4A	HIST2H2AA4
HNF4A	BHMT
HNF4A	SCAF8
HNF4A	PRPF8
HNF4A	DNAJB4
HNF4A	SEC61B
HNF4A	SLC39A6
HNF4A	G6PC
HNF4A	IFNAR1
HNF4A	CYP2B6
HNF4A	TRPT1
HNF4A	CKS1B
HNF4A	UQCRQ
HNF4A	GNG5
HNF4A	PAK4
HNF4A	PHF5A
HNF4A	SMC1A
HNF4A	CROT
HNF4A	CSNK2A2
HNF4A	ALDH2
HNF4A	TCF3
USP9X	PRPF8
USP9X	PJA1
USP9X	SOX2
USP9X	TERF2
USP9X	TRIM25
USP9X	PSMA4
USP9X	CEBPA
USP9X	NTRK1
CFH	NPHS1
CFH	SLC31A1
CFH	TTR
CFH	IFNG
CFH	GRB2
CFH	PLAG1
CRIP1	SLC2A1
CRIP1	ADSL
CEBPA	RPN1
CEBPA	DUSP2
CEBPA	FGF21
CEBPA	KRT36
CEBPA	PARP1
CEBPA	SOX2
CEBPA	TEC
CEBPA	YTHDF1
CEBPA	PLAG1
CEBPA	SLC2A1
CEBPA	SUPT3H
CEBPA	STAT3
CEBPA	EDN2
HIST1H4B	HIST1H3J
HIST1H4B	TRIM28
HIST1H4B	PSMC3IP
HIST1H4B	PAXBP1
HIST1H4B	OGT
HIST1H4B	NTRK1
HIST1H4B	CDK1
HIST1H4B	HIST1H2BE
HIST1H4B	RNF20
HIST1H4B	IFNAR1
HIST1H4B	TRIM25
HIST1H4B	PLK1
HIST1H4B	PHIP
HIST1H4B	KDM6B
STAT3	JAK2
STAT3	DIRAS3
STAT3	TRIM25
STAT3	TEC
STAT3	PLK1
STAT3	SH2D2A
STAT3	TRIM28
STAT3	PARP1
STAT3	PIK3C2B
STAT3	SOX2
STAT3	MSH2
STAT3	BCKDK
STAT3	NTRK1
STAT3	PAK4
NPHS1	GRB2
NPHS1	PLAG1
NPHS1	APOC1
NPHS1	CROT
NPHS1	TTR
C1orf109	MTUS2
C1orf109	KRT40
C1orf109	CTAG1B
C1orf109	HOXC8
C1orf109	RNF20
TRIM28	IFNG
TRIM28	HIST1H4F
TRIM28	TRIM25
TRIM28	WWOX
TRIM28	TP73
TRIM28	HIST1H4J
TRIM28	DNM1L
TRIM28	SEC61B
TRIM28	HIST1H3B
TRIM28	HIST1H3J
SLC39A6	IFNG
SLC39A6	PLG
CD40	PSMA1
CD40	IFNG
CD40	OGT
TRIM25	CDK1
TRIM25	NOTCH2NLA
TRIM25	RPL7
TRIM25	HIST1H4J
TRIM25	PSMC3IP
TRIM25	MSH2
TRIM25	IFNAR1
TRIM25	HIST1H4F
TRIM25	NCL
TRIM25	SUPT3H
TRIM25	SLC31A1
TRIM25	TARDBP
TRIM25	PRPF8
TRIM25	OSBP2
TRIM25	WWOX
TRIM25	IGF2BP2
TRIM25	GPRIN3
TRIM25	PCNX3
TRIM25	DNAJB4
TRIM25	SLC2A1
TRIM25	NPTX1
TRIM25	ADSL
TRIM25	KDM6B
SLC31A1	MSH2
SLC31A1	ERBB3
SLC31A1	PARP1
SLC31A1	TP73
WNT7A	NPTX1
WNT7A	SMO
WNT7A	FZD9
WNT7A	GNG5
POLR2G	HIST1H2BE
POLR2G	HIST1H4F
POLR2G	PHF5A
POLR2G	SUPT4H1
POLR2G	SOX2
POLR2G	HIST1H3B
POLR2G	PCBP2
POLR2G	WWOX
POLR2G	HIST2H2AA4
POLR2G	PRPF8
POLR2G	HIST1H3J
POLR2G	TAF6
GNG5	FLT3LG
GNG5	SH2D2A
GNG5	ZMYM2
GNG5	TEC
GNG5	EDN2
GNG5	KRT40
GNG5	FZD9
GNG5	JAK2
GNG5	INPP5B
GNG5	AGTR2
GNG5	FGFR2
ERBB3	PIK3C2B
ERBB3	FGFR2
ERBB3	AGTR2
ERBB3	FLYWCH1
ERBB3	JAK2
ERBB3	NRAS
ERBB3	PTK2B
ERBB3	CDH19
ERBB3	RPN1
ERBB3	BAG4
ERBB3	ZMYM2
ERBB3	TEC
ERBB3	PTP4A1
GRB2	PTK2B
GRB2	TCF3
GRB2	KHSRP
GRB2	NTRK1
GRB2	WDFY3
GRB2	BAG4
GRB2	NRAS
GRB2	HIST2H2AA4
GRB2	INPP5B
GRB2	ONECUT1
GRB2	HIST1H4F
GRB2	IFNAR1
GRB2	TEC
GRB2	NCL
GRB2	HOXC8
GRB2	HIST1H3J
GRB2	PAK4
GRB2	JAK2
GRB2	FGFR2
GRB2	RPL7
TARDBP	LARP4
TARDBP	NTRK1
TARDBP	NCL
TARDBP	U2AF2
TARDBP	NBEAL2
TARDBP	PCBP2
TARDBP	KHSRP
TARDBP	EIF3I
TARDBP	WWOX
TARDBP	FBL
KRTAP10-9	NOTCH2NLA
KRTAP10-9	HOXC8
KRTAP10-9	CKS1B
TMEM132A	NTRK1
CKS1B	PSMA4
SMO	FAM189B
SMO	SLC2A1
SMO	FGF21
HIST1H3J	HIST1H2BE
HIST1H3J	PLK1
HIST1H3J	TAF6
HIST1H3J	MSH2
HIST1H3J	HIST2H2AA4
HIST1H3J	SUPT3H
HIST1H3J	PSIP1
HIST1H3J	CDK1
HIST1H3J	PHF5A
HIST1H3J	HIST1H4J
HIST1H3J	ZMYM2
HIST1H3J	SMC1A
CDH19	CSNK2A2
TP73	NTRK1
TP73	PLK1
TP73	SLC2A1
TP73	FASN
TP73	CDK1
TP73	SOX2
TP73	HIST1H4J
TP73	CHD3
HIST2H2AA4	WWOX
HIST2H2AA4	CDK1
HIST2H2AA4	PARP1
HIST2H2AA4	KDM6B
HIST2H2AA4	TERF2
HIST2H2AA4	SMC1A
HIST2H2AA4	HIST1H3B
PLG	IFNG
DUSP2	PTK2B
DUSP2	FGFR2
DUSP2	SUCLG1
EIF4B	PLK1
EIF4B	KHSRP
EIF4B	RPN1
EIF4B	SLC2A1
EIF4B	EIF3I
EIF4B	HIST1H3B
KRT40	ALDH3B1
KRT40	NAB2
KRT40	TSGA10IP
KRT40	HOXC8
KRT40	CYCS
TLX3	KRTAP19-1
TLX3	TCF3
TLX3	TMEM42
TLX3	SNTA1
CYCS	TNFRSF10D
CYCS	UQCRQ
CYCS	MT-CO1
EIF3I	HIST1H2BE
EIF3I	NTRK1
SOX2	NFIB
SOX2	TCF3
SOX2	PPP2R5D
SOX2	CSNK2A2
SOX2	CDK1
FGF21	FGFR2
FGF21	AGTR2
FGF21	FZD9
FGF21	PARP1
OGT	TCF3
OGT	ZNF592
OGT	ADARB2
OGT	WWOX
OGT	PSIP1
OGT	CSTA
OGT	HIST1H4F
OGT	ALG5
OGT	HIST1H4J
FLT3LG	ZMYM2
FLT3LG	TEC
FASN	TTR
FASN	ACSL4
FASN	SLC2A1
FASN	HSD3B2
FASN	PRPF8
FASN	GPD2
FASN	ALDH2
FASN	PARP1
FASN	ADSL
FASN	ALDH3B1
HIST1H4F	KDM6B
HIST1H4F	PAXBP1
HIST1H4F	NTRK1
HIST1H4F	CHD3
HIST1H4F	PRPF8
HIST1H4F	HIST1H2BE
HIST1H4F	PARP1
HIST1H4F	IFNAR1
ZNF592	CHD3
ZNF592	CSNK2A2
ZNF592	BCKDK
HOXC8	KRT36
HOXC8	WWOX
HOXC8	GMNN
HIST1H3B	TAF6
HIST1H3B	CHD3
HIST1H3B	PSIP1
HIST1H3B	DNAJC8
HIST1H3B	KDM6B
HIST1H3B	PHF5A
HIST1H3B	PLK1
HIST1H3B	PHIP
RDH10	IFNG
RDH10	TCF3
RDH10	PARP1
RDH10	HIST1H4J
APOL2	NBEAL2
PLAG1	ONECUT1
PLAG1	SEC61B
PLAG1	APOC1
LDHAL6A	HSD3B2
LDHAL6A	ALDH3B1
LDHAL6A	TRPT1
RNF185	RPN1
RNF185	PCNX3
TEC	JAK2
TEC	PTP4A1
TEC	ZMYM2
TEC	BAG4
NOTCH2NLA	ALDH3B1
NOTCH2NLA	PSMA1
TMEM42	RHBDD1
EDN2	AGTR2
EDN2	FZD9
CDCA7L	MSH2
TERF2	PARP1
TERF2	TCF3
TERF2	PAXBP1
TERF2	HIST1H4J
TERF2	U2AF2
TERF2	NCL
TERF2	BCKDK
TERF2	FBL
TERF2	SMC1A
TERF2	CSNK2A2
BCKDK	ADARB2
NTRK1	ALDH2
NTRK1	PCBP2
NTRK1	MSH2
NTRK1	RNF20
NTRK1	PTP4A1
NTRK1	PLK1
NTRK1	FBL
NTRK1	RPL7
NTRK1	LARP4
NTRK1	PSMA1
NTRK1	HIST1H4J
NTRK1	DNM1L
NTRK1	GPD2
NTRK1	U2AF2
NTRK1	NCL
NTRK1	PPP2R5D
NTRK1	KHSRP
NTRK1	SCAF8
NTRK1	TAF6
ZBED1	TTR
ZBED1	RPN1
FXYD7	ONECUT1
FXYD7	NEFL
PAK4	MTUS2
DNM1L	CDK1
MBP	NEFL
MBP	CDK1
SUCLG1	CROT
SUCLG1	ALDH3B1
SUCLG1	PTP4A1
NCL	SUPT4H1
NCL	PARP1
NCL	PHF5A
NCL	CDK1
NCL	HIST1H2BE
NCL	U2AF2
NCL	SMC1A
NCL	PRPF8
NCL	CSNK2A2
NCL	IFNG
NCL	EXOSC4
KRT36	KRT4
TTR	CHD3
TTR	ONECUT1
TTR	CYP2B6
TTR	SEC61B
TTR	APOC1
TTR	CROT
TTR	IFNG
AGTR2	IFNG
AGTR2	GPSM2
DNAJC8	U2AF2
DNAJC8	PRPF8
DNAJC8	PAXBP1
IFNG	IFNAR1
IFNG	JAK2
IFNG	FZD9
IFNG	ALDH2
IFNG	PARP1
TAF6	CHD3
TAF6	SUPT4H1
TAF6	PSMC3IP
PTP4A1	FGFR2
PTP4A1	JAK2
PTP4A1	PTK2B
PHF5A	U2AF2
PHF5A	PCBP2
SUPT4H1	TCF3
PIK3C2B	INPP5B
PIK3C2B	PTK2B
FAM189B	SNTA1
FAM189B	PCNX3
FAM189B	TCF3
FAM189B	RHBDD1
IGF2BP2	ALDH2
IGF2BP2	CHD3
IGF2BP2	NBEAL2
IGF2BP2	FBL
IGF2BP2	TCF3
IGF2BP2	WWOX
PSMA4	PPP2R5D
PSMA4	PLK1
PSMA4	EXOSC4
PSMA4	CDK1
PPP2R5D	PLK1
PPP2R5D	PSMA1
PPP2R5D	NRAS
PPP2R5D	RAPGEF5
PPP2R5D	CDK1
CYP2B6	ACSL4
KDM6B	HIST1H4J
KDM6B	HIST1H2BE
POLR3G	APOC1
POLR3G	NFIB
POLR3G	TCF3
PJA1	IQCN
PLK1	CDK1
PLK1	PARP1
PLK1	ZMYM2
PLK1	SMC1A
PLK1	PSMA1
JAK2	BAG4
JAK2	IFNAR1
JAK2	PTK2B
JAK2	FGFR2
HSD3B2	SLC2A1
PSMA1	EXOSC4
PSMA1	U2AF2
PSMA1	CDK1
PSMA1	NAB2
PSMA1	MTUS2
BAG4	FGFR2
BAG4	GMNN
BAG4	SH2D2A
BAG4	RNF20
PRPF8	WWOX
PRPF8	DNAJB4
PRPF8	CHD3
PRPF8	PARP1
PRPF8	HIST1H4J
PRPF8	SMC1A
PRPF8	FBL
PRPF8	RPL7
NAB2	CHD3
NAB2	TSGA10IP
ALDH2	ACSL4
ALDH2	CSTA
ALDH2	ALDH3B1
ALDH2	PARP1
ACSL4	CROT
ACSL4	SLC2A1
ACSL4	HKDC1
ACSL4	TCF3
ACSL4	ALDH3B1
TCF3	PSMC3IP
TCF3	CHD3
TCF3	CSTA
TCF3	SUPT3H
TCF3	ILDR2
TCF3	FBL
TCF3	PARP1
TCF3	PSIP1
TCF3	PTK2B
ALG5	HKDC1
APOC1	SEC61B
APOC1	CROT
MT-CO1	UQCRQ
EXOSC4	FBL
EXOSC4	KHSRP
ZNF266	MTUS2
ONECUT1	RNF20
ONECUT1	NRAS
CSNK2A2	WWOX
KCNJ15	SNTA1
PTK2B	FGFR2
RPL7	RPN1
RPL7	CHD3
RPL7	HIST1H2BE
RPL7	FBL
RPL7	U2AF2
HIST1H4J	CHD3
HIST1H4J	IFNAR1
HIST1H4J	PAXBP1
HIST1H4J	PARP1
U2AF2	GPSM2
U2AF2	RPN1
SH2D2A	ZMYM2
SCAF8	MTUS2
SCAF8	WWOX
ADSL	SLC2A1
ADSL	GPD2
UQCRQ	GPD2
FGFR2	ZMYM2
CDK1	HIST1H2BE
CDK1	SLC2A1
CDK1	FBL
KRTAP19-1	SLC2A1
WWOX	CTAG1B
NRAS	NEFL
HKDC1	G6PC
HKDC1	SLC2A1
CATSPER1	MTUS2
ALDH3B1	CROT
SEC61B	CROT
SEC61B	SUPT3H
PCBP2	CHD3
PCBP2	RPN1
MSH2	SMC1A
MTUS2	NEFL
MTUS2	RPN1
CHD3	PAXBP1
CHD3	RPN1
CHD3	NEFL
HIST1H2BE	PARP1
