#tail	head
CEP63	TEX9
MAT2B	SLC5A1
MAT2B	SLC38A1
DHRS4	GMPR2
DHRS4	DEGS1
ADAMTS2	REPIN1
CTPS1	GMPR2
CTPS1	GNPDA1
CTPS1	SLC38A1
IL11	IRS1
EGFR	KIAA1217
EGFR	STAT5A
EGFR	ILVBL
EGFR	JAK2
EGFR	NADSYN1
PAN2	STAT5A
HIST1H2BO	HIST4H4
TRPC7	RASGRP4
SDSL	GMPR2
SDSL	GNPDA1
ZWINT	CDK1
TRMT10A	REPIN1
NME1	NADSYN1
NME1	SOAT1
NME1	SLC27A2
NME1	CDK1
SLC6A3	GRIN2C
SLC6A3	SLC38A1
EIF2S1	REPIN1
RASGRP4	JAK2
SLC38A1	GRIN2C
SLC38A1	NADSYN1
SLC38A1	SLC5A1
SLC38A1	DLG2
JAK2	ABI2
JAK2	IRS1
NADSYN1	BAAT
NADSYN1	GMPR2
NADSYN1	HACD1
KLF12	REPIN1
SLC27A2	BAAT
SLC27A2	HADHB
ABI2	KIAA1217
ABI2	IRS1
BUD31	LSM3
BUD31	FUS
CASP1	GAB1
DBT	SOAT1
DBT	BAAT
DBT	ACSS1
DBT	HADHB
ILVBL	DPEP1
HSPB1	CTNNB1
HSPB1	PARP1
ATP1A2	REPIN1
ATP1A2	KCNJ15
ATP1A2	DLG2
CTNNB1	HIST4H4
CTNNB1	STAT5A
CTNNB1	TXN
STAT5A	GAB1
STAT5A	POU4F1
SOAT1	TXN
SOAT1	ACSS1
DPEP1	BAAT
REPIN1	DLG2
REPIN1	UNC13B
CDK1	TXN
CDK1	HIST4H4
FUS	HIST4H4
DLG2	SLC28A1
DLG2	NFATC1
DLG2	SLC5A1
ACSS1	HADHB
GRIN2C	SLC28A1
GRIN2C	NFATC1
SLC22A2	PARP1
