#tail	head
GOLT1B	SNTB2
PPP1CA	EEF1G
FOXE1	SMPD4
FOXE1	SMARCA5
MLX	MXD4
MLX	MYC
MLX	GABARAPL2
SFMBT1	RCOR1
SFMBT1	HIST2H4B
SIRT2	HIST2H4B
SIRT2	TRAPPC12
SIRT2	HIST1H3H
SIRT2	TUBA4A
SLC6A4	SLC38A3
SLC6A4	SLC38A2
SLC6A4	CARM1
EP300	CLDN3
EP300	HIST1H3H
EP300	MYC
EP300	LEF1
EP300	CARM1
EP300	TERF2
EP300	RBM14
EP300	POLR2F
EP300	ANXA2
EP300	HIST1H4K
EP300	H3F3A
EP300	HIST2H4B
EP300	MED1
FBXW5	CCT7
FBXW5	COMMD4
TNPO1	TUBA4A
TNPO1	RNF4
EIF4ENIF1	TCF3
EIF4ENIF1	HNRNPF
EIF4ENIF1	MYC
CCDC8	SFXN1
CCDC8	MTDH
CCDC8	SMARCA5
CCDC8	ANXA2
CCDC8	MCM4
CCDC8	DST
CCDC8	HIST1H4B
CCDC8	TP53
CCDC8	CCT7
STIM1	DST
STIM1	RNF4
STIM1	WNT5A
STIM1	U2AF1
STIM1	MTDH
STIM1	JUN
STIM1	KRT1
STIM1	CCR10
GLS	DLD
GLS	MYC
RBM14	SMARCA5
RBM14	JUN
RBM14	OGA
RBM14	SIRT6
SNTB2	MYC
NLK	SPZ1
NLK	MYC
NLK	JUN
DAGLB	IGLC6
DAGLB	GRM5
SF3A3	JUN
SF3A3	TCF3
SF3A3	ACTR1A
SF3A3	CSTF2
SF3A3	HIST1H3H
SF3A3	POLR2I
SF3A3	U2AF1
SF3A3	OGA
SF3A3	POLR2F
HGS	PIP4K2A
HGS	AP2A2
HGS	CSTF2
HGS	LDLRAP1
POLR2F	HNRNPF
POLR2F	HIST1H4K
POLR2F	CWC22
POLR2F	HIST1H4B
POLR2F	NABP1
POLR2F	SMARCA5
POLR2F	HIST2H4B
POLR2F	AGO1
POLR2F	JUN
POLR2F	MED1
POLR2F	HIST1H2BE
RCOR1	TP53
RCOR1	TCF3
RCOR1	LEF1
RCOR1	JUN
RCOR1	HIST1H3H
COPB2	JUN
COPB2	MYC
TST	AIFM1
TST	SEPT11
TST	OGA
TST	DLD
GCLC	TP53
GCLC	UPP2
GCLC	AMT
AP2A2	PIP4K2A
AP2A2	STON1
AP2A2	TERF2
AP2A2	LDLRAP1
AP2A2	WNT5A
AP2A2	ACTBL2
AP2A2	VCP
GYS1	GABARAPL2
USP37	STAG2
USP37	TCF3
MED1	CCT7
MED1	CLDN3
MED1	PPP4R3A
MED1	OGA
MED1	MYC
MED1	NUDCD1
MED1	MED14
ACTBL2	TP53
ACTBL2	HIST1H3H
ACTBL2	GABARAPL2
LEF1	AGO1
LEF1	SGIP1
LEF1	CEP97
LEF1	HIST1H2BE
LEF1	NKAIN3
LEF1	SLC38A2
LEF1	DST
LEF1	HIST1H3H
LEF1	STAG2
LEF1	OGA
LEF1	LRP1
LEF1	H3F3A
LEF1	HIST1H4K
KRT31	KRT1
KRT31	SRSF2
HIST1H4B	TERF2
HIST1H4B	TROVE2
HIST1H4B	RNF4
HIST1H4B	HCAR3
HIST1H4B	POLR2I
HIST1H4B	GABARAPL2
HIST1H4B	SPI1
HIST1H4B	HIST1H2BE
HIST1H4B	XPO7
HIST1H4B	MCM4
HIST1H4B	JUN
HIST1H4B	MYC
HIST1H4B	EEF1G
SLC38A2	GGT1
SLC38A2	NKAIN3
SLC38A2	LRRC7
SLC38A2	SLC27A3
SLC38A2	JUN
PARP2	AGO1
PARP2	ADH6
PARP2	MYC
GART	TROVE2
GART	UPP2
GART	AMT
GART	XPO7
CSTF2	SRSF2
CSTF2	CWC22
UPP2	ALPL
UPP2	GDPGP1
UPP2	NKAIN3
GABARAPL2	EEF1G
GABARAPL2	AGO1
GABARAPL2	KRT1
GABARAPL2	U2AF1
GABARAPL2	IMPDH2
GABARAPL2	CCT7
GABARAPL2	SRSF2
GABARAPL2	HIST2H4B
GABARAPL2	TCF3
GABARAPL2	CARM1
GABARAPL2	SEC24C
GABARAPL2	JUN
GABARAPL2	HNRNPF
GABARAPL2	HIST1H4K
GABARAPL2	RPL36
MXD4	SPI1
MXD4	MYC
SEPT11	TCF3
SEPT11	OGA
SIRT6	H3F3A
SIRT6	SMARCA5
SIRT6	MYC
SIRT6	HIST1H2BE
SIRT6	HIST2H4B
SIRT6	IMPDH2
SIRT6	TUBA4A
TROVE2	HIST1H4K
TROVE2	HIST2H4B
TROVE2	OGA
TROVE2	XPO7
ACTR1A	TUBA4A
ACTR1A	MYH13
H3F3A	SMARCA5
H3F3A	POLR2I
H3F3A	HIST2H4B
H3F3A	SPI1
H3F3A	AGO1
H3F3A	CD81
H3F3A	CARM1
H3F3A	JUN
ACER1	CES5A
SERBP1	TP53
SERBP1	HIST1H3H
SERBP1	MYC
SERBP1	CD81
SERBP1	DLD
SERBP1	JUN
OGA	JUN
OGA	U2AF1
OGA	NUDCD1
OGA	HIST2H4B
OGA	AAK1
OGA	XPO7
OGA	IMPDH1
OGA	SEC24C
OGA	DLD
OGA	KMT2A
OGA	EEF1G
OGA	MYC
GRM5	GNG12
GRM5	DLGAP1
GRM5	NRXN2
GRM5	CALCA
GRM5	WNT5A
GRM5	GNB2
EEF1G	DLD
EEF1G	RNF4
MGAT3	SLC35A3
TP53	HNRNPF
TP53	MYC
TP53	VCP
TP53	SMARCA5
TP53	GNB2
TP53	TUBA4A
TP53	AGO1
TP53	KCTD17
TP53	CCT7
TP53	DST
TP53	UBE2M
PCBP3	DLD
PCBP3	KCTD17
KMT2A	HIST1H3H
KMT2A	SMARCA5
KMT2A	MYC
KMT2A	HIST1H2BE
KMT2A	HIST2H4B
DLD	HIST1H2BE
DLD	ADH6
DLD	CES5A
DLD	AIFM1
DLD	IARS
DLD	MCM4
DLD	VCP
DLD	JUN
B4GAT1	SLC35A3
CCT7	SPI1
CCT7	JUN
CCT7	MYC
CCT7	TUBA4A
IMPDH2	UBE2M
IMPDH2	IMPDH1
HNRNPF	RNF4
HNRNPF	U2AF1
HNRNPF	SRSF2
HNRNPF	SEC24C
HNRNPF	MYC
HNRNPF	CWC22
SFXN1	KARS
SFXN1	AIFM1
U2AF1	RPL36
U2AF1	MYC
U2AF1	POLR2I
U2AF1	SRSF2
AAK1	STON1
AAK1	SEC24C
AAK1	LDLRAP1
AAK1	TCF3
PSEN1	TUBA4A
PSEN1	SPI1
GNB2	PIP4K2A
GNB2	HIST1H4K
GNB2	HIST2H4B
GNB2	IGLC6
GNB2	HCAR3
GNB2	CALCA
GNB2	MYC
CEP97	TUBA4A
GNG12	IGHV3-9
GNG12	WNT5A
GNG12	CALCA
IGHV3-9	PIP4K2A
NKAIN3	GDPGP1
TERF2	JUN
TERF2	CARM1
TERF2	VCP
TERF2	RNF4
DST	TCF3
HIST1H4K	AGO1
HIST1H4K	STAG2
HIST1H4K	HIST1H2BE
HIST1H4K	POLR2I
HIST1H4K	HCAR3
HIST1H4K	JUN
HIST1H4K	MYC
AGO1	HIST2H4B
AGO1	MYC
AGO1	NUDCD1
AGO1	POLR2I
RNF4	RPL36
RNF4	VCP
RNF4	IARS
RNF4	UBE2M
RNF4	CD81
RNF4	HIST1H2BE
RNF4	HIST2H4B
RNF4	IMPDH1
RNF4	HIST1H3H
VCP	SEC24C
VCP	JUN
VCP	PPFIBP1
VCP	STAG2
IRF8	SPI1
ANXA2	CCR10
ANXA2	HCAR3
ANXA2	LRRC7
LRRC7	GGT1
UBE2M	HIST1H3H
UBE2M	KCTD17
UBE2M	MCM4
UBE2M	COMMD4
UBE2M	IARS
UBE2M	JUN
KARS	JUN
KARS	MYC
MYC	TCF3
MYC	JUN
MYC	TUBA4A
MYC	HIST2H4B
MYC	CARM1
MYC	AIFM1
MYC	GGT1
ZIM2	KRTAP10-7
NABP1	POLR2I
LDLRAP1	PIP4K2A
LDLRAP1	SGIP1
COMMD4	TIPRL
TCF3	VGLL4
TCF3	SGIP1
TCF3	IMPDH1
TCF3	PGM3
ALPL	GDPGP1
CWC22	POLR2I
CWC22	SRSF2
VGLL4	SPI1
TIPRL	IARS
TIPRL	JUN
HIST2H4B	HIST1H2BE
HIST2H4B	JUN
HIST2H4B	STAG2
HIST2H4B	POLR2I
PIP4K2A	IGLC6
PIP4K2A	WNT5A
MED14	NUDCD1
MED14	HIST1H3H
HCAR3	WNT5A
SLC27A3	GNPAT
SLC27A3	SLC38A3
SLC27A3	SPI1
TCTN1	TUBA4A
SRSF2	JUN
SRSF2	POLR2I
GGT1	SLC38A3
IMPDH1	JUN
IMPDH1	ADH6
IMPDH1	ACSF3
XPO7	CARM1
XPO7	SPZ1
WNT5A	SGIP1
WNT5A	KRT1
WNT5A	CCR10
WNT5A	STON1
NRXN2	JUN
JUN	LRP1
JUN	IARS
JUN	HIST1H3H
JUN	POLR2I
JUN	TUBA4A
JUN	RPL38
TUBA4A	CD81
HIST1H3H	SPI1
HIST1H3H	RPL36
STON1	SGIP1
GNPAT	OGDH
OGDH	CES5A
