#tail	head
ERCC5	UVSSA
RBMX	EFTUD2
RBMX	SF3B1
RBMX	NTRK1
XPO1	HNF4A
XPO1	SRSF5
XPO1	FANCD2
XPO1	MAD2L1
XPO1	TPM3
XPO1	NXF1
XPO1	REL
DCAF11	EYA2
NFKBIA	TIMM50
NFKBIA	IL4
NFKBIA	REL
NFKBIA	PSEN1
UBE2V1	KLHL9
UBE2V1	MAP3K1
UBE2V1	CUL5
SNRNP40	PRPF4
SNRNP40	RARA
SNRNP40	RPA2
SNRNP40	MAGOH
SNRNP40	SNRPC
SNRNP40	POLR2D
SNRNP40	APP
TIMM50	AAR2
TIMM50	SGF29
TIMM50	TUBA1C
TIMM50	SRSF5
TIMM50	EFTUD2
TIMM50	SLC25A3
TIMM50	CUL1
TIMM50	PHB2
CDCA8	ITGB3BP
CDCA8	DYNC1I2
CDCA8	HNF4A
CENPU	HIST1H2BJ
CENPU	DYNC1I2
CENPU	PPP2CA
E2F3	HSPA5
E2F3	UBA52
E2F3	PCNA
E2F3	E2F1
E2F3	TCF3
E2F3	MAX
SLC30A8	KRT16
SLC30A8	LMNA
SLC30A8	ANK1
SLC30A8	NOTCH1
IMPG1	RARA
KLHL9	COMMD2
PHC2	HIST1H4H
PHC2	CARD9
PHC2	HIST3H3
H2AFB1	POLR2A
H2AFB1	HIST1H3H
H2AFB1	HIST1H2BI
H2AFB1	UBTF
H2AFB1	ACD
H2AFB1	HIST3H3
TPM3	ESRRA
HIST1H3H	FANCD2
HIST1H3H	ZMYM2
HIST1H3H	RFC2
HIST1H3H	SGF29
HIST1H3H	CSTB
HIST1H3H	SNRPC
HIST1H3H	PCNA
HIST1H3H	POLR1C
HIST1H3H	XRCC5
HIST1H3H	NOTCH1
DBNL	NTRK1
GINS4	RPA2
GNPAT	MAX
GNPAT	SUCLG2
GNPAT	NTRK1
ATP6V0A1	FOXO4
ATP6V0A1	ATP6V0B
ATP6V0A1	MGST3
ANK1	GOLGA2
PSMC3	PPP2CA
PSMC3	ACVRL1
PSMC3	MAD2L1
PSMC3	FAM117B
POLR2A	HNRNPK
POLR2A	RPA2
POLR2A	SAMD13
POLR2A	PCNA
POLR2A	SNRPE
POLR2A	POLR2J
POLR2A	GTF2A1
POLR2A	DDX3X
POLR2A	RNPS1
POLR2A	SF3B1
POLR2A	SRSF5
POLR2A	HIST1H4H
POLR2A	SRC
POLR2A	EPRS
SNAPC2	SNAPC4
ZC3H10	ATF2
RBM12	CCDC83
SPRY2	FAIM
TINF2	BAG3
MYL12A	APP
MYL12A	NRF1
MYL12A	DDX3X
MYL12A	PXN
PXN	PKLR
PXN	PKM
PXN	LMNA
PXN	SLC3A2
PXN	PPP2CA
PXN	CACNG1
PXN	NXF1
PXN	OGA
FOXD3	BRIP1
TOR3A	E2F1
GRK4	GNRHR
GRK4	HNF4A
FANCL	RPA2
FANCL	FANCD2
FANCL	BRIP1
HIST1H2BJ	ATF2
HIST1H2BJ	CENPH
HIST1H2BJ	HIST3H3
SNRPC	GOLGA2
SNRPC	SRSF5
SNRPC	EFTUD2
SNRPC	SNRPE
RPL27	RNPS1
RPL27	HNF4A
RPL27	EFTUD2
RPL27	CUL1
RPL27	TGFB1
RNPS1	DDX42
RNPS1	HNRNPK
RNPS1	YWHAB
RNPS1	POM121C
RNPS1	DHX15
RNPS1	TPR
MGST3	CACNG1
MGST3	SUCLG1
ACVRL1	STAT5A
FANCE	FANCD2
FANCE	WRN
FANCE	RPA2
BOLA2	MAGOH
BOLA2	OGA
BOLA2	AAR2
BLK	BIRC2
BLK	EYA2
GTF2A1	HMG20B
GTF2A1	FRS3
GTF2A1	LMNA
GTF2A1	NRF1
GTF2A1	UBTF
POLR2J	RFC2
POLR2J	UBA52
POLR2J	KIF2B
POLR2J	SRC
POLR2J	WRN
POLR2J	POLR1C
POLR2J	RARG
POLR2J	MAGOH
POLR2J	XAB2
ESYT1	ITGA4
ESYT1	TMEM17
COMMD2	KIF2B
COMMD2	CUL5
CNDP1	PKM
KIF18A	COPG2
KIF18A	TCF3
KIF18A	CENPI
PCK1	BRIP1
PCK1	TCF3
PCK1	SUCLG1
PCK1	DDX42
PCK1	DDX3X
EFTUD2	GOLGA2
EFTUD2	POLR1C
EFTUD2	CSTF1
EFTUD2	PHB2
EFTUD2	SRSF9
EFTUD2	HNRNPK
EFTUD2	HIST2H4B
BBS4	MYOG
CSNK1E	STAT5A
CSNK1E	NTRK1
CSNK1E	E2F1
PRPF4	HNRNPK
POR	SORT1
POR	S100A7
POR	KAT2B
GNRHR	FOXO4
PSEN1	BCL2L1
PSEN1	ARNT
PSEN1	S100A7
PSEN1	APP
UBE2T	UBA52
COP1	UBA52
COP1	CUL1
COP1	PPP2CA
NTRK1	ZC3H7A
NTRK1	CAPZA1
NTRK1	DDX3X
NTRK1	KIF3A
NTRK1	RBM4
NTRK1	HIST3H3
NTRK1	IDH2
NTRK1	PCNA
NTRK1	SRC
NTRK1	PSME2
NTRK1	WRN
NTRK1	FRS3
NTRK1	KLC1
BRIP1	RFC2
BRIP1	PCNA
BRIP1	RPA2
IL4	NOTCH1
IL4	INPP5D
TTN	TRPM7
TTN	FOXO4
TTN	TCF3
EVX1	FOXO4
TCF3	FOXO4
TCF3	UBTF
TCF3	FAM117B
TCF3	HNF4A
GOLGA2	CD59
GOLGA2	NOTCH1
GOLGA2	TMED10
GOLGA2	PRKAA2
MAP4K4	FOXO4
MAP4K4	STAT5A
VIM	HSPA5
VIM	PKM
VIM	CUL1
DISC1	CCDC136
DISC1	KIF3A
PRKAA2	HSPA5
PRKAA2	HDAC5
ATF2	CCNA2
ATF2	DDX3X
ATF2	CNTF
ATF2	PCNA
ATF2	GSTT1
HIST2H4B	ITGA4
HIST2H4B	UBTF
HIST2H4B	ACD
HIST2H4B	DDX3X
HIST2H4B	LMNA
KRT16	AAR2
SENP3	XAB2
UBTF	MAX
UBTF	ZMYM2
UBTF	KAT2B
UBTF	MYOG
THRA	SRC
THRA	NXF1
THRA	XRCC5
BCL9L	HIST3H3
BCL9L	HIST1H2BI
GPAM	SUCLG1
GPAM	MAX
GPAM	FAR2
GPAM	ACSL3
GPAM	GPCPD1
DLX6	OGA
YWHAB	PPP2CA
YWHAB	LMNA
ZBTB10	ARNT
PPCS	PKM
FOLH1	SLC3A2
COPG2	CAPZA1
COPG2	CD59
IDH2	TAZ
SRSF9	DHX15
SRSF9	LMNA
ATP6V0B	ATP6V0D2
ATP6V0B	ARNT
FOXO4	ZMYM2
FOXO4	PITX2
FOXO4	ETS1
FOXO4	SAT1
FOXO4	APP
FOXO4	GPHB5
EPRS	ITGA4
EPRS	SRC
EPRS	HDAC5
EPRS	DDX3X
E2F1	DHFR
E2F1	NXF1
E2F1	HIST1H2BI
E2F1	RARA
E2F1	RPA2
EXOC5	HNF4A
EXOC5	PKD1
HSP90AB1	SRRT
HSP90AB1	ITGA4
HSP90AB1	PKM
HSP90AB1	AAR2
HMG20A	PITX2
CCNA2	ITGB3BP
CCNA2	KAT2B
CCNA2	UBA52
CCNA2	MAD2L1
ESRRA	PHB2
ESRRA	SLC25A3
ESRRA	SAT1
ESRRA	DDIT4L
RPA2	RARA
RPA2	UVSSA
RPA2	HNRNPK
RPA2	SF3B1
FAR2	ACSL3
FAR2	SRD5A2
RPEL1	XYLB
TMEM17	DVL1
ACSL3	ACSL4
ACSL3	SAT1
ACSL3	PKLR
ACSL3	LMNA
HIRA	NXF1
HIRA	ARNT
HNRNPK	DDX42
HNRNPK	XAB2
HNRNPK	DHX15
HNRNPK	LMNA
HNRNPK	CSTF1
HNRNPK	SRRT
HNRNPK	TGFB1
RPL3L	RPN2
RPL3L	UBA52
CNTF	APP
CNTF	IL6R
XRCC5	SGF29
XRCC5	UBA52
XRCC5	WRN
XRCC5	ROCK1
XRCC5	NUPR1
CHGA	SGF29
WRN	PCNA
SLC3A2	PHB2
GSTT1	TSG101
HIST1H2BO	POLR2D
HIST1H2BO	ITGB3BP
HIST1H2BO	CENPI
HIST1H2BO	MAX
HIST1H2BO	RARA
NXF1	U2AF1L4
NXF1	ROCK1
NXF1	HIST1H2BI
NXF1	DHX15
NXF1	SLC25A3
TSG101	BIRC2
TSG101	UBA52
ZNF516	HIST3H3
CSTF1	MAGOH
CSTF1	U2AF1L4
HMG20B	HIST1H2BI
HMG20B	HIST1H4H
PSMD10	BIRC2
PSMD10	BAG3
PSMD10	LMNA
CENPI	PLPPR3
SNRPE	U2AF1L4
SNRPE	POM121C
SNRPE	POLR2D
SNRPE	SRRT
SNRPE	CUL1
SNRPE	XAB2
CAPZA1	HSPA5
CAPZA1	MAGOH
CAPZA1	DYNC1I2
CLIP1	KIF2B
DHX15	POLR2D
DHX15	SRRT
DHX15	CUL1
DHX15	U2AF1L4
DHX15	SGF29
DHX15	PCNA
DCTN4	ARNT
ITGB3BP	UBA52
ITGB3BP	APP
CUL5	RARA
CUL5	APP
CUL5	ACD
CUL5	DDX3X
MAX	NRF1
MAX	POLR1C
MAX	COPS7A
PLPPR3	SUCLG1
PLPPR3	SRRT
CACNG1	CPLX1
CACNG1	LMNA
TGFB1	PKM
TGFB1	NUP98
TGFB1	PHB2
TGFB1	PCNA
TGFB1	MAP3K1
TGFB1	APP
MAD2L1	AAR2
MAD2L1	DDIT4L
MAD2L1	UBA52
MAD2L1	NUP98
MAD2L1	DYNC1I2
BCL2L1	ETS1
BCL2L1	STAT5A
NRF1	PPP2CA
NRF1	OGA
NUP98	KIF2B
MYOG	PITX2
MYOG	STAT5A
ZMYM2	VAV1
DDX3X	SF3B1
DDX3X	SGF29
DDX3X	OGA
DDX3X	LMNA
DDX3X	SRC
DDX3X	CUL1
DDX3X	SRRT
DNPEP	AAR2
SRC	PKD1
SRC	EYA2
SRC	APP
RBM4	APP
RBM4	SRRT
RBM4	ITGA4
RBM4	CUL1
PCNA	OGA
SAT1	AOC3
DVL1	NOTCH1
AAR2	SF3B1
AAR2	SLC25A3
AAR2	RARA
ETS1	PSME2
ETS1	STAT5A
RARA	SRRT
RARA	HNF4A
RARA	LMNA
RARA	KAT2B
DDX42	PKM
DDX42	ACSL4
DDX42	SRRT
NOM1	TUBA1C
LMNA	ITGA4
LMNA	TPR
LMNA	HIST1H2BI
LMNA	SF3B1
LMNA	OGA
POLR1C	HNF4A
POLR1C	HIST1H4H
KAT2B	AOC3
KAT2B	HIST3H3
KAT2B	HIST1H2BI
KAT2B	SF3B1
ITGA4	PKM
PEX13	UBA52
HNF4A	PITX2
HNF4A	TUBA1C
UBAC2	RPN2
HIST3H3	HIST1H4H
HIST3H3	ACD
ARNT	NOTCH1
ARNT	OGA
ARNT	TTLL11
HSPA5	TPR
HSPA5	UBA52
HSPA5	OGA
BAG3	PSME2
BAG3	PPP2CA
BAG3	OGA
MAGOH	PPP2CA
MAGOH	HIST1H2BI
DYNC1I2	KIF2B
XAB2	SRSF5
XAB2	POLR2D
PSME2	UBA52
PSME2	APP
HDAC5	SF3B1
HDAC5	UBA52
HDAC5	HIST1H4H
HIST1H4H	FANCD2
HIST1H4H	HIST1H2BI
KIF2B	PPP2CA
SRSF5	SF3B1
SRSF5	SRRT
SRSF5	POLR2D
GCAT	TAZ
U2AF1L4	SRRT
AOC3	SORT1
STAT5A	NRP1
UBA52	POLD2
MAP3K1	BIRC2
MAP3K1	NOTCH1
POLR2D	SRRT
NOTCH1	PPP2CA
