#tail	head
SPANXA1	SETBP1
RYR1	ATP2A2
RYR1	STX1A
AMT	GNMT
PRKAG3	EXOSC9
PRKAG3	CNOT6
GALNT2	MUCL1
RPS2	SEC61B
RPS2	UBB
RPS2	MYBBP1A
RPS2	GABARAPL1
RPS2	EIF3C
DENND4C	WEE1
EXOSC9	FOXA1
VCAM1	PSMA7
VCAM1	HEATR1
VCAM1	MYBBP1A
VCAM1	EIF3C
VCAM1	HIST2H3C
VCAM1	UBB
DUSP3	STAT1
SNTG2	VCPIP1
S100A10	SETDB1
PDGFRB	UBB
PDGFRB	STAT1
PDGFRB	IGHV3-33
GALE	SLC35D1
KIF3A	HLA-DRB5
KIF3A	CAPZA2
PIK3R3	STAT1
PIK3R3	AP2S1
PIK3R3	IGHV3-33
PIK3R3	UBB
EIF3C	HSP90AA1
MRPL51	DAP3
MRPL51	MRPS6
HIVEP3	PSMA7
HIVEP3	PSMD9
HIVEP3	PSMB9
HIVEP3	FOXA1
UBB	UBE2K
UBB	YWHAG
UBB	MYL6
UBB	PSMD9
UBB	HSP90AA1
UBB	AP2S1
UBB	GNAI2
UBB	RPL24
GNAI2	BMPR1A
GNAI2	TRDN
GNAI2	LARS
GNAI2	STX1A
PYHIN1	YWHAG
VPS41	HSP90AA1
VPS41	STAT1
AP2S1	CLTA
GALNT18	MUCL1
DAP3	MTIF2
DAP3	HSP90AA1
PSMB9	PSMD9
PSMB9	BMPR1A
RILP	CAPZA2
EPHB6	HSP90AA1
NFKB1	PSMA7
NFKB1	CNOT6
NFKB1	GAPDH
NFKB1	UBE2K
NFKB1	PSMD9
IGHV3-33	HSP90AA1
PSMA7	BMPR1A
PSMA7	FBXO7
HLA-DRB5	STAT1
HLA-DRB5	CLTA
YWHAG	WEE1
YWHAG	STAT1
STAT1	BMPR1A
STAT1	HIST2H3C
STAT1	SRSF4
RPL24	MYBBP1A
RPL24	GABARAPL1
RPL24	OXR1
RPL24	TRAF6
ATRX	HIST2H3C
LARS	HSP90AA1
GAPDH	TRAF6
GAPDH	MYL6
GAPDH	ATP2A2
GAPDH	GABARAPL1
WEE1	HSP90AA1
WEE1	PLK1
GLYR1	CHD3
IPO5	ASB15
IPO5	GABARAPL1
EPHB4	FBXO7
STX1A	TPCN1
STX1A	AHCYL1
PLK1	NFATC2
PLK1	HIST2H3C
MYL6	CHD3
MYL6	AHCYL1
GNMT	HACD1
BMPR1A	ATP2A2
BMPR1A	SEC61B
HSP90AA1	SET
HSP90AA1	FBXO7
HSP90AA1	CHD3
HSP90AA1	SETDB1
GABARAPL1	MYBBP1A
FBXO7	UBE2K
GCNT4	B3GLCT
B3GLCT	PIGQ
MYBBP1A	HIST2H3C
FOXB1	HEATR1
FOXB1	FOXA1
SRSF4	CD2BP2
TRAF6	ATP2A2
AHCYL1	ATP2A2
AHCYL1	CD2BP2
VTI1B	TRDN
VTI1B	VSIG8
CAPZA2	SEC61B
CAPZA2	CLTA
CLTA	SET
ATP2A2	HACD1
ATP2A2	FOXA1
SETDB1	HIST2H3C
HIST2H3C	CHD3
FOXA1	CHD3
ASB15	UBE2K
FAF1	SET
