#tail	head
TMEM8B	HNRNPL
SEC13	HLA-DQA1
SEC13	PPP2R5D
SEC13	SF1
SEC13	OSBPL8
SEC13	PRMT5
SEC13	ALDOA
SEC13	GAPDH
SEC13	GULP1
SEC13	RPSA
SEC13	ARPC1A
MYOF	SEPT2
MYOF	RPSA
MYOF	SEH1L
MYOF	PHGDH
MTHFD1L	ACP7
MTHFD1L	SUCLA2
HIST1H4C	FGFR1
HIST1H4C	PRMT5
HIST1H4C	ATR
HIST1H4C	CENPB
HIST1H4C	MTHFR
HIST1H4C	PIH1D1
ALPI	SLCO1A2
ALPI	CTTN
ALPI	SF1
ALPI	SEH1L
STARD13	RHOA
STARD13	TCF3
LSM8	CDC5L
LSM8	WBP4
LSM8	SF3B3
PTAFR	GORAB
RPSA	ARPC2
RPSA	MTHFR
RPSA	EZR
RPSA	SEC61A2
RPSA	EIF3G
RPSA	STARD10
RPSA	PIH1D1
SPPL3	GTF3A
SBK3	DMAP1
ARHGAP8	TCF3
ARHGAP8	SPI1
ARHGAP8	REPIN1
KRT40	AES
SNRPB	C10orf55
SNRPB	PRMT5
SNRPB	LUC7L3
RPL7A	CD4
RPL7A	GAPDH
RPL7A	CHD3
RPL7A	DICER1
ATF1	PIH1D1
ATF1	GAPDH
ATF1	CHD3
ATF1	SNW1
ACLY	PIH1D1
ACLY	HADHB
ACLY	HMGCR
ACLY	APP
ACLY	FAR2
ACLY	MBOAT1
ACLY	RIOK1
H2AFZ	GATAD2B
H2AFZ	OGA
HIST1H4L	WNT5A
HIST1H4L	HIST1H2BB
HIST1H4L	SF1
HIST1H4L	RAD50
HIST1H4L	SF3B3
HIST1H4L	CHD3
HIST1H4L	SPI1
HIST1H4L	FGFR1
HIST1H4L	CHEK2
KNG1	FGFR1
KNG1	SLC8A1
KNG1	PLAT
KNG1	CXCL8
KNG1	PRL
SH3BP2	NFATC2
SH3BP2	GRB2
BEX2	BORCS6
PNPLA4	FABP5
PEBP1	PTK2
PEBP1	PRL
DHX38	CHD3
DHX38	BUD31
ILK	RNF19A
ILK	VRK2
ILK	ATP5F1A
IL1R2	IL17RA
IL1R2	OSMR
IL1R2	IL2RG
EPHA3	CRK
CAT	CES3
CAT	IL13
CAT	MBD2
CAT	MTA1
YWHAG	TUBGCP2
YWHAG	NEDD1
YWHAG	MAPK8
YWHAG	NOS2
YWHAG	PIH1D1
NEDD1	HAUS5
NEDD1	CDK1
NEDD1	DYNLL1
IGLV2-14	PIP5K1C
IGLV2-14	HBEGF
IGLV2-14	IL1RAP
IGLV2-14	CRK
CSK	IFNA1
CSK	EGFR
CSK	GRB2
CSK	HLA-DQA1
CSK	STAT4
HBB	SLC8A1
HBB	APOA1
HIST1H2AB	MTA1
HIST1H2AB	GAPDH
HIST1H2AB	HIST1H2BB
PCDHB16	EGFR
CXCL8	UTRN
CXCL8	HTR3A
CXCL8	HSD17B7
CXCL8	GPAT3
CXCL8	PTK2
CXCL8	NOS2
CXCL8	H2BFS
CXCL8	CSF3
CXCL8	EGFR
UTRN	THOC1
UTRN	TERF1
UTRN	LRCH3
XPO1	USP16
XPO1	EGFR
XPO1	PPP2R5D
XPO1	HAUS5
XPO1	PHGDH
XPO1	WDR54
XPO1	CSE1L
XPO1	CDK1
XPO1	PHB
XPO1	VPS37B
XPO1	PIH1D1
XPO1	RAP1GAP2
AGPAT2	GPAT3
AGPAT2	ALDH1B1
ONECUT1	PIH1D1
ONECUT1	ALDH5A1
ONECUT1	SPI1
ONECUT1	GRB2
ONECUT1	KTN1
ONECUT1	FOXN1
ONECUT1	LUC7L3
ONECUT1	E2F4
RDX	PPP1CA
RDX	NTRK1
ERG	NEDD4
ERG	CBFA2T3
ERG	APP
ERG	ATP5F1A
ERG	RPLP0
ERG	SF3B3
EPHA2	STYX
EPHA2	REPIN1
EPHA2	OPCML
YIPF3	STAT4
STARD10	SNW1
STARD10	RPRD1B
RAD18	MAPK8
RAD18	UBE2D2
CHEK2	RAD50
CHEK2	PPP2R5D
CHEK2	SF3B3
AIMP1	SEC23A
AIMP1	RPRD1B
AIMP1	PHGDH
AIMP1	OFD1
AIMP1	CTTN
AIMP1	STYX
OSMR	IL5RA
OSMR	STAT4
OSMR	IFNA1
ARPC1A	EGFR
ARPC1A	SEPT2
ARPC1A	SEPT7
REPIN1	KTN1
REPIN1	TCF3
REPIN1	DMD
REPIN1	HIST1H2BB
REPIN1	FNDC5
REPIN1	TFAP4
REPIN1	KCNJ16
WBP4	SF3B3
DNAI1	GTF3A
SLCO1A2	ACOT6
FGFR2	APP
FGFR2	HGS
FGFR2	EGFR
TRIB3	UBTD2
TRIB3	AES
TRIB3	HELZ2
CHRNB3	DMD
HSD17B7	GORAB
HSD17B7	PLAT
HSD17B7	APP
HSD17B7	HELZ2
EIF3A	SNW1
EIF3A	TCF3
EIF3A	PIH1D1
SLCO1B3	PRL
SLCO1B3	APP
SLCO1B3	PLAT
UBQLN2	CCK
UBQLN2	CSN2
UBQLN2	WNT5A
UBQLN2	SLITRK1
UBQLN2	IFNA1
CRK	FCGR2A
CRK	FGFR1
CRK	IGKV2-29
CRK	STAT4
FGF9	APP
FGF9	IL1RAP
FGF9	LCP2
FGF9	GAB2
FGF9	GNG12
FGF9	EGFR
FGF9	IGKV2-29
FGF9	LAT
FGF9	IGKV1-5
FGF9	IGHM
FGF9	MBD2
FGF9	FRA10AC1
SP140L	LDHD
SP140L	APP
SP140L	NEDD4
CD80	GAB2
CD80	FGF22
CD80	LAT
TRPC6	JAK2
TRPC6	PTGIR
TRPC6	WNT5A
DYNLL1	GAPDH
DYNLL1	HLA-DQA1
DYNLL1	CDK1
DYNLL1	ALDOA
DYNLL1	TUBGCP2
DYNLL1	OGA
DYNLL1	CBFA2T3
NFATC2	BLK
NFATC2	POLR1C
GC	SLC8A1
GATA6	CASZ1
KIF15	DMD
TFAP4	SPI1
TFAP4	HIST1H2BB
TFAP4	RAD50
TFAP4	TCF3
TFAP4	E2F4
FGFR1	PTPN7
FGFR1	PHGDH
FGFR1	GAB2
FGFR1	PIP4K2A
FGFR1	FCGR2A
FGFR1	PTPN5
SIRT7	RAD50
SIRT7	DICER1
SIRT7	SURF6
SIRT7	PPP1CA
SIRT7	H2AFX
SIRT7	COPA
SIRT7	OSBPL8
SUCLA2	SEC23A
SUCLA2	HMGCR
SUCLA2	PHKB
SUCLA2	ALDH5A1
GAN	CUX1
CES3	ALDH1B1
CES3	APP
SNX12	HGS
PTK2	MAP2K2
PTK2	JAK2
PTK2	MAPK8
PTK2	MTHFR
PTK2	PTPN7
PTK2	COL4A3
PTK2	IFNA1
PTK2	PIP5K1C
PTK2	GAPDH
PTK2	PTPN5
PTK2	NOS2
PTK2	STAT4
PTK2	PKD1
PTK2	GRB2
PPP1CA	CDC5L
PPP1CA	ALDH7A1
PPP1CA	H2AFX
PPP1CA	PHGDH
HIST1H2BB	MTA1
HIST1H2BB	PKN1
PHGDH	PRMT5
PHGDH	RPRD1B
PHGDH	GRB2
PHGDH	RPLP0
PHGDH	EIF3G
PHGDH	ATP1B3
OGFR	TERF1
HLA-DQA1	CD4
THOC1	CDC5L
THOC1	SF3B3
VPS37B	SEPT2
VPS37B	SEC23A
VPS37B	HGS
KCNMB4	ATP1B3
IGHV3-13	IL1RAP
IGHV3-13	PIP4K2A
IGHV3-13	IGHM
IGHV3-13	FGF4
IGHV3-13	LAT
IGHV3-13	GNG12
IGHV3-13	RHOA
IGHV3-13	FGF18
IGHV3-13	HBEGF
IGHV3-13	PIP5K1C
FGF18	ABI1
HMGCR	MECR
IL1RAP	JAK2
IL1RAP	CUX1
IL1RAP	PIP4K2A
IL1RAP	IL17RA
IL1RAP	IL2RG
ALDOA	PIH1D1
ALDOA	APP
ALDOA	SNW1
ALDOA	SEC23A
ALDOA	SEH1L
ALDOA	CUX1
ALDOA	SEPT2
BLK	GNG12
BLK	PTPN7
BLK	IGKV2-29
E2F4	SLC35F6
MAP1B	MAPK8
GRB2	PTK2B
GRB2	IL17RA
GRB2	ATP5F1A
GRB2	RHOA
GRB2	RHOU
GRB2	IL15RA
GRB2	CD4
GRB2	JAK2
GRB2	ARPC2
GRB2	NRG2
FBXW7	MED14
FBXW7	CCT8
SLC8A1	ATP6V1B2
LRCH3	NTRK1
LRCH3	SEPT7
APOA1	IFNA1
GTF3A	MAPT
CTTN	OSBPL8
CTTN	SF1
CTTN	AGTR1
CTTN	RPRD1B
CTTN	CD4
CTTN	HBEGF
CSF3	STAT4
MAPT	EGFR
MAPT	APP
MAPT	PLAT
FGF4	CUX1
FGF4	LAT
FGF4	IGKV1-5
COX4I1	PHB
COX4I1	TMOD3
PITPNA	IL2RG
PITPNA	STAT4
PITPNA	LCP2
PRPF4	BUD31
PRPF4	FOXN1
PRPF4	CHD3
DDOST	HADHB
DDOST	ATP6V1B2
PTPN5	JAK2
PTPN5	FRK
DMAP1	SNW1
NTRK1	EGFR
NTRK1	NEDD4
NTRK1	GAB2
NTRK1	PTPN7
NTRK1	KTN1
NTRK1	INTS6
NTRK1	EIF3G
NTRK1	DICER1
NTRK1	TUBGCP2
GATAD2B	H2BFS
PPP2R5D	EGFR
GAPDH	CDC5L
GAPDH	EGFR
GAPDH	TCF3
GAPDH	RPRD1B
GAPDH	SEPT7
GAPDH	RPLP0
GAPDH	MCCC2
GAPDH	INPP4B
GAPDH	MTHFR
GAPDH	LDHD
GAPDH	PTPN7
GAPDH	SSH2
GAPDH	MAPK8
GAPDH	ATP5F1A
GAPDH	ALDH1B1
PTGIR	LRRC8E
PTGIR	SPI1
FRK	DUSP7
BORCS6	RIBC1
NRG2	HBEGF
NRG2	FCGR2A
NRG2	AGTR1
LUC7L3	SF3B3
LUC7L3	OGA
EZR	SEH1L
EZR	RHOA
EZR	OGA
EZR	SF1
CDH17	EGFR
GAB2	LAT
GAB2	STAT4
GAB2	ABI1
GAB2	IL15RA
GAB2	CUX1
GAB2	IGKV1-5
GAB2	DENND1A
TCF3	COL4A3
TCF3	MOB3C
TCF3	PHKB
TCF3	STYX
TCF3	PTK2B
TCF3	PKN1
TCF3	CASZ1
TCF3	HTR3A
RPRD1B	INTS6
RPRD1B	SEC23A
GPAT3	ALDH5A1
MAPK8	GSTP1
MAPK8	PTK2B
MAPK8	JAK2
MAPK8	CCT8
MAPK8	HIST2H4A
MAPK8	STAT4
MAPK8	IL2RG
IFNA5	IL17RA
IFNA5	IFNA1
IFNA5	JAK2
IFNA5	APP
IL15RA	IL13
IL15RA	JAK2
PTPN7	SPI1
PTPN7	PTK2B
RAD50	ATR
LCP2	ARHGEF4
LCP2	FCGR2A
LCP2	EGFR
LCP2	IGKV2-29
LCP2	SH2D2A
WNT5A	INPP4B
WNT5A	SPI1
WNT5A	PKD1
WNT5A	PIP4K2A
WNT5A	HGS
FOXN1	AES
FOXN1	BHLHE40
CDK1	SEPT2
CDK1	EGFR
FAM136A	CHCHD2
AGTR1	EGFR
AGTR1	PRL
AGTR1	FGF22
COL4A2	PTK2B
HADHB	SEPT2
HADHB	MBOAT1
HADHB	SF1
TMEM126A	CHCHD2
KCNJ11	HTR3A
OFD1	ALDH1B1
MBD3L2	KRT34
MBD3L2	CHD3
SSH2	JAK2
ATP1B3	SEPT2
ATP1B3	PHKB
HAUS5	IL17RA
HAUS5	TUBGCP2
IFNA1	IL17RA
IFNA1	APP
IFNA1	IL2RG
HGS	ARPC2
PRL	HELZ2
PRL	PHB
FKBP1A	RHOA
PFKFB1	APP
FAR2	ALDH5A1
MTMR1	PIP4K2A
PIH1D1	CSE1L
ARHGEF4	SPI1
MTHFR	PLAT
PHB	SEC61A2
PRMT5	MTA1
ALDH5A1	NOS2
GNG12	APP
GNG12	HTR3A
GNG12	LAT
GNG12	ABI1
GNG12	RHOA
GNG12	IGKV2-29
GNG12	CUX1
GNG12	FGF22
ALDH1B1	MBOAT1
ALDH1B1	NOS2
PPIB	COL4A3
PPIB	EGFR
PPIB	OGA
PRG4	DICER1
LAT	EGFR
LAT	CD4
LAT	FCGR2A
LAT	ABI1
LAT	DICER1
DICER1	SEPT2
DICER1	SEPT7
EIF3G	SF1
EIF3G	CDC5L
EIF3G	SEH1L
EIF3G	APP
JAK2	RHOA
JAK2	PIP4K2A
JAK2	PIP5K1C
JAK2	IL13
JAK2	IL17RA
JAK2	EGFR
JAK2	FGF22
SEC23A	SEPT7
SEC23A	COPA
SEC23A	SEPT2
SEC23A	DENND1A
APBB1	NEDD4
APBB1	H2AFX
APBB1	SF1
APBB1	HIST2H4A
PKN1	H2BFS
SF1	HIST2H4A
SF1	SNW1
SF1	BUD31
SF1	SEH1L
SF1	CCT8
CSE1L	ATP6V1B2
CSE1L	RIOK1
CSE1L	CHD3
FGF22	IGKV1-5
FGF22	ABI1
FGF22	PIP4K2A
HBEGF	APP
HBEGF	PIP4K2A
HBEGF	IGKV2-29
IL13	GSTP1
IL13	IL17RA
IL13	SPI1
MTA1	ATR
MCCC2	OGA
SH2D2A	CUX1
SH2D2A	PIP4K2A
IGHM	IGKV1-5
SEPT7	SEPT2
SEPT7	BUD31
H2AFX	H2BFS
H2AFX	TERF1
H2AFX	CHD3
CHD3	H2BFS
RIOK1	POLR1C
TERF1	H2BFS
CCT8	SEH1L
CCT8	PPP2R2B
HTR3A	PLAT
APLP1	APP
ARPC2	STAT4
ARPC2	SEPT2
ARPC2	PIP5K1C
VRK2	APP
FABP5	EGFR
SF3B3	CDC5L
UBTD2	DMBX1
POLR1C	NEDD4
POLR1C	EIF3I
APOA2	HELZ2
PIP5K1C	PIP4K2A
PIP5K1C	IGKV1-5
IGKV1-5	FCGR2A
ABI1	EGFR
OGA	RPLP0
OGA	NEDD4
PPP2R2B	PTK2B
PPP2R2B	CDC5L
GORAB	APP
EIF3I	RPLP0
CD4	PTK2B
EGFR	INPP4B
ATP5F1A	RPLP0
RPLP0	SNW1
ATR	CDC5L
ATR	SNW1
BUD31	APP
IL2RG	PTK2B
DUSP7	PTK2B
MAP2K2	STAT4
SPI1	PLAT
SPI1	CDC5L
