#tail	head
CORO1B	PHGDH
AS3MT	PARP1
REPIN1	NRK
REPIN1	APP
REPIN1	FOXA1
PRKN	PARP1
PRKN	APP
PRKN	TPM1
GDF9	APP
CHRNB3	TPM1
SKP1	PPP2CA
FOXA1	MAZ
GORASP1	CD55
EPSTI1	APP
MAZ	ASB2
PARP1	APP
LYZ	APP
