#tail	head
TMED9	ARF1
FXN	TIMM21
IL2	PRKCZ
IL2	PIK3R3
VARS	CACNA1A
VARS	CAD
VARS	SHC1
TRIM25	GPSM2
TRIM25	ELAVL1
TRIM25	GAPDH
TRIM25	TRMT61A
TRIM25	CTNNA1
TRIM25	PIK3C2B
TRIM25	ISG15
TRIM25	CHD3
TRIM25	FBXW7
GTF2F2	SF1
GTF2F2	NTRK1
FBXW7	NXF1
FBXW7	GATA2
FBXW7	RUNX2
FBXW7	COMMD3
FBXW7	NOTCH3
CXCL10	CALR
CXCL10	ALDH2
REPS2	ARPC1B
REPS2	TCF3
NAALADL2	TM4SF4
NAALADL2	SLC38A7
TP73	JAG2
TP73	CHD3
UBE2D2	KLHL3
UBE2D2	MIB2
RUNX2	ABL1
RUNX2	CACNA2D3
RUNX2	PIK3R3
RUNX2	KCTD15
RUNX2	CBFA2T2
RACK1	CHD3
RACK1	CBX8
RACK1	SHC1
RACK1	IGF1R
PLEKHF2	CBX8
CALR	CBFA2T2
CALR	ELAVL1
CALR	SF1
PIK3R3	INPP5E
PIK3R3	INPP4B
PIK3R3	SPSB2
PIK3R3	RET
PIK3R3	GNB2
PIK3R3	ZEB1
ABL1	CTNNA1
ABL1	PTPN9
ABL1	PTPRE
ABL1	NOTCH3
ABL1	SHC1
ABL1	SF1
ABL1	PTPN18
GNA14	TCF3
GNAI2	SF1
GNAI2	GNB2
GNAI2	IGF1R
GNAI2	PRKCZ
PTPN9	NTRK1
PTPN9	IGF1R
GPT2	NME4
GPT2	SLC7A9
GPT2	CAD
GPT2	ALKBH1
SYT5	CACNG6
SYT5	CACNA1A
COPS7B	ELAVL1
RET	PTPRE
RET	ELAVL1
RET	HAP1
RET	PTPN18
GNB2	ERBB4
GNB2	ID3
GNB2	TAS1R3
GNB2	OPRM1
GNB2	TCF3
TACC2	PRC1
TACC2	TOMM20
TACC2	ZEB1
CBFA2T2	KCTD15
CBFA2T2	NOTCH3
CBFA2T2	ID3
NXF1	EDC4
NXF1	DEPDC7
NXF1	CHD3
IGF1R	PTPRE
IGF1R	CTNNA1
IGF1R	CAD
NTRK1	EDC4
NTRK1	DDX23
NTRK1	SF1
NTRK1	PTPRE
NTRK1	NOTCH3
NTRK1	KLC4
NTRK1	PPP2R5D
NTRK1	CAD
NTRK1	CTNNA1
GRM6	JAG2
TOMM20	ELAVL1
PTPRE	EPHB2
PTPRE	ERBB4
NOTCH3	JAG2
INPP5E	INPP4B
PIK3C2B	INPP4B
PIK3C2B	ERBB4
PIK3C2B	ARPC1B
KCTD15	DDIT4L
KCTD15	TCF3
ELAVL1	TCF3
ELAVL1	SF1
ELAVL1	POLR2D
ELAVL1	UBQLN2
ELAVL1	INPP4B
ELAVL1	FIP1L1
ELAVL1	TAF2
GAPDH	TCF3
GAPDH	ISG15
GAPDH	SF1
GAPDH	CAD
GAPDH	TXNL1
GAPDH	PRKCZ
GAPDH	INPP4B
GAPDH	CHD3
GAPDH	PTPN18
CACNG2	CACNA1A
CACNG2	TNNT2
PPP2R5D	ALDH2
NME4	SLC7A9
PTPN18	EPHB2
MYL6	CACNA2D3
MYL6	CACNA1A
ZEB1	SF1
ZEB1	EDC4
ZEB1	TCF3
ZEB1	GATA2
ZEB1	CACNA2D3
ZEB1	ERBB4
PRC1	KLC4
EDC4	SF1
ALDH2	ALKBH1
TCF3	CHD3
TCF3	KLHL3
TCF3	PRKCZ
TCF3	HOOK1
TCF3	CBX8
TCF3	ERBB4
SLC7A9	SLC2A6
SLC7A9	AMY1A
DDX23	FIP1L1
IFT57	ARPC1B
SHC1	ERBB4
AMY1A	SLC2A6
PRKCZ	ERBB4
OPRM1	GPSM2
CWF19L2	HOOK1
VIP	UBQLN2
POLR2D	FIP1L1
MIB2	JAG2
CBX8	CENPO
JAG2	CACNA1A
CACNA2D3	TNNT2
TNNT2	CACNA1A
