#tail	head
KLHL14	ABCC1
AR	CREBBP
AR	PDHA1
INHA	FZD8
INHA	FZD9
PLSCR1	ADRA1B
PLSCR1	RERE
CCDC102B	NOG
AJUBA	TUBA1A
AJUBA	RXRA
HIST1H3F	EEF1A1
HIST1H3F	SGF29
HIST1H3F	ATF2
HIST1H3F	JAK2
HIST1H3F	GSN
HIST1H3F	NOG
HIST1H3F	RPL17
HIST1H3F	MTA3
POMC	LEP
CTTN	NCF1
CTTN	SAFB
CTTN	SGTA
CTTN	EEF1A1
CALR	SEC24C
CALR	SLC2A1
CALR	SNW1
CALR	SAFB
CALR	ATF2
HSPA1A	SGF29
HSPA1A	SEC24C
HSPA1A	GSN
HSPA1A	DCD
HSPA1A	SLC5A1
HSPA1A	YAP1
MCC	AIMP1
MCC	ECH1
MCC	SEC61B
BCL2L11	ARAF
BCL2L11	SLC2A1
ATP1B4	SNW1
EZH2	RUNX1
EZH2	SMS
EZH2	CREBBP
EZH2	RXRA
EZH2	HIST1H2AD
EZH2	ATF2
DCD	TTR
DCD	CRB1
DCD	SEC61B
DCD	RAD51D
DCD	KRT5
AIRE	SDR9C7
SGTA	AIMP1
SGTA	SMTN
SGTA	GSN
SGTA	ELAVL1
SGTA	SEC24C
SGTA	EEF1A1
SGTA	UBXN1
SGTA	PAICS
SGTA	MDH2
SGTA	SGF29
TDH	PDHA1
BAG2	NOG
BAG2	EPAS1
ARAF	JAK2
PAICS	SMTN
PAICS	SGF29
HBA2	LEP
TTR	NOG
TTR	ADRA1B
TTR	SETX
TTR	SEC61B
TTR	TTPAL
LEP	LGALS3
LEP	FZD9
LEP	LEPR
TBC1D22B	SDR16C5
SGF29	ELAVL1
SGF29	SAFB
SGF29	EEF1A1
SGF29	PDHA1
SGF29	SMTN
SGF29	DNAJB11
SGF29	GSN
SGF29	WDR5
IL3RA	KITLG
WASF1	NCF1
WASF1	CYFIP1
WASF1	NOG
ERCC6	HIST1H2AD
ERCC6	KAT5
ERCC6	MTA3
ERCC6	HIST1H3G
GSN	SLC2A1
GSN	NOG
NEDD1	TUBA1A
EXO1	RAD9B
EXO1	KAT5
RERE	EHMT2
ZBTB38	RALBP1
UBE3C	SEM1
DERL2	NOG
ELAVL1	SMS
ELAVL1	DDX5
ELAVL1	CREBBP
ELAVL1	TXNRD1
ELAVL1	EHMT2
ELAVL1	SMTN
ELAVL1	SRBD1
RXRA	HIST1H2AD
RXRA	HIST1H2BC
RXRA	WDR5
RXRA	SLC4A9
RXRA	SNW1
LEPR	JAK2
MTA3	HIST1H2AD
HIST1H2AD	EEF1A1
HIST1H2AD	HIST1H3G
HIST1H2AD	ATF2
CDC45	CNOT1
CDC45	HIST1H3G
CDC45	KRT5
CDC45	CST3
CYFIP1	YAP1
CYFIP1	JAK2
NFE2	RUNX1
NFE2	AKIRIN2
NFE2	CREBBP
KITLG	FCGR1A
TTPAL	CRB1
TTPAL	SEC61B
JAK2	RHOA
JAK2	TRPC1
NOG	AIMP1
NOG	TIPIN
NOG	SEC61B
NOG	HS3ST1
NOG	YAP1
NOG	EPAS1
NOG	THBS2
NOG	CREBBP
NOG	DACH2
NOG	MEF2C
NOG	C1orf94
NOG	DDX5
SCN3B	FXYD6
WDR5	HIST1H2BC
WDR5	SNW1
WDR5	HIST1H3G
DNAJB11	ECH1
C1orf94	RAD51D
C1orf94	KRTAP7-1
PDHA1	MDH2
PDHA1	MCAT
PDHA1	TNFSF10
SLC4A9	RUNX1
MMP7	LGALS3
HS6ST2	ATF2
HS6ST2	HS3ST1
ATF2	POLA1
ATF2	KAT5
ATF2	HIST1H2BC
KAT5	CREBBP
KAT5	TIPIN
CLEC7A	LGALS3
HIST1H2BC	TUBA1A
FXYD6	SLC5A1
ADRA1B	CRB1
ADRA1B	SEC61B
SETX	CST3
SETX	KRT5
SETX	FGA
HIST1H3G	POLA1
HIST1H3G	EEF1A1
HIST1H3G	EHMT2
SEC24C	SNW1
SEC24C	DDX5
SEC24C	MDH2
SEC24C	EHD1
SEC24C	UBXN1
CST3	FGA
FGA	OR3A2
FGA	KRT5
KRT5	SEC61B
KRT5	CRB1
EPAS1	SLC2A1
EPAS1	CNOT1
SAFB	EHD1
SAFB	MDH2
RHOA	TRPC1
TUBA1A	RPL17
TUBA1A	CEP250
CEP250	RALBP1
CEP250	EEF1A1
CNOT1	CRB1
CNOT1	SEC61B
RUNX1	YAP1
RUNX1	CREBBP
SMTN	EEF1A1
SMTN	EHD1
SMTN	SLC2A1
SMTN	YAP1
DDX5	SNW1
EEF1A1	SNW1
EEF1A1	RPL17
EEF1A1	SEC61B
SEC61B	SNW1
SLC2A1	SLC5A1
ECH1	SLC5A1
