#tail	head
VAMP7	TRIP10
CEBPA	CDKN1A
CEBPA	CAV3
CEBPA	NAPA
SERF2	PSMD12
SERF2	ZEB1
POLD3	TCEA1
POLD3	UBE2B
RAB8A	MDM2
RAB8A	TRIM25
RAB8A	PAFAH1B1
TRIM25	LAMA5
TRIM25	WDR77
TRIM25	EEF1G
TRIM25	PAFAH1B1
TRIM25	TGFB1
TRIM25	GLO1
TRIM25	RPS25
TRIM25	PCNX3
TRIM25	ATG7
TRIM25	WNK2
SMN1	NACA
SMN1	TCEA1
SMN1	HIST1H4K
SMN1	NAPA
SMN1	OAS1
SMN1	WDR77
FBXL13	NACA
CKAP5	MAD2L1
CKAP5	MDM2
CKAP5	AURKA
CKAP5	TAOK1
CKAP5	FYN
NAPA	WDR77
NAPA	NACA
NAPA	EEF1G
EEF1G	NACA
EEF1G	MDM2
EEF1G	HIST1H4K
EEF1G	CUL1
ATP2B2	CAV3
ATP2B2	PCNX3
RPS25	RIOK3
RPS25	CUL1
RPS25	NEK4
RPS25	MDM2
AURKA	MDM2
AURKA	CDC20
AURKA	DYNLL1
AURKA	TGFB1
GSTA3	IGFBP2
GSTA3	CASP3
GSTA3	GLO1
GSTA3	TGFB1
SLC2A4	CASP3
PIP5K1B	HBEGF
IGFBP2	CYP2C19
IGFBP2	CGB3
IGFBP2	TGFB1
IGFBP2	CASP3
MMP14	HSD17B13
MMP14	LAMA5
BAG2	CLCN2
BAG2	WDR77
BAG2	TGFB1
GIPC2	SLCO2B1
PCDHB1	FYN
GABPB2	CLCN2
PSME2	PSMD12
PSME2	CUL1
PSME2	CDC20
HIST1H4K	CENPH
HIST1H4K	CUL1
HIST1H4K	CDKN1A
TAOK1	DYNLL1
TAOK1	PPP1CC
TAOK1	MAD2L1
FYN	WNK2
FYN	CASP3
UBQLN4	UBE2B
UBQLN4	SMAD9
UBQLN4	MDM2
UBQLN4	PMEPA1
CDH10	FOXJ2
CDC20	CENPH
CDC20	PAFAH1B1
CDC20	CDKN1A
CDC20	MAD2L1
CDC20	PSMD12
CDC20	PSMD9
CDKN1A	CUL1
CDKN1A	MDM2
CDKN1A	TGFB1
SLCO2B1	NAT1
SLCO2B1	CASP3
NEK4	PPP1CC
PPP1CC	CUL1
PPP1CC	DYNLL1
PPP1CC	MAD2L1
PPP1CC	CENPH
ATG7	CASP3
FOXJ2	PAFAH1B1
FOXJ2	RORB
FOXJ2	UBR1
TBK1	CUL1
ZEB1	UBXN10
ZEB1	LRP2BP
ZEB1	WNK3
UBR1	TGFB1
UBE2B	MDM2
UBE2B	CUL1
GRHPR	CYP2C19
GRHPR	GLO1
GRHPR	ACOT7
SPRED1	ZNF587
SPRED1	PSMD12
WNK3	CASP3
CASP3	HBEGF
CASP3	TGFB1
TGFB1	CYP2C19
TGFB1	SMAD9
TGFB1	CAV3
MAD2L1	PSMD12
MAD2L1	CENPH
MAD2L1	PSMD9
MAD2L1	PAFAH1B1
CGB3	CYP2C19
NAT1	CYP2C19
CUL1	PSMD12
CUL1	DYNLL1
CUL1	PSMD9
PSMD12	PSMD9
RORB	ZNF587
CENPH	DYNLL1
ZNF587	SMAD9
PAFAH1B1	DYNLL1
