#tail	head
VAMP7	SIRT2
TERF2	TCOF1
TERF2	HIST1H4A
GRM6	IFNA13
GRM6	NODAL
GRM6	IFNA14
PTPN11	IFNA13
PTPN11	IFNA14
PTPN11	FGF8
ASB5	AKR1B1
ASB5	COMMD8
ASB5	ELOB
FGF8	NOG
FGF8	NAT10
FGF8	ZEB1
FGF8	IGHG3
FGF8	FGFR2
IGHG3	FGFR2
IGHG3	IGHV4-39
SFRP2	NOG
PCSK6	NODAL
PCSK6	JUN
HBB	MGAT4B
HBB	IFNA13
GPR156	PRPF8
GPR156	ZBTB1
IFNA14	IFNA13
RPL31	GABARAP
RPL31	PRPF8
RPL31	NOG
RPL31	JUN
RPL31	HIST1H3G
ZEB1	ATM
ZEB1	GABARAP
ZEB1	EBF2
ZEB1	HIST1H3G
ZEB1	KAT5
ZEB1	BRINP3
NOG	AKR1B1
NOG	GRAMD2B
NOG	CLU
NOG	JUN
NOG	SRSF6
NOG	UBE2Q2
NOG	FUS
NOG	CACNA1A
NOG	HIST1H3G
NOG	PFKP
NOG	RAB13
TCOF1	ZNHIT2
TCOF1	HIST1H3G
TCOF1	RPA3
HIST1H4A	PRPF8
HIST1H4A	HIST1H3G
HIST1H4A	USF3
HIST1H4A	CLU
HIST1H4A	JUN
HIST1H4A	KAT5
PRPF8	RPA3
PRPF8	GRWD1
PRPF8	SRSF6
PRPF8	MTREX
PRPF8	C1orf131
NAT10	JUN
NHLH1	ASB2
NHLH1	DOCK4
MTREX	JUN
MTREX	FUS
TMEM43	JUN
KAT5	FUS
KAT5	ZBTB1
PFKP	MGAT4B
UBE2V1	ELOB
UBE2V1	DNAJB6
DOCK4	JUN
COPS4	KLHL25
COPS4	JUN
HIST1H3G	SSBP1
SFXN2	MGAT4B
SSBP1	ASB2
RPA3	CEBPD
RPA3	FUS
RPA3	RAB13
RPA3	JUN
RPA3	DNAJB6
LEFTY1	NODAL
AKR1B1	JUN
FGFR2	IGHV4-39
UBE2Q2	RC3H2
UBE2Q2	KLHL25
GRAMD2B	GRAMD1B
CEBPD	PIAS4
CEBPD	JUN
JUN	CLU
JUN	IRAK1
JUN	FUS
JUN	SRSF6
JUN	ELOB
JUN	GRWD1
FUS	ATM
GRWD1	GABARAP
PIAS4	ATM
ASB2	ELOB
