#tail	head
SERPINF2	CFD
HIST1H4B	RACK1
MAPK3	GATA1
MAPK3	PLA2G1B
MAPK3	EIF4EBP1
MAPK3	SLCO1B3
MAPK3	C5
MAPK3	ERBB4
MAPK3	IL6R
MAPK3	ARF6
MAPK3	GABPA
MAPK3	RPS6KA5
MAPK3	FGF4
MAPK3	ARAF
MAPK3	UBA1
MAPK3	CASP8
LMNB1	ESR2
LMNB1	H2BFS
LMNB1	TERF2
LMNB1	SEC23A
LMNB1	HIST1H3G
U2SURP	SNRPA1
U2SURP	HIST1H3G
U2SURP	CTNNBL1
U2SURP	HIST1H3D
U2SURP	CPSF2
U2SURP	SNU13
SFXN4	NXF1
CDAN1	HIST1H3G
CDAN1	HIST1H3J
CYP11A1	GATA1
CYP11A1	ABCA1
CYP11A1	NR1I2
ZC3H18	NXF1
ZC3H18	RPL7A
ZC3H18	RPL27A
ZC3H18	EXOSC10
CBX4	YWHAH
CBX4	HIST1H3J
SRPRA	RPL5
SRPRA	RPL7A
SRPRA	ELK1
STIP1	COLEC10
STIP1	URI1
STIP1	LMO2
STIP1	NOX5
STIP1	CSF3
STIP1	VCP
NOL11	NOL12
NOL11	EXOSC10
NOL11	SNU13
NOL11	C1D
MDFI	ESR2
MDFI	LIN7A
MDFI	GATA1
MDFI	GATA2
DNAJC6	REPS2
DNAJC6	BTC
DNAJC6	NOG
RPS2	IMP3
RPS2	ACO2
RPS2	RPL22
RPS2	MRPL12
RPS2	RPL5
RPS2	RACK1
RPS2	RPL27A
IMP3	ELK1
IMP3	NOL12
IMP3	C1D
IMP3	SNU13
ESR2	VCP
ESR2	PTCD3
ESR2	HBA1
ESR2	CPSF2
ESR2	CYP2D6
ESR2	RACK1
ESR2	TERF2
ESR2	IGKC
ESR2	CYP1B1
ESR2	IGHV3-33
ESR2	CYP2B6
ESR2	EGFR
ESR2	NOG
ESR2	SLCO5A1
ESR2	DGAT1
ESR2	RPL7A
ESR2	EXOSC10
ESR2	CWC22
ESR2	POMC
ESR2	RANBP2
ESR2	FSHB
ESR2	CYP24A1
ESR2	HIST1H3J
ESR2	FGF4
ESR2	NFIL3
ESR2	SNU13
ESR2	NUFIP1
ESR2	NUP85
ESR2	ABCC2
ESR2	B3GNT6
ESR2	LRRFIP1
SUV39H1	GATA1
SUV39H1	HIST1H3G
SUV39H1	HIST1H3J
SUV39H1	SP1
GRM1	GATA1
GRM1	CSF3
GRM1	FSHB
GRM1	FGF4
GRM1	POMC
REPS2	YWHAH
REPS2	PIP4K2A
REPS2	NOG
REPS2	BTC
REPS2	FOXA1
HIST1H3J	NFIC
HIST1H3J	KDM4A
HIST1H3J	GATA1
HIST1H3J	EGFR
HIST1H3J	RACK1
HIST1H3J	HMGN2
HIST1H3J	RPL5
HIST1H3J	NOG
HIST1H3J	CTR9
HIST1H3J	RPL7A
HIST1H3J	TBP
HIST1H3J	FOXA1
HIST1H3J	EXOSC10
HIST1H3J	RPS6KA5
HIST1H3J	RPL39
MRPL18	NXF1
MRPL18	MRPL12
MRPL18	PTCD3
MRPL18	MRPS17
MRPL18	RPL5
MRPL18	MRPS18C
GRM5	CSF3
C5	CD40LG
C5	FOXA1
C5	CYP2D6
C5	NOG
C5	ACO2
C5	CD28
ZNF513	NOG
ZNF513	ELK1
CPSF2	CTR9
CPSF2	CWC22
CPSF2	NOG
CPSF2	TBP
DIAPH2	NUP85
DIAPH2	RANBP2
DIAPH2	CENPU
DIAPH2	NOG
NUCB2	NR1I2
NUCB2	COLEC10
RACK1	NOG
RACK1	HIST1H3D
RACK1	RPL7A
RACK1	IKBKG
RACK1	TNFRSF1A
RACK1	ELOB
POMC	NR1I2
POMC	FSHB
CSF3	LGALSL
CSF3	IL6R
CSF3	FOXA1
CSF3	CASP8
CSF3	ELK1
PEX14	PIPOX
PEX14	NFE2
PEX14	SP1
COMMD7	TULP4
COMMD7	ELOB
RPL7A	HIST1H3G
RPL7A	RPL39
RPL7A	NXF1
RPL7A	MRPL12
RPL7A	ATP5F1A
KDM4A	H2BFS
KDM4A	HIST1H3G
KDM4A	NXF1
ELK1	MLLT6
ELK1	ATP5F1A
ELK1	ACO2
ELK1	NOL12
ELK1	SP1
ELK1	HAT1
ELK1	TBP
FGF4	IGLV1-44
FGF4	LRRFIP1
FGF4	CD28
FGF4	SP1
FGF4	ERBB4
FGF4	EGFR
FGF4	NCKAP1
A4GALT	B4GALT2
A4GALT	NME1
NR1I2	SLCO5A1
NR1I2	CTSL
NR1I2	FSHB
NR1I2	ABCC2
NR1I2	PIP4K2A
HADH	NOG
HADH	NOX5
HADH	SP1
HADH	ACADL
HADH	EGFR
HADH	CYP24A1
HADH	NXF1
HADH	MECR
CYP2D6	SULT1A4
CYP2D6	PIPOX
CYP2D6	ARF6
CYP2D6	SP1
RPL39	HIST1H3D
RPL39	RPL22
EIF4EBP1	CD40LG
EIF4EBP1	RPS6KA5
SLCO5A1	ATP5F1A
SLCO5A1	SP1
SLCO5A1	LYZ
SLCO5A1	CYP1B1
EGFR	HIST1H3G
EGFR	PIP4K2A
EGFR	ERBB4
EGFR	RPL22
EGFR	NUP85
EGFR	NCKAP1
EGFR	ATP5F1A
EGFR	HBA1
EGFR	ERCC1
EGFR	TNFRSF1A
EGFR	PDE1C
EGFR	CD28
EGFR	TRAPPC3
NCKAP1	IGLV1-44
NCKAP1	CD28
NCKAP1	LRRFIP1
NCKAP1	MCM4
NCKAP1	BTC
NCKAP1	IGHV3-33
NXF1	RUVBL1
NXF1	RANBP2
NXF1	MCM4
NXF1	CTR9
NXF1	EXOSC10
NXF1	ATP5F1A
NXF1	NUP85
HIST1H3D	TBP
HIST1H3D	MRPL12
HIST1H3D	MCM4
HIST1H3D	AHSG
HIST1H3D	NOG
HIST1H3D	CTR9
HIST1H3D	FOXA1
HIST1H3D	RUVBL1
HIST1H3D	EXOSC10
HIST1H3D	SNRPA1
RPL5	RPL27A
RPL5	TUBB1
RPL5	UBA1
GALNT4	B4GALT2
GALNT4	B3GNT6
GALNT4	NME1
TERF2	ORC6
TERF2	HMGN2
TERF2	VCP
ATP5F1A	ACO2
ATP5F1A	SLCO1B3
ARAF	TUBA4A
TRAPPC2B	TRAPPC3
PTCD3	MRPS17
PTCD3	HIST1H3G
PTCD3	NOL12
RPS6KA5	HIST1H3G
IGHV3-33	IGKC
IGHV3-33	HLA-E
IGHV3-33	IGLV1-44
IGHV3-33	CD28
IGHV3-33	ERBB4
CACNG5	MIS18BP1
HBA1	FOXA1
HBA1	NUFIP1
HBA1	NOS3
NFIC	FOXA1
NFIC	HIST1H3G
NFIC	CTR9
SP1	MLLT6
SP1	GATA1
SP1	HMGN2
SP1	CTR9
SP1	PIP4K2A
SP1	B4GALT2
SP1	MIS18BP1
SP1	EXOSC10
SP1	GABPA
SP1	RPL22
SP1	TRAPPC3
SP1	HOXC4
SP1	CYP1B1
SP1	MRPS17
SP1	OGG1
SP1	ORC6
SP1	NOS3
SP1	ERBB4
SP1	MECR
VCP	COLEC10
VCP	RAB14
PHKB	GABPA
ACADL	NME1
ACADL	PIPOX
SERPINB3	CTSL
SERPINB3	C16orf70
UBA1	YAF2
UBA1	SLCO1B3
UBA1	UCHL5
UBA1	DENND6B
NME1	MECR
NME1	ARF6
NME1	RUVBL1
NME1	GABPA
LGALSL	TBP
KIF2A	CENPU
KIF2A	NUP85
KIF2A	RANBP2
NUFIP1	RUVBL1
NUFIP1	GABPA
NUFIP1	DCX
NUFIP1	NOG
SNRPA1	HIST1H3G
SNRPA1	ARF6
SNRPA1	NOG
SNRPA1	CTNNBL1
SNRPA1	CWC22
URI1	CTR9
URI1	RUVBL1
IL6R	STAT5A
IL6R	CD40LG
GOLM1	DCK
PLA2G1B	GABBR2
PLA2G1B	BAAT
NUP85	RANBP2
NUP85	NXT1
CYP2B6	ABCC2
NOL12	GABPA
IGKC	RANBP2
IGKC	CD28
IGKC	CD40LG
IGKC	CTR9
IGKC	CTSL
IGKC	LRRFIP1
NFE2	NOG
NFE2	GATA1
NFE2	LMO2
TNFRSF1A	NOS3
TNFRSF1A	IKBKG
TNFRSF1A	NOX5
RUVBL1	HIST1H3G
RUVBL1	ARF6
RUVBL1	MCM4
RUVBL1	CENPU
RUVBL1	TUBA4A
RUVBL1	H2BFS
RUVBL1	MIS18BP1
RUVBL1	SNU13
GABBR2	CD28
GABBR2	NOG
MCU	COLEC10
MCU	NYX
HAT1	HIST1H3G
HLA-E	SEC23A
SNU13	POLA2
SNU13	RPL22
SNU13	TUBB1
SNU13	RPL27A
SNU13	CWC22
NOG	RPL27A
NOG	STAT5A
NOG	CWC22
NOG	UCHL5
NOG	GABPA
NOG	FUT9
NOG	ABCA1
NOG	PIPOX
NOG	OGG1
NOG	HIST1H3G
NOG	LMO2
NOG	GATA2
GATA2	GATA1
SEC23A	LMAN1L
ZNF384	BTC
ZNF384	STAT5A
IGLV1-44	PIP4K2A
IGLV1-44	CD28
IGLV1-44	ERBB4
TBP	HIST1H3G
TBP	HOXC4
TBP	FXYD1
TBP	TUBA4A
TBP	ERCC1
ERCC1	GABPA
AHSG	RANBP2
AHSG	HIST1H3G
B4GALT2	GATA1
B4GALT2	B3GNT6
B4GALT2	FOXA1
CYP24A1	ABCC2
CYP24A1	MECR
ABCA1	LIN7A
ABCA1	IKBKG
KCNA7	FXYD1
SULT1A4	FSHB
CWC22	CTNNBL1
BTC	LRRFIP1
BTC	PIP4K2A
CASP8	CYP1B1
GATA1	H2BFS
GATA1	HOXC4
GATA1	LMO2
GATA1	HIST1H3G
ABCC2	NOS3
ABCC2	SLCO1B3
ABCC2	EXOSC10
NFIL3	CD40LG
NFIL3	STAT5A
NFIL3	HOXC4
NFIL3	FUT9
LRRFIP1	CD28
LRRFIP1	PIP4K2A
PDE1C	BAAT
THAP5	GABPA
PIP4K2A	ERBB4
COLEC10	ACO2
HIST1H3G	CTR9
HIST1H3G	MCM4
HIST1H3G	RPL27A
IKBKG	GEMIN2
IKBKG	TBC1D7
IKBKG	MLLT6
EXOSC10	FOXA1
EXOSC10	C1D
STAT5A	FOXA1
STAT5A	HOXC4
STAT5A	CENPU
STAT5A	ERBB4
STAT5A	GABPA
POLA2	ORC6
CENPU	H2BFS
NMT1	NOS3
UCHL5	TUBA4A
TUBB1	TUBA4A
TUBB1	RPL27A
CD40LG	ARF6
C16orf70	FOXA1
NOS3	ACO2
NOS3	NOX5
NOS3	FOXA1
H2BFS	C1D
H2BFS	MLLT6
H2BFS	FOXA1
H2BFS	HMGN2
H2BFS	MIS18BP1
MAF	FOXA1
MAF	HMGN2
ACO2	YAF2
ACO2	ARF6
CTR9	GABPA
CTR9	ELOB
FSHB	CYP1B1
FSHB	ARF6
FSHB	FOXA1
ARF6	FOXA1
YAF2	ELOB
DCK	MECR
FOXA1	LMO2
CYP1B1	SLCO1B3
SLCO1B3	LYZ
GEMIN2	RANBP2
MECR	NOX5
