EIF4EBP1	MTOR
CALML5	PPP1R3B
MAPK3	MKNK2
CALML4	PYGM
IRS2	MAPK8
PDPK1	PIK3CA
HRAS	RAF1
PHKA1	PYGL
EXOC7	RHOQ
FOXO1	PPARGC1A
CALML3	PPP1R3F
CALML6	PYGL
AKT2	PPP1R3F
PIK3CB	PRKCI
CALML4	PYGB
AKT1	PPP1R3A
ACACB	PRKAG2
MAP2K2	RAF1
EIF4E1B	MKNK2
PHKG1	PPP1R3E
PKLR	SREBF1
IRS2	PTPRF
CALM2	PPP1R3A
ACACB	PRKAA1
CALML4	PPP1R3A
CALML3	PPP1CB
PHKB	PYGL
PHKG1	PPP1R3D
ACACB	PRKAA2
PDPK1	PRKCI
ACACA	PRKAB1
IRS1	PIK3CB
AKT3	BAD
PHKG2	PPP1CC
PHKG1	PYGL
AKT2	GSK3B
IKBKB	IRS1
AKT2	SLC2A4
PHKA2	PPP1CC
PHKA1	PPP1CA
IRS1	PIK3CA
NRAS	SOS1
PHKG1	PPP1R3C
AKT3	PPP1CC
IRS2	PIK3R3
IRS4	MAPK9
LIPE	PRKAR2A
PHKA1	PPP1R3B
ACACA	PRKAB2
CALML6	PPP1CA
CALML5	PYGM
MAP2K2	MAPK1
CALM2	PPP1R3B
GRB2	SHC4
AKT1	BAD
CALML6	PPP1R3B
IRS4	PIK3R2
AKT3	TSC2
PIK3R2	PRKCI
GYS1	PPP1R3C
IRS4	PIK3CB
LIPE	PRKACA
AKT1	PPP1CC
CALML5	PYGB
PHKB	PPP1CA
PIK3R3	PRKCI
CALML3	PPP1R3A
CALM1	PYGB
CALM1	PPP1R3E
IRS4	PIK3CA
AKT2	PPP1R3A
BRAF	NRAS
PHKG1	PPP1CA
BRAF	HRAS
PHKA1	PPP1R3F
LIPE	PRKAR1A
PHKB	PPP1R3B
CALML5	PPP1R3D
GRB2	IRS4
CALML4	PPP1CC
CALM1	PPP1R3D
PHKG2	PPP1R3E
AKT1	TSC2
CALML6	PPP1R3F
AKT3	PDE3B
MAP2K1	MAPK3
PHKA2	PPP1R3E
PDPK1	PIK3CD
PIK3CD	PRKCI
CALM3	PPP1R3E
ELK1	MAPK3
GYS2	PPP1CA
AKT3	PPP1R3E
PIK3CA	PRKCI
GYS1	PPP1CA
PDPK1	RPS6KB1
HK2	SREBF1
PHKG2	PYGL
CALM1	PPP1R3C
PHKA1	PPP1CB
ARAF	MAP2K1
RHEB	TSC1
CALML3	PPP1R3B
CALM3	PPP1R3D
GYS2	PPP1R3B
GYS1	PPP1R3B
PHKA2	PYGL
AKT3	PPP1R3D
CALM3	PYGL
KRAS	SOS2
PHKB	PPP1R3F
EIF4E	MKNK1
PHKG2	PPP1R3C
RHEB	TSC2
PHKG1	PPP1R3F
ACACA	PRKAG1
AKT1	PDE3B
CALM2	PYGM
GRB2	SOS2
PHKA2	PPP1R3C
CALM3	PPP1R3C
BRAF	MAP2K2
CALML6	PYGM
AKT3	PPP1R3C
IRS2	PTPN1
CBLB	RAPGEF1
AKT1	PPP1R3E
ACACB	PRKAG3
PDPK1	PIK3R1
PHKB	PPP1CB
ACACB	SREBF1
AKT1	PPP1R3D
GYS2	PPP1R3F
GYS1	PPP1R3F
PHKG1	PPP1CB
CALM2	PYGB
CALML4	PPP1R3E
IRS1	PIK3CD
PHKG2	PPP1CA
EIF4E	MKNK2
CALML5	PPP1CC
CALM2	PPP1R3D
CALML4	PPP1R3D
PHKA1	PPP1R3A
AKT1	PPP1R3C
CALM1	PPP1CC
LIPE	PRKAR2B
CALML4	PYGL
PHKA2	PPP1CA
AKT2	TSC2
FLOT1	SORBS1
GYS2	PPP1CB
CALML6	PPP1R3A
GYS1	PPP1CB
PIK3R1	PRKCZ
LIPE	PRKAR1B
