#node1	node2	edge_expansion:relation_type
O00206	Q8IUC6	one_to_one_mapping:activation
Q00978	P42224	mult_mapping_expansion:binding/association
Q00978	P52630	mult_mapping_expansion:binding/association
Q04206	P01375	mult_mapping_expansion:activation
Q04206	P01562	mult_mapping_expansion:activation
Q04206	P01563	mult_mapping_expansion:activation
Q04206	P01566	mult_mapping_expansion:activation
Q04206	P01567	mult_mapping_expansion:activation
Q04206	P01568	mult_mapping_expansion:activation
Q04206	P01569	mult_mapping_expansion:activation
Q04206	P01570	mult_mapping_expansion:activation
Q04206	P01571	mult_mapping_expansion:activation
Q04206	P01574	mult_mapping_expansion:activation
Q04206	P01584	mult_mapping_expansion:activation
Q04206	P05013	mult_mapping_expansion:activation
Q04206	P05014	mult_mapping_expansion:activation
Q04206	P05015	mult_mapping_expansion:activation
Q04206	P05231	mult_mapping_expansion:activation
Q04206	P09341	mult_mapping_expansion:activation
Q04206	P10145	mult_mapping_expansion:activation
Q04206	P13500	mult_mapping_expansion:activation
Q04206	P13501	mult_mapping_expansion:activation
Q04206	P19875	mult_mapping_expansion:activation
Q04206	P19876	mult_mapping_expansion:activation
Q04206	P25963	mult_mapping_expansion:dissociation
Q04206	P32881	mult_mapping_expansion:activation
Q04206	P49913	mult_mapping_expansion:activation
Q04206	Q14116	mult_mapping_expansion:activation
Q04206	Q15653	mult_mapping_expansion:dissociation
Q04206	Q96P20	mult_mapping_expansion:activation
Q05823	Q9H6R0	one_to_one_mapping:activation
Q13075	Q9NPP4	one_to_one_mapping:activation
Q13114	Q14164	one_to_one_mapping:activation
Q13158	Q14790	one_to_one_mapping:binding/association
Q13546	O00429	mult_mapping_expansion:activation
Q14164	Q14653	mult_mapping_expansion:activation|phosphorylation
Q14164	Q92985	mult_mapping_expansion:activation|phosphorylation
Q14653	P01562	mult_mapping_expansion:activation
Q14653	P01563	mult_mapping_expansion:activation
Q14653	P01566	mult_mapping_expansion:activation
Q14653	P01567	mult_mapping_expansion:activation
Q14653	P01568	mult_mapping_expansion:activation
Q14653	P01569	mult_mapping_expansion:activation
Q14653	P01570	mult_mapping_expansion:activation
Q14653	P01571	mult_mapping_expansion:activation
Q14653	P01574	mult_mapping_expansion:activation
Q14653	P05013	mult_mapping_expansion:activation
Q14653	P05014	mult_mapping_expansion:activation
Q14653	P05015	mult_mapping_expansion:activation
Q14653	P32881	mult_mapping_expansion:activation
Q14790	Q13158	one_to_one_mapping:binding/association
Q15653	P19838	mult_mapping_expansion:activation|dissociation|mult_mapping_expansion:dissociation
Q15653	Q04206	mult_mapping_expansion:activation|dissociation|mult_mapping_expansion:dissociation
Q15750	O43318	mult_mapping_expansion:binding/association
Q15759	P05412	mult_mapping_expansion:activation|phosphorylation
Q16539	P05412	mult_mapping_expansion:activation|phosphorylation
Q16666	O14862	one_to_one_mapping:inhibition
Q16666	Q86WV6	one_to_one_mapping:activation
Q16666	Q9ULZ3	one_to_one_mapping:binding/association
Q5T6X5	Q00722	mult_mapping_expansion:activation
Q5T6X5	Q01970	mult_mapping_expansion:activation
Q5T6X5	Q15147	mult_mapping_expansion:activation
Q5T6X5	Q9NQ66	mult_mapping_expansion:activation
Q676U5	Q9H1Y0	one_to_one_mapping:binding/association
Q6UXS9	P29466	one_to_one_mapping:inhibition
Q7Z434	O95140	mult_mapping_expansion:binding/association
Q7Z434	Q8IWA4	mult_mapping_expansion:binding/association
Q86UT6	Q7Z434	one_to_one_mapping:inhibition
Q8IWA4	Q7Z434	mult_mapping_expansion:binding/association
Q8N5C8	O43318	mult_mapping_expansion:binding/association
Q8WX94	Q9ULZ3	one_to_one_mapping:binding/association
Q92985	P01562	mult_mapping_expansion:activation
Q92985	P01563	mult_mapping_expansion:activation
Q92985	P01566	mult_mapping_expansion:activation
Q92985	P01567	mult_mapping_expansion:activation
Q92985	P01568	mult_mapping_expansion:activation
Q92985	P01569	mult_mapping_expansion:activation
Q92985	P01570	mult_mapping_expansion:activation
Q92985	P01571	mult_mapping_expansion:activation
Q92985	P01574	mult_mapping_expansion:activation
Q92985	P05013	mult_mapping_expansion:activation
Q92985	P05014	mult_mapping_expansion:activation
Q92985	P05015	mult_mapping_expansion:activation
Q92985	P32881	mult_mapping_expansion:activation
Q96P20	Q9ULZ3	one_to_one_mapping:binding/association
Q99757	Q9H3M7	mult_mapping_expansion:binding/association
Q99836	Q9NWZ3	one_to_one_mapping:activation
Q9H1Y0	Q676U5	one_to_one_mapping:binding/association
Q9H3M7	P10599	mult_mapping_expansion:binding/association
Q9H3M7	Q99757	mult_mapping_expansion:binding/association
Q9HC29	O43353	one_to_one_mapping:activation
Q9HC29	Q9C000	one_to_one_mapping:activation
Q9NYJ8	O43318	mult_mapping_expansion:binding/association
Q9UHD2	P19838	mult_mapping_expansion:activation
Q9UHD2	Q04206	mult_mapping_expansion:activation
Q9UHD2	Q14653	mult_mapping_expansion:activation
Q9UHD2	Q92985	mult_mapping_expansion:activation
Q9ULZ3	O15553	one_to_one_mapping:binding/association
Q9ULZ3	P29466	one_to_one_mapping:activation|one_to_one_mapping:binding/association
Q9ULZ3	P59044	one_to_one_mapping:binding/association
Q9ULZ3	P59046	one_to_one_mapping:binding/association
Q9ULZ3	Q16666	one_to_one_mapping:binding/association
Q9ULZ3	Q8WX94	one_to_one_mapping:binding/association
Q9ULZ3	Q96P20	one_to_one_mapping:binding/association
Q9Y239	O43353	one_to_one_mapping:activation
Q9Y2Z0	P07900	mult_mapping_expansion:binding/association
Q9Y2Z0	P08238	mult_mapping_expansion:binding/association
Q9Y4K3	Q9Y6K9	one_to_one_mapping:binding/association
Q9Y572	O00429	mult_mapping_expansion:activation
Q9Y6K9	O14920	mult_mapping_expansion:binding/association
Q9Y6K9	O15111	mult_mapping_expansion:binding/association
Q9Y6K9	Q9Y4K3	one_to_one_mapping:binding/association
